Date,Open,High,Low,Close,Volume
2023-05-30 15:29:59.712,141200,160000,120000,123000,914573
2023-05-31 15:29:59.712,125500,153100,124800,144500,1234491
2023-06-01 15:29:59.712,140500,148800,132500,134700,357884
2023-06-02 15:29:59.712,136900,137200,130800,131300,173351
2023-06-05 15:29:59.712,133100,133500,127900,128900,118700
2023-06-07 15:29:59.712,128500,128500,124800,125400,237252
2023-06-08 15:29:59.712,124800,127600,124300,124900,253174
2023-06-09 15:29:59.712,125200,126100,121000,124000,311785
2023-06-12 15:29:59.712,123500,127300,123500,125500,182568
2023-06-13 15:29:59.712,126200,130100,126200,129800,187989
2023-06-14 15:29:59.712,129600,129800,124000,124600,146720
2023-06-15 15:29:59.712,124500,125300,121100,121300,103559
2023-06-16 15:29:59.712,121500,123300,118800,118800,134803
2023-06-19 15:29:59.712,118900,119500,112600,113000,164601
2023-06-20 15:29:59.712,113200,118600,113000,114700,86569
2023-06-21 15:29:59.712,114700,114700,108100,108100,164063
2023-06-22 15:29:59.712,107600,114000,103500,112400,244623
2023-06-23 15:29:59.712,112300,115400,109000,114000,178599
2023-06-26 15:29:59.712,112700,119000,110800,116100,201394
2023-06-27 15:29:59.712,118200,124900,117700,122800,329097
2023-06-28 15:29:59.712,124300,127700,120400,121500,199302
2023-06-29 15:29:59.712,122100,122800,117700,121300,131297
2023-06-30 15:29:59.712,121000,126000,119700,122000,95706
2023-07-03 15:29:59.712,122000,127800,121100,127600,149353
2023-07-04 15:29:59.712,128300,129700,124200,127400,134131
2023-07-05 15:29:59.712,127400,136100,126300,134100,244239
2023-07-06 15:29:59.712,135600,143300,134100,136500,364800
2023-07-07 15:29:59.712,136400,141300,133600,140500,160950
2023-07-10 15:29:59.712,140500,143300,134200,136900,162348
2023-07-11 15:29:59.712,137000,138700,132200,135000,217434
2023-07-12 15:29:59.712,136000,143000,135800,142400,165181
2023-07-13 15:29:59.712,147600,161500,144800,156700,692507
2023-07-14 15:29:59.712,160300,160900,155200,158600,262320
2023-07-17 15:29:59.712,156500,158000,152100,155700,140584
2023-07-18 15:29:59.712,155800,160500,155500,157100,146931
2023-07-19 15:29:59.712,160800,162900,150600,151000,244286
2023-07-20 15:29:59.712,151000,151000,145600,149100,144545
2023-07-21 15:29:59.712,146200,148300,144400,146700,89590
2023-07-24 15:29:59.712,146500,146900,141700,143000,114561
2023-07-25 15:29:59.712,142700,149500,141400,147500,138237
2023-07-26 15:29:59.712,147500,151000,137100,139000,231589
2023-07-27 15:29:59.712,156000,164000,126600,133000,1067430
2023-07-28 15:29:59.712,131200,132600,124900,131600,323687
2023-07-31 15:29:59.712,133500,139200,133500,136200,174693
2023-08-01 15:29:59.712,136200,136300,129800,131600,204661
2023-08-02 15:29:59.712,131000,133100,128300,129100,107368
2023-08-03 15:29:59.712,128500,131000,126300,127000,84822
2023-08-04 15:29:59.712,126200,129100,126200,127000,41478
2023-08-07 15:29:59.712,126100,128000,125600,126900,45456
