Date,Open,High,Low,Close,Volume
2012-01-02,0,0,0,0,0
2012-01-03,0,0,0,0,0
2012-01-04,0,0,0,0,0
2012-01-05,0,0,0,0,0
2012-01-06,0,0,0,0,0
2012-01-09,0,0,0,0,0
2012-01-10,0,0,0,0,0
2012-01-11,0,0,0,0,0
2012-01-12,0,0,0,0,0
2012-01-13,0,0,0,0,0
2012-01-16,0,0,0,0,0
2012-01-17,0,0,0,0,0
2012-01-18,0,0,0,0,0
2012-01-19,0,0,0,0,0
2012-01-20,0,0,0,0,0
2012-01-25,0,0,0,0,0
2012-01-26,0,0,0,0,0
2012-01-27,0,0,0,0,0
2012-01-30,0,0,0,0,0
2012-01-31,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-02-02,0,0,0,0,0
2012-02-03,0,0,0,0,0
2012-02-06,0,0,0,0,0
2012-02-07,0,0,0,0,0
2012-02-08,0,0,0,0,0
2012-02-09,0,0,0,0,0
2012-02-10,0,0,0,0,0
2012-02-13,0,0,0,0,0
2012-02-14,0,0,0,0,0
2012-02-15,0,0,0,0,0
2012-02-16,0,0,0,0,0
2012-02-17,0,0,0,0,0
2012-02-20,0,0,0,0,0
2012-02-21,0,0,0,0,0
2012-02-22,0,0,0,0,0
2012-02-23,0,0,0,0,0
2012-02-24,0,0,0,0,0
2012-02-27,0,0,0,0,0
2012-02-28,0,0,0,0,0
2012-02-29,0,0,0,0,0
2012-03-02,0,0,0,0,0
2012-03-05,0,0,0,0,0
2012-03-06,0,0,0,0,0
2012-03-07,0,0,0,0,0
2012-03-08,0,0,0,0,0
2012-03-09,0,0,0,0,0
2012-03-12,0,0,0,0,0
2012-03-13,0,0,0,0,0
2012-03-14,0,0,0,0,0
2012-03-15,0,0,0,0,0
2012-03-16,0,0,0,0,0
2012-03-19,0,0,0,0,0
2012-03-20,0,0,0,0,0
2012-03-21,0,0,0,0,0
2012-03-22,0,0,0,0,0
2012-03-23,0,0,0,0,0
2012-03-26,0,0,0,0,0
2012-03-27,0,0,0,0,0
