Date,Open,High,Low,Close,Volume
2012-01-02,16250,16850,16050,16050,1050
2012-01-03,16400,16400,15700,16050,1351
2012-01-04,16050,16100,15750,16050,900
2012-01-05,17750,17750,16400,16850,9197
2012-01-06,16800,16800,16450,16450,2230
2012-01-09,16450,16450,16050,16400,901
2012-01-10,16200,16700,16200,16500,2130
2012-01-11,16600,16600,16350,16400,2091
2012-01-12,16400,17150,16300,16450,6691
2012-01-13,16400,16650,16400,16550,1450
2012-01-16,16600,16600,16200,16500,2760
2012-01-17,16500,16600,16200,16350,1242
2012-01-18,16550,16550,16250,16450,1174
2012-01-19,16300,16600,16100,16400,2033
2012-01-20,16700,16700,16100,16250,1310
2012-01-25,16100,16750,16100,16400,400
2012-01-26,16400,16400,16250,16400,190
2012-01-27,16100,16600,16100,16600,1590
2012-01-30,16500,16500,16150,16150,1781
2012-01-31,16150,16500,16100,16400,690
2012-02-01,16400,16450,16200,16450,1800
2012-02-02,16450,16600,16300,16600,1020
2012-02-03,16350,17500,16300,17000,6120
2012-02-06,17000,17250,16700,16700,3140
2012-02-07,16750,17200,16750,16800,2785
2012-02-08,16800,17400,16800,17250,7480
2012-02-09,17100,17700,17100,17600,6970
2012-02-10,17600,17700,17400,17400,1530
2012-02-13,17300,17500,16850,16950,3531
2012-02-14,17200,17200,16700,16950,2182
2012-02-15,16950,17200,16650,16850,2370
2012-02-16,16600,16900,16600,16850,1710
2012-02-17,16700,17150,16700,17150,1360
2012-02-20,17700,17700,16850,16850,6430
2012-02-21,16900,17150,16700,16900,2518
2012-02-22,16900,17150,16850,17100,2380
2012-02-23,17100,17500,17000,17350,3531
2012-02-24,17200,18000,17200,17450,10830
2012-02-27,17600,18000,17000,17400,9224
2012-02-28,17000,17400,17000,17150,2830
2012-02-29,17150,17350,17150,17200,1490
2012-03-02,17200,17800,17200,17550,4528
2012-03-05,18000,18750,17600,18450,10880
2012-03-06,18600,18750,17800,18200,4220
2012-03-07,18150,18150,17650,18100,2330
2012-03-08,18300,18300,17550,17800,1779
2012-03-09,17500,18000,17500,18000,2270
2012-03-12,18200,18650,17700,17750,7960
2012-03-13,17750,18150,17400,17600,1550
2012-03-14,17700,17700,17250,17350,6130
2012-03-15,17250,17550,17100,17150,2920
2012-03-16,17150,17300,16800,16800,2872
2012-03-19,16800,16850,16600,16750,5421
2012-03-20,16600,16900,16600,16700,800
2012-03-21,16700,16850,16300,16300,2510
2012-03-22,16350,16600,16300,16450,500
2012-03-23,16150,16450,16050,16050,1590
2012-03-26,15850,17950,15850,16800,4781
2012-03-27,16800,17200,16650,16650,850
2012-03-28,16500,17000,16500,17000,1870
2012-03-29,17000,17100,16250,16950,420
2012-03-30,16500,16550,15900,16200,3890
2012-04-02,16300,17050,16300,16300,340
2012-04-03,16850,16850,15950,16300,730
2012-04-04,15800,16300,15800,16000,210
2012-04-05,15700,16400,15000,16000,1940
2012-04-06,15900,15900,15200,15400,2356
2012-04-09,15350,15600,15050,15050,801
2012-04-10,14700,15700,14400,15600,3430
2012-04-12,15300,15300,14650,15100,1243
2012-04-13,15100,15700,15000,15700,980
2012-04-16,15900,15900,15800,15800,110
2012-04-17,15900,15900,15800,15800,73
2012-04-18,15800,16750,15150,16400,1470
2012-04-19,15600,16050,15600,16000,150
2012-04-20,15300,16300,15300,16200,390
2012-04-23,16550,16550,15900,16300,260
2012-04-24,16300,16300,15500,15950,250
2012-04-25,16350,17900,16100,16500,12610
2012-04-26,16500,17100,16100,16100,4082
2012-04-27,16100,16200,15100,15200,2090
2012-04-30,15250,15350,15000,15050,1930
2012-05-02,15050,15600,15050,15400,910
2012-05-03,15250,15700,15050,15050,1157
2012-05-04,15100,15150,14600,14750,5590
2012-05-07,14650,14900,14650,14900,340
2012-05-08,14900,15100,14700,14750,830
2012-05-09,14750,14950,14750,14950,490
2012-05-10,14750,15100,14600,15100,1440
2012-05-11,14700,14850,14700,14700,710
2012-05-14,14700,15000,14600,14950,180
2012-05-15,14950,15050,14600,14950,660
2012-05-16,14950,15000,14800,15000,540
2012-05-17,15000,15000,14450,14900,310
2012-05-18,14900,14900,14400,14850,360
2012-05-21,15050,15050,14500,14800,490
2012-05-22,14500,15000,14500,14850,750
2012-05-23,14800,14850,14750,14800,120
2012-05-24,14950,15050,14800,15050,290
2012-05-25,14950,14950,14700,14700,600
2012-05-29,14700,14900,14600,14900,350
2012-05-30,14900,15000,14800,15000,890
2012-05-31,15000,15000,14850,15000,1030
2012-06-01,14900,15000,14900,15000,300
2012-06-04,14800,14950,14500,14950,200
2012-06-05,14550,15000,14400,14550,890
2012-06-07,14650,14850,14650,14650,210
2012-06-08,14650,14900,14350,14550,510
2012-06-11,14500,14700,14400,14700,400
2012-06-12,14650,14700,14350,14700,620
2012-06-13,14450,14600,14200,14600,1580
2012-06-14,14300,14550,14100,14550,2050
2012-06-15,14150,14450,14000,14000,1011
2012-06-18,14250,14250,13200,13700,3321
2012-06-19,13700,13700,13300,13500,2903
2012-06-20,13500,14000,13450,13750,3140
2012-06-21,13700,14100,13550,14000,1590
2012-06-22,14000,14050,13600,13950,740
2012-06-25,14200,14350,14050,14350,1570
2012-06-26,14350,14750,14200,14200,170
2012-06-27,13800,14200,13750,14050,130
2012-06-28,13900,14000,13750,13950,440
2012-06-29,13950,13950,13600,13650,481
2012-07-02,13650,13700,12850,13600,3576
2012-07-03,13600,13700,13250,13700,1501
2012-07-04,14000,14050,13700,13850,561
2012-07-05,13700,13850,13550,13800,442
2012-07-06,13850,13850,13550,13750,270
2012-07-09,13650,13950,13650,13900,32
2012-07-10,13900,13900,13700,13850,230
2012-07-11,13950,13950,13600,13750,401
2012-07-12,13750,13750,13700,13700,160
2012-07-13,13700,13750,13050,13550,510
2012-07-16,13550,13550,13200,13400,590
2012-07-17,13050,13400,13000,13300,921
2012-07-18,13150,13500,13100,13350,610
2012-07-19,13200,13650,13200,13400,4743
2012-07-20,13700,13700,13250,13400,2970
2012-07-23,13100,13400,13050,13250,3950
2012-07-24,13600,13750,13100,13150,580
2012-07-25,13150,13300,12800,13150,830
2012-07-26,12600,13400,12600,13150,280
2012-07-27,13150,13500,12850,13300,250
2012-07-30,13300,13500,13050,13300,430
2012-07-31,13150,13300,12900,12950,1090
2012-08-01,13200,13200,12750,12900,900
2012-08-02,12800,13200,12800,13200,410
2012-08-03,13150,13150,13000,13150,160
2012-08-06,13400,13400,13400,13400,10
2012-08-07,13450,13450,13450,13450,500
2012-08-08,13250,13450,13250,13450,4240
2012-08-09,13450,13450,13100,13400,711
2012-08-10,0,0,0,0,0
2012-08-13,13400,13500,13100,13450,910
2012-08-14,13500,13550,13500,13550,570
2012-08-16,13500,13750,13450,13700,440
2012-08-17,13750,13750,13350,13650,960
2012-08-20,13600,13600,13400,13400,2059
2012-08-21,13400,13750,13400,13400,2841
2012-08-22,14100,14100,13300,13350,3751
2012-08-23,13350,13400,13300,13350,2271
2012-08-24,13350,13400,13050,13400,1280
2012-08-27,13400,13550,13050,13400,760
2012-08-28,13500,13500,13150,13300,753
