Date,Open,High,Low,Close,Volume
2010-01-04,12.61,13.15,12.55,13.08,1743761
2010-01-05,13.07,13.46,13.07,13.36,1448067
2010-01-06,13.39,13.55,13.1,13.16,1429811
2010-01-07,13.2,13.46,13.01,13.29,959705
2010-01-08,13.24,13.45,13.05,13.41,1163411
2010-01-11,13.51,13.85,13.4,13.82,1404889
2010-01-12,13.76,13.84,13.43,13.6,1237236
2010-01-13,13.57,13.86,13.26,13.77,1194406
2010-01-14,13.72,13.85,13.65,13.78,755068
2010-01-15,13.76,13.87,13.5,13.59,1009027
2010-01-19,13.59,14.25,13.5,14.19,1575391
2010-01-20,14.04,14.32,13.81,14.18,3381787
2010-01-21,14.16,14.22,13.23,13.52,2096439
2010-01-22,13.51,13.57,12.71,12.77,2134018
2010-01-25,12.97,13.41,12.95,13.15,1141566
2010-01-26,12.55,13.19,12.55,12.9,4055829
2010-01-27,12.71,12.87,12.65,12.76,15169608
2010-01-28,12.74,12.77,12.58,12.59,3361336
2010-01-29,12.7,12.71,12.22,12.3,3136667
2010-02-01,12.38,12.64,12.23,12.42,1854100
2010-02-02,12.47,12.71,12.36,12.67,1803128
2010-02-03,12.56,12.75,12.41,12.56,1636251
2010-02-04,12.4,12.53,11.75,11.75,2666321
2010-02-05,11.66,12.03,11.11,12.02,4208726
2010-02-08,12.02,12.16,11.72,11.83,1394840
2010-02-09,11.84,12.03,11.67,11.76,2279081
2010-02-10,11.72,11.88,11.53,11.85,1577885
2010-02-11,11.84,12.09,11.76,12.05,1357495
2010-02-12,11.94,12.13,11.85,12.1,808929
2010-02-16,12.17,12.41,12.0,12.4,1265836
2010-02-17,12.43,12.52,12.26,12.52,1128573
2010-02-18,12.46,12.65,12.38,12.6,1339532
2010-02-19,12.5,12.72,12.43,12.69,1288762
2010-02-22,12.71,12.76,12.65,12.74,1349347
2010-02-23,12.63,12.74,12.44,12.62,1305205
2010-02-24,12.7,12.89,12.63,12.8,1853371
2010-02-25,12.74,13.02,12.51,12.94,2955201
2010-02-26,13.0,13.23,12.83,13.07,4812510
2010-03-01,13.24,13.48,13.1,13.44,2193433
2010-03-02,13.46,13.55,13.33,13.54,1926164
2010-03-03,13.59,13.74,13.5,13.6,2032827
2010-03-04,13.6,13.88,13.6,13.88,2094634
2010-03-05,13.9,14.19,13.89,14.03,2849864
2010-03-08,14.08,14.19,13.67,14.16,1753025
2010-03-09,14.12,14.2,14.0,14.08,1605338
2010-03-10,14.14,14.2,14.0,14.17,1961614
2010-03-11,13.88,13.9,13.6,13.83,1623795
2010-03-12,13.78,13.98,13.72,13.83,1213234
2010-03-15,13.76,13.95,13.5,13.62,1223467
2010-03-16,13.72,13.9,13.57,13.82,1130730
2010-03-17,13.92,14.0,13.85,13.92,875790
2010-03-18,13.92,14.0,13.87,13.87,989707
2010-03-19,13.84,13.95,13.46,13.51,1492660
2010-03-22,13.6,13.94,13.41,13.91,1090309
2010-03-23,13.89,14.43,13.74,14.42,2213299
2010-03-24,14.26,14.47,14.17,14.37,1268770
2010-03-25,14.46,14.53,14.15,14.15,1717408
2010-03-26,14.22,14.68,14.15,14.68,2548716
2010-03-29,14.75,15.03,14.72,14.79,1858073
2010-03-30,14.74,14.88,14.63,14.76,1520668
2010-03-31,14.7,15.04,14.63,14.82,2188964
2010-04-01,14.89,15.28,14.84,14.92,2504442
2010-04-05,15.0,15.27,14.95,15.2,1516502
2010-04-06,15.19,15.19,14.8,15.07,1836550
2010-04-07,14.99,15.05,14.81,14.99,1843183
2010-04-08,14.97,15.25,14.86,15.19,1585228
2010-04-09,15.12,15.23,15.0,15.1,1313365
2010-04-12,15.12,15.39,15.12,15.27,1623533
2010-04-13,15.27,15.75,15.19,15.68,1752336
2010-04-14,15.73,16.07,15.72,16.06,1696510
2010-04-15,16.0,16.19,15.97,16.03,1585307
2010-04-16,15.96,15.99,15.41,15.75,1916420
2010-04-19,15.81,16.45,15.54,15.79,1891655
2010-04-20,15.88,16.0,15.61,15.76,1178838
2010-04-21,15.76,15.79,15.37,15.62,1028650
2010-04-22,15.48,15.94,15.31,15.87,1438878
2010-04-23,15.92,16.31,15.83,16.27,1169654
2010-04-26,16.3,16.55,16.27,16.27,1339035
2010-04-27,16.18,16.48,15.63,15.66,1498400
2010-04-28,15.84,16.0,15.66,15.93,1336984
2010-04-29,16.05,16.45,16.0,16.4,1413506
2010-04-30,16.31,16.36,15.85,15.86,1172707
2010-05-03,16.07,16.34,15.93,16.23,1053905
2010-05-04,15.97,16.0,15.31,15.52,1627617
2010-05-05,15.12,15.25,13.75,15.01,2528069
2010-05-06,14.92,15.03,12.7,14.27,3551158
2010-05-07,14.28,14.53,13.75,13.87,2857343
2010-05-10,15.26,15.57,13.94,14.52,2772866
2010-05-11,14.5,14.55,13.96,14.28,1854706
2010-05-12,14.36,14.9,14.33,14.88,1550551
2010-05-13,14.86,14.98,14.57,14.63,1348176
2010-05-14,14.45,14.5,13.96,14.25,2004101
2010-05-17,14.2,14.48,13.6,14.12,2317768
2010-05-18,14.29,14.38,13.8,13.83,1609548
2010-05-19,13.72,14.09,13.33,13.62,1689004
2010-05-20,13.31,13.41,12.72,12.86,2364114
2010-05-21,12.7,13.59,12.45,13.31,2277835
2010-05-24,13.23,13.31,12.81,12.82,1839400
2010-05-25,12.41,12.91,12.02,12.88,1895100
2010-05-26,13.05,13.41,13.0,13.12,1843058
2010-05-27,13.53,13.84,13.34,13.84,1299007
2010-05-28,13.78,13.84,13.37,13.54,1394170
2010-06-01,13.38,13.57,13.13,13.14,1616259
2010-06-02,13.21,13.71,13.04,13.69,1244576
2010-06-03,13.67,13.92,13.61,13.64,2165022
2010-06-04,13.31,13.56,13.11,13.15,1892205
2010-06-07,13.25,13.41,12.89,12.9,1118464
2010-06-08,12.96,13.15,12.54,12.92,1467636
2010-06-09,13.01,13.28,12.88,13.06,1981516
2010-06-10,13.32,13.52,13.16,13.5,1520598
2010-06-11,12.95,13.46,12.83,13.46,1334553
2010-06-14,13.57,13.75,13.31,13.51,1736928
2010-06-15,13.56,13.98,13.52,13.89,1481666
2010-06-16,13.71,13.95,13.71,13.76,944333
2010-06-17,13.76,13.79,13.47,13.61,824043
2010-06-18,13.61,13.75,13.5,13.52,1226159
2010-06-21,13.75,13.83,13.5,13.58,986920
2010-06-22,13.67,13.8,13.36,13.36,1112030
2010-06-23,13.31,13.6,13.2,13.43,1727652
2010-06-24,13.3,13.43,13.02,13.17,2542148
2010-06-25,13.27,13.29,12.74,13.1,25017896
2010-06-28,13.1,13.33,13.0,13.03,2244925
2010-06-29,12.92,12.99,12.4,12.53,2163136
2010-06-30,12.62,12.85,12.48,12.53,1426826
2010-07-01,12.54,12.79,12.26,12.62,1552531
2010-07-02,12.72,12.74,12.45,12.53,771064
2010-07-06,12.68,12.78,12.3,12.44,1893262
2010-07-07,12.52,13.2,12.51,13.15,1971769
2010-07-08,13.22,13.67,13.22,13.61,1992504
2010-07-09,13.64,13.75,13.48,13.75,964304
2010-07-12,13.66,13.83,13.64,13.77,1088544
2010-07-13,13.89,14.13,13.81,14.06,1606902
2010-07-14,14.03,14.1,13.75,13.85,1229369
2010-07-15,13.8,13.96,13.69,13.91,1251041
2010-07-16,13.8,13.84,13.47,13.49,1257057
2010-07-19,13.54,13.77,13.41,13.65,659192
2010-07-20,13.48,13.86,13.41,13.84,792088
2010-07-21,13.85,13.98,13.58,13.58,1154089
2010-07-22,13.77,13.79,13.52,13.54,1612364
2010-07-23,13.57,13.75,13.45,13.7,1752421
2010-07-26,13.72,13.87,13.64,13.85,1478304
2010-07-27,13.97,13.97,13.74,13.85,1026094
2010-07-28,13.86,13.87,13.69,13.74,814932
2010-07-29,13.83,13.89,13.6,13.82,1091215
2010-07-30,13.67,14.04,13.62,14.01,1462379
2010-08-02,14.19,14.23,13.95,14.2,1593849
2010-08-03,14.08,14.38,14.01,14.21,948453
2010-08-04,14.33,14.48,14.23,14.45,962991
2010-08-05,14.5,14.79,14.43,14.54,1462223
2010-08-06,14.48,14.94,14.43,14.79,2111229
2010-08-09,14.91,14.92,14.38,14.62,1969855
2010-08-10,14.52,14.65,14.45,14.57,1186503
2010-08-11,14.36,14.39,14.17,14.3,1209621
2010-08-12,14.18,14.35,14.11,14.34,1356964
2010-08-13,14.36,14.43,14.23,14.26,901233
2010-08-16,14.24,14.69,14.23,14.48,1324192
2010-08-17,14.66,14.85,14.55,14.77,1079131
2010-08-18,14.75,14.8,14.61,14.67,805343
2010-08-19,14.62,14.74,14.42,14.44,1365302
2010-08-20,14.4,14.55,14.22,14.55,878809
