Date,Open,High,Low,Close,Volume
2010-01-04,19.66,19.88,19.52,19.63,95932
2010-01-05,19.51,19.67,19.13,19.61,172755
2010-01-06,19.63,20.33,19.63,20.25,296107
2010-01-07,20.27,20.81,20.08,20.59,271533
2010-01-08,20.51,20.64,20.32,20.45,128086
2010-01-11,20.48,20.65,20.27,20.44,89658
2010-01-12,20.27,20.56,20.09,20.39,65444
2010-01-13,20.51,20.65,20.31,20.59,135582
2010-01-14,20.48,20.74,20.47,20.64,100665
2010-01-15,20.7,21.56,20.62,21.48,310765
2010-01-19,21.48,21.61,21.07,21.36,184366
2010-01-20,20.94,21.19,20.83,20.92,262988
2010-01-21,20.92,21.0,20.56,20.62,148431
2010-01-22,20.54,20.8,20.3,20.44,176277
2010-01-25,20.53,20.53,20.14,20.16,79944
2010-01-26,20.17,20.47,20.04,20.2,72085
2010-01-27,20.23,21.23,20.23,20.94,295534
2010-01-28,21.04,21.04,20.2,20.24,374618
2010-01-29,19.91,21.28,19.82,20.69,677117
2010-02-01,20.87,22.14,20.7,21.86,492332
2010-02-02,21.94,22.08,21.7,21.81,215291
2010-02-03,21.81,22.0,21.64,21.97,167571
2010-02-04,21.9,22.05,21.4,21.43,179044
2010-02-05,21.51,21.75,21.16,21.49,159941
2010-02-08,21.38,21.74,21.38,21.43,99449
2010-02-09,21.71,21.76,21.47,21.63,128492
2010-02-10,21.5,21.72,21.22,21.56,86552
2010-02-11,21.5,22.0,21.44,21.98,110693
2010-02-12,21.87,22.1,21.67,22.09,126407
2010-02-16,22.13,22.18,21.89,22.13,88567
2010-02-17,22.18,22.49,21.8,22.36,109534
2010-02-18,22.41,22.62,22.32,22.6,95575
2010-02-19,22.62,22.84,22.48,22.77,100934
2010-02-22,22.78,23.1,22.65,22.97,115563
2010-02-23,22.89,22.94,22.67,22.73,89307
2010-02-24,22.68,22.98,22.68,22.79,76159
2010-02-25,22.53,23.0,22.31,23.0,85523
2010-02-26,23.0,23.06,22.79,22.92,91852
2010-03-01,22.96,23.24,22.9,23.15,67755
2010-03-02,23.11,23.29,22.27,23.23,88720
2010-03-03,23.26,23.26,22.96,23.08,73831
2010-03-04,23.08,23.12,22.9,23.12,48487
2010-03-05,23.15,23.5,22.97,23.49,69038
2010-03-08,23.5,23.57,23.28,23.56,79898
2010-03-09,23.55,24.0,23.51,23.77,62253
2010-03-10,23.71,23.95,23.71,23.95,65397
2010-03-11,23.9,24.34,23.69,24.31,95566
2010-03-12,24.46,24.46,23.98,24.34,297414
2010-03-15,24.23,25.14,24.12,25.1,193052
2010-03-16,25.19,26.0,25.04,25.92,338044
2010-03-17,25.98,26.29,25.86,26.17,183843
2010-03-18,26.11,26.34,26.06,26.12,170871
2010-03-19,26.25,26.32,25.88,26.05,169277
2010-03-22,25.82,26.57,25.75,26.47,111337
2010-03-23,26.41,26.71,26.3,26.67,92918
2010-03-24,26.59,26.75,26.31,26.39,81207
2010-03-25,26.45,26.73,26.36,26.38,97840
2010-03-26,26.38,26.85,26.38,26.71,82003
2010-03-29,26.66,26.89,26.5,26.84,74157
2010-03-30,26.96,26.97,26.37,26.52,92872
2010-03-31,26.52,26.73,26.27,26.27,66500
2010-04-01,26.44,26.86,26.27,26.86,67328
2010-04-05,26.85,27.19,26.76,27.19,91874
2010-04-06,27.15,27.5,27.14,27.38,94035
2010-04-07,27.37,27.6,27.25,27.37,121361
2010-04-08,27.09,27.14,26.6,26.86,109132
2010-04-09,26.88,28.52,26.87,28.29,333965
2010-04-12,28.74,29.0,28.11,28.24,379049
2010-04-13,28.31,28.48,28.01,28.2,131720
2010-04-14,28.2,28.41,28.08,28.29,175243
2010-04-15,28.12,28.5,28.04,28.32,163664
2010-04-16,28.35,28.9,28.01,28.77,428321
2010-04-19,28.58,29.15,28.25,28.91,169778
2010-04-20,28.91,29.06,28.62,28.95,109996
2010-04-21,28.94,29.07,28.7,28.97,131194
2010-04-22,28.71,29.72,28.47,29.6,469905
2010-04-23,29.76,30.05,29.24,30.05,618241
2010-04-26,29.99,29.99,29.63,29.84,158970
2010-04-27,29.51,29.57,28.65,28.69,183613
2010-04-28,28.74,29.18,28.48,28.57,122101
2010-04-29,28.86,29.33,28.41,28.7,204992
2010-04-30,28.48,28.9,27.72,27.78,169993
2010-05-03,27.73,28.48,27.73,28.21,105753
2010-05-04,28.03,28.11,27.43,28.02,190747
2010-05-05,27.78,28.11,27.16,27.21,148617
2010-05-06,27.07,27.41,25.0,26.54,165293
2010-05-07,26.51,26.9,25.54,25.88,231882
2010-05-10,26.25,27.25,26.25,26.94,177745
2010-05-11,26.68,27.89,26.59,27.43,179196
2010-05-12,27.44,27.58,27.11,27.32,243585
2010-05-13,27.18,27.34,26.78,26.94,117992
2010-05-14,26.66,26.66,25.7,26.1,156935
2010-05-17,26.09,26.61,25.55,26.1,174534
2010-05-18,26.42,26.61,25.22,25.46,190573
2010-05-19,25.44,25.45,24.89,24.99,176363
2010-05-20,24.48,24.87,24.07,24.52,189802
2010-05-21,24.2,25.37,24.08,25.03,182956
2010-05-24,24.89,25.37,24.81,25.0,127643
2010-05-25,24.4,24.89,23.78,24.69,292689
2010-05-26,24.79,25.42,24.65,24.97,252222
2010-05-27,25.49,26.07,25.27,25.94,151375
2010-05-28,25.78,25.99,25.5,25.59,129783
2010-06-01,25.33,25.72,24.83,25.18,161569
2010-06-02,25.39,25.69,25.03,25.67,199556
2010-06-03,25.55,26.15,25.55,26.06,102215
2010-06-04,25.51,25.81,24.71,24.86,137331
2010-06-07,24.97,25.16,24.23,24.27,121876
2010-06-08,24.33,24.48,23.8,24.25,192010
2010-06-09,24.46,25.18,24.3,24.47,136337
2010-06-10,24.91,25.4,24.91,25.39,65025
2010-06-11,25.12,25.67,25.12,25.63,56216
2010-06-14,25.91,26.16,25.74,25.79,74723
2010-06-15,26.05,26.52,25.82,26.46,59387
2010-06-16,26.24,26.44,25.98,26.12,102554
2010-06-17,26.23,26.23,25.74,26.02,52416
2010-06-18,25.98,26.29,25.74,25.98,192130
2010-06-21,26.39,26.46,25.39,25.57,101395
2010-06-22,25.6,26.12,24.73,24.73,121562
2010-06-23,24.72,25.13,24.36,25.07,216838
2010-06-24,24.92,25.01,24.25,24.31,67673
2010-06-25,24.46,24.75,24.34,24.43,127592
2010-06-28,24.36,24.9,24.24,24.42,70065
2010-06-29,23.98,24.22,23.37,23.46,185931
2010-06-30,23.54,24.04,23.29,23.34,183281
2010-07-01,23.32,23.37,22.61,23.04,226114
2010-07-02,23.17,23.46,22.89,22.96,79450
2010-07-06,23.24,23.67,22.0,22.22,193855
