Date,Open,High,Low,Close,Volume
2010-01-04,9.99,10.09,9.94,10.06,9475097
2010-01-05,10.03,10.06,9.89,9.95,11230229
2010-01-06,9.95,10.02,9.87,9.89,11105215
2010-01-07,9.85,9.89,9.75,9.78,10614436
2010-01-08,9.8,9.95,9.72,9.89,12830334
2010-01-11,9.92,10.0,9.79,9.87,7715138
2010-01-12,9.83,9.87,9.66,9.76,10762695
2010-01-13,9.82,9.95,9.73,9.93,10365844
2010-01-14,9.87,9.89,9.62,9.63,17902040
2010-01-15,9.68,9.71,9.31,9.46,27045392
2010-01-19,9.4,9.84,9.38,9.79,20981840
2010-01-20,9.72,9.76,9.34,9.36,38817508
2010-01-21,10.06,10.33,9.95,10.16,65488084
2010-01-22,10.09,10.18,9.77,9.92,24169694
2010-01-25,9.96,10.05,9.83,9.97,18369796
2010-01-26,9.89,10.25,9.88,10.13,22981130
2010-01-27,10.07,10.21,9.95,10.09,20810220
2010-01-28,10.1,10.13,9.71,9.82,20325328
2010-01-29,9.87,10.1,9.63,9.69,22583588
2010-02-01,9.7,9.84,9.64,9.75,11080575
2010-02-02,9.73,9.82,9.65,9.71,11883373
2010-02-03,9.65,9.81,9.63,9.78,14385794
2010-02-04,9.72,9.8,9.43,9.45,19624560
2010-02-05,9.49,9.59,9.36,9.56,15603784
2010-02-08,9.58,9.66,9.45,9.47,8465358
2010-02-09,9.58,9.64,9.36,9.42,12061197
2010-02-10,9.39,9.42,9.15,9.24,15619949
2010-02-11,9.18,9.34,9.07,9.31,12956944
2010-02-12,9.17,9.28,9.05,9.16,17892108
2010-02-16,9.26,9.48,9.26,9.48,14495914
2010-02-17,9.5,9.57,9.42,9.55,11785158
2010-02-18,9.62,9.63,9.48,9.61,8989488
2010-02-19,9.63,9.89,9.45,9.86,19766144
2010-02-22,9.88,9.89,9.71,9.8,14411757
2010-02-23,9.76,9.76,9.55,9.63,10378696
2010-02-24,9.72,9.84,9.64,9.79,10133322
2010-02-25,9.69,9.69,9.5,9.68,16079026
2010-02-26,9.65,9.7,9.52,9.69,15802717
2010-03-01,9.74,10.07,9.66,10.05,18793516
2010-03-02,10.05,10.15,10.02,10.1,15204359
2010-03-03,9.9,10.08,9.83,9.89,14812330
2010-03-04,9.66,10.02,9.66,10.01,11818601
2010-03-05,10.02,10.5,10.02,10.37,23270016
2010-03-08,10.28,10.5,10.27,10.45,11270231
2010-03-09,10.38,10.83,10.37,10.74,21614644
2010-03-10,10.72,10.86,10.66,10.76,13680267
2010-03-11,10.68,10.93,10.59,10.71,22611528
2010-03-12,10.76,10.94,10.73,10.93,15193313
2010-03-15,10.94,11.21,10.85,11.06,19135996
2010-03-16,11.2,11.3,11.04,11.28,18358560
2010-03-17,11.33,11.51,11.26,11.36,15371688
