Date,Open,High,Low,Close,Volume
2010-01-04,35.0,35.1,34.79,34.87,4367528
2010-01-05,34.91,34.91,34.02,34.3,5223702
2010-01-06,34.29,34.51,33.91,34.5,4088916
2010-01-07,34.33,34.68,34.33,34.62,5126957
2010-01-08,34.45,34.59,34.39,34.45,5090225
2010-01-11,34.59,35.01,34.51,34.85,5094514
2010-01-12,34.81,35.23,34.61,35.0,4616824
2010-01-13,35.05,35.58,35.02,35.43,3616713
2010-01-14,35.41,35.42,34.95,35.01,5611710
2010-01-15,34.87,34.96,34.45,34.67,6349769
2010-01-19,34.58,35.15,34.53,35.15,4730698
2010-01-20,34.97,35.0,34.27,34.56,9356876
2010-01-21,34.65,34.93,34.0,34.28,7262861
2010-01-22,34.19,34.26,33.23,33.25,7045826
2010-01-25,33.61,33.66,32.86,32.88,5537606
2010-01-26,32.94,33.38,32.53,33.24,7818106
2010-01-27,33.24,33.24,32.64,33.01,6103628
2010-01-28,33.53,33.53,32.61,32.79,3971688
2010-01-29,33.53,33.67,32.53,32.54,5777238
2010-02-01,32.7,33.14,32.44,32.71,4308278
2010-02-02,32.73,33.06,32.46,32.91,3749843
2010-02-03,32.84,32.84,32.5,32.61,7963693
2010-02-04,32.59,32.59,31.9,31.92,9047987
2010-02-05,31.78,31.85,31.0,31.56,10804098
2010-02-08,31.88,31.92,31.22,31.22,3055053
2010-02-09,31.46,31.81,31.31,31.54,4478256
2010-02-10,31.48,31.68,31.18,31.6,4411094
2010-02-11,31.23,31.27,30.77,31.19,6387260
2010-02-12,31.08,31.1,30.65,30.89,5288402
2010-02-16,31.1,31.58,31.04,31.53,4077248
2010-02-17,31.77,31.77,31.31,31.38,2853003
2010-02-18,31.28,31.79,31.22,31.72,4149106
2010-02-19,31.62,32.17,31.62,32.02,3849079
2010-02-22,32.23,32.23,31.82,31.88,3226439
2010-02-23,31.77,31.88,31.46,31.49,3797281
2010-02-24,31.53,31.66,31.1,31.39,5129624
2010-02-25,31.09,31.29,30.69,31.25,4257000
2010-02-26,31.25,31.36,30.85,30.89,4821567
2010-03-01,31.15,31.89,31.04,31.72,5827450
2010-03-02,31.78,31.95,31.52,31.63,5345715
2010-03-03,31.74,31.99,31.62,31.72,3945213
2010-03-04,31.84,31.95,31.61,31.9,4064202
2010-03-05,32.06,32.51,32.04,32.46,4107257
2010-03-08,32.53,32.64,32.22,32.34,2736049
2010-03-09,32.44,32.44,31.95,32.08,3876161
2010-03-10,32.17,32.31,32.04,32.18,4188351
2010-03-11,32.29,32.39,31.92,32.05,3448739
2010-03-12,32.07,32.1,31.42,31.5,4897163
2010-03-15,31.56,31.69,31.4,31.67,3190012
2010-03-16,31.69,32.4,31.69,32.34,4960058
2010-03-17,32.49,32.5,32.2,32.35,3612804
2010-03-18,32.16,32.27,31.72,31.87,4298889
2010-03-19,32.02,32.03,31.57,31.83,5504435
2010-03-22,31.78,32.08,31.55,31.62,4036078
2010-03-23,31.57,31.75,31.41,31.61,5690930
2010-03-24,31.7,31.7,31.03,31.07,5892970
2010-03-25,31.11,31.27,30.71,30.88,6220792
2010-03-26,30.86,30.95,30.65,30.81,3129106
2010-03-29,31.03,31.34,30.9,31.33,3087090
2010-03-30,31.36,31.52,31.25,31.36,2793884
2010-03-31,31.24,31.39,31.07,31.25,2714436
2010-04-01,31.38,31.94,31.28,31.59,3301706
2010-04-05,31.7,31.83,31.46,31.67,2630769
2010-04-06,31.54,32.17,31.47,32.16,3636498
2010-04-07,32.1,32.13,31.78,31.91,3253547
2010-04-08,31.99,31.99,31.59,31.69,2671526
2010-04-09,31.68,31.68,31.35,31.57,3092290
2010-04-12,31.67,32.1,31.67,31.8,3092424
2010-04-13,31.84,31.85,31.35,31.79,3818367
2010-04-14,31.74,31.77,31.55,31.77,3267234
2010-04-15,31.59,31.76,31.28,31.68,4154137
2010-04-16,31.38,31.38,30.9,31.12,7194575
2010-04-19,31.11,31.25,30.92,31.09,3897979
2010-04-20,31.37,31.49,31.18,31.47,3478780
2010-04-21,31.33,31.49,31.05,31.1,5988435
2010-04-22,31.13,31.28,30.8,31.14,5433322
2010-04-23,30.96,31.38,30.52,31.35,7397817
2010-04-26,31.39,31.72,31.07,31.12,6001258
2010-04-27,31.06,31.15,30.56,30.57,5365696
2010-04-28,30.77,31.07,30.53,30.95,8886864
2010-04-29,31.03,31.21,30.77,30.86,4000877
2010-04-30,30.95,31.31,30.9,31.1,5342452
2010-05-03,31.3,31.54,31.14,31.48,2551101
2010-05-04,31.32,31.39,30.65,30.8,4723692
2010-05-05,30.67,31.23,30.63,31.17,6826695
2010-05-06,30.92,30.92,29.86,29.86,12426996
2010-05-07,29.68,30.01,29.2,29.63,11766673
2010-05-10,30.52,30.67,29.95,30.39,5955447
2010-05-11,30.25,30.81,30.15,30.45,3668053
2010-05-12,30.29,30.36,29.98,30.08,7451684
2010-05-13,30.07,30.46,30.0,30.01,6209762
2010-05-14,29.96,30.27,29.51,29.73,6299407
2010-05-17,29.8,29.9,29.19,29.5,5093329
2010-05-18,29.59,29.63,29.07,29.1,4232753
2010-05-19,28.99,29.1,28.71,28.96,4875782
2010-05-20,28.61,28.62,28.04,28.04,5470145
2010-05-21,27.3,28.23,27.3,28.13,5392282
2010-05-24,28.05,28.3,27.74,27.78,3255546
2010-05-25,27.28,27.39,26.73,27.38,7053772
2010-05-26,28.21,28.21,27.11,27.15,5545943
2010-05-27,27.57,27.76,27.4,27.76,5236595
2010-05-28,27.76,27.86,27.47,27.54,4082102
2010-06-01,27.43,27.49,26.84,26.86,4432908
2010-06-02,26.68,27.06,26.57,27.05,6349670
2010-06-03,27.14,27.47,26.97,27.4,5964859
2010-06-04,27.14,27.33,26.75,26.84,6958818
2010-06-07,26.94,27.4,26.85,26.91,5024863
2010-06-08,27.09,27.53,26.86,27.46,7872838
2010-06-09,27.64,27.8,27.29,27.53,6607718
2010-06-10,28.06,28.57,27.96,28.56,6668221
2010-06-11,28.41,28.8,28.14,28.46,4635481
2010-06-14,28.66,28.84,28.51,28.71,4425852
2010-06-15,28.73,29.2,28.73,29.19,4162490
2010-06-16,29.08,29.45,28.87,29.39,4560430
2010-06-17,29.29,29.29,28.63,29.18,5592234
2010-06-18,29.2,29.48,29.09,29.42,4694745
2010-06-21,29.68,29.69,28.92,29.07,3996662
2010-06-22,29.07,29.23,28.26,28.36,5401439
2010-06-23,28.29,28.36,27.76,27.84,5638054
2010-06-24,27.87,28.14,27.54,27.57,5142735
2010-06-25,27.73,27.73,27.19,27.37,6267321
2010-06-28,27.52,27.81,27.2,27.66,3297105
2010-06-29,27.49,27.49,27.01,27.16,4849197
2010-06-30,27.09,27.39,26.99,27.09,5438855
2010-07-01,27.17,27.24,26.84,27.14,5851401
2010-07-02,27.26,27.26,26.86,27.02,3431270
2010-07-06,27.12,27.64,27.08,27.34,5840072
2010-07-07,27.35,28.41,27.26,28.28,7164573
2010-07-08,28.61,28.89,28.48,28.88,5957342
2010-07-09,28.78,29.0,28.43,28.98,3307538
2010-07-12,28.99,29.18,28.79,29.15,3987998
2010-07-13,29.22,29.53,29.05,29.23,3608224
2010-07-14,29.28,29.55,29.08,29.55,4769298
2010-07-15,29.54,29.88,29.31,29.79,4564440
2010-07-16,29.65,29.95,29.56,29.59,6789402
2010-07-19,29.73,29.9,29.45,29.83,3021213
2010-07-20,29.46,30.38,29.46,30.38,5114367
2010-07-21,30.47,30.47,29.64,29.93,4537831
