Date,Open,High,Low,Close,Volume
2010-01-04,10.54,10.59,10.42,10.51,1715948
2010-01-05,10.52,10.74,10.44,10.73,1449354
2010-01-06,11.02,11.62,11.0,11.43,5164691
2010-01-07,11.33,11.72,11.17,11.63,3122537
2010-01-08,11.69,11.79,11.51,11.75,1658060
2010-01-11,11.74,11.75,11.44,11.52,1992414
2010-01-12,11.45,11.57,11.39,11.51,1263664
2010-01-13,11.56,11.73,11.47,11.67,1330472
2010-01-14,11.71,11.82,11.51,11.58,1334753
2010-01-15,11.47,11.7,11.36,11.47,1649196
2010-01-19,10.84,11.62,10.84,11.21,4692185
2010-01-20,11.08,11.16,10.78,11.07,1955650
2010-01-21,11.03,11.17,10.87,10.88,1576960
2010-01-22,10.92,10.99,10.59,10.64,1193121
2010-01-25,10.71,10.71,10.51,10.66,1058682
2010-01-26,10.53,10.66,10.52,10.54,1140746
2010-01-27,10.44,10.59,10.44,10.56,1089337
2010-01-28,10.56,10.61,10.25,10.37,1491634
2010-01-29,10.4,10.63,10.36,10.37,1430710
2010-02-01,10.41,10.51,10.35,10.38,1422060
2010-02-02,10.46,10.76,10.41,10.74,1987494
2010-02-03,10.68,10.8,10.67,10.76,1193251
2010-02-04,10.67,10.72,10.51,10.54,1559185
2010-02-05,10.6,10.67,10.34,10.5,1934610
2010-02-08,10.49,10.5,10.28,10.3,1573981
2010-02-09,10.48,10.65,10.39,10.59,1363205
2010-02-10,10.64,10.65,10.34,10.38,1125662
2010-02-11,10.38,10.54,10.24,10.54,881403
2010-02-12,10.42,10.52,10.36,10.46,1065586
2010-02-16,10.53,10.75,10.5,10.75,1079753
2010-02-17,10.78,10.84,10.65,10.78,808218
2010-02-18,10.81,10.92,10.79,10.91,784812
2010-02-19,10.89,11.02,10.84,10.97,859223
2010-02-22,11.07,11.07,10.94,11.02,842723
2010-02-23,11.05,11.09,10.95,10.98,1139540
2010-02-24,11.05,11.11,10.97,11.05,668228
2010-02-25,10.85,11.11,10.83,11.09,1090306
2010-02-26,11.12,11.16,11.0,11.09,1315368
2010-03-01,11.1,11.25,11.05,11.23,1629350
2010-03-02,11.27,11.31,11.16,11.21,1164268
2010-03-03,11.25,11.38,11.24,11.26,1160236
2010-03-04,11.23,11.36,11.22,11.27,1138563
2010-03-05,11.34,11.45,11.28,11.43,1401286
2010-03-08,11.33,11.45,11.3,11.36,895555
2010-03-09,11.34,11.41,11.27,11.32,1094689
2010-03-10,11.37,11.4,11.28,11.32,912062
2010-03-11,11.3,11.31,11.18,11.31,964003
2010-03-12,11.34,11.34,11.22,11.32,751347
2010-03-15,11.38,11.48,11.29,11.47,979165
2010-03-16,11.46,11.6,11.4,11.59,1092184
2010-03-17,11.61,11.87,11.56,11.86,1191539
2010-03-18,11.86,11.91,11.73,11.84,857112
2010-03-19,11.88,11.95,11.64,11.75,2337764
2010-03-22,11.8,12.22,11.74,12.1,1854040
2010-03-23,12.22,12.26,12.03,12.25,1102104
2010-03-24,12.2,12.25,12.08,12.09,1185286
2010-03-25,12.2,12.23,11.99,12.01,1209300
2010-03-26,12.1,12.18,12.01,12.07,750702
2010-03-29,12.11,12.2,12.08,12.11,984499
2010-03-30,12.15,12.29,12.08,12.13,761006
2010-03-31,12.05,12.14,11.98,12.0,913413
2010-04-01,12.09,12.2,12.02,12.15,777369
2010-04-05,12.23,12.44,12.18,12.43,851277
2010-04-06,12.4,12.53,12.4,12.52,1199085
2010-04-07,12.5,13.16,12.48,12.93,3420090
2010-04-08,12.83,12.94,11.63,12.7,1904067
2010-04-09,12.79,12.79,12.68,12.79,959068
2010-04-12,12.85,13.01,12.75,12.98,1923731
2010-04-13,13.55,13.74,13.16,13.25,3256873
2010-04-14,13.23,13.36,13.12,13.36,1480135
2010-04-15,13.33,13.79,13.28,13.75,2887926
2010-04-16,13.71,13.81,13.5,13.58,1753397
2010-04-19,13.6,13.73,13.41,13.72,1339139
2010-04-20,13.73,13.75,13.46,13.57,2123390
2010-04-21,13.57,13.63,13.35,13.6,1530102
2010-04-22,13.51,13.97,13.49,13.93,1779385
2010-04-23,13.86,14.12,13.8,14.05,1007705
2010-04-26,14.0,14.16,13.97,14.03,989329
2010-04-27,14.02,14.05,13.53,13.57,1475483
