Date,Open,High,Low,Close,Volume
2010-01-04,37.71,38.44,37.58,38.41,7389171
2010-01-05,38.23,38.52,38.16,38.49,6479178
2010-01-06,38.5,38.59,38.3,38.49,5919795
2010-01-07,38.5,39.37,38.15,39.23,9787770
2010-01-08,38.95,40.17,38.83,40.1,6824821
2010-01-11,40.28,41.06,40.27,40.6,5116501
2010-01-12,40.35,40.47,39.85,40.14,4509737
2010-01-13,40.14,40.46,39.83,40.29,4097839
2010-01-14,40.21,40.68,40.1,40.53,3430560
2010-01-15,40.5,40.75,40.18,40.58,5729232
2010-01-19,40.67,41.13,40.44,40.79,5220311
2010-01-20,40.53,40.62,39.89,40.33,4616815
2010-01-21,40.33,40.47,38.73,38.77,7419720
2010-01-22,38.62,39.11,37.94,37.96,6924024
2010-01-25,38.35,38.72,38.15,38.29,3079339
2010-01-26,38.13,38.52,37.8,38.05,2775685
2010-01-27,38.22,38.44,37.55,38.33,5901069
2010-01-28,38.58,38.64,37.37,37.91,5906297
2010-01-29,36.65,37.29,35.78,36.78,15229002
2010-02-01,37.05,37.53,36.99,37.48,5141531
2010-02-02,37.54,37.7,37.18,37.62,7046554
2010-02-03,37.47,37.64,37.06,37.33,4363001
2010-02-04,37.28,37.28,35.87,35.92,9669119
2010-02-05,35.92,36.09,34.92,35.67,8519627
2010-02-08,35.74,35.74,35.03,35.1,6238088
2010-02-09,35.58,36.4,35.46,36.0,6870842
2010-02-10,35.91,36.17,35.58,35.91,3997936
2010-02-11,35.8,36.51,35.5,36.39,4424336
2010-02-12,35.98,36.17,35.54,36.04,5702427
2010-02-16,36.3,37.1,36.25,37.05,5972020
2010-02-17,37.04,37.34,36.88,37.21,4718039
2010-02-18,37.19,38.03,37.11,37.94,5311456
2010-02-19,37.87,38.53,37.64,38.29,5813006
2010-02-22,38.48,38.55,38.08,38.22,4068738
2010-02-23,38.22,38.53,37.88,38.01,5202113
2010-02-24,38.18,38.89,38.13,38.63,4823075
2010-02-25,38.08,38.3,37.59,38.26,5644328
2010-02-26,38.25,38.49,37.99,38.23,4462201
2010-03-01,38.32,38.88,38.32,38.62,4546365
2010-03-02,38.75,39.02,38.58,38.73,4049337
2010-03-03,38.75,39.2,38.75,38.95,5546002
2010-03-04,39.0,39.24,38.79,39.2,3699264
2010-03-05,39.35,39.91,39.25,39.9,5500800
2010-03-08,39.89,39.97,39.46,39.5,3514768
2010-03-09,39.49,40.46,39.42,40.24,5541148
2010-03-10,40.14,40.46,40.08,40.31,4797255
2010-03-11,40.2,40.57,39.94,40.57,3529689
2010-03-12,40.74,41.06,40.42,40.87,5554502
2010-03-15,40.85,40.96,40.55,40.91,4904480
2010-03-16,41.07,41.11,40.6,40.96,6399689
2010-03-17,41.14,41.29,40.59,40.85,5122412
2010-03-18,40.86,41.44,40.73,41.34,4962313
2010-03-19,41.88,42.16,41.51,41.72,9693010
2010-03-22,41.45,41.88,41.32,41.47,4772469
2010-03-23,41.57,42.2,41.5,42.07,5539048
2010-03-24,42.11,42.89,41.93,42.34,7845785
2010-03-25,42.6,43.11,42.17,42.21,6026145
2010-03-26,42.3,42.83,42.22,42.46,4455506
2010-03-29,42.75,42.96,42.6,42.71,4319722
2010-03-30,42.85,43.11,42.41,42.79,4885198
2010-03-31,43.44,43.58,42.93,43.1,8920352
2010-04-01,43.32,43.65,42.57,42.87,6706338
2010-04-05,43.11,43.45,42.91,43.27,4204319
2010-04-06,43.27,43.55,43.17,43.28,3965727
2010-04-07,43.31,43.56,42.91,43.08,4993609
2010-04-08,43.04,43.42,42.85,43.31,4207568
2010-04-09,43.48,43.77,43.19,43.57,3769323
2010-04-12,43.66,43.95,43.59,43.78,3235701
2010-04-13,43.76,43.86,43.33,43.47,3729205
2010-04-14,43.6,44.14,43.57,44.1,4576648
2010-04-15,44.08,44.3,43.89,44.24,3341699
2010-04-16,44.21,44.28,43.14,43.62,7864555
2010-04-19,43.27,43.66,43.01,43.55,4869931
2010-04-20,43.85,44.2,43.52,44.15,4647213
2010-04-21,44.26,44.49,43.92,44.45,4515459
2010-04-22,44.1,45.18,43.67,45.16,7163502
