Date,Open,High,Low,Close,Volume
2010-01-04,20.76,21.17,20.74,20.94,794759
2010-01-05,20.96,21.06,20.86,20.88,509437
2010-01-06,20.91,21.09,20.82,20.95,660884
2010-01-07,21.0,21.14,20.85,21.02,427122
2010-01-08,21.02,21.29,20.96,21.15,722153
2010-01-11,21.09,21.89,21.08,21.85,1016246
2010-01-12,21.84,21.88,21.46,21.54,745838
2010-01-13,21.67,22.16,21.57,22.11,856576
2010-01-14,21.85,22.04,21.56,22.0,392716
2010-01-15,22.09,22.21,21.6,21.79,575234
2010-01-19,21.74,22.21,21.74,22.0,566472
2010-01-20,21.79,22.04,21.59,21.84,585758
2010-01-21,21.88,22.01,21.51,21.79,1207699
2010-01-22,21.69,21.93,21.38,21.39,735790
2010-01-25,21.42,21.62,21.24,21.52,467343
2010-01-26,21.44,21.56,21.31,21.37,419847
2010-01-27,21.28,21.33,21.02,21.13,1024990
2010-01-28,21.11,21.26,20.77,20.9,819897
2010-01-29,21.08,21.39,21.07,21.19,950230
2010-02-01,21.13,21.51,21.01,21.5,930207
2010-02-02,21.48,21.94,21.4,21.89,839990
2010-02-03,21.77,21.95,21.59,21.65,547182
2010-02-04,21.52,21.6,21.08,21.08,611361
2010-02-05,21.11,21.29,20.89,21.19,686415
2010-02-08,21.21,21.33,21.05,21.11,658552
2010-02-09,21.26,21.64,21.04,21.52,1029320
2010-02-10,21.49,21.59,21.17,21.56,622929
2010-02-11,21.49,21.92,21.42,21.9,790931
2010-02-12,21.72,22.02,21.61,22.02,809580
2010-02-16,22.06,22.24,21.94,22.24,403141
2010-02-17,22.24,22.36,22.17,22.36,478892
2010-02-18,22.37,22.44,22.23,22.38,998555
2010-02-19,22.4,22.46,22.29,22.43,1122165
2010-02-22,22.49,22.52,22.32,22.41,1519594
2010-02-23,22.53,22.67,22.37,22.38,1380163
2010-02-24,22.51,22.53,22.28,22.38,628696
2010-02-25,22.24,22.34,22.02,22.29,612761
2010-02-26,22.23,22.4,22.17,22.27,599644
2010-03-01,22.31,22.38,22.03,22.3,1683330
2010-03-02,22.12,22.44,22.12,22.33,1791009
2010-03-03,22.32,22.33,22.15,22.17,855789
2010-03-04,22.17,22.17,22.02,22.09,779961
2010-03-05,22.1,22.31,22.09,22.29,856172
2010-03-08,22.27,22.27,22.11,22.19,663641
2010-03-09,22.01,22.08,21.91,21.95,905313
2010-03-10,21.88,22.05,21.83,21.96,772339
2010-03-11,21.84,22.1,21.82,22.1,710597
2010-03-12,22.09,22.2,21.99,22.2,448765
2010-03-15,22.15,22.3,22.1,22.29,476148
2010-03-16,22.26,22.41,22.24,22.39,376198
2010-03-17,22.29,22.53,22.26,22.48,345721
2010-03-18,22.53,22.6,22.49,22.57,434920
2010-03-19,22.59,22.76,22.44,22.59,821069
2010-03-22,22.5,22.83,22.26,22.82,480995
2010-03-23,22.73,22.9,22.61,22.87,596719
2010-03-24,22.88,22.91,22.78,22.87,460233
2010-03-25,22.91,22.93,22.64,22.66,668155
2010-03-26,22.7,22.87,22.56,22.66,637024
2010-03-29,22.88,22.89,22.74,22.81,517087
2010-03-30,22.79,23.23,22.67,23.21,639962
2010-03-31,23.11,23.23,23.07,23.09,440690
2010-04-01,23.26,23.27,22.92,23.07,350406
2010-04-05,23.09,23.38,22.99,23.35,801472
