Date,Open,High,Low,Close,Volume
2010-01-04,17.85,17.92,17.7,17.75,400578
2010-01-05,17.62,17.72,17.33,17.35,449540
2010-01-06,17.35,17.51,17.25,17.41,318444
2010-01-07,17.33,17.59,17.28,17.52,268061
2010-01-08,17.53,17.53,17.13,17.26,334196
2010-01-11,17.23,17.39,16.97,17.05,730970
2010-01-12,16.96,17.11,16.89,16.9,456223
2010-01-13,16.95,16.97,16.65,16.88,1123250
2010-01-14,16.92,16.92,16.76,16.78,503145
2010-01-15,16.79,16.8,16.38,16.39,643530
2010-01-19,16.37,16.58,16.35,16.49,553828
2010-01-20,16.35,16.47,16.24,16.3,733371
2010-01-21,16.38,16.69,16.21,16.5,1014996
2010-01-22,15.32,16.12,15.32,15.96,1835618
2010-01-25,16.16,16.16,15.92,15.96,634252
2010-01-26,15.96,16.02,15.67,15.8,496990
2010-01-27,15.75,16.18,15.71,16.14,361084
2010-01-28,16.14,16.16,15.85,16.09,338810
2010-01-29,16.08,16.25,15.86,15.9,334011
2010-02-01,16.02,16.17,15.96,16.13,348090
2010-02-02,16.16,16.47,16.09,16.38,624684
2010-02-03,16.22,16.35,16.18,16.25,565775
2010-02-04,16.21,16.29,15.96,15.96,440554
2010-02-05,15.96,16.53,15.81,16.5,780494
2010-02-08,16.5,16.66,16.23,16.24,454579
2010-02-09,16.3,16.41,16.13,16.26,422517
2010-02-10,16.19,16.42,16.0,16.4,272101
2010-02-11,16.36,16.53,16.24,16.5,487103
2010-02-12,16.29,17.03,16.29,16.93,583512
2010-02-16,16.93,17.01,16.68,16.84,267705
2010-02-17,16.9,17.09,16.68,16.79,456376
2010-02-18,16.7,17.15,16.7,17.14,342070
2010-02-19,17.15,17.41,16.87,17.31,398134
2010-02-22,17.34,17.4,17.01,17.05,210333
2010-02-23,17.0,17.05,16.64,16.65,478407
2010-02-24,16.71,16.83,16.62,16.77,155235
2010-02-25,16.61,17.0,16.61,16.97,175395
2010-02-26,17.03,17.27,16.93,17.23,222693
2010-03-01,17.23,17.5,17.18,17.23,265021
2010-03-02,17.25,17.3,17.1,17.21,358557
2010-03-03,17.16,17.29,16.89,16.95,345105
2010-03-04,16.91,17.15,16.91,17.08,139630
2010-03-05,17.14,17.26,17.0,17.13,166477
2010-03-08,17.18,17.21,16.99,17.08,197542
2010-03-09,17.01,17.14,16.71,16.75,314240
2010-03-10,16.73,16.85,16.5,16.55,545362
2010-03-11,16.51,16.71,16.48,16.69,300864
2010-03-12,16.7,16.77,16.58,16.65,247415
2010-03-15,16.28,16.35,15.87,16.32,624587
2010-03-16,16.3,16.43,16.23,16.42,149717
2010-03-17,16.4,16.68,16.39,16.46,200129
2010-03-18,16.47,16.68,16.47,16.49,161283
2010-03-19,16.53,16.75,16.35,16.69,392015
2010-03-22,16.16,16.59,16.16,16.47,502374
2010-03-23,16.41,16.41,16.04,16.26,334562
2010-03-24,16.15,16.34,16.14,16.22,157540
2010-03-25,16.27,16.35,16.1,16.11,182965
2010-03-26,16.19,16.25,16.06,16.12,149581
2010-03-29,16.2,16.3,16.1,16.13,81672
2010-03-30,16.09,16.31,16.09,16.16,121000
2010-03-31,16.14,16.23,16.13,16.15,130662
2010-04-01,16.23,16.44,16.19,16.42,232141
2010-04-05,16.47,16.47,16.19,16.26,247978
2010-04-06,16.2,16.31,16.2,16.26,209163
2010-04-07,16.25,16.4,16.25,16.35,266275
2010-04-08,16.23,16.39,16.23,16.37,181264
2010-04-09,16.37,16.62,16.37,16.59,614112
2010-04-12,16.58,16.85,16.5,16.6,329607
2010-04-13,16.54,16.63,16.35,16.48,222685
2010-04-14,16.49,16.75,16.46,16.51,329109
2010-04-15,16.48,16.7,16.42,16.54,251302
2010-04-16,16.47,16.66,16.15,16.29,237656
2010-04-19,16.28,16.5,16.12,16.48,269884
2010-04-20,16.54,16.54,16.21,16.3,272295
2010-04-21,16.37,16.37,16.13,16.17,464820
2010-04-22,16.15,16.21,16.02,16.15,475662
2010-04-23,15.83,17.22,15.75,17.01,1148850
2010-04-26,17.0,17.22,16.75,16.88,429416
2010-04-27,16.87,16.89,16.51,16.51,457131
2010-04-28,16.56,16.66,16.42,16.5,320158
2010-04-29,16.5,17.09,16.41,17.02,388300
2010-04-30,17.02,17.28,16.87,17.15,357616
2010-05-03,17.27,17.27,17.03,17.25,297844
2010-05-04,17.14,17.15,16.86,16.89,278378
2010-05-05,16.84,17.06,16.71,16.74,257728
2010-05-06,16.75,17.36,16.51,17.15,941935
2010-05-07,17.15,17.23,16.7,16.74,992520
2010-05-10,17.1,17.18,16.64,16.96,509583
2010-05-11,16.84,17.06,16.83,16.91,253209
