Date,Open,High,Low,Close,Volume
2010-01-04,9.84,10.12,9.76,9.85,828082
2010-01-05,9.82,9.91,9.74,9.91,354567
2010-01-06,9.73,9.91,9.68,9.9,484160
2010-01-07,9.96,9.98,9.85,9.92,515577
2010-01-08,9.92,10.07,9.9,10.07,374166
2010-01-11,10.14,10.28,10.09,10.27,514340
2010-01-12,10.25,10.29,10.07,10.19,379237
2010-01-13,10.18,10.19,10.01,10.14,620776
2010-01-14,10.14,10.19,9.99,10.01,526456
2010-01-15,10.04,10.07,9.96,9.99,601118
2010-01-19,10.29,10.29,9.89,10.0,586122
2010-01-20,10.05,10.29,9.93,9.99,1303360
2010-01-21,10.06,10.18,9.85,9.93,785047
2010-01-22,9.95,9.95,9.7,9.81,607628
2010-01-25,9.88,9.93,9.74,9.86,516124
2010-01-26,9.85,9.86,9.69,9.71,507476
2010-01-27,9.65,9.7,9.57,9.64,529327
2010-01-28,9.62,9.62,9.44,9.48,303893
2010-01-29,9.5,9.56,9.32,9.38,548174
2010-02-01,9.38,9.4,9.25,9.32,660710
2010-02-02,9.3,9.58,9.22,9.45,778100
2010-02-03,9.44,9.48,9.24,9.3,747971
2010-02-04,9.25,9.32,9.01,9.16,705820
2010-02-05,9.12,9.19,9.02,9.19,437018
2010-02-08,9.15,9.28,9.07,9.07,318937
2010-02-09,9.18,9.3,9.08,9.22,229923
2010-02-10,9.18,9.27,9.07,9.25,430078
2010-02-11,9.22,9.3,9.15,9.29,318798
2010-02-12,9.2,9.41,9.11,9.41,617535
2010-02-16,9.44,9.51,9.38,9.41,390193
2010-02-17,9.4,9.51,9.4,9.42,417438
2010-02-18,9.45,9.49,9.41,9.44,406666
2010-02-19,9.46,9.48,9.37,9.41,350108
2010-02-22,9.46,9.57,9.36,9.38,288437
2010-02-23,9.34,9.46,9.26,9.28,351680
2010-02-24,9.31,9.49,9.24,9.47,421713
2010-02-25,9.4,9.49,9.28,9.47,665398
2010-02-26,9.53,9.65,9.43,9.57,1096853
2010-03-01,9.59,9.75,9.55,9.69,954445
2010-03-02,9.66,9.9,9.61,9.88,562912
2010-03-03,9.91,10.04,9.77,9.95,526734
2010-03-04,9.95,10.1,9.92,9.95,692687
2010-03-05,10.02,10.1,9.98,10.08,656863
2010-03-08,10.04,10.19,10.0,10.11,555193
2010-03-09,10.11,10.38,10.06,10.29,696379
2010-03-10,10.25,10.28,10.12,10.28,1265955
2010-03-11,10.22,10.38,10.19,10.38,688845
2010-03-12,10.38,10.42,10.24,10.36,634008
2010-03-15,10.36,10.45,10.22,10.3,469038
2010-03-16,10.29,10.4,10.22,10.33,565470
2010-03-17,10.38,10.4,10.19,10.2,692984
2010-03-18,10.19,10.25,10.13,10.18,566976
2010-03-19,10.22,10.22,9.93,10.05,1398549
2010-03-22,10.0,10.23,9.96,10.18,748763
2010-03-23,10.22,10.31,10.05,10.24,925278
2010-03-24,10.19,10.23,10.04,10.1,436509
2010-03-25,10.18,10.22,9.9,9.93,744624
2010-03-26,9.93,9.98,9.77,9.81,825616
2010-03-29,9.83,10.02,9.77,10.02,562477
2010-03-30,9.99,10.15,9.98,10.1,555915
2010-03-31,10.09,10.25,10.06,10.15,634460
2010-04-01,10.21,10.33,10.09,10.17,811590
2010-04-05,10.18,10.18,10.01,10.11,480721
2010-04-06,10.04,10.14,10.01,10.07,640166
2010-04-07,10.11,10.18,10.02,10.08,656105
2010-04-08,10.07,10.11,9.92,10.06,563372
2010-04-09,10.03,10.1,9.94,10.1,548326
2010-04-12,10.15,10.25,10.05,10.21,548592
2010-04-13,10.2,10.23,9.96,10.16,518223
2010-04-14,10.17,10.26,10.09,10.26,366888
2010-04-15,10.22,10.41,10.19,10.35,458018
2010-04-16,10.31,10.39,10.15,10.22,262967
2010-04-19,10.22,10.33,10.13,10.29,319839
2010-04-20,10.34,10.44,10.26,10.41,400270
2010-04-21,10.42,10.48,10.24,10.38,684020
2010-04-22,10.29,10.51,10.21,10.51,631426
2010-04-23,10.5,10.71,10.43,10.71,431720
2010-04-26,10.67,10.87,10.59,10.79,735048
2010-04-27,10.69,10.85,10.53,10.57,597388
2010-04-28,10.61,10.7,10.47,10.6,406049
2010-04-29,10.96,11.0,10.47,10.59,1014480
2010-04-30,10.64,10.75,10.5,10.54,828645
2010-05-03,10.6,10.69,10.45,10.62,900501
2010-05-04,10.5,10.52,10.11,10.21,696579
2010-05-05,10.19,10.34,10.02,10.06,634306
2010-05-06,10.04,10.21,9.25,9.71,824043
2010-05-07,9.67,9.67,9.27,9.32,791497
2010-05-10,9.68,10.34,9.68,9.87,570308
2010-05-11,9.77,10.02,9.6,9.86,427881
2010-05-12,9.9,10.14,9.73,10.12,549848
2010-05-13,10.07,10.18,9.9,9.95,361231
2010-05-14,9.88,9.91,9.5,9.56,598441
2010-05-17,9.57,9.65,9.26,9.48,602510
2010-05-18,9.55,9.65,9.15,9.21,760426
2010-05-19,9.16,9.26,8.99,9.13,896813
2010-05-20,8.96,9.0,8.73,8.75,1184845
2010-05-21,8.68,9.1,8.68,9.01,1348167
2010-05-24,9.01,9.22,8.9,8.98,807230
2010-05-25,8.72,9.13,8.65,9.1,1302433
2010-05-26,9.16,9.27,8.88,9.05,1039841
2010-05-27,9.24,9.47,9.2,9.31,718694
2010-05-28,9.29,9.61,9.15,9.21,785626
2010-06-01,9.18,9.49,8.94,8.96,1082068
2010-06-02,8.98,9.15,8.91,9.14,1054128
2010-06-03,9.2,9.43,9.13,9.32,608044
2010-06-04,9.19,9.29,9.02,9.05,748357
2010-06-07,9.06,9.12,8.82,8.82,588412
2010-06-08,8.87,8.95,8.74,8.86,642421
2010-06-09,8.97,9.14,8.85,8.94,614988
2010-06-10,9.05,9.33,8.99,9.33,670136
2010-06-11,9.23,9.46,9.09,9.44,602086
2010-06-14,9.54,9.67,9.43,9.46,422243
2010-06-15,9.49,9.73,9.49,9.68,328971
2010-06-16,9.65,9.8,9.62,9.7,356116
2010-06-17,9.74,9.87,9.61,9.85,726899
2010-06-18,9.87,9.9,9.73,9.88,880107
2010-06-21,9.99,10.07,9.84,9.89,663363
2010-06-22,9.93,10.0,9.71,9.74,695509
2010-06-23,9.77,9.97,9.7,9.85,762022
2010-06-24,9.85,10.02,9.7,9.82,1056964
2010-06-25,9.82,9.87,9.62,9.8,1038969
2010-06-28,9.85,9.99,9.78,9.86,427329
2010-06-29,9.72,9.8,9.51,9.57,806887
2010-06-30,9.59,9.82,9.54,9.64,784502
2010-07-01,9.62,9.72,9.47,9.6,909526
2010-07-02,9.63,9.68,9.46,9.47,853251
2010-07-06,9.61,9.73,9.37,9.51,1051574
2010-07-07,9.56,9.88,9.56,9.88,776243
2010-07-08,9.98,10.05,9.84,9.99,554205
2010-07-09,10.0,10.12,9.92,10.09,599318
2010-07-12,10.03,10.13,9.93,10.09,425274
2010-07-13,10.16,10.28,10.09,10.23,410966
2010-07-14,10.23,10.37,10.14,10.36,578299
2010-07-15,10.35,10.36,10.19,10.32,304927
2010-07-16,10.25,10.27,9.96,9.97,348164
2010-07-19,10.02,10.11,9.94,10.07,422053
2010-07-20,9.94,10.23,9.9,10.22,408667
2010-07-21,10.26,10.31,10.07,10.12,453614
2010-07-22,10.18,10.44,10.09,10.41,373673
2010-07-23,10.35,10.5,10.28,10.49,533517
2010-07-26,10.49,10.51,10.4,10.49,490144
2010-07-27,10.49,10.51,10.31,10.51,513381
2010-07-28,10.44,10.55,10.36,10.5,911517
2010-07-29,10.52,10.52,9.68,9.87,2827052
2010-07-30,9.77,9.98,9.64,9.89,965926
2010-08-02,10.01,10.23,9.91,10.21,540286
2010-08-03,10.19,10.24,9.91,10.09,581540
2010-08-04,10.13,10.24,10.12,10.21,669154
2010-08-05,10.13,10.21,10.08,10.14,426741
2010-08-06,10.01,10.15,9.94,10.11,442409
2010-08-09,10.19,10.26,10.09,10.26,450554
2010-08-10,10.13,10.18,10.02,10.07,418066
2010-08-11,9.94,9.94,9.74,9.79,477686
2010-08-12,9.62,9.79,9.5,9.74,277671
2010-08-13,9.73,9.93,9.64,9.69,430482
2010-08-16,9.61,9.76,9.58,9.76,381268
2010-08-17,9.82,9.91,9.78,9.83,483622
2010-08-18,9.84,9.87,9.71,9.79,528520
2010-08-19,9.71,9.77,9.52,9.59,525929
2010-08-20,9.52,9.65,9.44,9.54,411292
2010-08-23,9.57,9.61,9.38,9.4,337835
2010-08-24,9.31,9.31,9.11,9.11,507850
2010-08-25,9.02,9.05,8.91,8.99,733789
2010-08-26,9.01,9.1,8.99,9.06,804810
2010-08-27,9.15,9.32,8.99,9.29,722777
2010-08-30,9.19,9.34,9.16,9.22,1183020
2010-08-31,9.24,9.34,9.14,9.3,1067978
2010-09-01,9.49,9.78,9.43,9.66,693080
2010-09-02,9.65,9.82,9.62,9.75,479255
2010-09-03,9.89,10.07,9.85,10.03,508122
2010-09-07,10.33,10.34,9.78,9.78,369004
2010-09-08,9.78,9.91,9.66,9.86,384541
2010-09-09,9.97,9.99,9.85,9.91,320410
2010-09-10,9.91,9.91,9.74,9.78,327289
2010-09-13,9.85,10.02,9.79,9.97,407978
2010-09-14,9.97,10.02,9.94,9.94,579176
2010-09-15,9.9,10.07,9.88,9.99,537057
2010-09-16,9.99,10.03,9.84,9.99,241362
2010-09-17,9.98,10.01,9.88,9.91,603070
2010-09-20,9.97,10.3,9.97,10.28,523277
2010-09-21,10.23,10.38,10.2,10.32,386515
2010-09-22,10.32,10.46,10.22,10.4,427203
2010-09-23,10.25,10.35,10.1,10.13,267662
2010-09-24,10.3,10.45,10.3,10.4,306067
2010-09-27,10.45,10.49,10.32,10.37,374327
2010-09-28,10.37,10.45,10.01,10.09,1027179
2010-09-29,10.1,10.28,10.07,10.28,595801
2010-09-30,10.37,10.55,10.27,10.4,878101
2010-10-01,10.52,10.52,10.15,10.39,497799
2010-10-04,10.38,10.43,10.15,10.21,220959
2010-10-05,10.33,10.53,10.3,10.48,336956
2010-10-06,10.5,10.54,10.34,10.43,174903
2010-10-07,10.49,10.49,10.37,10.44,186427
2010-10-08,10.47,10.55,10.37,10.51,417090
2010-10-11,10.47,10.65,10.42,10.59,224029
2010-10-12,10.58,10.7,10.47,10.65,251223
2010-10-13,10.73,10.86,10.69,10.8,945282
2010-10-14,10.8,10.9,10.68,10.77,368149
2010-10-15,10.89,10.96,10.77,10.94,490612
2010-10-18,10.97,10.98,10.88,10.94,363363
2010-10-19,10.76,10.95,10.68,10.77,346971
2010-10-20,10.84,11.04,10.76,10.95,549256
