Date,Open,High,Low,Close,Volume
2010-01-04,55.55,55.9,55.08,55.16,465803
2010-01-05,55.05,55.05,54.2,54.67,647514
2010-01-06,54.6,54.92,54.38,54.63,649555
2010-01-07,54.44,54.75,54.3,54.72,357048
2010-01-08,54.76,55.5,54.3,55.34,542439
2010-01-11,55.31,55.59,54.7,55.35,445561
2010-01-12,55.06,55.26,54.73,54.87,370447
2010-01-13,54.84,55.83,54.55,55.78,361463
2010-01-14,55.58,55.87,55.41,55.52,243690
2010-01-15,55.89,55.89,54.59,54.81,652076
2010-01-19,55.05,56.19,54.88,56.12,565264
2010-01-20,55.71,55.85,54.65,55.19,407889
2010-01-21,55.06,56.03,54.75,55.01,612659
2010-01-22,54.72,55.4,54.7,54.8,608394
2010-01-25,54.82,54.93,54.13,54.27,537680
2010-01-26,54.18,54.65,53.69,53.81,352937
2010-01-27,54.05,54.14,53.13,53.77,484364
2010-01-28,53.77,54.06,52.97,53.42,543451
2010-01-29,53.79,54.03,52.9,52.91,691530
2010-02-01,53.26,53.58,52.7,53.48,451573
2010-02-02,53.46,53.66,53.0,53.59,486360
2010-02-03,53.29,54.65,53.0,54.48,861461
2010-02-04,54.25,54.93,52.82,52.99,1325673
2010-02-05,53.82,53.82,51.5,52.0,1974736
2010-02-08,52.01,52.39,50.97,51.16,929611
2010-02-09,51.52,52.02,51.22,51.55,652500
2010-02-10,51.75,51.75,50.88,51.2,370550
2010-02-11,51.08,51.88,50.62,51.65,603524
2010-02-12,51.13,51.54,50.91,51.36,545304
2010-02-16,51.86,52.45,51.61,52.45,627672
2010-02-17,52.51,53.2,52.08,53.02,620053
2010-02-18,53.3,53.6,53.03,53.5,557800
2010-02-19,53.44,54.55,53.29,54.3,806033
2010-02-22,54.49,54.64,53.99,54.6,932053
2010-02-23,54.46,54.68,53.96,53.98,866040
2010-02-24,54.51,54.93,53.96,54.83,845399
2010-02-25,54.26,56.0,54.13,55.93,973721
2010-02-26,56.0,56.09,54.96,55.18,773970
2010-03-01,55.2,55.57,55.2,55.57,414723
