Date,Open,High,Low,Close,Volume
2010-01-04,11.22,11.39,11.22,11.3,1313731
2010-01-05,11.33,11.93,11.11,11.54,1347082
2010-01-06,11.53,11.58,11.1,11.15,1148147
2010-01-07,11.15,11.2,10.96,11.05,829625
2010-01-08,10.98,11.02,10.83,10.98,1015358
2010-01-11,11.0,11.06,10.56,10.67,1326585
2010-01-12,10.77,10.81,10.58,10.64,1940065
2010-01-13,10.66,10.88,10.59,10.84,518724
2010-01-14,10.89,11.53,10.77,11.33,1981692
2010-01-15,11.3,11.39,11.18,11.27,590516
2010-01-19,11.28,11.44,11.25,11.43,597609
2010-01-20,11.37,11.62,11.3,11.6,1128297
2010-01-21,11.64,11.86,11.63,11.81,1405949
2010-01-22,11.73,11.95,11.67,11.81,1340086
2010-01-25,11.78,11.88,11.71,11.75,1290623
2010-01-26,11.71,11.84,11.67,11.75,778443
2010-01-27,11.72,11.89,11.67,11.88,731775
2010-01-28,11.56,11.8,11.48,11.61,1426055
2010-01-29,11.69,11.75,11.57,11.63,939445
2010-02-01,11.65,12.03,11.52,12.01,1334409
2010-02-02,11.98,12.21,11.86,12.14,1166546
2010-02-03,12.07,12.14,11.82,11.85,722540
2010-02-04,11.8,11.86,11.63,11.7,721899
2010-02-05,11.8,12.25,11.8,12.18,1963562
2010-02-08,12.24,12.4,12.08,12.11,657777
2010-02-09,12.28,12.4,12.03,12.36,1348979
2010-02-10,12.29,12.43,12.21,12.36,633117
2010-02-11,12.26,12.41,12.18,12.39,810415
2010-02-12,12.29,12.59,12.12,12.58,714938
2010-02-16,12.61,13.2,12.57,13.15,1267482
2010-02-17,13.24,13.29,12.96,13.03,948140
2010-02-18,13.05,13.09,12.91,12.93,458813
2010-02-19,12.89,13.09,12.85,13.06,1000213
2010-02-22,13.2,13.25,12.96,13.0,1312223
2010-02-23,13.49,14.24,13.16,13.86,3938211
2010-02-24,13.94,14.1,13.67,13.93,1599275
2010-02-25,13.76,13.83,13.62,13.64,828349
2010-02-26,13.63,13.68,13.34,13.43,1113074
2010-03-01,13.45,13.6,13.34,13.55,1339007
2010-03-02,13.56,13.84,13.55,13.63,1111944
2010-03-03,13.63,13.91,13.55,13.75,1613970
2010-03-04,13.92,13.95,13.65,13.83,756892
2010-03-05,13.78,14.13,13.7,14.13,1461824
2010-03-08,14.06,14.21,13.95,14.18,1765574
2010-03-09,14.13,14.35,13.98,14.04,1734520
2010-03-10,14.01,14.14,13.87,14.01,1502836
2010-03-11,13.97,14.21,13.86,14.16,1068089
2010-03-12,14.14,14.23,14.03,14.15,763318
2010-03-15,14.14,14.16,13.73,13.92,1030877
2010-03-16,13.99,14.0,13.57,13.64,1162735
2010-03-17,13.66,13.89,13.53,13.84,570462
2010-03-18,13.99,14.14,13.81,14.04,564086
2010-03-19,14.18,14.2,13.91,14.05,1350472
2010-03-22,14.04,14.25,13.96,14.16,734342
2010-03-23,14.14,14.25,14.01,14.24,658367
2010-03-24,14.14,14.26,14.12,14.24,837054
2010-03-25,14.14,14.46,14.14,14.18,839768
2010-03-26,14.27,14.39,13.93,14.06,489955
2010-03-29,14.11,14.13,13.87,13.99,335352
2010-03-30,14.11,14.16,13.93,14.06,327175
2010-03-31,14.05,14.19,13.89,13.89,635641
2010-04-01,13.98,14.05,13.76,13.92,405443
2010-04-05,14.07,14.19,13.94,14.19,742822
2010-04-06,14.06,14.2,14.02,14.14,346764
2010-04-07,14.1,14.51,14.02,14.51,1140961
2010-04-08,14.45,15.12,14.39,15.09,1546853
2010-04-09,15.1,15.15,14.88,15.02,936633
2010-04-12,15.11,15.27,14.97,15.01,782586
2010-04-13,15.1,15.18,14.81,15.17,590778
2010-04-14,15.23,15.3,14.97,15.08,574707
2010-04-15,15.04,15.56,15.03,15.53,1019796
2010-04-16,15.56,15.56,15.16,15.42,744765
2010-04-19,15.44,15.56,15.01,15.23,732326
2010-04-20,15.3,15.65,15.24,15.63,720367
2010-04-21,15.72,15.78,15.42,15.77,942796
2010-04-22,15.61,16.2,15.44,16.13,1116230
2010-04-23,16.02,16.09,15.77,15.96,467911
2010-04-26,15.9,16.14,15.74,15.74,680472
2010-04-27,15.8,16.02,15.42,15.53,833261
2010-04-28,15.35,15.36,14.02,14.57,2682628
2010-04-29,14.63,15.28,14.62,15.28,1427249
2010-04-30,15.45,15.66,14.76,14.78,949308
2010-05-03,14.87,15.42,14.8,15.39,1524894
2010-05-04,14.56,14.78,14.12,14.71,1572744
2010-05-05,14.61,15.18,14.48,14.58,902603
2010-05-06,14.53,14.81,13.53,14.02,1073796
2010-05-07,13.75,14.11,13.47,13.66,764256
2010-05-10,14.16,14.72,14.07,14.45,853533
2010-05-11,14.37,14.9,14.27,14.7,826653
2010-05-12,14.68,15.08,14.68,15.01,703948
2010-05-13,14.92,15.29,14.77,15.12,931318
