Date,Open,High,Low,Close,Volume
2010-01-04,28.03,28.27,27.69,27.76,1299231
2010-01-05,27.77,27.84,27.41,27.65,1422187
2010-01-06,27.61,27.89,27.35,27.46,1880294
2010-01-07,27.47,27.47,27.05,27.2,936828
2010-01-08,27.22,27.22,26.83,27.01,954053
2010-01-11,27.05,27.28,27.05,27.23,997885
2010-01-12,27.15,27.46,27.09,27.2,1021842
2010-01-13,27.2,27.49,27.14,27.38,1240875
2010-01-14,27.26,27.5,27.25,27.48,763066
2010-01-15,27.41,27.48,26.92,27.34,1776008
2010-01-19,27.37,27.74,27.27,27.69,1272943
2010-01-20,27.5,27.54,27.03,27.17,1638553
2010-01-21,27.21,27.4,26.22,26.52,4065144
2010-01-22,26.58,26.58,25.75,25.78,2569929
2010-01-25,26.01,26.07,25.76,25.91,1581981
2010-01-26,25.86,26.08,25.73,25.98,1525041
2010-01-27,25.95,26.05,25.6,25.99,1943658
2010-01-28,25.88,26.03,25.5,25.73,1887959
2010-01-29,25.86,25.93,25.51,25.55,1582931
2010-02-01,25.59,25.75,25.32,25.49,1715145
2010-02-02,25.48,25.78,25.25,25.77,1981195
2010-02-03,25.31,25.65,25.29,25.61,2162407
2010-02-04,25.45,25.46,24.98,24.98,1652813
2010-02-05,25.0,25.03,24.45,24.86,2836371
2010-02-08,24.99,24.99,24.42,24.42,1857749
2010-02-09,24.62,24.99,24.51,24.63,1916127
2010-02-10,24.66,24.66,24.29,24.41,2090421
2010-02-11,24.41,24.71,24.14,24.63,2604828
2010-02-12,24.46,24.63,24.25,24.56,1986795
2010-02-16,24.76,25.15,24.71,25.09,1454742
2010-02-17,25.22,25.4,25.06,25.4,1957455
2010-02-18,25.47,26.25,25.47,25.64,3138424
2010-02-19,25.62,26.06,25.35,25.65,2065978
2010-02-22,25.8,25.82,25.36,25.41,1396834
2010-02-23,25.42,25.47,25.17,25.29,1402826
2010-02-24,25.34,25.45,24.89,25.14,1640157
2010-02-25,24.91,25.07,24.66,25.07,1876070
2010-02-26,25.12,25.12,24.65,24.71,2139090
2010-03-01,24.82,25.14,24.82,25.04,1375514
2010-03-02,25.17,25.36,25.13,25.33,1253018
2010-03-03,25.34,25.53,25.28,25.43,1580708
2010-03-04,25.42,25.6,25.3,25.59,1603903
2010-03-05,25.74,25.94,25.6,25.94,2016753
2010-03-08,25.44,25.53,25.31,25.5,1957225
2010-03-09,25.44,25.61,25.37,25.57,1365512
2010-03-10,25.58,25.78,25.45,25.57,1601226
2010-03-11,25.56,25.76,25.36,25.76,1269077
2010-03-12,25.82,25.89,25.5,25.51,1175185
2010-03-15,25.52,25.6,25.35,25.49,1699568
2010-03-16,25.45,25.58,25.4,25.5,1448395
2010-03-17,25.5,25.7,25.43,25.67,1014632
2010-03-18,25.69,26.0,25.67,26.0,1627394
2010-03-19,26.03,26.2,25.83,26.04,2912157
2010-03-22,25.95,25.97,25.65,25.82,1865858
2010-03-23,25.79,25.9,25.73,25.88,936872
2010-03-24,25.76,25.89,25.49,25.5,1336686
2010-03-25,25.57,25.68,25.28,25.29,1730628
2010-03-26,25.45,25.74,25.32,25.63,2368565
2010-03-29,25.74,25.99,25.61,25.93,1529357
2010-03-30,25.99,26.18,25.88,26.09,1218898
2010-03-31,26.11,26.14,25.86,26.08,1887205
2010-04-01,26.2,26.45,26.19,26.45,1258546
2010-04-05,26.55,26.55,26.35,26.48,1780858
2010-04-06,26.39,26.65,26.32,26.65,1051777
2010-04-07,26.64,26.72,26.4,26.46,1399551
2010-04-08,26.42,26.43,26.19,26.27,1206646
2010-04-09,26.26,26.51,26.18,26.51,959083
2010-04-12,26.51,26.78,26.51,26.73,950114
2010-04-13,26.71,26.74,26.47,26.59,1104091
2010-04-14,26.56,26.66,26.41,26.65,1239412
2010-04-15,26.55,26.65,26.28,26.65,1390337
2010-04-16,26.61,26.75,26.31,26.35,1734091
2010-04-19,26.27,26.4,26.15,26.3,1375331
2010-04-20,26.45,26.7,26.37,26.7,1297017
2010-04-21,26.75,26.92,26.66,26.91,1418067
2010-04-22,26.9,26.9,26.45,26.64,1930546
