Date,Open,High,Low,Close,Volume
2010-01-04,13.0,13.49,12.9,13.45,3863521
2010-01-05,13.49,13.61,13.36,13.53,4073711
2010-01-06,13.52,13.82,13.49,13.77,4109525
2010-01-07,13.77,13.93,13.65,13.82,4015381
2010-01-08,13.8,13.83,13.61,13.78,2831541
2010-01-11,14.01,14.01,13.54,13.78,2465886
2010-01-12,13.62,13.71,13.35,13.43,2925473
2010-01-13,13.41,13.56,13.11,13.4,2335755
2010-01-14,13.39,13.52,13.15,13.49,3018800
2010-01-15,13.51,13.57,13.35,13.53,2734599
2010-01-19,13.51,13.56,13.19,13.3,3893813
2010-01-20,13.23,13.44,13.16,13.43,1731039
2010-01-21,13.39,13.58,13.08,13.17,4096229
2010-01-22,13.06,13.17,12.35,12.5,5379968
2010-01-25,12.65,12.75,12.2,12.4,3601758
2010-01-26,12.36,12.58,12.21,12.21,1862776
2010-01-27,12.25,12.53,12.02,12.49,1736207
2010-01-28,12.6,12.64,12.13,12.38,1937064
2010-01-29,12.42,12.64,11.83,11.9,2698374
2010-02-01,12.18,12.67,12.17,12.66,2781525
2010-02-02,12.8,13.19,12.77,13.08,3110667
2010-02-03,13.02,13.16,12.81,12.96,2225099
2010-02-04,12.85,12.85,12.37,12.48,3508329
2010-02-05,12.5,12.54,11.8,12.47,3160731
2010-02-08,12.58,12.58,12.13,12.24,1636150
2010-02-09,12.37,12.51,12.21,12.46,2111052
2010-02-10,12.51,12.58,12.17,12.2,2411410
2010-02-11,12.26,12.43,12.17,12.27,1554667
2010-02-12,12.21,12.64,12.04,12.58,1812043
2010-02-16,12.78,13.17,12.69,13.09,2334376
2010-02-17,13.17,13.24,13.02,13.11,1479221
2010-02-18,13.08,13.31,12.96,13.23,1783336
2010-02-19,13.1,13.49,13.09,13.47,1701671
2010-02-22,13.54,13.72,13.2,13.58,2834443
2010-02-23,13.59,13.91,13.52,13.57,4706384
2010-02-24,13.68,13.92,13.63,13.73,4084125
2010-02-25,13.79,14.0,13.39,13.66,5282197
2010-02-26,13.66,13.97,13.59,13.72,2752484
2010-03-01,13.83,13.93,13.73,13.84,2295143
2010-03-02,13.88,14.0,13.76,13.84,2531008
2010-03-03,14.21,14.23,13.93,13.96,6140376
2010-03-04,14.02,14.09,13.8,14.05,3453780
2010-03-05,14.19,14.76,14.19,14.62,7888014
2010-03-08,14.76,14.76,14.36,14.37,4014222
2010-03-09,14.34,14.62,14.21,14.57,2881931
2010-03-10,14.63,14.69,14.47,14.56,2945380
2010-03-11,14.31,14.62,14.11,14.62,4700203
2010-03-12,14.63,14.66,14.27,14.37,3554138
2010-03-15,14.34,14.41,13.8,14.16,3238883
2010-03-16,14.13,14.23,13.98,14.16,2247385
2010-03-17,14.23,14.58,14.13,14.37,3027308
2010-03-18,14.34,14.43,14.13,14.23,2517024
2010-03-19,14.26,14.27,13.69,13.7,4105628
2010-03-22,13.64,13.9,13.63,13.85,2920452
2010-03-23,13.8,14.12,13.72,14.12,3080462
2010-03-24,13.98,14.28,13.8,14.24,3765276
2010-03-25,14.33,14.81,14.24,14.41,5695232
2010-03-26,14.51,14.53,14.15,14.25,4165028
2010-03-29,14.27,14.34,13.94,14.0,3339560
2010-03-30,14.05,14.09,13.86,14.02,3117937
2010-03-31,14.04,14.12,13.73,13.73,4522558
2010-04-01,13.84,14.04,13.84,14.03,3863228
2010-04-05,14.06,14.26,13.96,14.21,3856220
2010-04-06,14.19,14.47,14.19,14.36,3352172
2010-04-07,14.42,14.52,14.27,14.4,3425852
2010-04-08,14.39,14.42,14.09,14.34,3118786
2010-04-09,14.41,14.47,14.29,14.45,2572960
2010-04-12,14.58,14.9,14.52,14.75,5101928
2010-04-13,14.81,15.16,14.77,14.96,7088755
2010-04-14,15.15,15.2,14.75,14.97,4828035
2010-04-15,14.97,15.08,14.77,14.9,3222065
2010-04-16,14.82,14.84,13.98,14.46,7478378
2010-04-19,14.22,14.5,14.05,14.4,4730798
2010-04-20,14.49,14.63,14.35,14.49,3179389
2010-04-21,14.6,14.78,14.48,14.67,4308414
2010-04-22,14.83,14.86,14.18,14.56,7629903
2010-04-23,14.64,14.77,14.5,14.62,5048012
2010-04-26,14.67,14.83,14.51,14.71,5330486
2010-04-27,14.68,14.71,14.23,14.24,4632421
2010-04-28,14.32,14.37,13.77,13.94,4485408
2010-04-29,14.12,14.34,13.91,14.27,3996019
2010-04-30,14.2,14.2,13.72,13.72,4493683
2010-05-03,13.74,14.25,13.69,14.16,5836918
2010-05-04,13.92,13.92,13.2,13.62,6133846
2010-05-05,13.34,13.51,12.88,13.05,5106526
2010-05-06,12.91,13.09,11.65,12.37,10732947
2010-05-07,12.41,12.43,11.66,11.94,8399329
2010-05-10,12.7,13.09,12.48,12.93,7546855
2010-05-11,12.67,13.05,12.55,12.77,4681967
2010-05-12,12.84,12.84,12.56,12.74,3056014
2010-05-13,12.79,12.92,12.47,12.75,3385121
2010-05-14,12.5,12.53,11.77,12.02,6894137
2010-05-17,12.12,12.15,11.6,11.85,4723099
2010-05-18,12.06,12.06,11.4,11.41,4240745
2010-05-19,11.35,11.41,10.85,11.33,5761222
2010-05-20,11.02,11.15,10.33,10.79,9448983
2010-05-21,10.46,11.04,10.36,10.86,4571812
2010-05-24,10.42,10.77,10.27,10.3,4918641
2010-05-25,9.86,10.49,9.69,10.43,5471913
2010-05-26,10.6,11.02,10.52,10.6,4008405
2010-05-27,10.9,10.97,10.55,10.81,3067000
2010-05-28,10.9,10.9,10.3,10.45,3845632
2010-06-01,10.27,10.37,9.97,10.04,4385085
2010-06-02,10.18,10.38,9.99,10.33,2993379
2010-06-03,10.3,10.47,10.16,10.29,2321967
2010-06-04,10.02,10.2,9.81,9.93,3845348
2010-06-07,9.99,10.0,9.63,9.67,3447761
2010-06-08,9.74,9.86,9.49,9.77,2911740
2010-06-09,9.92,10.13,9.66,9.76,2947949
2010-06-10,9.9,10.2,9.85,10.2,2423560
2010-06-11,10.13,10.4,10.1,10.36,2085608
2010-06-14,10.42,10.46,10.1,10.19,2827036
2010-06-15,10.23,10.47,10.1,10.44,2251292
2010-06-16,10.35,10.6,10.24,10.4,2968036
2010-06-17,10.42,10.5,10.18,10.28,1919785
2010-06-18,10.23,10.34,10.2,10.23,1215510
2010-06-21,10.45,10.59,10.14,10.17,2104179
2010-06-22,10.12,10.22,9.86,9.9,1711185
2010-06-23,9.9,10.08,9.76,9.98,2325910
2010-06-24,9.92,9.92,9.66,9.7,2501633
2010-06-25,9.96,10.15,9.86,10.06,2644524
2010-06-28,10.02,10.09,9.86,9.86,1487419
2010-06-29,9.71,9.71,9.16,9.34,4118752
2010-06-30,9.39,9.59,9.34,9.38,2914689
2010-07-01,9.28,9.41,9.08,9.29,3623078
2010-07-02,9.33,9.37,8.96,9.16,2239654
2010-07-06,9.35,9.4,8.9,9.03,2540593
2010-07-07,9.01,9.38,8.76,9.38,3317952
2010-07-08,9.59,10.0,9.55,9.98,4044616
2010-07-09,9.91,10.35,9.83,10.3,2741141
2010-07-12,10.24,10.32,9.98,10.11,2336694
2010-07-13,10.35,10.39,10.13,10.34,2209793
2010-07-14,10.39,10.39,10.07,10.09,2155359
2010-07-15,10.24,10.37,9.89,10.36,2547267
2010-07-16,10.34,10.34,9.87,10.0,2011721
2010-07-19,9.98,10.07,9.8,9.91,1788294
2010-07-20,9.71,10.13,9.57,10.11,1978758
2010-07-21,10.16,10.32,9.98,10.11,2942442
2010-07-22,10.36,10.62,10.24,10.54,3765677
2010-07-23,10.67,11.09,10.62,11.04,3019421
2010-07-26,11.34,11.67,11.15,11.48,3570772
2010-07-27,11.63,11.69,11.2,11.22,2837986
2010-07-28,11.13,11.26,10.83,11.02,3352187
2010-07-29,11.18,11.35,10.98,11.09,1852902
2010-07-30,10.89,11.1,10.89,10.94,4377921
2010-08-02,11.28,11.6,11.09,11.48,3414339
2010-08-03,11.48,11.48,11.22,11.28,1305489
2010-08-04,11.32,11.34,11.17,11.34,1142706
2010-08-05,11.25,11.37,11.23,11.29,1193413
2010-08-06,11.18,11.31,10.97,11.12,1422601
2010-08-09,11.13,11.15,10.97,11.14,1438776
2010-08-10,11.05,11.07,10.55,10.78,2682170
2010-08-11,10.42,10.53,10.22,10.37,2770463
2010-08-12,10.45,10.85,10.15,10.8,4321691
2010-08-13,10.87,10.91,10.39,10.43,3372185
2010-08-16,10.32,10.47,10.12,10.18,2357781
2010-08-17,10.4,10.53,10.25,10.43,2119994
2010-08-18,10.43,10.44,10.15,10.36,1633105
2010-08-19,10.27,10.38,10.07,10.07,2279779
2010-08-20,9.99,10.09,9.86,9.99,1452332
2010-08-23,10.01,10.7,9.98,10.37,3685501
2010-08-24,10.19,10.34,10.04,10.23,3168745
2010-08-25,10.1,10.25,9.93,10.17,2060315
2010-08-26,10.35,10.35,10.02,10.09,1358688
2010-08-27,10.07,10.15,9.81,10.1,1864465
2010-08-30,10.06,10.08,9.83,9.83,1367189
2010-08-31,9.87,9.98,9.7,9.9,2160373
2010-09-01,10.15,10.39,10.0,10.24,2027722
2010-09-02,10.24,10.24,9.98,10.04,3017294
2010-09-03,10.24,10.3,10.09,10.15,5467538
2010-09-07,10.0,10.15,9.98,10.0,2720423
2010-09-08,10.01,10.1,9.82,9.86,3458062
2010-09-09,9.92,9.96,9.77,9.81,4267302
2010-09-10,9.81,10.12,9.81,10.1,3889094
2010-09-13,10.25,10.4,10.19,10.4,2580082
2010-09-14,10.38,10.47,10.22,10.36,2656595
2010-09-15,10.29,10.61,10.25,10.57,2897639
2010-09-16,10.57,10.67,10.45,10.57,2286719
2010-09-17,10.6,10.64,10.36,10.64,2102752
2010-09-20,10.63,10.84,10.53,10.82,2496774
2010-09-21,10.82,11.25,10.77,11.1,4908578
2010-09-22,11.1,11.23,10.91,10.97,3571064
2010-09-23,10.87,10.92,10.43,10.57,3486291
2010-09-24,10.71,11.32,10.71,11.28,4913848
2010-09-27,11.36,11.65,11.2,11.45,4426000
2010-09-28,11.44,12.04,11.39,11.76,8823623
2010-09-29,11.84,12.21,11.54,12.14,7048770
2010-09-30,12.17,12.48,12.04,12.45,6814207
2010-10-01,12.51,12.55,12.07,12.2,3450109
2010-10-04,12.1,12.34,12.09,12.17,3360704
2010-10-05,12.26,12.51,12.22,12.43,2145524
2010-10-06,12.38,12.85,12.31,12.33,2945638
2010-10-07,12.47,12.7,12.39,12.68,2560656
2010-10-08,12.78,12.9,12.63,12.87,2901454
2010-10-11,12.95,13.26,12.87,13.26,3715022
2010-10-12,13.07,13.32,12.95,13.08,3967838
2010-10-13,13.3,13.38,13.1,13.37,3221220
2010-10-14,13.22,13.46,13.12,13.24,3569946
2010-10-15,13.31,13.34,12.97,13.13,2634081
2010-10-18,13.08,13.29,12.96,13.2,2267304
2010-10-19,13.0,13.31,13.0,13.14,3003369
2010-10-20,13.17,13.27,13.06,13.13,2270388
2010-10-21,13.22,13.67,13.18,13.49,4217901
2010-10-22,13.5,13.66,13.29,13.29,2164331
2010-10-25,13.39,13.48,13.23,13.29,1759250
2010-10-26,13.28,13.29,13.01,13.14,1872741
2010-10-27,13.06,13.24,12.99,13.21,1998618
2010-10-28,13.39,13.39,13.01,13.01,3143526
2010-10-29,13.0,13.39,13.0,13.22,1820645
2010-11-01,13.31,13.51,13.1,13.2,1771887
2010-11-02,13.24,13.72,13.24,13.72,2834811
2010-11-03,13.72,13.98,13.59,13.91,3558631
2010-11-04,13.8,14.01,13.69,13.88,4501090
2010-11-05,13.77,14.09,13.71,13.88,3981760
2010-11-08,13.91,13.91,13.65,13.81,2180582
2010-11-09,13.88,13.93,13.55,13.64,2294974
2010-11-10,13.44,13.57,13.32,13.44,3134437
2010-11-11,13.3,13.8,13.3,13.78,2039381
