Date,Open,High,Low,Close,Volume
2010-01-04,10.95,11.0,10.81,10.86,293567
2010-01-05,10.93,11.02,10.83,10.95,345419
2010-01-06,10.97,11.02,10.86,10.86,368436
2010-01-07,10.81,10.91,10.7,10.82,451627
2010-01-08,10.83,11.1,10.83,11.08,330438
2010-01-11,11.12,11.15,10.92,11.0,358156
2010-01-12,10.91,10.94,10.75,10.92,354766
2010-01-13,10.9,10.98,10.81,10.95,202425
2010-01-14,10.93,10.99,10.75,10.77,354415
2010-01-15,10.79,10.8,10.51,10.59,1060018
2010-01-19,10.48,10.48,10.26,10.37,661235
2010-01-20,10.23,10.23,9.94,10.02,1331235
2010-01-21,10.06,10.37,10.04,10.24,1043963
2010-01-22,10.25,10.44,10.09,10.13,745720
2010-01-25,10.26,10.26,10.04,10.17,380535
2010-01-26,10.09,10.28,9.98,10.16,567390
2010-01-27,10.08,10.23,10.01,10.2,678294
2010-01-28,10.38,10.49,9.86,9.89,946820
2010-01-29,9.89,9.92,9.35,9.4,960388
2010-02-01,9.51,9.63,9.43,9.62,863377
2010-02-02,9.67,9.8,9.64,9.75,561038
2010-02-03,9.74,9.81,9.61,9.66,380789
2010-02-04,9.58,9.6,9.39,9.41,655359
2010-02-05,9.42,9.49,9.26,9.38,840741
2010-02-08,9.39,9.4,9.23,9.25,515734
2010-02-09,9.34,9.61,9.34,9.48,556654
2010-02-10,9.51,9.66,9.47,9.59,463855
2010-02-11,9.67,9.82,9.59,9.81,353265
2010-02-12,9.69,9.79,9.66,9.77,262066
2010-02-16,9.88,9.88,9.71,9.79,873980
2010-02-17,9.82,9.9,9.75,9.82,682716
2010-02-18,9.8,9.87,9.74,9.82,517426
2010-02-19,9.73,9.97,9.72,9.95,591187
2010-02-22,10.0,10.08,9.93,9.98,315143
2010-02-23,9.98,9.99,9.7,9.77,391724
2010-02-24,9.81,9.83,9.66,9.71,559166
2010-02-25,9.59,9.64,9.44,9.62,834443
2010-02-26,9.58,9.66,9.49,9.64,529642
2010-03-01,9.74,10.05,9.66,10.03,534051
2010-03-02,10.1,10.25,10.1,10.22,588741
2010-03-03,10.33,10.66,10.27,10.63,1218759
2010-03-04,10.61,10.7,10.53,10.68,525015
2010-03-05,10.74,11.05,10.73,11.01,661101
2010-03-08,11.08,11.08,10.81,10.84,418554
2010-03-09,10.81,11.0,10.77,10.95,392749
2010-03-10,10.91,10.97,10.84,10.9,434491
2010-03-11,10.79,11.02,10.79,10.98,565526
2010-03-12,11.08,11.12,10.97,11.03,349828
2010-03-15,11.03,11.05,10.9,11.01,152417
2010-03-16,11.08,11.13,10.97,11.12,196241
2010-03-17,11.12,11.18,11.04,11.09,215846
2010-03-18,11.05,11.11,10.95,10.97,413505
2010-03-19,11.0,11.03,10.81,10.85,495151
2010-03-22,10.76,10.92,10.71,10.89,344095
2010-03-23,10.94,10.94,10.75,10.83,294433
2010-03-24,10.67,10.76,10.64,10.67,260129
2010-03-25,10.77,11.01,10.77,10.9,357426
2010-03-26,10.92,10.94,10.78,10.85,265069
2010-03-29,10.93,11.15,10.81,11.1,383096
2010-03-30,11.17,11.33,11.13,11.18,311111
2010-03-31,11.17,11.26,11.07,11.25,375702
2010-04-01,11.32,11.46,11.31,11.44,255082
2010-04-05,11.52,11.67,11.47,11.59,266998
2010-04-06,11.59,11.6,11.3,11.34,361594
2010-04-07,11.31,11.32,11.09,11.27,397712
2010-04-08,11.24,11.51,11.15,11.49,463451
2010-04-09,11.48,11.6,11.43,11.5,410979
2010-04-12,11.5,11.51,11.33,11.42,301525
2010-04-13,11.46,11.63,11.33,11.56,430332
2010-04-14,11.67,11.83,11.67,11.74,322092
2010-04-15,11.69,11.96,11.69,11.77,303321
2010-04-16,11.72,11.74,11.35,11.53,415429
2010-04-19,11.46,11.68,11.46,11.65,904020
2010-04-20,11.79,12.0,11.79,11.81,331746
2010-04-21,11.82,11.94,11.8,11.9,373551
2010-04-22,11.85,11.89,11.66,11.87,340026
2010-04-23,11.82,11.96,11.8,11.9,224814
2010-04-26,11.83,11.96,11.82,11.89,271040
2010-04-27,11.8,11.83,11.44,11.46,603090
2010-04-28,11.77,12.15,11.75,11.91,1114407
2010-04-29,11.98,12.28,11.98,12.07,695556
2010-04-30,12.03,12.17,11.77,11.77,471934
2010-05-03,11.91,12.08,11.88,12.03,365284
2010-05-04,11.81,11.81,11.43,11.49,690157
2010-05-05,11.3,11.39,11.04,11.17,835672
2010-05-06,11.07,11.23,10.26,10.83,1087469
2010-05-07,10.82,10.99,10.64,10.79,1270675
2010-05-10,11.36,11.62,11.28,11.58,993290
2010-05-11,11.5,11.85,11.44,11.7,1121522
2010-05-12,11.82,12.16,11.79,12.12,776549
2010-05-13,12.08,12.11,11.88,11.93,689146
2010-05-14,11.8,11.81,11.37,11.47,832438
2010-05-17,11.46,11.53,11.03,11.33,713121
2010-05-18,11.51,11.61,10.99,11.1,705454
2010-05-19,11.02,11.07,10.54,10.88,1261724
2010-05-20,10.47,10.59,10.27,10.28,1052000
2010-05-21,10.13,10.71,10.0,10.6,1144807
2010-05-24,10.64,10.77,10.51,10.51,530762
2010-05-25,10.11,10.6,10.04,10.56,1012803
2010-05-26,10.69,10.89,10.59,10.62,788221
2010-05-27,10.84,11.0,10.79,11.0,618584
2010-05-28,11.07,11.15,10.88,11.01,776972
2010-06-01,10.96,11.26,10.84,10.88,642297
2010-06-02,10.95,11.19,10.84,11.17,479954
2010-06-03,11.26,11.62,11.24,11.45,967062
2010-06-04,11.19,11.36,10.92,10.96,1177939
2010-06-07,11.0,11.1,10.72,10.76,953443
2010-06-08,10.93,11.06,10.7,10.93,1469214
