Date,Open,High,Low,Close,Volume
2010-01-04,75.93,78.03,75.58,77.08,67079848
2010-01-05,77.13,78.18,77.08,77.48,64550556
2010-01-06,77.48,77.93,77.03,77.08,55464836
2010-01-07,77.23,82.22,76.98,81.07,185472208
2010-01-08,81.37,83.27,81.17,82.82,115112544
2010-01-11,83.96,84.21,82.52,83.62,76675384
2010-01-12,82.72,83.99,82.67,83.67,64622720
2010-01-13,83.62,84.41,82.67,83.96,65342376
2010-01-14,83.76,84.16,83.22,83.32,57380880
2010-01-15,83.22,83.57,81.57,82.02,74123576
2010-01-19,81.57,83.57,81.52,82.52,60697340
2010-01-20,82.32,83.22,81.47,82.32,64495580
2010-01-21,82.17,82.22,79.57,79.92,99151176
2010-01-22,82.57,83.62,80.27,80.37,162677616
2010-01-25,82.12,82.47,80.92,81.67,75160360
2010-01-26,81.47,83.32,81.12,81.57,78026856
2010-01-27,81.27,81.77,79.97,81.32,76850504
2010-01-28,81.97,82.07,79.87,80.62,79162616
2010-01-29,80.92,82.32,80.17,80.22,81161560
2010-02-01,80.82,81.52,80.32,81.07,56940456
2010-02-02,81.17,84.56,81.02,84.06,115769504
2010-02-03,83.76,84.96,82.92,83.22,70778152
2010-02-04,82.22,82.32,79.87,80.02,110098608
2010-02-05,80.02,80.77,76.08,78.78,143503152
2010-02-08,78.98,79.03,77.18,77.83,70486992
2010-02-09,78.63,79.27,76.98,77.83,97580272
2010-02-10,77.68,79.17,77.33,78.28,68377072
2010-02-11,77.93,78.78,77.23,78.68,66896740
2010-02-12,77.78,78.58,76.58,77.58,76503072
2010-02-16,78.33,80.42,78.23,80.02,69444728
2010-02-17,80.77,80.92,80.12,80.57,60553868
2010-02-18,80.32,81.27,80.22,81.02,47333496
2010-02-19,80.52,81.07,79.82,80.67,65206104
2010-02-22,80.97,81.52,80.62,81.07,44987984
2010-02-23,80.77,81.42,79.13,79.57,63371024
2010-02-24,79.72,80.52,79.22,80.42,56650528
2010-02-25,78.63,79.57,78.38,79.42,63364412
2010-02-26,79.82,80.57,79.57,80.12,60564392
2010-03-01,80.32,80.57,78.98,79.32,62798240
2010-03-02,79.42,79.57,78.98,79.32,52592568
2010-03-03,79.72,81.27,79.57,79.97,83827016
2010-03-04,80.17,80.62,79.67,80.37,47138628
2010-03-05,80.77,81.67,80.57,81.57,65191940
2010-03-08,81.67,82.17,81.02,81.17,53676900
2010-03-09,81.32,82.92,81.07,82.27,83685536
2010-03-10,82.27,82.87,81.9,82.37,67850896
2010-03-11,82.27,82.57,81.42,82.22,64907692
2010-03-12,82.74,85.11,82.32,85.01,112875360
2010-03-15,84.91,86.56,84.51,86.26,117962944
2010-03-16,87.26,90.6,87.06,90.15,228571008
2010-03-17,91.4,91.8,89.65,90.0,160499792
2010-03-18,90.25,91.1,89.35,90.75,88515376
2010-03-19,91.4,91.5,89.45,90.15,114796600
2010-03-22,89.1,90.45,88.8,90.15,64948924
2010-03-23,90.6,92.05,90.55,91.45,107580016
2010-03-24,91.6,94.49,91.14,92.05,124256120
2010-03-25,93.34,93.59,91.1,91.3,97668368
2010-03-26,91.4,92.94,90.7,91.5,84380440
2010-03-29,92.4,92.6,91.02,91.8,83921048
2010-03-30,92.15,92.2,91.05,91.3,53168616
2010-03-31,90.85,91.6,90.45,90.8,59216424
2010-04-01,91.15,91.8,90.7,91.45,45478000
2010-04-05,91.9,93.04,91.45,92.45,55884336
2010-04-06,92.05,93.04,91.85,92.79,54106416
2010-04-07,92.65,93.54,91.75,92.3,60464144
2010-04-08,91.75,93.04,91.05,92.6,60592816
2010-04-09,92.74,93.14,91.8,92.4,54612664
2010-04-12,92.6,94.69,92.5,93.34,71700424
2010-04-13,93.54,95.44,93.39,94.54,92585048
2010-04-14,95.84,96.79,94.82,96.54,81958968
2010-04-15,97.04,98.23,96.64,97.28,103121896
2010-04-16,96.99,97.04,93.04,94.64,172384480
2010-04-19,92.99,94.64,92.99,94.49,78156192
2010-04-20,94.99,95.79,94.69,94.79,57666464
2010-04-21,95.29,95.69,94.24,94.94,58422092
2010-04-22,94.34,94.84,92.84,94.54,73044576
2010-04-23,94.09,95.29,93.79,95.14,57783904
2010-04-26,95.74,96.64,95.29,96.29,65712856
2010-04-27,95.99,97.24,92.74,93.29,109630024
2010-04-28,93.14,95.24,93.04,94.54,85008016
2010-04-29,94.99,97.24,94.94,97.24,70066312
2010-04-30,97.09,98.28,93.74,94.09,112133024
2010-05-03,94.64,96.49,94.59,96.09,60157640
2010-05-04,95.09,95.14,91.55,92.7,94123632
2010-05-05,90.9,92.25,89.45,90.3,106999584
2010-05-06,89.8,90.55,86.36,86.36,182119312
2010-05-07,87.36,88.25,82.42,84.21,165465888
2010-05-10,90.0,91.65,89.2,90.0,138171296
2010-05-11,89.05,91.5,88.9,89.8,83503792
2010-05-12,90.25,92.3,90.15,92.0,67914800
2010-05-13,91.85,91.95,89.6,90.05,64324912
2010-05-14,89.65,90.0,86.86,88.01,83715624
2010-05-17,87.86,88.4,85.26,87.61,78755088
