Date,Open,High,Low,Close,Volume
2010-01-04,9.59,9.87,9.53,9.87,251785
2010-01-05,9.83,9.85,9.71,9.8,122986
2010-01-06,9.8,9.8,9.58,9.74,230525
2010-01-07,9.74,9.86,9.63,9.82,254791
2010-01-08,9.77,10.14,9.68,10.13,292302
2010-01-11,10.15,10.26,10.08,10.26,158230
2010-01-12,10.19,10.25,10.13,10.22,313534
2010-01-13,10.23,10.26,10.13,10.26,145572
2010-01-14,10.18,10.28,10.1,10.24,160847
2010-01-15,10.24,10.31,10.07,10.16,252772
2010-01-19,10.14,10.49,10.14,10.47,360474
2010-01-20,10.39,10.39,10.17,10.33,324812
2010-01-21,10.31,10.36,10.03,10.17,309375
2010-01-22,10.13,10.33,10.08,10.15,456269
2010-01-25,10.21,10.31,9.97,10.0,525788
2010-01-26,9.68,10.01,9.47,9.5,557882
2010-01-27,9.52,9.57,9.14,9.26,840126
2010-01-28,9.33,9.39,9.08,9.16,312483
2010-01-29,9.2,9.28,8.88,8.9,495649
2010-02-01,8.95,9.08,8.85,9.06,231428
2010-02-02,9.06,9.14,9.0,9.08,515890
2010-02-03,9.05,9.15,8.93,9.03,524257
2010-02-04,8.94,9.03,8.8,8.81,270503
2010-02-05,8.78,8.87,8.61,8.87,367183
2010-02-08,8.86,8.97,8.71,8.79,209267
2010-02-09,8.89,8.97,8.77,8.87,190811
2010-02-10,8.82,8.86,8.67,8.85,160113
2010-02-11,8.86,9.06,8.77,9.06,262991
2010-02-12,8.95,9.19,8.89,9.11,498303
2010-02-16,9.2,9.26,9.09,9.19,235881
2010-02-17,9.24,9.3,9.11,9.19,301241
2010-02-18,9.16,9.36,9.15,9.36,215559
2010-02-19,9.34,9.38,9.24,9.31,299015
2010-02-22,8.99,8.99,8.75,8.86,846355
2010-02-23,8.82,9.07,8.82,8.98,539390
2010-02-24,8.99,9.05,8.92,8.98,798694
2010-02-25,8.83,9.08,8.78,9.07,369645
2010-02-26,9.1,9.16,9.04,9.14,407147
2010-03-01,9.14,9.29,9.12,9.29,293490
2010-03-02,9.31,9.48,9.31,9.48,370583
2010-03-03,9.46,9.64,9.46,9.58,405289
2010-03-04,9.56,9.64,9.54,9.56,316208
2010-03-05,9.59,9.98,9.59,9.88,744457
2010-03-08,9.86,10.08,9.86,10.03,509372
2010-03-09,10.02,10.13,9.97,10.04,352652
2010-03-10,10.04,10.15,9.97,10.11,301332
2010-03-11,10.1,10.1,9.94,10.06,183832
2010-03-12,10.07,10.13,10.0,10.11,259962
2010-03-15,10.11,10.17,10.11,10.14,181277
2010-03-16,10.19,10.25,10.1,10.24,201397
2010-03-17,10.29,10.39,10.26,10.35,208217
2010-03-18,10.32,10.42,10.29,10.37,259908
2010-03-19,10.4,10.42,10.19,10.2,326356
2010-03-22,10.12,10.31,10.11,10.28,134112
2010-03-23,10.29,10.49,10.26,10.48,222598
2010-03-24,10.39,10.51,10.36,10.36,321262
2010-03-25,10.41,10.54,10.4,10.41,404552
2010-03-26,10.47,10.61,10.42,10.5,498685
2010-03-29,10.53,10.7,10.53,10.69,338561
2010-03-30,10.68,10.83,10.68,10.78,427870
2010-03-31,10.73,10.83,10.63,10.67,274409
2010-04-01,10.75,10.85,10.69,10.75,519949
2010-04-05,10.77,10.85,10.74,10.83,379879
2010-04-06,10.76,10.87,10.74,10.83,414656
2010-04-07,10.8,10.84,10.73,10.79,332818
2010-04-08,10.74,10.76,10.59,10.66,293290
2010-04-09,10.66,10.69,10.6,10.67,719131
2010-04-12,10.71,10.71,10.64,10.68,270326
