Date,Open,High,Low,Close,Volume
2010-01-04,40.7,41.18,40.25,40.39,14214766
2010-01-05,40.66,41.1,40.04,40.89,13018977
2010-01-06,41.32,42.34,41.14,41.76,12332248
2010-01-07,41.67,41.67,40.89,41.17,9290970
2010-01-08,41.6,41.67,40.7,41.43,9199189
2010-01-11,42.57,42.64,41.32,41.64,13781847
2010-01-12,41.16,41.52,39.95,40.3,12127839
2010-01-13,40.53,40.8,39.43,40.7,9583681
2010-01-14,40.65,40.85,39.95,40.47,8476557
2010-01-15,40.19,40.27,39.36,39.7,11620768
2010-01-19,39.28,39.72,38.99,39.66,9429114
2010-01-20,38.46,38.64,37.23,37.87,16582076
2010-01-21,37.75,37.78,36.35,36.52,21439174
2010-01-22,36.37,37.52,36.11,36.5,17340288
2010-01-25,37.18,37.18,36.04,36.04,11524720
2010-01-26,35.78,36.78,35.62,36.07,13030185
2010-01-27,36.02,36.27,35.2,35.74,12472875
2010-01-28,36.28,36.32,34.84,35.91,15320158
2010-01-29,35.8,36.38,34.63,34.82,14435635
2010-02-01,35.19,36.5,35.17,36.5,9282157
2010-02-02,37.01,37.03,36.09,36.21,11348743
2010-02-03,36.09,36.62,35.81,35.91,8185398
2010-02-04,35.09,35.21,33.76,34.0,16379635
2010-02-05,33.92,35.95,33.65,35.83,19976418
2010-02-08,35.74,35.88,34.49,34.57,10399652
2010-02-09,35.27,36.15,34.93,35.67,14081667
2010-02-10,35.74,35.92,34.94,35.68,9750573
2010-02-11,36.01,37.17,35.58,37.07,11415337
2010-02-12,36.4,36.83,36.04,36.7,9090268
2010-02-16,37.86,37.97,37.36,37.44,15388771
2010-02-17,37.44,38.24,37.36,37.86,16235192
2010-02-18,38.0,39.47,37.95,39.23,17744620
2010-02-19,38.84,40.0,38.61,39.37,15955597
2010-02-22,39.57,39.69,38.34,38.37,10047522
2010-02-23,38.34,38.53,36.91,37.27,11865422
2010-02-24,37.07,37.79,36.55,36.71,10597486
2010-02-25,36.37,37.69,35.79,37.44,15717641
2010-02-26,37.84,37.96,37.22,37.66,10350834
2010-03-01,38.1,38.55,37.31,38.45,9519295
2010-03-02,38.97,40.11,38.71,39.47,14067887
2010-03-03,39.99,40.54,39.53,40.14,10787254
2010-03-04,40.11,40.33,39.34,39.8,11381850
2010-03-05,40.2,40.66,40.04,40.26,8326457
2010-03-08,40.31,40.8,39.52,39.68,7689067
2010-03-09,39.22,39.89,39.14,39.54,7938024
2010-03-10,39.55,39.79,38.48,38.75,10638886
2010-03-11,38.55,39.19,38.36,39.18,7740081
2010-03-12,39.27,39.52,38.63,39.06,8514439
2010-03-15,39.22,39.27,38.52,39.01,7128131
2010-03-16,39.68,40.35,39.46,40.09,10718189
2010-03-17,40.29,40.61,40.08,40.16,9115711
2010-03-18,40.1,40.57,39.43,39.78,7573182
2010-03-19,39.73,39.89,38.81,39.42,12486752
2010-03-22,38.9,39.42,38.5,39.41,8868012
2010-03-23,39.24,39.76,38.62,38.82,13549464
2010-03-24,38.24,38.3,37.11,37.24,17342412
2010-03-25,37.79,37.8,36.75,36.77,12310186
2010-03-26,36.95,37.58,36.69,37.41,10229362
2010-03-29,37.64,37.97,37.34,37.81,9091260
2010-03-30,37.92,38.05,37.41,37.76,6781824
2010-03-31,38.39,38.71,38.05,38.34,10160436
2010-04-01,38.95,39.52,38.61,39.45,10128582
2010-04-05,39.65,39.9,39.25,39.65,6073484
2010-04-06,39.48,39.71,39.28,39.42,7381044
2010-04-07,39.84,40.96,39.78,40.7,14422503
2010-04-08,40.55,41.11,40.17,40.95,9117655
2010-04-09,41.21,41.85,40.87,41.29,9274727
2010-04-12,40.97,41.72,40.59,40.76,10687530
2010-04-13,40.47,40.56,39.55,40.43,8968936
2010-04-14,41.17,41.36,40.36,40.67,7943871
2010-04-15,40.52,40.86,39.94,40.0,8862577
2010-04-16,39.61,39.92,38.44,39.11,13507031
2010-04-19,38.5,39.14,38.14,39.14,6921016
2010-04-20,39.7,39.84,39.11,39.13,5842748
2010-04-21,39.33,39.87,39.02,39.5,6661907
2010-04-22,39.11,40.23,38.8,40.17,9783260
2010-04-23,40.05,40.63,39.47,40.46,7112841
2010-04-26,40.53,40.84,40.21,40.46,4993284
2010-04-27,39.93,40.94,39.79,40.67,10573944
2010-04-28,41.63,42.8,41.35,42.17,20871828
2010-04-29,42.81,43.5,42.47,42.87,14169124
2010-04-30,43.4,44.37,43.27,43.55,14731962
2010-05-03,43.95,44.11,42.32,42.82,8124301
2010-05-04,43.2,43.56,41.95,42.91,13670587
2010-05-05,41.76,43.27,41.63,42.88,11415250
2010-05-06,42.73,44.33,42.53,43.68,22070820
2010-05-07,43.28,44.24,42.46,42.82,22665600
2010-05-10,43.06,43.99,42.3,43.91,13958957
2010-05-11,44.89,46.55,44.85,45.88,21066420
2010-05-12,46.68,47.21,45.62,45.66,19188640
2010-05-13,45.54,45.74,44.59,44.81,10489865
2010-05-14,45.34,46.05,44.11,45.62,15599498
2010-05-17,45.8,45.8,43.89,44.43,10873238
2010-05-18,43.97,44.99,43.9,44.48,10550582
2010-05-19,43.87,44.09,41.51,42.7,16805970
2010-05-20,41.67,42.37,40.75,41.0,17154950
2010-05-21,40.18,41.4,39.95,41.02,12102198
2010-05-24,41.66,42.11,41.07,41.12,6738422
2010-05-25,40.83,42.48,40.6,42.35,14100879
2010-05-26,42.94,43.1,41.8,41.81,10695884
2010-05-27,42.22,42.92,42.13,42.44,7678555
2010-05-28,42.52,42.66,41.76,42.08,7276719
2010-06-01,42.51,43.73,42.5,42.59,13758340
2010-06-02,42.74,43.24,42.6,43.1,9254270
2010-06-03,43.4,43.42,41.82,42.3,8167220
2010-06-04,41.78,42.25,41.17,41.42,11224517
2010-06-07,41.37,43.57,41.13,43.12,12417114
2010-06-08,43.53,44.6,43.22,43.34,14242241
2010-06-09,43.14,43.53,42.43,42.72,9045362
2010-06-10,42.62,43.42,42.54,42.92,8163545
2010-06-11,43.19,43.5,42.88,43.11,6817142
2010-06-14,42.91,43.0,41.84,42.0,10312942
2010-06-15,42.04,42.94,41.75,42.94,6561257
2010-06-16,42.81,43.47,42.71,43.19,7016209
2010-06-17,44.18,44.94,43.89,44.82,13523491
2010-06-18,45.57,46.46,45.3,46.38,15919412
2010-06-21,46.16,46.36,44.47,44.8,10666271
2010-06-22,44.93,45.53,44.62,44.73,7222952
2010-06-23,44.24,44.96,43.91,44.74,8229458
2010-06-24,44.76,45.35,44.48,44.59,7868973
2010-06-25,45.19,46.88,45.12,46.33,10029313
2010-06-28,46.53,47.25,45.72,46.19,10760051
2010-06-29,45.48,45.74,44.72,45.0,9639989
2010-06-30,44.96,46.0,44.84,45.41,9245858
2010-07-01,45.08,45.34,42.4,43.1,13169883
2010-07-02,43.25,44.03,42.96,43.24,8881418
2010-07-06,43.75,43.87,42.44,42.98,11110059
2010-07-07,42.85,43.88,42.41,43.88,8243229
2010-07-08,44.28,44.29,42.01,42.58,13311135
2010-07-09,43.38,44.13,43.19,43.57,8876542
2010-07-12,43.44,44.38,43.35,43.57,8745004
2010-07-13,44.6,44.78,43.09,43.13,11125328
2010-07-14,43.39,43.77,42.74,42.99,7474022
2010-07-15,43.32,43.35,42.43,43.07,7955165
2010-07-16,42.23,42.23,41.56,41.75,9219713
2010-07-19,41.3,41.46,40.58,41.15,8060910
2010-07-20,40.91,42.0,40.88,41.81,6300840
2010-07-21,42.11,42.43,41.43,41.73,7082789
2010-07-22,42.2,42.83,42.0,42.23,7323941
2010-07-23,42.51,42.76,42.1,42.37,7482872
2010-07-26,42.53,42.66,41.69,41.75,7739383
2010-07-27,41.59,41.65,39.9,40.03,15113284
2010-07-28,39.94,40.29,39.67,40.03,12615064
2010-07-29,40.84,41.0,40.04,40.54,9178393
2010-07-30,40.51,41.35,40.42,41.1,6751159
2010-08-02,41.77,41.98,40.66,40.95,6215613
2010-08-03,41.17,41.89,41.09,41.37,6762270
2010-08-04,42.08,42.88,42.07,42.61,8796038
2010-08-05,42.67,42.85,42.3,42.73,4814676
2010-08-06,43.12,43.97,43.06,43.39,7886980
2010-08-09,43.41,43.48,42.78,43.35,4338510
2010-08-10,42.62,43.56,42.28,43.49,8615181
2010-08-11,43.51,43.62,42.23,42.4,7585397
