Date,Open,High,Low,Close,Volume
2010-01-04,34.25,34.79,34.2,34.69,411956
2010-01-05,34.25,34.49,34.13,34.45,649071
2010-01-06,33.97,34.24,33.97,34.15,317887
2010-01-07,33.38,33.61,33.29,33.57,443458
2010-01-08,34.09,34.4,33.92,34.34,1028006
2010-01-11,34.25,34.57,34.02,34.52,256998
2010-01-12,36.0,36.0,35.61,35.87,628137
2010-01-13,36.05,36.53,36.01,36.43,509152
2010-01-14,36.59,36.76,36.25,36.64,276959
2010-01-15,37.03,37.23,36.62,36.9,303509
2010-01-19,36.46,36.6,36.13,36.58,454975
2010-01-20,36.08,36.21,35.09,35.38,317208
2010-01-21,35.93,36.05,35.39,35.69,616389
2010-01-22,35.49,35.66,35.06,35.11,529335
2010-01-25,34.98,35.37,34.95,35.06,262417
2010-01-26,34.41,34.81,34.36,34.51,305803
2010-01-27,34.1,34.56,33.85,34.37,1386142
2010-01-28,34.98,34.98,34.16,34.47,952110
2010-01-29,34.59,34.59,33.91,33.91,651621
2010-02-01,33.81,33.98,33.61,33.78,643986
2010-02-02,33.97,34.29,33.9,34.26,351730
2010-02-03,35.02,36.64,34.43,36.4,1468546
2010-02-04,35.32,35.32,34.72,35.03,1388714
2010-02-05,34.57,34.79,33.84,34.49,1183717
2010-02-08,33.99,34.2,33.67,33.81,461496
2010-02-09,34.18,34.84,34.17,34.52,349745
2010-02-10,33.8,33.96,33.4,33.76,593629
2010-02-11,33.65,33.99,33.45,33.84,413060
2010-02-12,33.45,33.65,33.27,33.63,298465
2010-02-16,33.64,34.5,33.62,34.27,661281
2010-02-17,34.8,34.81,34.52,34.67,1266712
2010-02-18,34.49,34.7,34.36,34.62,503933
2010-02-19,33.95,34.45,33.9,34.35,568176
2010-02-22,34.8,34.8,34.5,34.63,1675858
2010-02-23,34.31,34.32,33.74,33.9,1904198
2010-02-24,34.1,34.53,33.96,34.46,273848
2010-02-25,33.94,34.24,33.75,34.24,218187
2010-02-26,34.24,34.69,34.24,34.61,213970
2010-03-01,34.56,35.03,34.51,34.97,677964
2010-03-02,34.91,35.13,34.77,34.87,518082
2010-03-03,34.98,35.29,34.84,34.93,445974
2010-03-04,34.82,34.92,34.58,34.82,319279
2010-03-05,34.81,35.15,34.65,35.15,432457
2010-03-08,35.64,36.01,35.52,35.97,467663
2010-03-09,35.8,36.16,35.75,36.01,480196
2010-03-10,35.63,36.17,35.63,36.15,320911
2010-03-11,36.08,36.32,35.93,36.32,293399
2010-03-12,36.5,36.7,36.4,36.6,256093
2010-03-15,36.38,36.53,36.12,36.4,211614
2010-03-16,36.18,36.22,35.75,36.0,657180
2010-03-17,35.61,35.87,35.61,35.79,916059
2010-03-18,35.64,35.77,35.51,35.69,263229
2010-03-19,35.8,36.06,35.74,35.96,553343
2010-03-22,35.74,36.09,35.66,36.06,379478
2010-03-23,36.03,36.26,35.87,36.26,174324
2010-03-24,35.61,35.78,35.37,35.53,391517
2010-03-25,35.7,35.91,35.43,35.48,320901
2010-03-26,35.46,35.47,34.98,35.24,349670
2010-03-29,35.29,35.4,35.2,35.39,290375
2010-03-30,35.51,35.66,35.36,35.47,281576
2010-03-31,35.26,35.54,35.25,35.29,312237
2010-04-01,35.37,35.58,35.12,35.54,280435
2010-04-05,35.82,36.16,35.72,36.03,224122
2010-04-06,35.6,35.77,35.39,35.5,305563
2010-04-07,35.48,35.48,35.1,35.19,231156
2010-04-08,35.02,35.27,34.76,35.14,288317
2010-04-09,35.19,35.44,35.02,35.3,240170
2010-04-12,35.26,35.46,35.2,35.37,248251
2010-04-13,35.03,35.21,34.85,35.07,350922
2010-04-14,35.1,35.28,34.92,35.22,990272
2010-04-15,34.93,35.27,34.92,35.2,877364
2010-04-16,34.9,35.0,34.48,34.49,672774
2010-04-19,34.2,34.77,34.2,34.7,401286
2010-04-20,34.68,34.94,34.41,34.6,611746
2010-04-21,34.67,34.86,34.58,34.77,324553
2010-04-22,34.05,34.53,33.78,34.51,692463
2010-04-23,34.24,34.69,34.24,34.61,639780
2010-04-26,34.93,35.25,34.93,35.15,374423
2010-04-27,35.19,35.19,34.46,34.58,915299
2010-04-28,34.88,34.92,33.74,34.05,929199
2010-04-29,34.3,34.72,34.18,34.72,1048750
2010-04-30,34.11,34.25,33.73,33.79,438498
2010-05-03,33.85,33.91,33.6,33.68,766209
2010-05-04,33.28,33.28,32.58,32.75,661522
2010-05-05,32.28,32.74,32.01,32.6,1115708
2010-05-06,32.82,34.0,31.02,32.76,1675104
2010-05-07,33.25,33.25,31.91,32.45,1430171
2010-05-10,32.94,33.59,32.88,33.13,885957
2010-05-11,32.58,33.14,32.43,32.66,722112
2010-05-12,33.02,33.23,32.93,33.03,441691
2010-05-13,32.97,33.09,32.44,32.56,489762
2010-05-14,32.25,32.36,31.8,32.13,282778
2010-05-17,32.47,32.67,31.79,32.49,536210
2010-05-18,32.73,32.92,32.02,32.18,528001
2010-05-19,32.19,32.33,31.63,32.15,2071911
2010-05-20,31.4,31.43,30.71,30.79,1703202
2010-05-21,30.59,31.66,30.56,31.63,897601
2010-05-24,30.95,31.47,30.95,30.97,491466
2010-05-25,30.69,31.02,30.25,31.0,751260
2010-05-26,30.86,30.9,30.3,30.4,745744
2010-05-27,30.86,31.37,30.77,31.33,301893
2010-05-28,30.62,30.68,30.16,30.39,684556
2010-06-01,30.11,30.75,30.0,30.04,340082
2010-06-02,30.0,30.25,29.66,30.2,991532
2010-06-03,30.92,30.93,30.51,30.78,485406
2010-06-04,30.01,30.22,29.78,29.86,583967
2010-06-07,29.55,29.8,29.15,29.15,595146
2010-06-08,29.29,29.72,29.21,29.68,711003
2010-06-09,29.09,29.32,28.79,28.91,885077
2010-06-10,29.05,29.42,28.99,29.34,689941
2010-06-11,28.43,28.75,28.33,28.71,1384058
2010-06-14,29.6,29.88,29.5,29.65,1701208
2010-06-15,30.0,30.47,29.88,30.42,1448608
2010-06-16,30.14,30.21,30.0,30.13,637774
2010-06-17,30.32,30.32,29.84,30.08,623870
2010-06-18,29.74,29.87,29.67,29.75,480877
2010-06-21,30.5,30.7,30.28,30.38,674988
2010-06-22,30.36,30.62,29.9,29.99,685618
2010-06-23,30.08,30.23,29.63,29.9,749974
2010-06-24,29.83,29.91,29.51,29.58,569835
2010-06-25,29.74,30.33,29.51,29.85,1340895
2010-06-28,30.07,30.18,29.78,29.8,542349
2010-06-29,29.62,29.7,28.95,29.14,1019984
2010-06-30,29.14,29.14,28.58,28.75,1188735
2010-07-01,28.85,28.85,28.43,28.8,903378
2010-07-02,28.57,28.77,28.44,28.59,632315
2010-07-06,29.42,29.66,28.98,29.19,577928
2010-07-07,28.87,29.5,28.75,29.46,519564
2010-07-08,29.76,29.81,29.52,29.79,340396
2010-07-09,29.59,29.87,29.42,29.82,546370
2010-07-12,30.07,30.4,30.07,30.31,365918
2010-07-13,30.12,30.51,30.08,30.36,567824
2010-07-14,30.75,30.91,30.61,30.83,412368
2010-07-15,30.67,30.67,30.21,30.48,641704
2010-07-16,30.38,30.45,29.61,29.64,554498
2010-07-19,29.74,30.13,29.64,30.03,390717
2010-07-20,29.59,30.15,29.59,30.13,653440
2010-07-21,30.04,30.04,29.41,29.49,543763
2010-07-22,30.03,30.33,29.9,30.17,558486
2010-07-23,30.46,30.82,30.23,30.7,572968
2010-07-26,30.45,30.63,30.34,30.63,463054
2010-07-27,30.39,30.61,30.27,30.52,403665
2010-07-28,30.71,30.78,30.45,30.55,328961
2010-07-29,31.09,31.34,30.9,31.0,578360
2010-07-30,31.92,31.92,31.3,31.77,563924
2010-08-02,32.44,32.95,32.26,32.93,645635
2010-08-03,32.77,32.95,32.54,32.73,464894
2010-08-04,32.3,32.95,32.3,32.88,684600
2010-08-05,32.89,33.21,32.89,33.11,1003822
2010-08-06,33.5,33.96,33.47,33.74,675702
2010-08-09,33.53,33.54,33.33,33.49,367566
2010-08-10,33.29,33.44,32.94,33.25,659803
2010-08-11,32.53,32.53,31.96,31.96,613051
2010-08-12,32.14,32.38,32.06,32.35,697890
2010-08-13,32.24,32.4,31.96,32.06,341274
2010-08-16,31.9,32.2,31.9,32.17,220043
2010-08-17,32.32,32.79,32.32,32.52,413759
2010-08-18,32.93,33.02,32.71,32.82,603894
2010-08-19,33.11,33.45,32.7,32.98,1414039
2010-08-20,32.98,32.98,32.45,32.77,289820
2010-08-23,32.86,33.0,32.49,32.49,608959
2010-08-24,32.77,32.77,32.39,32.54,1201477
2010-08-25,31.97,32.25,31.77,32.23,766367
2010-08-26,32.4,32.75,32.38,32.43,652108
2010-08-27,33.08,33.28,32.8,33.25,774259
2010-08-30,33.34,33.4,32.99,33.11,593275
2010-08-31,32.93,33.18,32.66,32.93,730269
2010-09-01,33.28,33.84,33.22,33.8,529600
2010-09-02,33.9,34.0,33.67,34.0,380490
2010-09-03,34.01,34.15,33.75,33.89,403637
2010-09-07,33.48,33.56,33.1,33.18,493153
2010-09-08,32.82,33.15,32.82,33.02,318726
2010-09-09,33.57,33.57,33.26,33.43,298615
2010-09-10,33.22,33.38,33.13,33.33,293613
2010-09-13,33.75,33.88,33.65,33.86,272174
2010-09-14,33.75,34.07,33.69,33.96,215272
2010-09-15,34.12,34.84,34.12,34.8,508964
2010-09-16,34.35,34.87,34.35,34.83,647111
2010-09-17,35.0,35.12,34.7,34.94,523279
2010-09-20,35.15,35.5,34.97,35.41,337371
2010-09-21,35.02,35.49,35.02,35.2,546274
2010-09-22,34.97,34.97,34.5,34.57,476329
2010-09-23,34.23,34.63,34.23,34.36,369308
2010-09-24,34.78,35.21,34.75,35.15,340212
2010-09-27,35.44,35.48,35.21,35.31,290751
2010-09-28,35.41,35.59,35.24,35.57,556108
2010-09-29,35.61,35.73,35.46,35.58,303179
2010-09-30,35.67,35.89,35.29,35.59,451177
2010-10-01,35.95,36.32,35.8,35.99,696410
2010-10-04,35.88,35.99,35.5,35.76,316615
2010-10-05,36.09,36.55,36.09,36.52,529136
