Date,Open,High,Low,Close,Volume
2010-01-04,9.74,9.8,9.6,9.76,55941
2010-01-05,9.76,10.19,9.61,10.17,24569
2010-01-06,10.06,10.26,9.96,10.25,17460
2010-01-07,10.9,12.25,10.9,11.85,213233
2010-01-08,11.7,12.35,11.68,12.26,170249
2010-01-11,12.39,12.65,12.25,12.59,67262
2010-01-12,12.45,12.69,12.28,12.37,80512
2010-01-13,12.43,12.62,12.16,12.5,83244
2010-01-14,12.75,12.94,12.57,12.64,33230
2010-01-15,12.51,12.55,12.18,12.3,56375
2010-01-19,12.26,12.61,12.25,12.59,56742
2010-01-20,12.46,12.48,12.05,12.16,53870
2010-01-21,12.18,12.18,11.58,11.6,102038
2010-01-22,11.56,11.87,11.19,11.22,22936
2010-01-25,11.39,11.42,10.98,11.13,22948
2010-01-26,11.13,11.27,11.04,11.05,7348
2010-01-27,11.08,11.49,10.84,11.47,32409
2010-01-28,11.63,12.08,11.49,11.8,57291
2010-01-29,11.86,12.25,11.76,11.95,51071
2010-02-01,11.87,11.92,11.65,11.81,12040
2010-02-02,11.93,12.88,11.93,12.82,56626
2010-02-03,12.78,12.8,12.37,12.62,29205
2010-02-04,12.29,12.34,11.73,11.81,34802
2010-02-05,11.83,11.84,10.84,11.22,57448
2010-02-08,11.24,12.16,11.17,11.8,20303
2010-02-09,11.93,12.03,11.53,11.99,13049
2010-02-10,11.96,12.05,11.63,11.99,12028
2010-02-11,12.07,13.28,12.07,13.26,138938
2010-02-12,13.17,13.29,12.93,13.2,17363
2010-02-16,13.33,13.6,13.33,13.6,32948
2010-02-17,13.75,13.97,13.38,13.53,36587
2010-02-18,13.48,13.49,13.11,13.35,17317
2010-02-19,13.35,13.66,13.28,13.57,18757
2010-02-22,13.63,13.73,13.32,13.39,13576
2010-02-23,13.34,13.48,12.51,12.68,61039
2010-02-24,12.75,12.9,11.85,12.69,94062
2010-02-25,12.52,12.76,12.21,12.68,20135
2010-02-26,12.54,12.85,12.31,12.79,10173
2010-03-01,12.83,13.04,12.83,12.97,7913
2010-03-02,13.03,13.23,12.93,12.97,5537
2010-03-03,12.98,13.26,12.98,13.16,14296
2010-03-04,13.09,13.24,12.84,13.07,36131
2010-03-05,13.25,13.43,13.14,13.43,22228
2010-03-08,13.58,13.65,13.51,13.6,8594
2010-03-09,13.6,13.78,13.48,13.63,6040
2010-03-10,13.75,13.75,13.31,13.39,30315
2010-03-11,13.25,13.27,12.95,13.14,82206
2010-03-12,13.19,13.25,12.8,12.93,14545
2010-03-15,12.99,12.99,12.46,12.65,59842
2010-03-16,12.79,13.25,12.7,13.19,11296
2010-03-17,13.39,13.39,13.11,13.12,4202
2010-03-18,13.19,13.2,13.08,13.14,2823
2010-03-19,13.11,13.11,12.75,12.77,7730
2010-03-22,12.47,12.88,12.47,12.84,5744
2010-03-23,12.71,13.56,12.71,13.53,45326
2010-03-24,14.22,14.61,13.95,13.97,57574
2010-03-25,14.16,14.79,14.16,14.38,30225
2010-03-26,14.48,15.03,14.44,14.55,21623
2010-03-29,14.62,14.7,14.14,14.48,13902
2010-03-30,14.43,14.66,14.27,14.31,16048
2010-03-31,14.27,14.27,13.65,13.68,27466
2010-04-01,13.8,13.94,13.63,13.65,41069
2010-04-05,13.81,14.09,13.73,14.06,6739
2010-04-06,13.87,13.93,13.63,13.84,10865
2010-04-07,13.77,14.26,13.42,14.26,27354
2010-04-08,13.5,13.93,13.5,13.84,62898
2010-04-09,13.81,14.11,13.81,14.09,7251
2010-04-12,14.14,14.14,13.74,13.82,39714
2010-04-13,13.92,14.14,13.86,13.94,90300
2010-04-14,14.14,14.88,14.14,14.8,24218
2010-04-15,14.67,14.67,14.26,14.37,5810
2010-04-16,14.17,14.24,13.69,13.83,31676
2010-04-19,14.01,14.1,13.7,13.84,9850
2010-04-20,14.11,14.65,14.03,14.63,24200
2010-04-21,14.67,15.09,14.61,15.06,14400
2010-04-22,14.76,16.13,14.71,16.03,32947
2010-04-23,16.02,17.72,16.02,16.58,127299
2010-04-26,16.47,16.96,16.24,16.29,53062
2010-04-27,16.36,16.36,15.21,15.21,38011
2010-04-28,15.49,15.8,15.39,15.51,14440
2010-04-29,15.78,16.74,15.78,16.39,25239
2010-04-30,16.63,17.0,16.03,16.18,42280
2010-05-03,16.14,16.95,16.13,16.75,25549
2010-05-04,16.45,16.45,15.64,15.92,49778
2010-05-05,15.62,16.03,15.39,15.42,16267
2010-05-06,15.38,15.79,13.81,14.76,82530
2010-05-07,14.71,14.93,13.66,13.95,72444
2010-05-10,15.12,15.79,14.92,15.74,32342
2010-05-11,15.45,16.01,15.39,15.51,9299
2010-05-12,15.79,15.92,15.17,15.53,53160
2010-05-13,15.42,15.57,15.06,15.17,29772
2010-05-14,15.05,15.05,14.47,14.97,43419
2010-05-17,15.05,15.05,14.01,14.93,54591
2010-05-18,15.36,15.36,14.65,14.76,118440
2010-05-19,14.59,15.1,14.32,14.67,102747
2010-05-20,14.22,14.38,14.04,14.05,24785
2010-05-21,13.78,14.27,13.66,14.05,42673
2010-05-24,14.19,14.4,13.92,13.93,34026
2010-05-25,13.45,13.87,13.36,13.8,65232
2010-05-26,14.1,14.65,13.88,13.95,49592
2010-05-27,14.39,14.39,13.87,14.25,41286
2010-05-28,14.22,14.37,13.91,14.02,22621
2010-06-01,13.87,13.9,13.11,13.22,43358
2010-06-02,13.31,13.45,13.26,13.32,40705
2010-06-03,13.53,13.53,12.9,13.12,31871
2010-06-04,12.83,12.87,12.22,12.27,48188
2010-06-07,12.37,12.39,11.69,11.73,39645
2010-06-08,11.5,11.9,11.27,11.69,32620
2010-06-09,11.88,12.06,11.35,11.46,58993
2010-06-10,11.75,12.49,11.58,12.4,16772
2010-06-11,12.19,12.42,12.08,12.39,5800
2010-06-14,12.39,12.55,11.94,11.97,18336
2010-06-15,12.28,12.42,12.04,12.42,11258
2010-06-16,11.98,12.48,11.98,12.41,100217
2010-06-17,12.41,12.41,11.94,12.34,134050
2010-06-18,12.35,12.35,11.77,11.84,59270
2010-06-21,12.06,12.21,11.61,11.66,30717
2010-06-22,11.66,11.86,11.34,11.37,29970
2010-06-23,11.48,11.99,11.2,11.77,13017
2010-06-24,11.68,12.07,11.46,11.54,39069
2010-06-25,11.67,11.67,11.21,11.6,12119
2010-06-28,11.61,11.62,11.42,11.47,10000
2010-06-29,11.3,11.36,11.04,11.13,18962
2010-06-30,11.17,11.4,11.07,11.11,9323
2010-07-01,11.31,11.31,10.72,11.01,47741
2010-07-02,11.01,11.25,10.7,11.25,53783
2010-07-06,11.14,11.31,10.64,10.76,20960
2010-07-07,10.54,11.24,10.54,11.18,36420
2010-07-08,11.47,11.47,10.92,11.09,6590
2010-07-09,11.08,11.48,11.08,11.44,5859
2010-07-12,11.42,11.62,11.27,11.62,12879
