Date,Open,High,Low,Close,Volume
2010-01-04,12.4,12.69,12.32,12.68,2970585
2010-01-05,12.6,12.81,12.53,12.8,2863478
2010-01-06,12.82,13.09,12.7,12.93,6424467
2010-01-07,12.92,13.82,12.88,13.74,8437302
2010-01-08,13.61,13.85,13.31,13.83,3612358
2010-01-11,13.94,13.98,13.63,13.79,2802658
2010-01-12,13.64,13.7,13.44,13.58,2166232
2010-01-13,13.61,13.62,13.18,13.4,3354261
2010-01-14,13.33,13.45,13.09,13.34,2776959
2010-01-15,13.6,13.61,13.19,13.31,5556688
2010-01-19,13.3,13.7,13.24,13.69,2699235
2010-01-20,13.33,13.42,13.07,13.27,3060289
2010-01-21,13.39,13.4,12.77,12.86,4009603
2010-01-22,12.74,13.08,12.34,12.35,3336022
2010-01-25,12.54,12.66,12.19,12.23,3391963
2010-01-26,12.15,12.5,12.09,12.23,4497649
2010-01-27,12.1,12.14,11.72,12.05,6303485
2010-01-28,12.14,12.42,11.83,12.07,4838557
2010-01-29,12.16,12.48,11.96,12.03,6553929
2010-02-01,12.15,12.43,12.03,12.42,3725706
2010-02-02,12.4,13.14,12.37,13.12,5305868
2010-02-03,13.01,13.31,13.01,13.18,4682166
2010-02-04,12.99,13.0,12.66,12.87,6775334
2010-02-05,12.79,12.86,12.07,12.55,5616794
2010-02-08,12.45,12.63,12.29,12.47,3237313
2010-02-09,12.73,12.98,12.49,12.82,4654894
2010-02-10,12.83,12.95,12.49,12.87,3137507
2010-02-11,12.29,12.5,11.34,12.22,12822613
2010-02-12,11.97,12.26,11.85,12.26,7143464
2010-02-16,12.34,12.48,12.17,12.43,4247602
2010-02-17,12.53,12.53,12.2,12.38,4516242
2010-02-18,12.41,12.46,12.21,12.27,3719420
2010-02-19,12.22,12.26,12.03,12.07,6258184
2010-02-22,12.15,12.38,12.07,12.09,3689957
2010-02-23,12.05,12.18,11.58,11.76,4667589
2010-02-24,11.8,11.86,11.46,11.81,3378934
2010-02-25,11.54,11.71,11.32,11.68,4380081
2010-02-26,11.73,11.94,11.55,11.87,4817562
2010-03-01,11.95,12.43,11.95,12.4,4551663
2010-03-02,12.52,12.54,12.34,12.44,2781572
2010-03-03,12.54,12.82,12.42,12.58,3256064
2010-03-04,12.59,12.74,12.43,12.55,1915929
2010-03-05,12.67,12.8,12.65,12.77,1927333
2010-03-08,12.81,13.01,12.78,13.01,2163925
2010-03-09,12.95,13.09,12.88,13.03,2447404
2010-03-10,12.99,13.28,12.98,13.19,3563082
2010-03-11,13.11,13.46,13.0,13.42,3672217
2010-03-12,13.49,13.6,13.28,13.46,3094428
2010-03-15,13.45,13.52,13.29,13.45,2816192
2010-03-16,13.49,13.62,13.38,13.59,2449167
2010-03-17,13.61,13.97,13.58,13.78,3270941
2010-03-18,13.73,13.98,13.69,13.77,2321106
2010-03-19,13.8,13.98,13.31,13.31,5814932
2010-03-22,13.18,13.54,13.15,13.52,2832564
2010-03-23,13.52,13.77,13.35,13.74,4112122
2010-03-24,13.76,13.9,13.43,13.46,4039292
2010-03-25,13.64,13.74,13.41,13.43,3464135
2010-03-26,13.52,13.67,13.35,13.48,2786687
2010-03-29,13.56,13.71,13.43,13.6,2626408
2010-03-30,13.6,13.84,13.58,13.67,1703804
2010-03-31,13.57,13.9,13.38,13.77,5399032
2010-04-01,13.92,14.16,13.87,14.03,4307752
2010-04-05,14.12,14.4,13.94,14.33,3173647
2010-04-06,14.26,14.49,14.13,14.45,3503086
2010-04-07,14.34,14.4,13.95,14.07,4306340
2010-04-08,14.02,14.16,13.81,14.1,3963939
2010-04-09,14.11,14.31,14.03,14.29,2906883
2010-04-12,14.36,14.36,14.12,14.3,3208875
2010-04-13,14.23,14.4,14.22,14.32,2491438
2010-04-14,14.4,15.01,14.36,14.98,4225834
2010-04-15,14.92,15.44,14.8,15.09,6262909
2010-04-16,15.66,15.73,14.93,15.05,7231716
2010-04-19,14.96,15.31,14.82,15.3,5716473
2010-04-20,15.43,15.68,15.32,15.52,7307829
2010-04-21,15.5,15.66,15.41,15.6,4768355
2010-04-22,15.43,16.13,15.17,16.06,8534232
2010-04-23,16.13,16.5,15.91,16.29,8798681
2010-04-26,16.42,16.66,15.86,15.98,9499692
2010-04-27,15.24,15.27,13.72,13.86,18211836
2010-04-28,14.24,14.96,14.21,14.6,11701282
2010-04-29,14.76,15.07,14.74,14.95,5084147
2010-04-30,14.9,15.32,14.4,14.4,4831626
2010-05-03,14.5,14.82,14.45,14.76,4531935
2010-05-04,14.43,14.48,13.79,13.98,7186446
2010-05-05,13.74,14.16,13.28,13.73,9060785
2010-05-06,13.66,13.9,12.11,12.99,12309038
2010-05-07,12.91,13.04,12.02,12.12,13738017
2010-05-10,12.66,13.46,12.66,13.43,8694303
2010-05-11,13.2,13.67,13.1,13.42,5855118
2010-05-12,13.52,13.89,13.39,13.85,5768443
2010-05-13,13.75,13.78,13.45,13.47,5457088
2010-05-14,13.27,13.3,12.8,13.08,7244476
2010-05-17,13.08,13.16,12.53,13.1,5576527
2010-05-18,13.25,13.44,12.73,12.79,6506337
2010-05-19,12.65,12.82,12.16,12.49,7052697
2010-05-20,12.06,12.23,11.79,11.83,7715821
2010-05-21,11.6,12.32,11.6,12.19,6999522
2010-05-24,11.94,12.5,11.92,12.12,5248210
2010-05-25,11.6,12.02,11.45,12.01,8141966
2010-05-26,12.18,12.25,11.53,11.62,12025518
2010-05-27,12.03,12.1,11.73,12.06,6743573
2010-05-28,12.1,12.12,11.79,11.85,6827217
2010-06-01,11.63,11.67,11.09,11.1,8972601
2010-06-02,11.23,11.46,11.14,11.45,7524577
2010-06-03,11.48,11.59,11.22,11.48,6046847
2010-06-04,11.09,11.29,10.98,11.01,8210116
2010-06-07,11.01,11.12,10.51,10.53,5815889
2010-06-08,10.46,10.64,10.2,10.38,11537783
2010-06-09,10.58,10.7,10.22,10.29,4742712
2010-06-10,10.56,11.02,10.53,10.98,5223416
2010-06-11,10.8,11.09,10.74,10.97,3127049
2010-06-14,11.14,11.53,11.14,11.21,5614563
2010-06-15,11.29,11.76,11.16,11.72,5268936
2010-06-16,11.57,11.58,11.24,11.29,5729884
2010-06-17,11.3,11.36,10.75,10.85,6508579
2010-06-18,10.85,11.06,10.78,10.93,4751408
2010-06-21,11.14,11.27,10.86,10.94,4041942
2010-06-22,10.9,11.0,10.56,10.61,4351977
2010-06-23,10.61,10.8,10.29,10.74,7481517
2010-06-24,10.69,10.7,10.37,10.38,6706639
2010-06-25,10.42,10.57,10.25,10.48,5954148
