Date,Open,High,Low,Close,Volume
2010-01-04,69.47,69.77,69.12,69.41,3043663
2010-01-05,69.23,69.59,68.31,68.98,2849586
2010-01-06,70.13,70.73,69.82,69.95,5268578
2010-01-07,69.66,70.03,68.66,70.0,4470031
2010-01-08,69.97,70.5,69.65,70.5,3405793
2010-01-11,70.55,70.73,69.74,70.21,2927603
2010-01-12,69.88,70.38,69.65,70.27,3031713
2010-01-13,70.32,70.32,69.56,70.05,3101995
2010-01-14,70.01,70.17,69.75,69.81,2634101
2010-01-15,69.83,70.31,69.29,69.7,3954951
2010-01-19,70.08,71.21,69.81,71.17,4500308
2010-01-20,70.92,71.18,69.89,70.83,3671177
2010-01-21,70.73,70.73,69.03,69.14,4783159
2010-01-22,68.89,69.25,67.97,68.12,4809076
2010-01-25,68.83,69.3,68.12,68.42,3386524
2010-01-26,68.11,69.17,67.76,68.25,3137981
2010-01-27,68.0,69.26,67.73,68.81,5066850
2010-01-28,69.08,69.09,66.14,67.51,6821900
2010-01-29,68.01,68.46,67.04,67.3,4347174
2010-02-01,67.59,67.63,66.84,67.25,3635603
2010-02-02,67.47,67.67,66.63,67.25,4690275
2010-02-03,66.74,68.29,66.74,68.14,3401520
2010-02-04,67.83,67.83,65.91,66.23,5312556
2010-02-05,66.18,66.47,64.6,65.67,5407974
2010-02-08,65.62,65.62,64.59,64.82,4407593
2010-02-09,65.45,66.39,65.13,65.82,4252508
2010-02-10,65.88,66.29,65.21,65.73,2445186
2010-02-11,66.23,67.21,65.92,67.11,5525398
2010-02-12,66.17,66.24,65.27,66.2,5443846
2010-02-16,66.95,67.42,66.33,67.28,3620598
2010-02-17,67.24,67.46,66.67,67.0,3095120
2010-02-18,66.94,67.87,66.94,67.81,2702371
2010-02-19,67.84,68.34,67.4,68.16,3218567
2010-02-22,68.32,68.36,67.35,67.45,3025376
2010-02-23,67.23,67.8,66.61,66.64,3983251
2010-02-24,66.89,67.39,66.47,66.94,3530652
2010-02-25,66.18,66.69,65.75,66.67,4106273
2010-02-26,66.67,67.16,66.13,67.01,3224373
2010-03-01,67.36,67.68,67.18,67.37,2545132
2010-03-02,67.5,68.04,67.37,67.83,3365547
2010-03-03,67.86,68.29,67.61,67.72,2852222
2010-03-04,67.9,68.02,67.36,67.74,2620209
2010-03-05,68.01,68.98,67.91,68.93,3144056
2010-03-08,68.91,69.0,67.91,67.98,3627851
2010-03-09,67.85,68.67,67.5,68.55,4249733
2010-03-10,68.49,68.61,67.93,68.19,3584553
2010-03-11,67.94,68.17,67.31,67.94,4051272
2010-03-12,68.2,68.28,67.66,68.04,2945813
2010-03-15,67.86,68.27,67.54,67.94,2622341
2010-03-16,67.94,68.27,67.33,68.27,4242139
2010-03-17,68.5,68.9,68.27,68.71,3989680
2010-03-18,68.81,70.02,68.56,69.95,4940477
2010-03-19,70.06,70.23,68.15,68.52,6876132
2010-03-22,68.14,68.73,68.14,68.42,3256630
2010-03-23,68.64,68.9,67.86,68.85,4153039
2010-03-24,68.44,68.81,68.08,68.23,3102478
2010-03-25,68.57,68.77,67.59,67.66,4942499
2010-03-26,67.81,68.02,67.51,67.72,3815323
2010-03-29,67.92,68.3,67.75,68.02,3102792
2010-03-30,68.86,70.65,68.76,70.46,8704528
2010-03-31,70.27,70.61,69.69,69.87,4336635
2010-04-01,70.12,70.42,69.73,70.1,2965767
2010-04-05,70.41,70.63,69.88,70.39,2600732
2010-04-06,70.15,70.62,69.85,70.52,3208475
2010-04-07,70.32,70.76,69.56,69.95,4463429
