Date,Open,High,Low,Close,Volume
2010-01-04,4.91,4.98,4.91,4.97,3130245
2010-01-05,4.97,4.99,4.95,4.99,3375438
2010-01-06,5.13,5.16,5.1,5.14,2912583
2010-01-07,5.14,5.18,5.11,5.18,1877188
2010-01-08,5.14,5.21,5.14,5.2,1971059
2010-01-11,5.21,5.3,5.19,5.19,2767053
2010-01-12,5.3,5.33,5.27,5.29,2031750
2010-01-13,5.27,5.36,5.22,5.3,3140853
2010-01-14,5.33,5.45,5.33,5.42,3419460
2010-01-15,5.45,5.54,5.45,5.5,2813418
2010-01-19,5.4,5.43,5.36,5.41,2602938
2010-01-20,5.34,5.34,5.19,5.19,2021565
2010-01-21,5.33,5.36,5.26,5.32,4325857
2010-01-22,5.44,5.47,5.35,5.38,4513582
2010-01-25,5.34,5.45,5.34,5.42,7164949
2010-01-26,5.3,5.31,5.18,5.21,2938419
2010-01-27,5.24,5.33,5.21,5.33,3321963
2010-01-28,5.3,5.3,5.13,5.18,3985118
2010-01-29,5.17,5.23,5.12,5.13,2525573
2010-02-01,5.22,5.27,5.19,5.27,3493810
2010-02-02,5.27,5.39,5.25,5.34,2943356
2010-02-03,5.37,5.37,5.2,5.25,2559435
2010-02-04,5.17,5.17,5.01,5.01,3466009
2010-02-05,5.04,5.09,5.0,5.09,3098839
2010-02-08,5.08,5.15,5.05,5.09,3540421
2010-02-09,5.08,5.17,5.08,5.11,2438168
2010-02-10,5.06,5.1,5.0,5.04,2510855
2010-02-11,5.03,5.1,5.01,5.1,1591180
2010-02-12,5.08,5.08,4.97,5.01,1336881
2010-02-16,4.95,5.03,4.94,5.01,1764328
2010-02-17,5.01,5.05,5.0,5.0,4534945
2010-02-18,5.01,5.09,4.96,5.08,4018974
2010-02-19,4.97,5.0,4.96,4.97,2405212
2010-02-22,5.0,5.0,4.96,4.96,1942513
2010-02-23,4.99,5.0,4.94,4.97,2064714
2010-02-24,4.99,5.01,4.96,4.99,1448491
2010-02-25,4.98,5.07,4.97,5.07,2614533
2010-02-26,5.07,5.17,5.03,5.12,3169055
2010-03-01,5.11,5.22,5.11,5.16,3049197
2010-03-02,5.15,5.22,5.06,5.17,5162197
2010-03-03,5.12,5.23,5.12,5.17,3822900
2010-03-04,5.14,5.16,5.11,5.15,1972639
2010-03-05,5.14,5.16,5.1,5.14,3001346
2010-03-08,5.16,5.18,5.15,5.17,4039940
2010-03-09,5.15,5.17,5.11,5.15,3430088
2010-03-10,5.1,5.11,5.06,5.09,3145460
2010-03-11,5.1,5.15,5.08,5.15,3315657
2010-03-12,5.16,5.22,5.16,5.21,4789517
2010-03-15,5.18,5.22,5.17,5.19,1822346
2010-03-16,5.24,5.34,5.24,5.32,5200029
2010-03-17,5.3,5.34,5.29,5.32,3697937
2010-03-18,5.28,5.29,5.23,5.24,1543390
2010-03-19,5.22,5.27,5.18,5.22,1768591
2010-03-22,5.18,5.28,5.18,5.28,1305283
2010-03-23,5.28,5.29,5.24,5.25,1611334
2010-03-24,5.17,5.17,5.12,5.15,875335
2010-03-25,5.13,5.17,5.08,5.1,1824435
2010-03-26,5.11,5.18,5.1,5.16,1782464
2010-03-29,5.32,5.37,5.3,5.37,1837681
2010-03-30,5.37,5.41,5.34,5.37,2622545
2010-03-31,5.3,5.3,5.22,5.23,1851827
2010-04-01,5.24,5.25,5.18,5.25,1996623
2010-04-05,5.2,5.21,5.17,5.21,1487534
2010-04-06,5.19,5.31,5.18,5.29,3144486
2010-04-07,5.41,5.43,5.34,5.42,4350298
2010-04-08,5.38,5.47,5.36,5.47,4131715
2010-04-09,5.44,5.48,5.42,5.44,1061504
2010-04-12,5.47,5.51,5.46,5.49,1541414
2010-04-13,5.48,5.52,5.45,5.47,1864907
2010-04-14,5.5,5.55,5.49,5.55,1398219
2010-04-15,5.56,5.56,5.51,5.52,4883795
2010-04-16,5.55,5.55,5.39,5.47,3081337
2010-04-19,5.33,5.41,5.33,5.41,4400279
2010-04-20,5.42,5.44,5.36,5.42,3091834
2010-04-21,5.49,5.56,5.49,5.52,3216835
2010-04-22,5.49,5.49,5.43,5.46,1694989
2010-04-23,5.39,5.41,5.34,5.4,1267742
2010-04-26,5.42,5.46,5.42,5.42,1719211
2010-04-27,5.43,5.44,5.24,5.3,2952031
2010-04-28,5.34,5.34,5.2,5.24,4204918
2010-04-29,5.32,5.37,5.28,5.35,1698545
2010-04-30,5.25,5.26,5.16,5.17,1318016
2010-05-03,5.22,5.26,5.18,5.22,1453183
2010-05-04,5.22,5.22,5.08,5.1,2485555
2010-05-05,5.09,5.15,4.99,5.05,7425291
2010-05-06,5.03,5.05,4.81,5.0,6297302
2010-05-07,5.0,5.02,4.87,4.98,3662670
2010-05-10,5.11,5.2,5.09,5.12,6036694
2010-05-11,5.04,5.06,4.95,5.02,4206780
2010-05-12,4.9,4.9,4.85,4.89,6920487
2010-05-13,4.95,4.96,4.91,4.95,2316990
2010-05-14,4.94,4.95,4.84,4.9,4410983
2010-05-17,4.92,4.93,4.84,4.91,2988371
2010-05-18,4.93,4.95,4.77,4.85,2700205
2010-05-19,4.84,4.95,4.84,4.93,3985500
2010-05-20,4.87,4.94,4.86,4.92,3864801
2010-05-21,4.87,5.03,4.87,5.01,3441795
2010-05-24,4.92,4.95,4.89,4.9,1764934
2010-05-25,4.82,4.9,4.76,4.9,3322562
2010-05-26,4.96,4.96,4.83,4.84,2086537
2010-05-27,4.93,5.01,4.9,5.01,1810653
2010-05-28,4.92,4.93,4.82,4.84,2380447
2010-06-01,4.86,4.91,4.81,4.84,3687410
2010-06-02,4.87,4.9,4.79,4.87,4199597
2010-06-03,4.93,4.93,4.78,4.84,3187036
2010-06-04,4.79,4.8,4.66,4.7,6075974
2010-06-07,4.6,4.68,4.6,4.63,5844157
2010-06-08,4.51,4.59,4.48,4.56,3484852
2010-06-09,4.58,4.6,4.5,4.5,2000364
2010-06-10,4.55,4.67,4.55,4.65,2096759
2010-06-11,4.64,4.72,4.62,4.68,1007639
2010-06-14,4.74,4.75,4.66,4.71,1863289
2010-06-15,4.72,4.78,4.68,4.77,1711312
2010-06-16,4.7,4.76,4.68,4.75,1170901
2010-06-17,4.72,4.72,4.63,4.65,1940173
2010-06-18,4.68,4.68,4.61,4.66,2597213
2010-06-21,4.71,4.74,4.69,4.69,1948644
