Date,Open,High,Low,Close,Volume
2010-01-04,20.71,20.71,20.39,20.56,1337936
2010-01-05,20.53,20.62,19.85,20.07,3081453
2010-01-06,20.13,20.34,19.64,19.81,2491607
2010-01-07,19.81,20.16,19.81,19.98,1339909
2010-01-08,19.98,20.16,19.93,20.15,865383
2010-01-11,20.66,20.66,19.51,19.88,1536730
2010-01-12,19.81,20.11,19.75,19.81,1381635
2010-01-13,19.87,20.12,19.87,20.06,659950
2010-01-14,20.09,20.24,20.04,20.18,1073314
2010-01-15,20.09,20.09,19.72,19.73,1671598
2010-01-19,19.63,19.81,19.43,19.79,1167545
2010-01-20,19.68,19.68,19.48,19.6,1014639
2010-01-21,19.57,19.84,19.46,19.54,1583199
2010-01-22,19.54,19.73,19.29,19.33,1871153
2010-01-25,19.51,19.8,19.42,19.64,2043568
2010-01-26,20.93,21.43,20.85,20.94,6087068
2010-01-27,20.94,21.35,20.76,21.29,2272048
2010-01-28,21.36,21.36,21.04,21.19,1580279
2010-01-29,21.22,21.54,21.03,21.12,2061427
2010-02-01,21.26,21.58,21.17,21.54,1191053
2010-02-02,21.62,21.87,21.27,21.85,1478814
2010-02-03,21.78,21.78,21.32,21.42,1536299
2010-02-04,21.38,21.39,21.16,21.28,1525456
2010-02-05,21.34,21.42,20.95,21.3,1375984
2010-02-08,21.33,21.37,21.04,21.07,1270061
2010-02-09,21.21,21.47,21.16,21.26,1605606
2010-02-10,21.2,21.22,20.87,20.99,1752047
2010-02-11,21.0,21.26,20.97,21.24,1052617
2010-02-12,21.05,21.35,20.88,21.32,1042025
2010-02-16,21.42,21.6,21.39,21.51,748150
2010-02-17,21.64,21.81,21.61,21.68,740038
2010-02-18,21.7,21.78,21.44,21.74,714095
2010-02-19,21.65,21.88,21.6,21.79,739041
2010-02-22,21.84,21.91,21.56,21.6,933281
2010-02-23,21.49,21.68,21.35,21.38,789760
2010-02-24,21.37,21.52,21.29,21.46,646169
2010-02-25,21.27,21.47,21.11,21.45,826958
2010-02-26,21.47,21.48,21.11,21.13,1090479
2010-03-01,21.2,21.33,21.01,21.25,853572
2010-03-02,21.39,21.41,21.22,21.36,660191
2010-03-03,21.43,21.47,21.28,21.34,948627
