Date,Open,High,Low,Close,Volume
2010-01-04,36.35,37.55,36.35,37.44,4325254
2010-01-05,37.76,38.67,37.34,38.49,5610502
2010-01-06,38.85,39.35,38.68,39.19,4467260
2010-01-07,38.96,39.5,38.67,39.2,3226107
2010-01-08,39.0,40.54,38.97,40.54,4395652
2010-01-11,41.31,41.45,40.5,40.86,4853542
2010-01-12,39.99,40.28,38.92,39.67,4383937
2010-01-13,39.66,40.31,39.15,40.04,4878373
2010-01-14,40.05,40.57,39.73,40.52,2908610
2010-01-15,40.12,40.33,39.63,39.75,4136065
2010-01-19,39.82,40.68,39.78,40.51,2416541
2010-01-20,39.39,39.79,38.75,39.56,5217116
2010-01-21,39.36,39.58,37.34,37.88,7447907
2010-01-22,37.06,37.54,35.59,36.48,8629837
2010-01-25,36.91,37.54,36.82,37.06,4284358
2010-01-26,35.88,37.25,35.54,36.44,5553169
2010-01-27,36.41,36.63,33.85,34.72,10000681
2010-01-28,35.5,35.59,33.52,34.68,5376679
2010-01-29,34.9,35.12,32.58,32.82,8815653
2010-02-01,32.99,34.61,32.88,34.53,4760323
2010-02-02,35.29,35.78,34.36,35.63,4652161
2010-02-03,35.17,35.69,34.16,34.64,4298011
2010-02-04,33.76,33.91,31.6,31.72,8137820
2010-02-05,31.23,31.96,30.08,31.96,11689060
2010-02-08,32.48,34.0,31.95,32.01,8642753
2010-02-09,33.42,34.19,32.84,33.97,12602567
2010-02-10,34.19,34.59,32.97,33.41,8784352
2010-02-11,33.77,35.93,33.65,35.81,8797230
2010-02-12,34.99,36.05,34.65,35.88,7355823
2010-02-16,37.14,37.89,36.98,37.39,5716090
2010-02-17,37.73,38.09,36.88,37.51,6034511
2010-02-18,37.35,38.18,37.03,38.04,5447548
2010-02-19,37.66,38.63,37.59,38.32,5910068
2010-02-22,38.59,38.89,38.04,38.12,4113487
2010-02-23,37.72,38.1,36.08,36.44,5771061
2010-02-24,36.32,36.94,36.03,36.28,5559875
2010-02-25,34.96,36.96,34.48,36.79,5358390
2010-02-26,37.07,37.39,36.39,36.94,4251660
2010-03-01,37.94,38.33,37.55,38.32,4937538
2010-03-02,38.87,39.37,38.61,38.78,5955866
2010-03-03,39.2,40.28,39.16,39.74,6044906
2010-03-04,40.11,40.28,38.93,39.35,5029452
2010-03-05,40.01,40.92,39.9,40.62,3914341
2010-03-08,41.31,41.9,40.4,40.48,5652549
2010-03-09,39.81,40.43,39.53,39.88,4980308
2010-03-10,40.2,40.79,40.0,40.54,5537702
2010-03-11,40.17,40.47,39.66,40.18,3861170
2010-03-12,40.75,40.87,40.43,40.7,3590142
2010-03-15,40.36,40.5,39.32,40.2,3074513
2010-03-16,40.58,40.96,40.34,40.96,3740053
2010-03-17,41.47,41.7,41.26,41.49,5153457
2010-03-18,41.52,41.74,40.32,40.76,3352752
2010-03-19,40.85,41.1,39.39,39.62,4865940
2010-03-22,38.42,39.93,37.94,39.76,4759447
2010-03-23,40.14,40.93,39.83,40.91,4192223
2010-03-24,40.24,41.24,40.13,40.69,5017104
2010-03-25,41.4,41.57,40.02,40.14,5553157
2010-03-26,40.26,41.0,39.91,40.3,4409865
2010-03-29,41.0,42.32,40.95,42.32,5189690
