종목코드,시가총액,거래소,섹터
aapl,2994371300000.0,NASDAQ,기술
msft,2794827900000.0,NASDAQ,기술
goog,1773040330000.0,NASDAQ,기술
googl,1748360000000.0,NASDAQ,기술
amzn,1570152600000.0,NASDAQ,소비순환재
nvda,1223193400000.0,NASDAQ,기술
meta,909628600000.0,NASDAQ,기술
tsla,789898400000.0,NASDAQ,소비순환재
avgo,522561900000.0,NASDAQ,기술
asml,297772300000.0,NASDAQ,기술
cost,292896300000.0,NASDAQ,소비순환재
adbe,271632000000.0,NASDAQ,기술
amd,238140700000.0,NASDAQ,기술
pep,233506900000.0,NASDAQ,필수소비재
nflx,213097500000.0,NASDAQ,기술
intc,211854000000.0,NASDAQ,기술
azn,208650300000.0,NASDAQ,헬스케어
csco,205286800000.0,NASDAQ,기술
pdd,199806100000.0,NASDAQ,기술
lin,199149400000.0,NASDAQ,소재
tmus,185417600000.0,NASDAQ,기술
cmcsa,176499700000.0,NASDAQ,기술
intu,174968400000.0,NASDAQ,기술
qcom,160973200000.0,NASDAQ,기술
txn,154812500000.0,NASDAQ,기술
amgn,154142000000.0,NASDAQ,헬스케어
hon,138251500000.0,NASDAQ,필수소비재
amat,134691000000.0,NASDAQ,기술
sny,124315100000.0,NASDAQ,헬스케어
bkng,123762100000.0,NASDAQ,소비순환재
isrg,118774900000.0,NASDAQ,헬스케어
sbux,109134600000.0,NASDAQ,소비순환재
vrtx,104848700000.0,NASDAQ,헬스케어
lrcx,103227400000.0,NASDAQ,기술
gild,100941900000.0,NASDAQ,헬스케어
mdlz,98569700000.0,NASDAQ,필수소비재
adi,98537700000.0,NASDAQ,기술
adp,95821700000.0,NASDAQ,기술
regn,95687000000.0,NASDAQ,헬스케어
mu,94207600000.0,NASDAQ,기술
panw,92975700000.0,NASDAQ,기술
abnb,88278400000.0,NASDAQ,기술
meli,79456300000.0,NASDAQ,기술
klac,79017500000.0,NASDAQ,기술
snps,78259600000.0,NASDAQ,기술
arm,77104700000.0,NASDAQ,기술
cme,75814100000.0,NASDAQ,금융
eqix,75612800000.0,NASDAQ,부동산
cdns,74101500000.0,NASDAQ,기술
wday,72603800000.0,NASDAQ,기술
csx,68512500000.0,NASDAQ,산업
mar,66230300000.0,NASDAQ,소비순환재
pypl,66208600000.00001,NASDAQ,산업
lulu,61904300000.0,NASDAQ,소비순환재
ctas,61383400000.0,NASDAQ,산업
team,61381900000.0,NASDAQ,기술
crwd,61313800000.0,NASDAQ,기술
ntes,60796000000.0,NASDAQ,기술
mnst,59939800000.0,NASDAQ,필수소비재
nxpi,59203100000.0,NASDAQ,기술
rop,58236200000.0,NASDAQ,기술
chtr,57493700000.0,NASDAQ,기술
orly,56208800000.0,NASDAQ,소비순환재
mrvl,52138000000.0,NASDAQ,기술
adsk,52084100000.0,NASDAQ,기술
pcar,51078400000.0,NASDAQ,산업
mchp,48791500000.0,NASDAQ,기술
dxcm,47945100000.0,NASDAQ,헬스케어
cprt,47051300000.0,NASDAQ,기술
kdp,46592600000.0,NASDAQ,필수소비재
rost,46591200000.0,NASDAQ,소비순환재
idxx,46097800000.0,NASDAQ,헬스케어
jd,45458400000.0,NASDAQ,소비순환재
khc,45357400000.0,NASDAQ,필수소비재
ftnt,44945700000.0,NASDAQ,기술
odfl,44227000000.0,NASDAQ,산업
payx,42858400000.0,NASDAQ,산업
aep,42711600000.0,NASDAQ,유틸리티
bidu,41889900000.0,NASDAQ,기술
coin,41609600000.0,NASDAQ,기술
ddog,39879800000.0,NASDAQ,기술
dash,39378900000.0,NASDAQ,기술
mrna,37918700000.0,NASDAQ,헬스케어
ctsh,37871700000.0,NASDAQ,기술
biib,37495300000.0,NASDAQ,헬스케어
ceg,37332500000.0,NASDAQ,유틸리티
fast,37010400000.0,NASDAQ,산업
li,36899200000.0,NASDAQ,소비순환재
ea,36797300000.0,NASDAQ,기술
on,35976200000.0,NASDAQ,기술
exc,35736200000.0,NASDAQ,유틸리티
csgp,35686900000.0,NASDAQ,기술
ttd,35281800000.0,NASDAQ,기술
gehc,35199400000.0,NASDAQ,헬스케어
mbly,34922300000.0,NASDAQ,기술
vrsk,34631500000.0,NASDAQ,기술
bkr,34393100000.0,NASDAQ,에너지
xel,34162900000.0,NASDAQ,유틸리티
ndaq,33544699999.999996,NASDAQ,금융
gfs,33523900000.0,NASDAQ,기술
zs,32864800000.000004,NASDAQ,기술
anss,31524400000.0,NASDAQ,기술
dltr,30948700000.0,NASDAQ,소비순환재
ccep,30630400000.0,NASDAQ,필수소비재
cdw,30451900000.0,NASDAQ,기술
ryaay,30370700000.0,NASDAQ,산업
mpwr,30221900000.0,NASDAQ,기술
mdb,29509800000.0,NASDAQ,기술
fang,27757000000.0,NASDAQ,에너지
wbd,27750900000.0,NASDAQ,소비순환재
acgl,27715500000.0,NASDAQ,금융
ttwo,27372400000.0,NASDAQ,기술
sbac,27369900000.0,NASDAQ,부동산
bntx,25088500000.0,NASDAQ,헬스케어
vod,25071900000.0,NASDAQ,기술
wtw,24906400000.0,NASDAQ,금융
trow,24065500000.0,NASDAQ,금융
alny,24020600000.0,NASDAQ,헬스케어
ulta,23794700000.0,NASDAQ,소비순환재
tcom,23555800000.0,NASDAQ,소비순환재
fitb,23488300000.0,NASDAQ,금융
iclr,23272800000.0,NASDAQ,헬스케어
tsco,23247800000.0,NASDAQ,소비순환재
ebay,22638800000.0,NASDAQ,기술
wba,22556800000.0,NASDAQ,필수소비재
rivn,22468100000.0,NASDAQ,소비순환재
ilmn,22111300000.0,NASDAQ,헬스케어
zm,21891100000.0,NASDAQ,기술
tw,21333100000.0,NASDAQ,금융
argx,21287200000.0,NASDAQ,헬스케어
expe,21075800000.0,NASDAQ,소비순환재
gmab,21035900000.0,NASDAQ,헬스케어
vrsn,21007900000.0,NASDAQ,기술
eric,21005200000.0,NASDAQ,기술
siri,20999000000.0,NASDAQ,소비순환재
algn,20985400000.0,NASDAQ,헬스케어
ptc,20863100000.0,NASDAQ,기술
fcnco,20615236040.0,NASDAQ,금융
fcnca,20603600000.0,NASDAQ,금융
jbht,20601700000.0,NASDAQ,산업
vfs,19520800000.0,NASDAQ,소비순환재
axon,19357700000.0,NASDAQ,산업
stld,19110500000.0,NASDAQ,소재
bgne,18855800000.0,NASDAQ,헬스케어
pfg,18755900000.0,NASDAQ,금융
coo,18742600000.0,NASDAQ,헬스케어
wmg,18467500000.0,NASDAQ,소비순환재
hban,18419500000.0,NASDAQ,금융
fslr,18407100000.0,NASDAQ,에너지
ntap,18163700000.0,NASDAQ,기술
bmrn,18162500000.0,NASDAQ,헬스케어
enph,18043900000.0,NASDAQ,에너지
entg,17992000000.0,NASDAQ,기술
swks,17982100000.0,NASDAQ,기술
