Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,3.91,3.95,3.87,3.95,72728
2010-01-05 16:00:00.288,3.95,3.95,3.78,3.83,127447
2010-01-06 16:00:00.288,3.84,3.88,3.68,3.68,210111
2010-01-07 16:00:00.288,3.7,3.83,3.7,3.82,71187
2010-01-08 16:00:00.288,3.82,3.87,3.77,3.86,40594
2010-01-11 16:00:00.288,3.88,3.98,3.85,3.97,79550
2010-01-12 16:00:00.288,3.98,3.98,3.89,3.91,43847
2010-01-13 16:00:00.288,3.92,3.95,3.87,3.94,31017
2010-01-14 16:00:00.288,3.91,3.94,3.9,3.93,21230
2010-01-15 16:00:00.288,3.93,3.95,3.76,3.78,76393
2010-01-19 16:00:00.288,3.8,3.89,3.74,3.81,126206
2010-01-20 16:00:00.288,3.75,3.78,3.73,3.76,62142
2010-01-21 16:00:00.288,3.76,3.84,3.73,3.78,61227
2010-01-22 16:00:00.288,3.77,3.89,3.76,3.83,71281
2010-01-25 16:00:00.288,3.84,3.91,3.81,3.9,82369
2010-01-26 16:00:00.288,3.87,3.92,3.84,3.88,68981
2010-01-27 16:00:00.288,3.94,4.17,3.94,4.15,187078
2010-01-28 16:00:00.288,4.09,4.15,4.04,4.1,96787
2010-01-29 16:00:00.288,4.12,4.19,4.07,4.07,89581
2010-02-01 16:00:00.288,4.09,4.15,4.03,4.06,126039
2010-02-02 16:00:00.288,4.1,4.16,4.08,4.13,69171
2010-02-03 16:00:00.288,4.1,4.13,4.01,4.07,48009
2010-02-04 16:00:00.288,4.08,4.08,4.02,4.05,124205
2010-02-05 16:00:00.288,4.05,4.16,3.99,4.13,80779
2010-02-08 16:00:00.288,4.11,4.13,4.07,4.08,50152
2010-02-09 16:00:00.288,4.09,4.15,4.05,4.14,61921
2010-02-10 16:00:00.288,4.13,4.15,4.07,4.12,67330
2010-02-11 16:00:00.288,4.16,4.19,4.07,4.17,106558
2010-02-12 16:00:00.288,4.16,4.18,4.11,4.18,53850
2010-02-16 16:00:00.288,4.18,4.2,4.15,4.2,34462
2010-02-17 16:00:00.288,4.18,4.21,4.16,4.21,53667
2010-02-18 16:00:00.288,4.15,4.28,4.15,4.28,43937
2010-02-19 16:00:00.288,4.26,4.34,4.23,4.31,41702
2010-02-22 16:00:00.288,4.29,4.35,4.29,4.31,74550
2010-02-23 16:00:00.288,4.31,4.33,4.27,4.29,57919
2010-02-24 16:00:00.288,4.28,4.3,4.23,4.25,46828
2010-02-25 16:00:00.288,4.18,4.21,4.12,4.17,81661
2010-02-26 16:00:00.288,4.17,4.21,4.16,4.16,74130
2010-03-01 16:00:00.288,4.24,4.31,4.2,4.27,162034
2010-03-02 16:00:00.288,4.28,4.29,4.24,4.27,108501
2010-03-03 16:00:00.288,4.26,4.3,4.25,4.26,51556
2010-03-04 16:00:00.288,4.27,4.3,4.22,4.26,28137
2010-03-05 16:00:00.288,4.22,4.28,4.2,4.25,47702
2010-03-08 16:00:00.288,4.25,4.28,4.24,4.25,52830
2010-03-09 16:00:00.288,4.27,4.3,4.24,4.26,77736
2010-03-10 16:00:00.288,4.24,4.3,4.24,4.27,49748
2010-03-11 16:00:00.288,4.26,4.29,4.24,4.28,58684
2010-03-12 16:00:00.288,4.29,4.31,4.26,4.29,49912
2010-03-15 16:00:00.288,4.15,4.23,4.12,4.15,103553
2010-03-16 16:00:00.288,4.15,4.19,4.11,4.16,91516
2010-03-17 16:00:00.288,4.24,4.31,4.09,4.24,98786
2010-03-18 16:00:00.288,4.27,4.28,4.24,4.25,65962
2010-03-19 16:00:00.288,4.3,4.31,4.26,4.29,112728
2010-03-22 16:00:00.288,4.25,4.35,4.24,4.34,36024
2010-03-23 16:00:00.288,4.32,4.44,4.32,4.41,53143
2010-03-24 16:00:00.288,4.39,4.43,4.35,4.36,59035
2010-03-25 16:00:00.288,4.36,4.41,4.31,4.32,24979
2010-03-26 16:00:00.288,4.31,4.38,4.31,4.35,39584
2010-03-29 16:00:00.288,4.32,4.4,4.32,4.35,26412
2010-03-30 16:00:00.288,4.37,4.52,4.32,4.51,90047
2010-03-31 16:00:00.288,4.42,4.55,4.41,4.47,90077
2010-04-01 16:00:00.288,4.49,4.58,4.44,4.48,101968
2010-04-05 16:00:00.288,4.53,4.56,4.44,4.56,40530
2010-04-06 16:00:00.288,4.54,4.55,4.46,4.5,25044
2010-04-07 16:00:00.288,4.48,4.53,4.44,4.49,52977
2010-04-08 16:00:00.288,4.47,4.49,4.43,4.44,32336
2010-04-09 16:00:00.288,4.45,4.48,4.36,4.47,38027
2010-04-12 16:00:00.288,4.49,4.59,4.46,4.58,79963
2010-04-13 16:00:00.288,4.52,4.56,4.46,4.56,61509
2010-04-14 16:00:00.288,4.56,4.65,4.52,4.64,252896
2010-04-15 16:00:00.288,4.63,4.69,4.63,4.66,40263
2010-04-16 16:00:00.288,4.61,4.69,4.59,4.66,49388
2010-04-19 16:00:00.288,4.63,4.7,4.59,4.67,49026
2010-04-20 16:00:00.288,4.67,4.69,4.59,4.69,56399
2010-04-21 16:00:00.288,4.54,4.6,4.46,4.51,154759
2010-04-22 16:00:00.288,4.46,4.71,4.39,4.68,79496
2010-04-23 16:00:00.288,4.68,4.73,4.66,4.73,54407
2010-04-26 16:00:00.288,4.69,4.73,4.65,4.66,50345
2010-04-27 16:00:00.288,4.68,4.7,4.56,4.59,79119
2010-04-28 16:00:00.288,4.61,4.84,4.57,4.75,170430
2010-04-29 16:00:00.288,4.77,4.86,4.67,4.85,59647
2010-04-30 16:00:00.288,4.88,4.96,4.77,4.77,77085
2010-05-03 16:00:00.288,4.79,4.84,4.68,4.83,55180
2010-05-04 16:00:00.288,4.77,4.77,4.6,4.64,70378
2010-05-05 16:00:00.288,4.67,4.67,4.42,4.46,138135
2010-05-06 16:00:00.288,4.39,4.51,4.25,4.35,126836
2010-05-07 16:00:00.288,4.3,4.41,4.25,4.25,149516
2010-05-10 16:00:00.288,4.4,4.55,4.35,4.54,83294
2010-05-11 16:00:00.288,4.54,4.64,4.43,4.61,74048
2010-05-12 16:00:00.288,4.6,4.78,4.56,4.77,83341
2010-05-13 16:00:00.288,4.77,4.78,4.7,4.78,53394
2010-05-14 16:00:00.288,4.72,4.77,4.68,4.77,144752
2010-05-17 16:00:00.288,4.81,4.92,4.75,4.92,154001
2010-05-18 16:00:00.288,4.93,4.96,4.88,4.9,107706
2010-05-19 16:00:00.288,4.9,4.93,4.83,4.87,65517
2010-05-20 16:00:00.288,4.85,4.86,4.67,4.7,115395
2010-05-21 16:00:00.288,4.67,4.76,4.64,4.74,76864
2010-05-24 16:00:00.288,4.76,4.76,4.61,4.62,68724
2010-05-25 16:00:00.288,4.61,4.62,4.48,4.6,65318
2010-05-26 16:00:00.288,4.65,4.68,4.57,4.6,83939
2010-05-27 16:00:00.288,4.67,4.9,4.62,4.9,95198
2010-05-28 16:00:00.288,4.93,4.93,4.82,4.88,100360
2010-06-01 16:00:00.288,4.86,4.87,4.57,4.58,116026
2010-06-02 16:00:00.288,4.61,4.78,4.57,4.78,80008
2010-06-03 16:00:00.288,4.78,4.85,4.73,4.79,72498
2010-06-04 16:00:00.288,4.68,4.72,4.51,4.54,96224
2010-06-07 16:00:00.288,4.55,4.66,4.52,4.53,77154
2010-06-08 16:00:00.288,4.56,4.56,4.43,4.53,61757
2010-06-09 16:00:00.288,4.66,4.74,4.57,4.6,60222
2010-06-10 16:00:00.288,4.67,4.74,4.63,4.74,58639
2010-06-11 16:00:00.288,4.7,4.77,4.67,4.76,54154
2010-06-14 16:00:00.288,4.81,4.87,4.72,4.75,73810
2010-06-15 16:00:00.288,4.79,4.85,4.71,4.81,94634
2010-06-16 16:00:00.288,4.77,4.85,4.74,4.82,53956
2010-06-17 16:00:00.288,4.87,4.87,4.77,4.84,29990
2010-06-18 16:00:00.288,4.87,4.94,4.76,4.89,177626
2010-06-21 16:00:00.288,4.94,4.99,4.85,4.88,73104
2010-06-22 16:00:00.288,4.88,4.92,4.77,4.79,61671
2010-06-23 16:00:00.288,4.77,4.83,4.7,4.74,41935
2010-06-24 16:00:00.288,4.71,4.8,4.66,4.71,25863
2010-06-25 16:00:00.288,4.74,4.77,4.71,4.74,194272
2010-06-28 16:00:00.288,4.75,4.78,4.7,4.71,63674
2010-06-29 16:00:00.288,4.64,4.73,4.6,4.63,65192
2010-06-30 16:00:00.288,4.64,4.73,4.58,4.6,64477
2010-07-01 16:00:00.288,4.6,4.74,4.56,4.71,56747
2010-07-02 16:00:00.288,4.76,4.81,4.66,4.77,48826
2010-07-06 16:00:00.288,4.82,4.82,4.5,4.52,107750
2010-07-07 16:00:00.288,4.51,4.63,4.51,4.62,49468
2010-07-08 16:00:00.288,4.67,4.69,4.62,4.68,40814
2010-07-09 16:00:00.288,4.66,4.73,4.64,4.72,18947
2010-07-12 16:00:00.288,4.69,4.7,4.58,4.58,25981
2010-07-13 16:00:00.288,4.65,4.74,4.58,4.72,48811
2010-07-14 16:00:00.288,4.7,4.72,4.6,4.71,40988
2010-07-15 16:00:00.288,4.7,4.7,4.61,4.66,30720
2010-07-16 16:00:00.288,4.61,4.66,4.5,4.51,44502
2010-07-19 16:00:00.288,4.47,4.6,4.46,4.59,45403
2010-07-20 16:00:00.288,4.53,4.69,4.53,4.68,33553
2010-07-21 16:00:00.288,4.72,4.73,4.6,4.61,43372
