Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,2.96,3.06,2.93,3.05,275687
2010-01-05 16:00:00.288,3.06,3.15,3.05,3.06,262718
2010-01-06 16:00:00.288,3.07,3.12,2.94,2.97,140690
2010-01-07 16:00:00.288,2.97,3.05,2.87,3.03,176353
2010-01-08 16:00:00.288,3.03,3.09,2.95,3.03,130356
2010-01-11 16:00:00.288,3.04,3.09,2.98,3.01,230065
2010-01-12 16:00:00.288,2.98,3.02,2.9,2.91,163426
2010-01-13 16:00:00.288,2.92,2.97,2.89,2.94,223588
2010-01-14 16:00:00.288,2.92,2.97,2.88,2.92,94125
2010-01-15 16:00:00.288,2.92,2.95,2.79,2.83,159922
2010-01-19 16:00:00.288,2.83,2.95,2.5,2.91,389027
2010-01-20 16:00:00.288,2.88,2.88,2.37,2.74,368377
2010-01-21 16:00:00.288,2.74,2.81,2.66,2.74,430144
2010-01-22 16:00:00.288,2.74,2.8,2.67,2.69,252232
2010-01-25 16:00:00.288,2.72,2.8,2.65,2.69,227160
2010-01-26 16:00:00.288,2.68,2.72,2.64,2.71,274872
2010-01-27 16:00:00.288,2.68,2.76,2.6,2.64,188822
2010-01-28 16:00:00.288,2.65,2.74,2.55,2.58,152162
2010-01-29 16:00:00.288,2.6,2.68,2.55,2.57,168854
2010-02-01 16:00:00.288,2.58,2.68,2.55,2.56,312014
2010-02-02 16:00:00.288,2.55,2.57,2.5,2.51,447179
2010-02-03 16:00:00.288,2.51,2.53,2.47,2.48,477559
2010-02-04 16:00:00.288,2.48,2.5,2.34,2.35,263886
2010-02-05 16:00:00.288,2.37,2.54,2.34,2.41,165065
2010-02-08 16:00:00.288,2.41,2.51,2.4,2.41,147317
2010-02-09 16:00:00.288,2.44,2.53,2.4,2.44,184913
2010-02-10 16:00:00.288,2.43,2.45,2.4,2.45,131469
2010-02-11 16:00:00.288,2.43,2.57,2.43,2.57,135719
2010-02-12 16:00:00.288,2.53,2.63,2.48,2.62,187947
2010-02-16 16:00:00.288,2.64,2.64,2.51,2.53,156855
2010-02-17 16:00:00.288,2.55,2.62,2.54,2.6,206878
2010-02-18 16:00:00.288,2.6,2.62,2.53,2.6,157506
2010-02-19 16:00:00.288,2.6,2.67,2.48,2.66,244999
2010-02-22 16:00:00.288,2.69,2.71,2.55,2.62,310820
2010-02-23 16:00:00.288,2.62,2.72,2.59,2.69,157540
2010-02-24 16:00:00.288,2.84,3.21,2.84,3.17,882228
2010-02-25 16:00:00.288,3.08,3.15,2.99,3.15,529374
2010-02-26 16:00:00.288,3.15,3.16,3.06,3.13,347003
2010-03-01 16:00:00.288,3.15,3.31,3.06,3.31,493171
2010-03-02 16:00:00.288,3.31,3.32,3.19,3.28,256770
2010-03-03 16:00:00.288,3.3,3.45,3.28,3.38,723562
2010-03-04 16:00:00.288,3.37,3.47,3.34,3.44,596372
2010-03-05 16:00:00.288,3.46,3.56,3.44,3.55,463715
2010-03-08 16:00:00.288,3.57,3.64,3.47,3.62,803797
2010-03-09 16:00:00.288,3.6,3.66,3.52,3.64,331070
2010-03-10 16:00:00.288,3.64,3.74,3.61,3.71,631903
2010-03-11 16:00:00.288,3.69,3.74,3.55,3.73,294310
2010-03-12 16:00:00.288,3.75,3.79,3.71,3.77,279980
2010-03-15 16:00:00.288,3.78,3.8,3.71,3.79,349309
2010-03-16 16:00:00.288,3.81,3.83,3.77,3.83,287671
2010-03-17 16:00:00.288,3.83,3.89,3.78,3.85,276250
2010-03-18 16:00:00.288,3.87,3.87,3.67,3.73,622854
2010-03-19 16:00:00.288,3.73,3.78,3.57,3.59,662020
2010-03-22 16:00:00.288,3.59,3.81,3.58,3.8,425791
2010-03-23 16:00:00.288,3.83,3.91,3.78,3.9,419991
2010-03-24 16:00:00.288,3.86,3.97,3.78,3.86,458461
2010-03-25 16:00:00.288,4.04,4.06,3.92,4.02,641183
2010-03-26 16:00:00.288,4.05,4.08,4.0,4.01,330331
2010-03-29 16:00:00.288,4.02,4.02,3.81,3.83,461985
2010-03-30 16:00:00.288,3.84,3.9,3.83,3.88,206047
2010-03-31 16:00:00.288,3.86,3.96,3.82,3.85,295263
2010-04-01 16:00:00.288,3.9,3.9,3.78,3.82,156462
2010-04-05 16:00:00.288,3.82,3.96,3.8,3.96,285784
2010-04-06 16:00:00.288,3.95,4.04,3.94,4.03,217148
2010-04-07 16:00:00.288,4.03,4.08,3.95,3.99,301109
2010-04-08 16:00:00.288,3.99,3.99,3.83,3.95,256316
2010-04-09 16:00:00.288,3.96,3.98,3.88,3.9,163914
2010-04-12 16:00:00.288,3.89,3.91,3.86,3.9,170498
2010-04-13 16:00:00.288,3.87,4.08,3.87,4.07,273871
2010-04-14 16:00:00.288,4.08,4.14,4.07,4.13,286621
2010-04-15 16:00:00.288,4.14,4.23,4.08,4.18,295128
2010-04-16 16:00:00.288,4.17,4.21,4.03,4.04,372721
2010-04-19 16:00:00.288,4.0,4.11,3.9,3.98,425841
2010-04-20 16:00:00.288,4.0,4.13,3.96,4.1,333179
2010-04-21 16:00:00.288,4.12,4.14,4.08,4.09,459775
2010-04-22 16:00:00.288,4.05,4.19,4.05,4.15,577297
2010-04-23 16:00:00.288,4.17,4.19,4.12,4.15,326063
2010-04-26 16:00:00.288,4.16,4.3,4.16,4.2,282952
2010-04-27 16:00:00.288,4.19,4.26,4.15,4.21,384780
2010-04-28 16:00:00.288,4.26,4.3,4.2,4.29,239312
2010-04-29 16:00:00.288,4.32,4.34,4.21,4.25,265177
2010-04-30 16:00:00.288,4.26,4.31,4.1,4.1,235137
2010-05-03 16:00:00.288,4.12,4.39,4.12,4.39,244042
2010-05-04 16:00:00.288,4.32,4.35,4.08,4.15,569551
2010-05-05 16:00:00.288,4.12,4.18,3.91,3.94,383822
2010-05-06 16:00:00.288,3.92,4.29,3.68,4.02,1025732
2010-05-07 16:00:00.288,4.0,4.02,3.64,3.66,667046
2010-05-10 16:00:00.288,3.93,4.25,3.84,4.04,714969
2010-05-11 16:00:00.288,3.99,4.17,3.93,4.05,757077
2010-05-12 16:00:00.288,4.03,4.15,4.01,4.12,286192
2010-05-13 16:00:00.288,4.08,4.27,4.08,4.22,312646
2010-05-14 16:00:00.288,4.15,4.16,3.96,4.01,262374
2010-05-17 16:00:00.288,4.03,4.08,3.95,4.02,265148
2010-05-18 16:00:00.288,4.03,4.08,3.88,3.93,364944
2010-05-19 16:00:00.288,3.9,3.95,3.69,3.71,413126
2010-05-20 16:00:00.288,3.76,3.86,3.6,3.61,575093
2010-05-21 16:00:00.288,3.53,3.81,3.52,3.69,597800
2010-05-24 16:00:00.288,3.69,3.72,3.62,3.62,250673
2010-05-25 16:00:00.288,3.61,3.75,3.52,3.71,491664
2010-05-26 16:00:00.288,3.75,3.79,3.64,3.67,331878
2010-05-27 16:00:00.288,3.78,4.09,3.74,4.08,542887
2010-05-28 16:00:00.288,4.08,4.1,3.9,3.93,335719
2010-06-01 16:00:00.288,3.88,3.96,3.8,3.9,645201
2010-06-02 16:00:00.288,3.94,4.01,3.78,3.96,697056
2010-06-03 16:00:00.288,3.95,4.03,3.89,3.99,633442
2010-06-04 16:00:00.288,3.9,3.95,3.72,3.73,347363
2010-06-07 16:00:00.288,3.76,3.83,3.46,3.47,344264
2010-06-08 16:00:00.288,3.52,3.57,3.43,3.5,536008
2010-06-09 16:00:00.288,3.55,3.63,3.4,3.44,318807
2010-06-10 16:00:00.288,3.49,3.52,3.38,3.46,466063
2010-06-11 16:00:00.288,3.44,3.51,3.44,3.5,408019
2010-06-14 16:00:00.288,3.56,3.69,3.53,3.56,697999
2010-06-15 16:00:00.288,3.61,3.66,3.55,3.61,605670
2010-06-16 16:00:00.288,3.57,3.59,3.48,3.5,591027
2010-06-17 16:00:00.288,3.53,3.58,3.5,3.54,397750
2010-06-18 16:00:00.288,3.56,3.59,3.52,3.52,472940
2010-06-21 16:00:00.288,3.62,3.69,3.5,3.5,570851
2010-06-22 16:00:00.288,3.52,3.59,3.5,3.52,519679
2010-06-23 16:00:00.288,3.53,3.57,3.47,3.52,288927
2010-06-24 16:00:00.288,3.48,3.52,3.37,3.37,421086
2010-06-25 16:00:00.288,3.4,3.45,3.35,3.37,3328799
2010-06-28 16:00:00.288,3.37,3.47,3.37,3.42,581025
2010-06-29 16:00:00.288,3.35,3.37,3.25,3.28,543051
2010-06-30 16:00:00.288,3.29,3.32,3.18,3.22,367707
2010-07-01 16:00:00.288,3.21,3.26,3.09,3.2,438850
2010-07-02 16:00:00.288,3.13,3.24,3.11,3.14,260977
2010-07-06 16:00:00.288,3.2,3.23,3.03,3.06,383380
2010-07-07 16:00:00.288,3.09,3.15,2.96,3.06,838574
2010-07-08 16:00:00.288,3.11,3.16,3.04,3.16,542772
2010-07-09 16:00:00.288,3.16,3.28,3.16,3.25,785489
2010-07-12 16:00:00.288,3.25,3.25,3.16,3.2,393694
2010-07-13 16:00:00.288,3.24,3.3,3.2,3.28,466798
2010-07-14 16:00:00.288,3.25,3.34,3.22,3.33,539021
2010-07-15 16:00:00.288,3.34,3.34,3.18,3.24,208538
2010-07-16 16:00:00.288,3.18,3.24,3.18,3.2,513881
2010-07-19 16:00:00.288,3.2,3.24,3.11,3.11,213762
2010-07-20 16:00:00.288,3.08,3.11,2.96,3.11,426747
2010-07-21 16:00:00.288,3.12,3.19,3.0,3.02,355679
2010-07-22 16:00:00.288,3.08,3.08,3.0,3.05,786511
2010-07-23 16:00:00.288,3.05,3.28,3.04,3.25,446924
2010-07-26 16:00:00.288,3.28,3.5,3.26,3.49,654868
2010-07-27 16:00:00.288,3.52,3.61,3.49,3.5,459768
2010-07-28 16:00:00.288,3.52,3.55,3.4,3.42,338930
2010-07-29 16:00:00.288,3.45,3.52,3.35,3.37,364575
