Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,12.16,12.31,12.08,12.16,488847
2010-01-05 16:00:00.288,12.12,12.49,12.08,12.48,411298
2010-01-06 16:00:00.288,12.47,13.13,12.42,13.07,716312
2010-01-07 16:00:00.288,12.87,13.62,12.84,13.44,1684146
2010-01-08 16:00:00.288,13.44,13.53,13.34,13.46,646416
2010-01-11 16:00:00.288,13.56,13.87,13.45,13.87,506412
2010-01-12 16:00:00.288,13.66,13.75,13.11,13.19,752398
2010-01-13 16:00:00.288,13.32,13.51,12.84,13.44,1412037
2010-01-14 16:00:00.288,13.52,13.9,13.36,13.79,1053230
2010-01-15 16:00:00.288,13.85,13.89,13.62,13.7,865716
2010-01-19 16:00:00.288,13.51,13.85,13.31,13.66,465462
2010-01-20 16:00:00.288,13.35,13.5,13.15,13.29,745721
2010-01-21 16:00:00.288,13.2,13.43,13.08,13.25,865124
2010-01-22 16:00:00.288,13.33,13.35,12.86,13.01,702600
2010-01-25 16:00:00.288,13.02,13.35,12.88,13.14,590798
2010-01-26 16:00:00.288,13.14,13.16,12.62,12.62,619507
2010-01-27 16:00:00.288,12.51,12.67,12.39,12.58,701218
2010-01-28 16:00:00.288,12.59,12.62,12.18,12.29,673395
2010-01-29 16:00:00.288,12.32,12.44,12.18,12.27,437838
2010-02-01 16:00:00.288,12.34,12.81,12.24,12.74,664372
2010-02-02 16:00:00.288,12.61,13.16,12.6,12.84,468779
2010-02-03 16:00:00.288,12.7,12.94,12.47,12.71,295911
2010-02-04 16:00:00.288,12.7,12.71,12.1,12.27,616808
2010-02-05 16:00:00.288,12.62,13.15,12.53,12.83,959169
2010-02-08 16:00:00.288,12.87,13.18,12.67,12.77,434624
2010-02-09 16:00:00.288,12.98,13.02,12.7,12.84,340984
2010-02-10 16:00:00.288,12.74,12.88,12.49,12.54,313833
2010-02-11 16:00:00.288,12.74,12.81,12.45,12.79,227574
2010-02-12 16:00:00.288,12.62,13.07,12.58,13.07,486545
2010-02-16 16:00:00.288,13.1,13.11,12.85,12.94,335753
2010-02-17 16:00:00.288,12.98,13.08,12.94,13.04,241539
2010-02-18 16:00:00.288,13.3,13.52,13.07,13.47,596571
2010-02-19 16:00:00.288,13.4,13.5,13.28,13.38,638869
2010-02-22 16:00:00.288,13.38,13.56,13.23,13.48,314903
2010-02-23 16:00:00.288,13.29,13.53,13.2,13.3,425170
2010-02-24 16:00:00.288,13.28,13.67,13.22,13.59,412665
2010-02-25 16:00:00.288,13.62,13.69,12.87,12.87,1140713
2010-02-26 16:00:00.288,12.97,13.0,12.48,12.5,1119468
2010-03-01 16:00:00.288,12.57,12.95,12.5,12.86,1068689
2010-03-02 16:00:00.288,12.86,13.39,12.84,13.33,981147
2010-03-03 16:00:00.288,13.47,13.62,13.18,13.42,554328
2010-03-04 16:00:00.288,13.21,13.44,12.96,13.19,1460733
2010-03-05 16:00:00.288,13.27,13.84,13.15,13.76,1285338
2010-03-08 16:00:00.288,13.81,14.37,13.77,14.31,1204027
2010-03-09 16:00:00.288,14.25,14.28,13.93,13.95,1260505
2010-03-10 16:00:00.288,14.01,14.37,13.87,13.99,756990
2010-03-11 16:00:00.288,14.03,14.06,13.7,13.91,480217
2010-03-12 16:00:00.288,13.92,14.2,13.77,13.86,761394
2010-03-15 16:00:00.288,13.76,14.09,13.76,14.0,673098
2010-03-16 16:00:00.288,14.04,14.68,14.03,14.63,1249284
2010-03-17 16:00:00.288,14.51,14.7,14.41,14.61,659245
2010-03-18 16:00:00.288,14.2,14.3,13.75,13.86,2277656
2010-03-19 16:00:00.288,14.03,14.03,13.11,13.11,2056301
2010-03-22 16:00:00.288,13.08,13.58,12.86,13.49,1995103
2010-03-23 16:00:00.288,13.5,13.83,13.46,13.79,807169
2010-03-24 16:00:00.288,13.88,14.62,13.79,14.56,2032967
2010-03-25 16:00:00.288,14.67,14.82,14.53,14.68,1323206
2010-03-26 16:00:00.288,14.72,14.89,14.6,14.7,1132279
2010-03-29 16:00:00.288,14.77,14.98,14.6,14.66,693027
2010-03-30 16:00:00.288,14.56,14.75,14.5,14.66,522590
2010-03-31 16:00:00.288,14.55,14.75,14.55,14.65,970018
2010-04-01 16:00:00.288,14.87,14.88,14.4,14.63,638514
2010-04-05 16:00:00.288,14.59,14.89,14.48,14.79,657247
2010-04-06 16:00:00.288,14.75,14.93,14.58,14.71,472853
2010-04-07 16:00:00.288,14.7,14.73,14.4,14.53,660946
2010-04-08 16:00:00.288,14.49,14.61,14.4,14.49,549681
2010-04-09 16:00:00.288,14.6,14.62,14.4,14.48,605158
2010-04-12 16:00:00.288,15.24,15.31,14.85,14.92,1795425
2010-04-13 16:00:00.288,14.97,15.01,14.6,14.76,667489
2010-04-14 16:00:00.288,14.87,15.35,14.87,15.33,630289
2010-04-15 16:00:00.288,15.3,15.41,15.15,15.31,768419
2010-04-16 16:00:00.288,15.37,15.44,15.0,15.2,622895
2010-04-19 16:00:00.288,15.28,15.3,15.01,15.15,415083
2010-04-20 16:00:00.288,15.17,15.59,15.15,15.56,496478
2010-04-21 16:00:00.288,15.63,15.83,15.26,15.36,354588
2010-04-22 16:00:00.288,15.29,15.3,14.85,14.99,721076
2010-04-23 16:00:00.288,15.1,15.37,14.97,15.22,449268
2010-04-26 16:00:00.288,15.32,15.5,15.23,15.36,366455
2010-04-27 16:00:00.288,15.3,15.31,14.85,14.87,446650
2010-04-28 16:00:00.288,15.13,15.27,14.96,15.16,902056
2010-04-29 16:00:00.288,15.37,15.85,15.15,15.25,1164254
2010-04-30 16:00:00.288,15.25,15.51,15.16,15.29,945966
2010-05-03 16:00:00.288,15.45,15.58,15.17,15.31,452457
2010-05-04 16:00:00.288,15.17,15.22,14.51,14.64,673794
2010-05-05 16:00:00.288,14.51,15.24,13.63,15.06,1552701
2010-05-06 16:00:00.288,15.05,15.27,13.25,13.99,1249753
2010-05-07 16:00:00.288,13.67,13.9,13.15,13.21,1639328
2010-05-10 16:00:00.288,13.93,14.57,13.8,14.05,1154699
2010-05-11 16:00:00.288,13.92,14.58,13.78,14.3,444285
