Date,Open,High,Low,Close,Volume
2023-09-19 16:00:00.288,41.9,42.95,33.67,33.7,39495932
2023-09-20 16:00:00.288,32.01,33.48,29.96,30.1,16366022
2023-09-21 16:00:00.288,30.21,31.9,29.9,30.65,7307900
2023-09-22 16:00:00.288,31.56,31.6,29.91,30.0,4459439
2023-09-25 16:00:00.288,29.9,30.42,29.05,30.39,3681167
2023-09-26 16:00:00.288,30.2,30.3,29.75,29.89,1564888
2023-09-27 16:00:00.288,29.75,30.0,28.26,28.54,2995371
2023-09-28 16:00:00.288,28.44,30.16,28.43,29.83,2095791
2023-09-29 16:00:00.288,30.1,30.88,29.19,29.69,1928637
2023-10-02 16:00:00.288,29.34,29.72,26.9,26.96,4915635
2023-10-03 16:00:00.288,26.66,27.38,26.11,26.54,1795208
2023-10-04 16:00:00.288,26.37,27.51,26.2,27.31,935538
2023-10-05 16:00:00.288,26.94,27.8,25.7,26.2,1742046
2023-10-06 16:00:00.288,26.2,26.22,24.68,25.47,2728339
2023-10-09 16:00:00.288,25.0,25.13,23.36,24.66,2615110
2023-10-10 16:00:00.288,24.66,27.49,24.66,26.92,5378288
2023-10-11 16:00:00.288,26.92,27.07,24.77,24.94,3310163
2023-10-12 16:00:00.288,25.28,25.52,23.64,24.72,3543025
2023-10-13 16:00:00.288,24.31,26.2,24.31,25.57,1738917
2023-10-16 16:00:00.288,26.1,26.15,24.55,24.85,2097442
2023-10-17 16:00:00.288,25.15,25.15,24.37,24.52,1149912
2023-10-18 16:00:00.288,24.62,25.43,24.1,25.41,1186141
2023-10-19 16:00:00.288,25.04,25.49,24.4,24.43,1013802
2023-10-20 16:00:00.288,24.51,26.12,24.16,24.85,1394500
2023-10-23 16:00:00.288,24.66,24.94,24.11,24.62,1003992
2023-10-24 16:00:00.288,24.5,26.8,24.34,26.4,1904685
2023-10-25 16:00:00.288,25.83,26.14,24.48,25.16,654498
2023-10-26 16:00:00.288,25.16,25.38,24.36,24.69,876779
2023-10-27 16:00:00.288,24.8,25.56,24.59,24.91,790539
2023-10-30 16:00:00.288,24.94,25.99,24.81,25.83,496658
2023-10-31 16:00:00.288,25.83,25.87,24.41,24.63,1008603
2023-11-01 16:00:00.288,24.9,25.07,24.31,25.05,566175
2023-11-02 16:00:00.288,25.66,26.97,25.07,26.66,1951921
2023-11-03 16:00:00.288,26.75,28.88,26.54,26.91,2488918
2023-11-06 16:00:00.288,27.3,27.95,26.66,27.31,919381
2023-11-07 16:00:00.288,27.5,29.28,27.13,28.47,1743331
2023-11-08 16:00:00.288,28.62,28.62,26.82,27.24,2767405
2023-11-09 16:00:00.288,27.46,27.49,23.55,24.48,5361386
2023-11-10 16:00:00.288,24.59,26.34,24.41,25.21,2269662
2023-11-13 16:00:00.288,25.01,25.98,24.77,25.56,1361006
2023-11-14 16:00:00.288,25.83,26.58,25.09,25.88,974582
2023-11-15 16:00:00.288,25.88,26.96,25.86,25.9,1099964
2023-11-16 16:00:00.288,25.5,25.8,24.86,25.04,1306567
2023-11-17 16:00:00.288,25.1,25.43,24.89,25.25,696831
2023-11-20 16:00:00.288,25.2,26.0,24.93,25.85,978922
2023-11-21 16:00:00.288,25.52,25.77,24.63,24.69,1027379
2023-11-22 16:00:00.288,24.95,25.19,24.66,25.06,842560
2023-11-24 13:05:00.096,24.94,25.87,24.87,25.68,340472
2023-11-27 16:00:00.288,25.77,25.87,25.0,25.16,750042
2023-11-28 16:00:00.288,25.05,25.93,24.79,25.46,781366
2023-11-29 16:00:00.288,25.56,27.68,25.42,25.51,1790513
2023-11-30 16:00:00.288,25.67,25.86,24.11,24.19,2169678
2023-12-01 16:00:00.288,24.08,25.54,23.9,25.37,1709804
2023-12-04 16:00:00.288,25.26,25.76,24.23,24.41,1996941
2023-12-05 16:00:00.288,24.2,24.36,23.33,23.73,1897928
2023-12-06 16:00:00.288,23.68,24.55,23.26,23.51,1296894
2023-12-07 16:00:00.288,23.6,24.31,23.31,23.71,1586478
2023-12-08 16:00:00.288,23.89,24.64,23.71,24.44,1623832
2023-12-11 16:00:00.288,24.54,24.7,24.02,24.23,684143
2023-12-12 16:00:00.288,23.93,24.13,23.35,23.53,1361510
2023-12-13 16:00:00.288,23.66,24.99,23.47,24.88,1402611
2023-12-14 16:00:00.288,25.5,26.38,25.22,26.03,1917543
2023-12-15 16:00:00.288,26.18,26.34,24.01,24.6,3061403
2023-12-18 16:00:00.288,24.74,25.13,24.52,25.1,1394033
2023-12-19 16:00:00.288,25.25,25.46,24.52,24.61,1716031
2023-12-20 16:00:00.288,24.39,24.65,23.15,23.15,2471178
2023-12-21 16:00:00.288,23.56,23.71,23.02,23.39,2588270
2023-12-22 16:00:00.288,23.55,24.22,23.3,23.79,1167638
2023-12-26 16:00:00.288,23.96,24.2,23.6,24.19,1079143
2023-12-27 16:00:00.288,24.22,24.7,23.68,23.93,1073467
2023-12-28 16:00:00.288,23.81,24.24,23.54,23.84,878557
2023-12-29 16:00:00.288,23.77,24.39,23.38,23.47,1207264
