Date,Open,High,Low,Close,Volume
2020-10-05 16:00:00.288,12.0,12.08,11.61,11.78,34636
2020-10-06 16:00:00.288,12.06,12.06,11.36,11.78,33772
2020-10-07 16:00:00.288,11.88,13.59,11.6,11.6,40081
2020-10-08 16:00:00.288,11.62,11.85,11.36,11.37,26257
2020-10-09 16:00:00.288,11.63,11.63,11.15,11.4,21656
2020-10-12 16:00:00.288,11.69,11.69,11.35,11.46,37609
2020-10-13 16:00:00.288,11.5,11.85,11.5,11.8,35302
2020-10-14 16:00:00.288,12.5,12.5,11.53,11.78,22646
2020-10-15 16:00:00.288,12.2,12.2,11.5,12.13,55877
2020-10-16 16:00:00.288,12.05,12.05,11.45,11.62,42909
2020-10-19 16:00:00.288,11.74,11.83,11.37,11.48,56414
2020-10-20 16:00:00.288,11.37,11.55,11.3,11.51,16057
2020-10-21 16:00:00.288,11.94,11.94,11.43,11.47,37306
2020-10-22 16:00:00.288,11.41,11.52,11.2,11.43,28030
2020-10-23 16:00:00.288,11.3,11.41,11.3,11.39,16414
2020-10-26 16:00:00.288,11.1,11.5,11.1,11.28,37306
2020-10-27 16:00:00.288,11.39,11.5,11.3,11.4,43658
2020-10-28 16:00:00.288,11.39,11.48,10.91,11.3,89476
2020-10-29 16:00:00.288,11.15,11.44,10.97,11.44,37097
2020-10-30 16:00:00.288,11.21,11.5,10.9,11.27,192148
2020-11-02 16:00:00.288,11.36,11.43,11.3,11.35,132293
2020-11-03 16:00:00.288,11.33,11.5,11.33,11.5,9412
2020-11-04 16:00:00.288,11.47,11.6,11.11,11.5,147442
2020-11-05 16:00:00.288,11.45,11.51,11.45,11.45,54811
2020-11-06 16:00:00.288,11.57,11.69,11.3,11.42,84827
2020-11-09 16:00:00.288,11.77,11.77,11.45,11.5,19463
2020-11-10 16:00:00.288,11.53,11.53,11.45,11.5,18217
2020-11-11 16:00:00.288,11.45,11.95,11.45,11.69,29900
2020-11-12 16:00:00.288,11.65,11.77,11.65,11.65,17030
2020-11-13 16:00:00.288,11.74,11.74,11.3,11.54,62824
2020-11-16 16:00:00.288,11.7,11.7,11.42,11.43,169801
2020-11-17 16:00:00.288,11.6,11.6,11.42,11.46,17997
2020-11-18 16:00:00.288,11.42,11.46,11.39,11.41,48694
2020-11-19 16:00:00.288,11.5,11.63,11.46,11.5,107281
2020-11-20 16:00:00.288,11.44,11.5,11.22,11.5,23440
2020-11-23 16:00:00.288,11.45,11.5,11.45,11.48,54360
2020-11-24 16:00:00.288,11.65,11.68,11.41,11.57,158434
2020-11-25 16:00:00.288,11.95,12.38,11.64,12.25,359064
2020-11-27 13:00:00.288,12.99,12.99,11.75,12.2,52410
2020-11-30 16:00:00.288,12.81,13.44,12.07,12.8,262508
2020-12-01 16:00:00.288,12.79,13.15,12.6,12.8,150609
2020-12-02 16:00:00.288,12.66,13.05,12.15,12.4,100418
2020-12-03 16:00:00.288,12.3,12.43,12.18,12.4,65639
2020-12-04 16:00:00.288,12.34,12.86,12.2,12.53,135390
2020-12-07 16:00:00.288,13.05,13.25,12.5,12.87,204255
2020-12-08 16:00:00.288,12.63,12.95,12.55,12.7,94150
2020-12-09 16:00:00.288,13.01,13.8,12.71,13.49,101262
2020-12-10 16:00:00.288,13.99,13.99,12.91,13.2,234012
2020-12-11 16:00:00.288,14.0,14.27,12.81,13.1,560838
2020-12-14 16:00:00.288,13.18,13.47,12.85,12.99,251742
2020-12-15 16:00:00.288,12.82,13.29,12.81,13.29,507981
2020-12-16 16:00:00.288,13.13,13.4,12.91,13.2,173853
2020-12-17 16:00:00.288,13.33,13.87,13.2,13.85,140073
2020-12-18 16:00:00.288,14.35,14.74,13.8,13.92,199245
2020-12-21 16:00:00.288,13.9,14.13,13.5,13.5,143116
2020-12-22 16:00:00.288,14.48,14.48,13.24,13.3,191933
2020-12-23 16:00:00.288,13.72,13.74,13.0,13.57,190948
2020-12-24 13:00:00.288,13.8,14.0,13.59,14.0,167864
2020-12-28 16:00:00.288,14.45,14.69,13.56,13.99,273434
2020-12-29 16:00:00.288,14.2,14.25,13.32,13.74,131557
2020-12-30 16:00:00.288,13.5,13.67,13.3,13.3,53783
2020-12-31 16:00:00.288,13.23,13.45,12.8,13.27,174474
2021-01-04 16:00:00.288,13.25,13.38,12.8,13.28,90680
2021-01-05 16:00:00.288,13.5,13.5,13.25,13.31,80070
2021-01-06 16:00:00.288,13.5,13.66,13.29,13.3,86354
2021-01-07 16:00:00.288,13.86,13.89,13.31,13.81,274669
2021-01-08 16:00:00.288,14.74,14.74,13.39,13.57,129930
2021-01-11 16:00:00.288,13.44,13.87,13.36,13.43,96133
2021-01-12 16:00:00.288,13.48,14.06,13.43,13.95,434631
2021-01-13 16:00:00.288,14.56,14.6,14.0,14.27,439443
2021-01-14 16:00:00.288,14.24,14.5,14.24,14.39,233324
2021-01-15 16:00:00.288,14.25,14.64,14.03,14.31,102693
2021-01-19 16:00:00.288,14.39,14.75,14.15,14.24,243320
2021-01-20 16:00:00.288,14.08,14.7,14.08,14.2,37644
2021-01-21 16:00:00.288,14.1,14.83,14.1,14.55,162133
2021-01-22 16:00:00.288,14.5,15.13,14.31,14.5,168969
2021-01-25 16:00:00.288,14.33,15.48,14.1,14.7,271275
2021-01-26 16:00:00.288,14.53,15.43,13.91,14.25,210981
2021-01-27 16:00:00.288,13.79,14.35,12.75,13.16,327970
2021-01-28 16:00:00.288,13.28,13.99,13.1,13.79,159131
2021-01-29 16:00:00.288,13.87,13.99,13.16,13.47,197778
2021-02-01 16:00:00.288,13.66,14.06,13.5,13.79,122972
2021-02-02 16:00:00.288,13.61,14.23,13.61,13.85,149134
2021-02-03 16:00:00.288,16.1,16.11,12.76,13.1,9179482
2021-02-04 16:00:00.288,13.25,13.28,12.05,13.28,3139623
2021-02-05 16:00:00.288,12.84,12.84,12.37,12.38,1330748
2021-02-08 16:00:00.288,12.69,12.78,12.12,12.14,773317
2021-02-09 16:00:00.288,12.09,12.23,11.5,11.71,2147945
2021-02-10 16:00:00.288,11.9,12.4,11.61,11.94,1124007
2021-02-11 16:00:00.288,11.81,12.3,11.74,12.06,490421
2021-02-12 16:00:00.288,11.93,12.18,11.8,12.07,900811
2021-02-16 16:00:00.288,12.0,12.44,11.77,11.81,2251131
2021-02-17 16:00:00.288,11.51,12.15,11.31,12.0,1696518
2021-02-18 16:00:00.288,11.66,11.95,11.57,11.85,2307566
2021-02-19 16:00:00.288,12.0,12.08,11.49,11.88,1605390
2021-02-22 16:00:00.288,11.76,11.84,11.59,11.78,336095
2021-02-23 16:00:00.288,11.79,11.79,10.85,11.3,1078437
2021-02-24 16:00:00.288,11.38,11.44,10.93,11.16,554078
2021-02-25 16:00:00.288,11.16,11.17,10.65,11.11,575737
2021-02-26 16:00:00.288,10.84,11.0,10.35,10.56,1013909
2021-03-01 16:00:00.288,10.75,11.13,10.7,10.95,587148
2021-03-02 16:00:00.288,10.8,11.09,10.56,10.79,276213
2021-03-03 16:00:00.288,10.79,10.79,10.16,10.39,752198
2021-03-04 16:00:00.288,10.2,10.52,10.07,10.42,4951729
2021-03-05 16:00:00.288,10.55,10.8,10.25,10.76,785029
2021-03-08 16:00:00.288,10.8,10.8,10.64,10.8,362450
2021-03-09 16:00:00.288,10.81,11.18,10.76,11.0,612545
2021-03-10 16:00:00.288,10.93,11.42,10.86,11.32,469340
2021-03-11 16:00:00.288,11.27,11.43,10.95,11.2,763482
2021-03-12 16:00:00.288,11.05,11.26,10.96,11.23,369060
2021-03-15 16:00:00.288,11.12,11.23,11.04,11.17,195935
2021-03-16 16:00:00.288,11.09,11.23,11.0,11.05,517605
2021-03-17 16:00:00.288,10.93,11.11,10.55,11.07,300042
2021-03-18 16:00:00.288,11.0,11.07,10.71,10.79,131800
2021-03-19 16:00:00.288,10.78,10.82,10.61,10.64,123549
2021-03-22 16:00:00.288,10.61,10.71,10.56,10.58,132759
2021-03-23 16:00:00.288,10.56,10.68,10.41,10.52,207781
2021-03-24 16:00:00.288,10.43,10.55,10.09,10.18,425242
2021-03-25 16:00:00.288,10.01,10.17,10.01,10.16,363504
2021-03-26 16:00:00.288,10.15,10.37,10.12,10.27,149449
2021-03-29 16:00:00.288,10.21,10.32,10.11,10.11,183826
2021-03-30 16:00:00.288,10.11,10.22,10.01,10.1,307877
2021-03-31 16:00:00.288,10.1,10.19,10.07,10.15,330652
2021-04-01 16:00:00.288,10.15,10.3,10.15,10.24,162388
2021-04-05 16:00:00.288,10.32,10.32,10.12,10.17,93744
2021-04-06 16:00:00.288,10.2,10.25,10.16,10.24,117304
2021-04-07 16:00:00.288,10.28,10.35,10.24,10.27,37458
2021-04-08 16:00:00.288,10.29,10.35,10.21,10.23,118491
2021-04-09 16:00:00.288,10.23,10.33,10.17,10.22,222620
2021-04-12 16:00:00.288,10.21,10.27,10.1,10.1,735192
2021-04-13 16:00:00.288,10.12,10.16,10.08,10.15,283174
2021-04-14 16:00:00.288,10.11,10.23,10.1,10.11,265504
2021-04-15 16:00:00.288,10.14,10.17,10.06,10.14,462233
2021-04-16 16:00:00.288,10.11,10.24,10.09,10.11,828106
2021-04-19 16:00:00.288,10.1,10.2,10.1,10.16,554050
2021-04-20 16:00:00.288,10.15,10.18,10.06,10.14,580425
2021-04-21 16:00:00.288,10.16,10.19,10.12,10.16,222232
2021-04-22 16:00:00.288,10.19,10.23,10.14,10.19,101310
2021-04-23 16:00:00.288,10.16,10.26,10.12,10.21,275083
2021-04-26 16:00:00.288,10.22,10.4,10.19,10.37,166029
2021-04-27 16:00:00.288,10.28,10.41,10.28,10.37,606806
