Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,6.27,6.43,6.25,6.43,44294
2010-01-05 16:00:00.288,6.33,6.45,6.23,6.27,41986
2010-01-06 16:00:00.288,6.18,6.24,6.09,6.17,41958
2010-01-07 16:00:00.288,6.16,6.19,6.1,6.14,41110
2010-01-08 16:00:00.288,6.13,6.17,6.1,6.16,22746
2010-01-11 16:00:00.288,6.2,6.2,6.13,6.2,30166
2010-01-12 16:00:00.288,6.2,6.25,6.18,6.22,52564
2010-01-13 16:00:00.288,6.23,6.29,6.19,6.19,27858
2010-01-14 16:00:00.288,6.18,6.24,6.15,6.19,27066
2010-01-15 16:00:00.288,6.31,6.34,6.17,6.24,34560
2010-01-19 16:00:00.288,6.24,6.29,6.24,6.29,18186
2010-01-20 16:00:00.288,6.23,6.25,6.13,6.24,38339
2010-01-21 16:00:00.288,6.21,6.23,6.14,6.17,24093
2010-01-22 16:00:00.288,6.17,6.23,6.12,6.18,26231
2010-01-25 16:00:00.288,6.17,6.28,6.17,6.19,32082
2010-01-26 16:00:00.288,6.16,6.25,6.15,6.16,32327
2010-01-27 16:00:00.288,6.16,6.25,6.13,6.24,18838
2010-01-28 16:00:00.288,6.24,6.24,6.11,6.11,27017
2010-01-29 16:00:00.288,6.14,6.21,5.99,6.05,37663
2010-02-01 16:00:00.288,6.06,6.11,5.97,5.98,14536
2010-02-02 16:00:00.288,5.97,6.01,5.93,5.98,26512
2010-02-03 16:00:00.288,5.96,6.0,5.9,5.98,28682
2010-02-04 16:00:00.288,5.96,5.96,5.81,5.81,38549
2010-02-05 16:00:00.288,5.8,5.83,5.66,5.78,16759
2010-02-08 16:00:00.288,5.77,5.83,5.69,5.7,15967
2010-02-09 16:00:00.288,5.74,5.75,5.68,5.72,19924
2010-02-10 16:00:00.288,5.74,5.97,5.66,5.68,13900
2010-02-11 16:00:00.288,5.67,5.81,5.65,5.81,11170
2010-02-12 16:00:00.288,5.74,5.84,5.73,5.8,11677
2010-02-16 16:00:00.288,5.83,5.85,5.76,5.85,13349
2010-02-17 16:00:00.288,5.85,5.88,5.83,5.87,14730
2010-02-18 16:00:00.288,5.86,5.93,5.81,5.93,11345
2010-02-19 16:00:00.288,5.91,6.01,5.9,5.98,25629
2010-02-22 16:00:00.288,6.14,6.14,5.92,5.99,11966
2010-02-23 16:00:00.288,5.96,5.99,5.94,5.95,12970
2010-02-24 16:00:00.288,5.93,6.02,5.93,5.99,10940
2010-02-25 16:00:00.288,5.61,5.88,5.6,5.84,41515
2010-02-26 16:00:00.288,5.88,5.99,5.79,5.93,42295
2010-03-01 16:00:00.288,6.02,6.02,5.94,5.99,19758
2010-03-02 16:00:00.288,5.94,6.05,5.86,6.02,20553
2010-03-03 16:00:00.288,5.83,6.0,5.77,5.97,39072
2010-03-04 16:00:00.288,5.97,6.11,5.93,6.11,17516
2010-03-05 16:00:00.288,6.15,6.41,6.13,6.36,31905
2010-03-08 16:00:00.288,6.42,6.44,6.33,6.36,12345
2010-03-09 16:00:00.288,6.37,6.42,6.17,6.37,16347
2010-03-10 16:00:00.288,6.36,6.44,6.33,6.42,17953
2010-03-11 16:00:00.288,6.33,6.42,6.19,6.23,15434
2010-03-12 16:00:00.288,6.2,6.23,6.07,6.13,24240
2010-03-15 16:00:00.288,6.08,6.15,6.08,6.14,11819
2010-03-16 16:00:00.288,6.11,6.16,6.0,6.15,13460
2010-03-17 16:00:00.288,6.22,6.26,6.14,6.2,19094
2010-03-18 16:00:00.288,6.18,6.42,6.11,6.16,70216
2010-03-19 16:00:00.288,6.17,6.26,6.1,6.16,41468
2010-03-22 16:00:00.288,6.11,6.21,6.1,6.19,25976
2010-03-23 16:00:00.288,6.13,6.23,6.1,6.22,10815
