Date,Open,High,Low,Close,Volume
2020-11-20 16:00:00.288,27.15,31.92,20.0,31.0,777693
2020-11-23 16:00:00.288,32.45,32.5,30.01,31.82,296619
2020-11-24 16:00:00.288,33.22,33.22,31.46,32.5,414671
2020-11-25 16:00:00.288,32.48,35.0,31.71,34.12,330675
2020-11-27 13:00:00.288,34.0,35.13,33.25,34.13,130992
2020-11-30 16:00:00.288,33.1,34.8,33.1,34.2,278173
2020-12-01 16:00:00.288,34.4,34.7,33.16,34.5,236833
2020-12-02 16:00:00.288,33.99,36.86,33.99,35.43,259626
2020-12-03 16:00:00.288,35.08,37.1,34.81,36.56,265535
2020-12-04 16:00:00.288,36.91,38.38,36.7,38.17,328723
2020-12-07 16:00:00.288,37.48,39.94,36.98,39.0,214115
2020-12-08 16:00:00.288,38.84,39.93,38.8,39.23,147389
2020-12-09 16:00:00.288,39.23,39.23,37.91,38.31,132598
2020-12-10 16:00:00.288,38.49,39.95,38.31,38.94,80093
2020-12-11 16:00:00.288,38.75,39.6,37.83,38.52,65402
2020-12-14 16:00:00.288,38.91,39.6,37.32,37.57,472941
2020-12-15 16:00:00.288,37.57,38.0,37.16,37.69,132697
2020-12-16 16:00:00.288,37.51,38.49,37.15,38.1,312228
2020-12-17 16:00:00.288,38.3,39.1,37.96,38.6,211463
2020-12-18 16:00:00.288,38.08,39.33,36.97,38.66,377331
2020-12-21 16:00:00.288,37.04,39.2,37.0,38.95,102127
2020-12-22 16:00:00.288,38.62,39.5,37.89,38.5,184505
2020-12-23 16:00:00.288,37.99,38.86,37.8,37.88,261225
2020-12-24 13:00:00.288,37.93,38.33,37.24,37.36,23714
2020-12-28 16:00:00.288,37.42,38.0,37.2,37.38,40788
2020-12-29 16:00:00.288,37.75,37.78,36.53,37.35,65652
2020-12-30 16:00:00.288,37.25,37.82,36.82,37.22,56485
2020-12-31 16:00:00.288,37.06,37.78,36.62,37.06,85869
2021-01-04 16:00:00.288,37.54,39.79,37.53,38.99,152448
2021-01-05 16:00:00.288,38.78,40.19,38.78,39.4,500478
2021-01-06 16:00:00.288,40.38,42.0,39.25,41.77,256181
2021-01-07 16:00:00.288,41.77,42.95,41.51,41.85,265360
2021-01-08 16:00:00.288,42.39,42.7,41.71,42.24,118238
2021-01-11 16:00:00.288,41.86,42.57,41.26,42.38,78935
2021-01-12 16:00:00.288,43.16,45.18,43.16,44.82,164479
2021-01-13 16:00:00.288,45.03,45.8,44.18,44.38,81727
2021-01-14 16:00:00.288,45.4,45.87,44.9,45.5,102718
2021-01-15 16:00:00.288,45.16,45.5,44.01,44.41,109186
2021-01-19 16:00:00.288,44.72,45.22,42.21,43.37,146553
2021-01-20 16:00:00.288,43.15,43.22,40.1,41.74,141515
2021-01-21 16:00:00.288,41.28,42.01,39.6,39.98,214641
2021-01-22 16:00:00.288,39.98,41.5,38.68,39.36,192684
2021-01-25 16:00:00.288,38.33,40.59,38.0,38.5,480268
2021-01-26 16:00:00.288,38.63,39.3,36.24,37.37,352171
2021-01-27 16:00:00.288,36.28,38.97,34.58,37.42,421584
2021-01-28 16:00:00.288,38.35,39.4,37.04,38.29,191839
2021-01-29 16:00:00.288,37.65,39.48,37.01,37.47,86192
2021-02-01 16:00:00.288,37.61,39.7,37.61,39.0,124566
2021-02-02 16:00:00.288,39.57,41.2,39.57,40.47,180967
2021-02-03 16:00:00.288,40.74,43.5,40.74,41.82,152326
