Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,24.01,24.84,24.01,24.69,59859188
2010-01-05 16:00:00.288,24.58,24.73,24.38,24.58,45128408
2010-01-06 16:00:00.288,24.51,24.74,24.34,24.42,35716784
2010-01-07 16:00:00.288,24.26,24.57,24.17,24.53,31540614
2010-01-08 16:00:00.288,24.37,24.7,24.25,24.66,39115840
2010-01-11 16:00:00.288,24.6,24.89,24.41,24.59,35852824
2010-01-12 16:00:00.288,24.45,24.5,24.08,24.2,35780392
2010-01-13 16:00:00.288,24.28,24.7,24.2,24.64,43683888
2010-01-14 16:00:00.288,24.54,25.08,24.52,24.95,52307588
2010-01-15 16:00:00.288,25.09,25.1,24.3,24.4,51649588
2010-01-19 16:00:00.288,24.51,24.88,24.5,24.85,37607448
2010-01-20 16:00:00.288,24.6,24.73,24.12,24.41,42135000
2010-01-21 16:00:00.288,24.49,24.65,23.86,23.98,54767432
2010-01-22 16:00:00.288,23.83,23.93,22.87,22.97,70431640
2010-01-25 16:00:00.288,23.08,23.18,22.74,22.99,51293508
2010-01-26 16:00:00.288,22.79,23.2,22.64,22.9,55316792
2010-01-27 16:00:00.288,22.88,23.26,22.76,23.15,51807880
2010-01-28 16:00:00.288,23.19,23.22,22.35,22.52,63623264
2010-01-29 16:00:00.288,22.96,23.13,22.44,22.47,73431856
2010-02-01 16:00:00.288,22.65,22.94,22.38,22.73,54386092
2010-02-02 16:00:00.288,22.81,23.11,22.51,23.02,54108900
2010-02-03 16:00:00.288,23.13,23.25,22.85,23.07,80035488
2010-02-04 16:00:00.288,23.41,23.77,23.1,23.16,126098576
2010-02-05 16:00:00.288,23.32,23.88,23.16,23.7,99148512
2010-02-08 16:00:00.288,23.77,23.9,23.48,23.5,69908952
2010-02-09 16:00:00.288,23.84,24.0,23.58,23.89,60339780
2010-02-10 16:00:00.288,23.85,24.0,23.62,23.76,50574100
2010-02-11 16:00:00.288,23.64,23.99,23.54,23.93,42462560
2010-02-12 16:00:00.288,23.7,23.8,23.51,23.76,56456376
2010-02-16 16:00:00.288,23.98,24.0,23.8,24.0,46760216
2010-02-17 16:00:00.288,23.98,24.09,23.74,24.07,48507156
2010-02-18 16:00:00.288,24.06,24.36,23.9,24.28,41154604
2010-02-19 16:00:00.288,24.12,24.38,24.06,24.36,38782048
2010-02-22 16:00:00.288,24.37,24.46,24.15,24.3,31379800
2010-02-23 16:00:00.288,24.15,24.23,23.83,24.05,36289256
2010-02-24 16:00:00.288,24.09,24.45,24.09,24.34,33183888
2010-02-25 16:00:00.288,23.92,24.39,23.87,24.33,37112488
2010-02-26 16:00:00.288,24.39,24.46,24.21,24.33,30727510
2010-03-01 16:00:00.288,24.33,24.65,24.32,24.6,41782568
2010-03-02 16:00:00.288,24.62,24.75,24.44,24.61,51404888
2010-03-03 16:00:00.288,24.68,24.93,24.6,24.84,50695028
2010-03-04 16:00:00.288,24.85,24.98,24.66,24.95,40261904
2010-03-05 16:00:00.288,24.99,25.24,24.92,25.21,57060392
2010-03-08 16:00:00.288,25.27,26.36,25.26,26.13,116178160
2010-03-09 16:00:00.288,26.33,26.48,25.7,26.13,160887568
2010-03-10 16:00:00.288,25.87,26.06,25.75,25.87,69660736
2010-03-11 16:00:00.288,25.85,25.98,25.72,25.97,37340472
2010-03-12 16:00:00.288,25.97,26.03,25.78,25.88,31167192
2010-03-15 16:00:00.288,25.75,26.09,25.74,26.08,36768500
2010-03-16 16:00:00.288,26.03,26.34,26.01,26.15,53894256
2010-03-17 16:00:00.288,26.22,26.4,26.18,26.26,32465840
2010-03-18 16:00:00.288,26.23,26.43,26.22,26.34,27087994
2010-03-19 16:00:00.288,26.44,26.44,26.07,26.15,55661784
2010-03-22 16:00:00.288,25.91,26.38,25.89,26.28,31906704
2010-03-23 16:00:00.288,26.2,26.75,26.17,26.64,48863072
2010-03-24 16:00:00.288,26.51,26.62,26.44,26.45,35299216
2010-03-25 16:00:00.288,26.64,26.85,26.42,26.43,35142600
2010-03-26 16:00:00.288,26.46,26.75,26.34,26.47,37528220
2010-03-29 16:00:00.288,26.61,26.69,26.45,26.51,30388646
2010-03-30 16:00:00.288,26.64,26.71,26.34,26.65,32976160
2010-03-31 16:00:00.288,26.5,26.61,25.96,26.03,54749424
2010-04-01 16:00:00.288,26.2,26.3,25.66,25.83,56196584
2010-04-05 16:00:00.288,25.85,26.24,25.8,26.17,34806120
2010-04-06 16:00:00.288,26.15,26.38,26.05,26.22,31124212
2010-04-07 16:00:00.288,26.1,26.59,26.1,26.34,43840984
2010-04-08 16:00:00.288,26.29,26.39,26.0,26.28,38623384
2010-04-09 16:00:00.288,26.26,26.64,26.22,26.6,34613452
2010-04-12 16:00:00.288,26.57,26.74,26.49,26.53,28374334
2010-04-13 16:00:00.288,26.47,26.5,26.17,26.44,42863804
2010-04-14 16:00:00.288,26.61,26.93,26.56,26.88,44610064
2010-04-15 16:00:00.288,26.99,27.25,26.95,27.21,47016476
2010-04-16 16:00:00.288,27.11,27.44,26.79,26.98,68529424
2010-04-19 16:00:00.288,26.93,27.11,26.55,27.07,43890768
2010-04-20 16:00:00.288,27.2,27.45,27.06,27.18,47169808
2010-04-21 16:00:00.288,27.19,27.4,27.12,27.24,42738480
2010-04-22 16:00:00.288,27.08,27.37,26.72,27.32,44845752
2010-04-23 16:00:00.288,27.37,27.51,27.21,27.47,39306784
2010-04-26 16:00:00.288,27.58,27.7,27.48,27.57,35668512
2010-04-27 16:00:00.288,27.41,27.58,26.73,27.01,57168820
2010-04-28 16:00:00.288,27.1,27.38,26.82,27.04,54476828
2010-04-29 16:00:00.288,27.16,27.64,27.1,27.53,41867384
2010-04-30 16:00:00.288,27.64,27.74,26.92,26.93,41896140
2010-05-03 16:00:00.288,27.02,27.69,27.01,27.54,44976900
2010-05-04 16:00:00.288,27.16,27.25,26.4,26.56,52356976
2010-05-05 16:00:00.288,26.28,26.82,26.15,26.55,49889220
2010-05-06 16:00:00.288,26.48,26.65,23.23,25.49,97907976
2010-05-07 16:00:00.288,25.33,25.64,24.33,24.71,95894496
2010-05-10 16:00:00.288,26.15,26.53,25.9,26.13,74912112
2010-05-11 16:00:00.288,26.07,26.77,25.82,25.96,53764960
2010-05-12 16:00:00.288,26.21,26.8,26.19,26.74,66161696
2010-05-13 16:00:00.288,26.0,26.1,25.37,25.53,143656256
2010-05-14 16:00:00.288,25.19,25.3,24.69,24.94,82159544
2010-05-17 16:00:00.288,24.94,24.98,24.26,24.87,72486600
2010-05-18 16:00:00.288,24.95,25.02,24.18,24.36,59688864
2010-05-19 16:00:00.288,24.21,24.52,23.97,24.26,62398376
2010-05-20 16:00:00.288,23.56,23.89,23.13,23.31,97381312
2010-05-21 16:00:00.288,22.6,23.51,22.56,23.46,88187272
2010-05-24 16:00:00.288,23.44,23.7,23.13,23.37,48173256
2010-05-25 16:00:00.288,22.71,23.31,22.6,23.31,64858976
2010-05-26 16:00:00.288,23.58,23.75,22.84,22.89,72466096
2010-05-27 16:00:00.288,23.4,23.68,23.02,23.67,59790328
2010-05-28 16:00:00.288,23.51,23.57,22.99,23.16,56435888
2010-06-01 16:00:00.288,22.95,23.48,22.92,23.0,56347864
2010-06-02 16:00:00.288,23.05,23.37,22.74,23.35,45755800
2010-06-03 16:00:00.288,23.51,23.77,23.27,23.72,49011800
2010-06-04 16:00:00.288,23.32,23.55,22.76,22.96,60603856
2010-06-07 16:00:00.288,23.01,23.29,22.68,22.76,50264800
2010-06-08 16:00:00.288,22.89,23.0,22.52,22.96,71580712
2010-06-09 16:00:00.288,23.03,23.45,22.74,22.78,47727652
2010-06-10 16:00:00.288,22.99,23.1,22.51,22.77,98936096
2010-06-11 16:00:00.288,22.52,22.99,22.52,22.91,56325400
2010-06-14 16:00:00.288,23.08,23.28,22.73,22.76,57279196
2010-06-15 16:00:00.288,22.8,23.45,22.8,23.33,77844184
2010-06-16 16:00:00.288,23.09,23.78,23.09,23.29,73637984
2010-06-17 16:00:00.288,23.49,23.5,23.05,23.17,52819628
2010-06-18 16:00:00.288,23.28,23.65,23.15,23.49,52422472
2010-06-21 16:00:00.288,23.81,23.94,23.13,23.34,54836676
2010-06-22 16:00:00.288,23.32,23.65,22.92,22.97,42148144
2010-06-23 16:00:00.288,23.09,23.14,22.64,22.86,54088268
2010-06-24 16:00:00.288,22.68,22.98,22.47,22.57,58022760
2010-06-25 16:00:00.288,22.58,22.67,22.11,22.18,76908896
2010-06-28 16:00:00.288,22.3,22.75,22.29,22.42,43405084
2010-06-29 16:00:00.288,22.17,22.19,21.4,21.62,68955136
2010-06-30 16:00:00.288,21.54,21.73,21.24,21.31,57127980
2010-07-01 16:00:00.288,21.2,21.49,20.93,21.26,66347864
2010-07-02 16:00:00.288,21.16,21.31,20.99,21.13,46266976
2010-07-06 16:00:00.288,21.42,21.67,21.05,21.34,51189136
2010-07-07 16:00:00.288,21.56,22.49,21.45,22.48,70562840
2010-07-08 16:00:00.288,22.65,22.79,22.15,22.55,55312636
2010-07-09 16:00:00.288,22.55,22.81,22.43,22.7,41492408
2010-07-12 16:00:00.288,22.61,22.98,22.61,22.86,30564542
2010-07-13 16:00:00.288,23.03,23.28,22.99,23.09,45007656
2010-07-14 16:00:00.288,23.45,23.89,23.39,23.74,61469600
2010-07-15 16:00:00.288,23.69,23.96,23.42,23.92,51771264
2010-07-16 16:00:00.288,23.86,23.87,22.61,22.75,77068976
2010-07-19 16:00:00.288,22.86,23.03,22.55,22.73,54701820
2010-07-20 16:00:00.288,22.29,23.08,22.05,23.05,66166872
2010-07-21 16:00:00.288,23.04,23.22,22.4,22.56,45752008
2010-07-22 16:00:00.288,22.73,23.36,22.73,23.27,57954472
2010-07-23 16:00:00.288,23.16,23.41,23.01,23.35,39345336
2010-07-26 16:00:00.288,23.32,23.61,23.2,23.61,37132492
2010-07-27 16:00:00.288,23.67,23.72,23.2,23.3,47987844
2010-07-28 16:00:00.288,23.25,23.62,23.25,23.39,41763316
2010-07-29 16:00:00.288,23.53,26.0,22.96,23.21,37489144
2010-07-30 16:00:00.288,23.02,23.4,22.88,23.07,42185304
2010-08-02 16:00:00.288,23.45,23.94,23.4,23.8,43032192
2010-08-03 16:00:00.288,23.84,23.89,23.62,23.82,27135880
2010-08-04 16:00:00.288,23.79,24.25,23.78,24.14,48335000
2010-08-05 16:00:00.288,24.04,24.18,23.83,24.17,30216444
2010-08-06 16:00:00.288,23.85,24.17,23.6,24.07,40448588
2010-08-09 16:00:00.288,24.21,24.87,24.2,24.77,64011004
2010-08-10 16:00:00.288,24.5,24.59,24.16,24.31,59163668
2010-08-11 16:00:00.288,23.86,23.95,23.45,23.73,71535680
2010-08-12 16:00:00.288,21.39,21.61,21.0,21.36,227308160
2010-08-13 16:00:00.288,21.5,21.58,21.25,21.36,67924080
2010-08-16 16:00:00.288,21.25,22.12,21.22,21.91,88628304
2010-08-17 16:00:00.288,22.09,22.29,21.95,22.05,82948624
2010-08-18 16:00:00.288,22.04,22.51,22.02,22.41,73169168
2010-08-19 16:00:00.288,22.33,22.5,22.01,22.22,71331720
2010-08-20 16:00:00.288,22.19,22.41,22.13,22.23,54662664
2010-08-23 16:00:00.288,22.48,22.48,21.65,21.68,49308860
2010-08-24 16:00:00.288,21.39,21.45,21.1,21.13,74401816
2010-08-25 16:00:00.288,21.0,21.35,20.82,21.21,54310984
2010-08-26 16:00:00.288,21.18,21.31,20.69,20.7,53499632
2010-08-27 16:00:00.288,20.82,20.94,20.36,20.81,62258928
2010-08-30 16:00:00.288,20.81,20.89,20.29,20.32,58982940
2010-08-31 16:00:00.288,20.12,20.37,19.82,19.99,94449392
2010-09-01 16:00:00.288,20.37,20.7,20.25,20.26,80172984
2010-09-02 16:00:00.288,20.46,20.7,20.31,20.52,59438996
2010-09-03 16:00:00.288,20.95,21.13,20.76,21.04,54485164
2010-09-07 16:00:00.288,20.9,20.99,20.53,20.58,60556772
2010-09-08 16:00:00.288,20.67,20.89,20.55,20.64,40612920
2010-09-09 16:00:00.288,20.95,21.05,20.58,20.61,43600968
2010-09-10 16:00:00.288,20.65,20.68,20.32,20.62,48400544
2010-09-13 16:00:00.288,20.89,21.34,20.86,21.26,62445812
2010-09-14 16:00:00.288,21.33,22.17,21.21,21.45,109222304
2010-09-15 16:00:00.288,21.54,21.86,21.49,21.59,60902384
2010-09-16 16:00:00.288,21.58,21.96,21.52,21.93,47579140
2010-09-17 16:00:00.288,22.08,22.12,21.77,21.86,54755960
2010-09-20 16:00:00.288,21.95,21.99,21.64,21.75,55744884
2010-09-21 16:00:00.288,21.75,21.96,21.37,21.64,69776144
2010-09-22 16:00:00.288,21.67,21.89,21.4,21.67,49272152
2010-09-23 16:00:00.288,21.55,21.81,21.43,21.53,36039032
2010-09-24 16:00:00.288,21.83,22.25,21.75,22.09,54235016
2010-09-27 16:00:00.288,22.05,22.31,21.86,22.11,48671792
2010-09-28 16:00:00.288,22.0,22.11,21.45,21.86,64748304
2010-09-29 16:00:00.288,21.61,21.91,21.56,21.87,46307240
2010-09-30 16:00:00.288,22.01,22.28,21.67,21.9,56850332
2010-10-01 16:00:00.288,22.12,22.22,21.78,21.91,42192696
2010-10-04 16:00:00.288,21.81,22.0,21.5,21.76,31731136
2010-10-05 16:00:00.288,22.0,22.12,21.77,21.99,59683704
2010-10-06 16:00:00.288,22.03,22.4,22.01,22.27,43136208
2010-10-07 16:00:00.288,22.47,22.5,22.11,22.39,37864548
2010-10-08 16:00:00.288,22.38,22.52,22.09,22.48,37806360
2010-10-11 16:00:00.288,22.47,22.65,22.38,22.47,28434492
2010-10-12 16:00:00.288,22.35,22.75,22.27,22.62,35299048
2010-10-13 16:00:00.288,22.93,23.4,22.83,23.18,66127092
2010-10-14 16:00:00.288,23.3,23.3,22.85,23.07,38847136
2010-10-15 16:00:00.288,23.27,23.4,23.0,23.36,50265796
2010-10-18 16:00:00.288,23.35,23.5,23.23,23.3,40615236
2010-10-19 16:00:00.288,23.05,23.18,22.76,22.97,53769368
2010-10-20 16:00:00.288,22.91,23.58,22.91,23.4,44947212
2010-10-21 16:00:00.288,23.48,23.55,22.98,23.26,38509136
2010-10-22 16:00:00.288,23.25,23.49,23.18,23.48,23676566
2010-10-25 16:00:00.288,23.64,23.9,23.57,23.61,37085776
2010-10-26 16:00:00.288,23.49,23.75,23.36,23.4,37679968
2010-10-27 16:00:00.288,23.23,23.36,23.03,23.29,39164376
2010-10-28 16:00:00.288,23.43,23.49,23.07,23.19,33695072
2010-10-29 16:00:00.288,23.12,23.22,22.82,22.86,44587820
2010-11-01 16:00:00.288,22.94,23.3,22.88,22.92,49174224
2010-11-02 16:00:00.288,23.15,23.3,23.06,23.17,37381024
2010-11-03 16:00:00.288,23.29,23.74,23.18,23.71,53861120
2010-11-04 16:00:00.288,23.9,24.34,23.89,24.21,55862644
2010-11-05 16:00:00.288,24.26,24.34,23.88,24.26,41012288
2010-11-08 16:00:00.288,24.35,24.58,24.28,24.39,40378092
2010-11-09 16:00:00.288,24.49,24.6,24.18,24.35,51216108
2010-11-10 16:00:00.288,24.24,24.51,23.99,24.49,115576160
2010-11-11 16:00:00.288,20.5,20.96,20.25,20.52,553078272
2010-11-12 16:00:00.288,20.62,20.67,20.03,20.15,234765376
2010-11-15 16:00:00.288,20.34,20.37,19.92,19.95,137860800
