Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,16.21,16.34,16.0,16.06,1019711
2010-01-05 16:00:00.288,16.05,16.05,15.66,15.85,1152188
2010-01-06 16:00:00.288,16.31,16.82,16.23,16.78,2119812
2010-01-07 16:00:00.288,16.74,16.81,16.4,16.67,873472
2010-01-08 16:00:00.288,16.52,16.66,16.4,16.44,587635
2010-01-11 16:00:00.288,16.45,16.5,16.27,16.35,792682
2010-01-12 16:00:00.288,16.34,16.67,16.23,16.55,1030461
2010-01-13 16:00:00.288,16.58,16.62,16.35,16.47,641694
2010-01-14 16:00:00.288,16.36,16.56,16.36,16.42,487429
2010-01-15 16:00:00.288,16.39,16.61,16.34,16.46,662980
2010-01-19 16:00:00.288,16.46,16.67,16.44,16.55,998815
2010-01-20 16:00:00.288,16.5,16.52,16.36,16.45,608025
2010-01-21 16:00:00.288,16.45,16.63,16.41,16.44,827248
2010-01-22 16:00:00.288,16.37,16.45,16.03,16.07,1009094
2010-01-25 16:00:00.288,16.12,16.35,16.0,16.27,1224804
2010-01-26 16:00:00.288,16.25,16.48,16.0,16.36,717977
2010-01-27 16:00:00.288,16.32,16.46,16.22,16.3,715668
2010-01-28 16:00:00.288,16.29,16.46,16.17,16.37,1996131
2010-01-29 16:00:00.288,16.41,16.63,16.33,16.51,1516595
2010-02-01 16:00:00.288,16.54,16.67,16.47,16.66,1154338
2010-02-02 16:00:00.288,16.75,17.02,16.68,16.97,1414679
2010-02-03 16:00:00.288,16.88,17.24,16.83,17.06,1932494
2010-02-04 16:00:00.288,16.64,16.7,16.33,16.36,3399175
2010-02-05 16:00:00.288,16.22,16.24,16.02,16.06,2957544
2010-02-08 16:00:00.288,16.03,16.08,15.67,15.71,2728166
2010-02-09 16:00:00.288,15.86,16.03,15.72,15.99,1249735
2010-02-10 16:00:00.288,15.92,16.09,15.78,15.93,1010746
2010-02-11 16:00:00.288,15.89,15.92,15.74,15.9,885936
2010-02-12 16:00:00.288,15.86,16.13,15.79,16.12,1184595
2010-02-16 16:00:00.288,16.38,16.66,16.29,16.44,1759000
2010-02-17 16:00:00.288,16.54,16.73,16.42,16.7,740253
2010-02-18 16:00:00.288,16.6,16.68,16.53,16.63,547809
2010-02-19 16:00:00.288,16.66,16.8,16.51,16.67,979509
2010-02-22 16:00:00.288,16.79,16.81,16.5,16.51,1287297
2010-02-23 16:00:00.288,16.66,16.66,16.38,16.56,1546396
2010-02-24 16:00:00.288,17.38,18.75,17.29,18.59,6719773
2010-02-25 16:00:00.288,18.51,18.82,18.51,18.69,2818192
2010-02-26 16:00:00.288,18.79,18.8,18.52,18.58,1419670
2010-03-01 16:00:00.288,18.61,18.74,18.38,18.43,1311521
2010-03-02 16:00:00.288,18.4,18.7,18.32,18.68,1447171
2010-03-03 16:00:00.288,18.59,18.71,18.48,18.54,1063246
2010-03-04 16:00:00.288,18.62,18.98,18.5,18.73,1155377
2010-03-05 16:00:00.288,18.74,19.0,18.67,18.92,835880
2010-03-08 16:00:00.288,18.79,19.02,18.78,18.95,842869
2010-03-09 16:00:00.288,18.84,18.99,18.57,18.68,1394575
2010-03-10 16:00:00.288,18.72,18.81,18.59,18.72,629944
2010-03-11 16:00:00.288,18.75,18.77,18.53,18.68,582996
2010-03-12 16:00:00.288,18.81,18.81,18.4,18.77,591840
