Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,28.98,29.03,28.58,28.74,556520
2010-01-05 16:00:00.288,28.66,28.96,28.66,28.74,920241
2010-01-06 16:00:00.288,28.57,28.92,28.49,28.51,670605
2010-01-07 16:00:00.288,28.42,28.52,28.0,28.08,641249
2010-01-08 16:00:00.288,27.88,28.55,27.81,28.49,429343
2010-01-11 16:00:00.288,29.26,29.67,28.64,28.82,1082181
2010-01-12 16:00:00.288,28.61,28.91,28.4,28.63,705141
2010-01-13 16:00:00.288,28.62,28.69,27.78,27.87,1372093
2010-01-14 16:00:00.288,28.0,28.49,27.75,28.43,633822
2010-01-15 16:00:00.288,28.37,28.57,28.27,28.47,751064
2010-01-19 16:00:00.288,28.4,28.53,28.02,28.5,971119
2010-01-20 16:00:00.288,28.31,28.58,27.9,28.52,1033241
2010-01-21 16:00:00.288,30.3,30.63,29.51,29.88,3124635
2010-01-22 16:00:00.288,30.0,30.04,29.16,29.17,2128362
2010-01-25 16:00:00.288,29.38,29.51,29.13,29.45,962108
2010-01-26 16:00:00.288,29.47,29.66,29.22,29.25,971470
2010-01-27 16:00:00.288,29.12,29.41,28.73,29.35,1229718
2010-01-28 16:00:00.288,29.31,29.4,28.93,29.1,1097437
2010-01-29 16:00:00.288,29.4,29.4,28.34,28.59,1269963
2010-02-01 16:00:00.288,28.66,28.91,28.42,28.7,1521200
2010-02-02 16:00:00.288,28.68,29.68,28.59,29.67,1162997
2010-02-03 16:00:00.288,29.55,29.55,29.13,29.2,1001351
2010-02-04 16:00:00.288,28.97,28.97,28.42,28.52,1146083
2010-02-05 16:00:00.288,28.5,28.54,27.99,28.25,838493
2010-02-08 16:00:00.288,28.25,28.5,28.12,28.16,632310
2010-02-09 16:00:00.288,28.38,28.93,28.28,28.83,673103
2010-02-10 16:00:00.288,28.81,29.04,28.55,28.7,626575
2010-02-11 16:00:00.288,28.7,29.01,28.31,28.99,707720
2010-02-12 16:00:00.288,28.6,28.89,28.23,28.86,732598
2010-02-16 16:00:00.288,29.0,29.06,28.72,28.98,622332
2010-02-17 16:00:00.288,29.18,29.18,28.9,29.0,541681
2010-02-18 16:00:00.288,29.0,29.05,28.83,28.84,931412
2010-02-19 16:00:00.288,28.74,29.0,28.52,28.94,785977
2010-02-22 16:00:00.288,28.94,29.04,28.85,29.0,539108
2010-02-23 16:00:00.288,29.0,29.0,28.59,28.73,276084
2010-02-24 16:00:00.288,28.74,29.0,28.58,28.98,581387
2010-02-25 16:00:00.288,28.64,28.95,28.54,28.93,560765
2010-02-26 16:00:00.288,28.94,29.11,28.77,29.08,463088
2010-03-01 16:00:00.288,29.01,29.64,28.89,29.59,508582
2010-03-02 16:00:00.288,29.83,29.83,29.44,29.45,533567
2010-03-03 16:00:00.288,29.39,29.43,29.07,29.24,1061281
2010-03-04 16:00:00.288,29.26,29.49,29.24,29.38,335028
2010-03-05 16:00:00.288,29.55,29.9,29.5,29.6,518005
2010-03-08 16:00:00.288,29.66,29.76,29.45,29.58,683000
