Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,5.32,5.45,5.2,5.4,790460
2010-01-05 16:00:00.288,5.35,5.38,5.28,5.28,1468689
2010-01-06 16:00:00.288,5.31,5.39,5.03,5.19,2180277
2010-01-07 16:00:00.288,5.24,5.3,5.03,5.23,802245
2010-01-08 16:00:00.288,5.22,5.28,5.16,5.23,540707
2010-01-11 16:00:00.288,5.26,5.28,5.11,5.14,865389
2010-01-12 16:00:00.288,5.11,5.16,4.84,4.86,995132
2010-01-13 16:00:00.288,4.87,5.0,4.77,4.97,796318
2010-01-14 16:00:00.288,4.95,5.05,4.86,5.02,468613
2010-01-15 16:00:00.288,5.09,5.11,4.8,4.86,723919
2010-01-19 16:00:00.288,4.86,4.94,4.79,4.94,726679
2010-01-20 16:00:00.288,4.85,4.92,4.66,4.76,923344
2010-01-21 16:00:00.288,4.77,4.84,4.62,4.72,1162298
2010-01-22 16:00:00.288,4.48,4.55,4.13,4.16,3197041
2010-01-25 16:00:00.288,4.18,4.25,4.09,4.11,1716731
2010-01-26 16:00:00.288,4.06,4.23,4.02,4.11,1118982
2010-01-27 16:00:00.288,4.1,4.22,4.01,4.16,786540
2010-01-28 16:00:00.288,4.11,4.19,3.76,3.84,2647746
2010-01-29 16:00:00.288,3.95,3.99,3.61,3.64,3123385
2010-02-01 16:00:00.288,3.75,3.95,3.69,3.91,1893080
2010-02-02 16:00:00.288,3.91,4.19,3.88,4.15,2816978
2010-02-03 16:00:00.288,4.06,4.16,3.94,4.11,1767614
2010-02-04 16:00:00.288,4.5,4.5,4.04,4.12,5220776
2010-02-05 16:00:00.288,4.12,4.3,4.0,4.26,2692755
2010-02-08 16:00:00.288,4.3,4.47,4.15,4.32,1787659
2010-02-09 16:00:00.288,4.44,4.59,4.38,4.56,1517035
2010-02-10 16:00:00.288,4.54,4.75,4.44,4.75,3368970
2010-02-11 16:00:00.288,4.74,4.83,4.5,4.82,2671138
2010-02-12 16:00:00.288,4.71,4.94,4.67,4.86,1347412
2010-02-16 16:00:00.288,5.25,5.25,4.97,4.97,3993748
2010-02-17 16:00:00.288,5.05,5.2,4.98,5.04,1738632
2010-02-18 16:00:00.288,5.04,5.09,4.92,5.03,1494814
2010-02-19 16:00:00.288,5.01,5.2,5.0,5.18,1161878
2010-02-22 16:00:00.288,5.2,5.2,5.07,5.18,846856
2010-02-23 16:00:00.288,5.15,5.17,4.67,4.69,3925317
2010-02-24 16:00:00.288,4.72,4.75,4.52,4.59,2185785
2010-02-25 16:00:00.288,4.48,4.51,4.3,4.51,3317090
2010-02-26 16:00:00.288,4.45,4.51,4.36,4.47,1105554
2010-03-01 16:00:00.288,4.44,4.8,4.43,4.76,2534877
2010-03-02 16:00:00.288,4.83,4.92,4.75,4.78,1018188
2010-03-03 16:00:00.288,4.79,4.82,4.71,4.74,1170136
2010-03-04 16:00:00.288,4.76,4.89,4.69,4.85,1065193
2010-03-05 16:00:00.288,4.92,5.25,4.86,5.15,2834519
2010-03-08 16:00:00.288,5.25,5.27,5.01,5.03,1655825
2010-03-09 16:00:00.288,5.02,5.09,4.96,5.0,1121985
2010-03-10 16:00:00.288,5.0,5.11,4.99,5.03,880558
2010-03-11 16:00:00.288,5.21,5.27,5.1,5.24,2699238
2010-03-12 16:00:00.288,5.28,5.33,5.2,5.29,1221472
2010-03-15 16:00:00.288,5.26,5.27,4.96,5.0,1792998
2010-03-16 16:00:00.288,5.06,5.1,4.95,5.08,1476828
2010-03-17 16:00:00.288,5.06,5.25,5.03,5.16,683989
2010-03-18 16:00:00.288,5.11,5.17,4.98,5.06,819126
2010-03-19 16:00:00.288,5.02,5.09,4.65,4.66,2850632
2010-03-22 16:00:00.288,4.68,4.89,4.58,4.87,1522974
2010-03-23 16:00:00.288,4.93,5.06,4.82,4.99,1559333
2010-03-24 16:00:00.288,4.91,5.13,4.87,5.02,1506019
2010-03-25 16:00:00.288,5.12,5.17,5.07,5.08,1359878
2010-03-26 16:00:00.288,5.14,5.15,4.95,4.99,821858
2010-03-29 16:00:00.288,5.03,5.09,4.91,4.99,701124
2010-03-30 16:00:00.288,4.96,5.08,4.81,5.03,1201756
2010-03-31 16:00:00.288,4.99,5.2,4.95,5.03,1274307
2010-04-01 16:00:00.288,5.09,5.18,4.85,4.94,1863445
2010-04-05 16:00:00.288,4.99,5.14,4.96,5.12,1055705
2010-04-06 16:00:00.288,5.07,5.1,4.97,5.03,916225
2010-04-07 16:00:00.288,5.05,5.06,4.9,5.04,1381343
2010-04-08 16:00:00.288,4.98,5.08,4.88,4.98,1045624
2010-04-09 16:00:00.288,4.99,5.05,4.9,5.0,609095
2010-04-12 16:00:00.288,5.0,5.03,4.94,4.99,947733
2010-04-13 16:00:00.288,4.96,5.0,4.91,4.94,614942
2010-04-14 16:00:00.288,5.07,5.99,5.03,5.94,7078781
2010-04-15 16:00:00.288,5.93,6.07,5.71,5.88,1739966
2010-04-16 16:00:00.288,5.88,5.93,5.65,5.72,1461949
2010-04-19 16:00:00.288,5.72,5.78,5.55,5.69,1163211
2010-04-20 16:00:00.288,5.72,5.9,5.64,5.71,1472730
2010-04-21 16:00:00.288,5.72,5.8,5.65,5.78,1192683
2010-04-22 16:00:00.288,5.67,5.86,5.42,5.83,1477121
2010-04-23 16:00:00.288,5.82,6.24,5.81,6.19,2594424
2010-04-26 16:00:00.288,6.18,6.4,6.11,6.12,2909705
2010-04-27 16:00:00.288,6.13,6.44,6.08,6.12,3435309
2010-04-28 16:00:00.288,6.18,6.3,6.02,6.13,2099023
2010-04-29 16:00:00.288,6.29,6.37,6.12,6.37,1878153
2010-04-30 16:00:00.288,6.42,6.43,6.16,6.18,2577329
2010-05-03 16:00:00.288,6.22,6.83,6.12,6.75,3987521
2010-05-04 16:00:00.288,6.61,6.63,6.31,6.37,3038934
2010-05-05 16:00:00.288,6.3,6.37,6.07,6.2,2707959
2010-05-06 16:00:00.288,6.11,6.37,4.8,5.64,4536432
2010-05-07 16:00:00.288,5.75,5.75,5.11,5.29,3066016
2010-05-10 16:00:00.288,5.72,5.82,5.59,5.73,3130132
2010-05-11 16:00:00.288,5.57,5.9,5.51,5.74,1393368
2010-05-12 16:00:00.288,5.75,5.9,5.7,5.85,1498754
2010-05-13 16:00:00.288,5.81,6.0,5.73,5.83,1210948
2010-05-14 16:00:00.288,5.67,5.72,5.42,5.62,1427464
2010-05-17 16:00:00.288,5.66,5.72,5.16,5.49,2188557
2010-05-18 16:00:00.288,5.57,5.67,5.25,5.31,1411412
2010-05-19 16:00:00.288,5.28,5.39,5.01,5.2,1978952
2010-05-20 16:00:00.288,5.05,5.12,4.75,4.92,2525273
2010-05-21 16:00:00.288,4.76,5.13,4.65,5.09,2198010
2010-05-24 16:00:00.288,5.07,5.18,4.97,4.97,1043509
2010-05-25 16:00:00.288,4.74,4.99,4.62,4.91,2091493
2010-05-26 16:00:00.288,5.1,5.22,4.9,4.97,2068324
2010-05-27 16:00:00.288,5.26,5.45,5.18,5.43,1706745
2010-05-28 16:00:00.288,5.57,5.66,5.28,5.4,1616340
2010-06-01 16:00:00.288,5.31,5.44,5.04,5.04,1487790
2010-06-02 16:00:00.288,5.08,5.31,5.0,5.3,2011059
2010-06-03 16:00:00.288,5.29,5.35,5.1,5.21,2015777
2010-06-04 16:00:00.288,4.96,5.05,4.66,4.68,2105991
2010-06-07 16:00:00.288,4.73,4.82,4.4,4.42,2203409
2010-06-08 16:00:00.288,4.43,4.45,4.1,4.24,3345598
2010-06-09 16:00:00.288,4.33,4.42,4.08,4.14,2376052
2010-06-10 16:00:00.288,4.28,4.35,4.23,4.33,3096705
2010-06-11 16:00:00.288,4.25,4.4,4.18,4.4,1538122
2010-06-14 16:00:00.288,4.52,4.63,4.47,4.52,2836515
2010-06-15 16:00:00.288,4.56,4.8,4.5,4.78,1258347
2010-06-16 16:00:00.288,4.72,4.73,4.57,4.64,2682736
2010-06-17 16:00:00.288,4.69,4.71,4.46,4.61,1470832
2010-06-18 16:00:00.288,4.65,4.7,4.56,4.67,1462815
2010-06-21 16:00:00.288,4.74,4.77,4.39,4.44,2780734
2010-06-22 16:00:00.288,4.47,4.63,4.4,4.41,2516414
2010-06-23 16:00:00.288,4.41,4.41,4.28,4.31,1508420
2010-06-24 16:00:00.288,4.26,4.27,4.11,4.16,1421470
2010-06-25 16:00:00.288,4.2,4.3,4.12,4.25,2718270
2010-06-28 16:00:00.288,4.23,4.4,4.19,4.26,1155980
2010-06-29 16:00:00.288,4.13,4.19,3.99,4.08,1990124
2010-06-30 16:00:00.288,4.06,4.16,3.95,3.97,1660174
2010-07-01 16:00:00.288,3.95,4.0,3.69,3.84,2173167
2010-07-02 16:00:00.288,3.88,3.91,3.73,3.88,1313693
2010-07-06 16:00:00.288,3.98,4.06,3.72,3.77,1560578
2010-07-07 16:00:00.288,3.81,4.04,3.81,4.01,1108749
2010-07-08 16:00:00.288,4.08,4.18,3.95,4.16,1286228
2010-07-09 16:00:00.288,4.16,4.41,4.12,4.41,1075506
2010-07-12 16:00:00.288,4.39,4.45,4.3,4.35,886549
2010-07-13 16:00:00.288,4.47,4.78,4.47,4.7,1686102
2010-07-14 16:00:00.288,4.7,4.91,4.68,4.77,2001506
2010-07-15 16:00:00.288,4.76,4.76,4.52,4.66,1372320
2010-07-16 16:00:00.288,4.63,4.65,4.36,4.41,1294714
2010-07-19 16:00:00.288,4.47,4.5,4.26,4.38,789146
2010-07-20 16:00:00.288,4.27,4.48,4.18,4.48,1273766
2010-07-21 16:00:00.288,4.55,4.63,4.41,4.45,1582637
2010-07-22 16:00:00.288,4.55,4.74,4.52,4.71,1336123
2010-07-23 16:00:00.288,4.65,4.92,4.62,4.89,1155126
2010-07-26 16:00:00.288,4.9,5.13,4.9,5.1,2639423
2010-07-27 16:00:00.288,5.14,5.15,4.57,4.85,4961068
2010-07-28 16:00:00.288,4.87,4.96,4.61,4.66,2648933
2010-07-29 16:00:00.288,4.71,4.78,4.44,4.56,1233605
2010-07-30 16:00:00.288,4.5,4.66,4.45,4.61,871952
2010-08-02 16:00:00.288,4.75,4.92,4.66,4.89,2073081
2010-08-03 16:00:00.288,4.85,4.93,4.73,4.82,1143069
2010-08-04 16:00:00.288,4.85,4.91,4.82,4.86,589023
2010-08-05 16:00:00.288,4.81,4.9,4.78,4.86,506724
2010-08-06 16:00:00.288,4.75,4.89,4.61,4.73,818179
2010-08-09 16:00:00.288,4.78,4.9,4.77,4.89,955322
2010-08-10 16:00:00.288,4.8,4.83,4.68,4.68,1394213
2010-08-11 16:00:00.288,4.52,4.53,4.04,4.09,2195004
2010-08-12 16:00:00.288,3.95,4.2,3.92,4.11,1330597
2010-08-13 16:00:00.288,4.09,4.2,4.05,4.16,1131987
2010-08-16 16:00:00.288,4.15,4.23,4.02,4.17,1158997
2010-08-17 16:00:00.288,4.24,4.47,4.21,4.41,1008363
2010-08-18 16:00:00.288,4.39,4.44,4.33,4.41,621655
2010-08-19 16:00:00.288,4.36,4.44,4.17,4.28,1028027
2010-08-20 16:00:00.288,4.22,4.3,4.12,4.18,1185975
2010-08-23 16:00:00.288,4.23,4.32,4.19,4.26,1612157
2010-08-24 16:00:00.288,4.17,4.25,4.07,4.09,1044019
2010-08-25 16:00:00.288,4.05,4.1,3.89,4.02,1764815
2010-08-26 16:00:00.288,4.05,4.1,3.84,3.85,1132420
2010-08-27 16:00:00.288,3.92,3.98,3.75,3.93,2368736
2010-08-30 16:00:00.288,3.9,3.99,3.86,3.9,1289673
2010-08-31 16:00:00.288,3.88,3.97,3.81,3.84,1890445
2010-09-01 16:00:00.288,3.97,4.09,3.91,4.0,2928306
2010-09-02 16:00:00.288,4.01,4.07,3.99,4.02,1833048
2010-09-03 16:00:00.288,4.1,4.25,4.1,4.25,1625916
2010-09-07 16:00:00.288,4.19,4.32,4.07,4.08,2182861
2010-09-08 16:00:00.288,4.11,4.36,4.11,4.33,1770250
2010-09-09 16:00:00.288,4.39,4.49,4.27,4.29,1393535
2010-09-10 16:00:00.288,4.3,4.38,4.21,4.3,714710
2010-09-13 16:00:00.288,4.37,4.61,4.35,4.6,1095088
2010-09-14 16:00:00.288,4.57,4.67,4.45,4.58,862504
2010-09-15 16:00:00.288,4.54,4.7,4.52,4.64,1198430
2010-09-16 16:00:00.288,4.64,4.7,4.6,4.63,1415638
2010-09-17 16:00:00.288,4.71,4.74,4.64,4.71,1232026
2010-09-20 16:00:00.288,4.75,4.94,4.72,4.94,1529825
2010-09-21 16:00:00.288,4.97,4.99,4.91,4.95,1597354
2010-09-22 16:00:00.288,4.73,4.76,4.47,4.53,1565866
2010-09-23 16:00:00.288,4.46,4.51,4.35,4.37,1250923
2010-09-24 16:00:00.288,4.49,4.67,4.44,4.59,1539168
2010-09-27 16:00:00.288,4.61,4.8,4.61,4.72,1194803
2010-09-28 16:00:00.288,4.7,4.8,4.64,4.79,1165574
2010-09-29 16:00:00.288,4.79,4.88,4.72,4.74,801351
2010-09-30 16:00:00.288,4.8,4.86,4.55,4.67,982370
2010-10-01 16:00:00.288,4.72,4.78,4.63,4.65,675123
2010-10-04 16:00:00.288,4.64,4.72,4.53,4.58,1079559
2010-10-05 16:00:00.288,4.65,4.8,4.63,4.78,693041
2010-10-06 16:00:00.288,4.8,4.82,4.69,4.7,417279
2010-10-07 16:00:00.288,4.78,4.88,4.71,4.83,1032043
2010-10-08 16:00:00.288,4.83,4.83,4.55,4.71,2419188
2010-10-11 16:00:00.288,4.72,4.84,4.72,4.79,1354315
2010-10-12 16:00:00.288,4.75,4.91,4.68,4.9,1297685
2010-10-13 16:00:00.288,5.0,5.0,4.86,4.87,1107573
2010-10-14 16:00:00.288,4.87,5.05,4.82,5.03,2117487
2010-10-15 16:00:00.288,5.1,5.18,4.97,5.17,1726669
2010-10-18 16:00:00.288,5.18,5.31,5.11,5.22,1325228
2010-10-19 16:00:00.288,5.11,5.21,4.92,5.03,1461813
2010-10-20 16:00:00.288,5.0,5.13,4.97,5.09,1112611
2010-10-21 16:00:00.288,5.11,5.19,4.99,5.04,1274425
2010-10-22 16:00:00.288,5.07,5.12,4.99,5.05,1342077
2010-10-25 16:00:00.288,5.13,5.27,5.08,5.08,1508805
2010-10-26 16:00:00.288,5.4,6.15,5.3,6.06,7018578
2010-10-27 16:00:00.288,6.01,6.11,5.92,6.09,2487351
2010-10-28 16:00:00.288,6.12,6.14,5.73,5.83,1833998
2010-10-29 16:00:00.288,5.85,6.06,5.83,5.99,2268795
2010-11-01 16:00:00.288,6.03,6.08,5.88,5.92,1901589
2010-11-02 16:00:00.288,6.02,6.07,5.92,6.05,1854720
2010-11-03 16:00:00.288,6.06,6.11,5.92,6.02,1874260
2010-11-04 16:00:00.288,6.1,6.38,6.1,6.25,2199898
2010-11-05 16:00:00.288,6.24,6.38,6.18,6.38,1382196
2010-11-08 16:00:00.288,6.32,6.72,6.25,6.58,2513874
2010-11-09 16:00:00.288,6.62,6.68,6.29,6.32,1708790
2010-11-10 16:00:00.288,6.3,6.38,6.12,6.32,1142265
2010-11-11 16:00:00.288,6.23,6.23,5.9,6.17,1441571
2010-11-12 16:00:00.288,6.04,6.22,5.93,6.09,1534411
2010-11-15 16:00:00.288,6.15,6.61,6.05,6.37,2460755
2010-11-16 16:00:00.288,6.31,6.36,5.96,6.01,1616023
2010-11-17 16:00:00.288,6.03,6.14,5.99,6.02,763303
2010-11-18 16:00:00.288,6.14,6.35,6.12,6.33,1044626
2010-11-19 16:00:00.288,6.32,6.41,6.25,6.35,1023301
2010-11-22 16:00:00.288,6.31,6.5,6.26,6.45,1137116
2010-11-23 16:00:00.288,6.34,6.41,6.23,6.41,1080688
2010-11-24 16:00:00.288,6.48,6.58,6.4,6.57,708115
2010-11-26 16:00:00.288,6.5,6.54,6.45,6.49,279499
2010-11-29 16:00:00.288,6.43,6.49,6.29,6.44,1225029
2010-11-30 16:00:00.288,6.33,6.55,6.3,6.5,2027948
2010-12-01 16:00:00.288,6.6,6.95,6.53,6.89,1953707
2010-12-02 16:00:00.288,6.94,7.1,6.85,7.08,1700469
2010-12-03 16:00:00.288,7.03,7.19,6.82,7.0,1506887
2010-12-06 16:00:00.288,6.95,7.01,6.68,6.74,2501667
2010-12-07 16:00:00.288,6.88,6.99,6.79,6.9,1022375
2010-12-08 16:00:00.288,6.94,7.1,6.86,7.03,794767
2010-12-09 16:00:00.288,7.13,7.13,7.01,7.09,520739
2010-12-10 16:00:00.288,7.12,7.15,7.04,7.15,606185
2010-12-13 16:00:00.288,7.15,7.58,7.15,7.4,1722475
2010-12-14 16:00:00.288,7.41,7.48,7.1,7.12,953973
2010-12-15 16:00:00.288,7.08,7.21,6.91,6.99,1379034
2010-12-16 16:00:00.288,7.0,7.27,6.98,7.25,733023
2010-12-17 16:00:00.288,7.27,7.4,7.16,7.33,1175170
2010-12-20 16:00:00.288,7.37,7.53,7.33,7.37,796294
2010-12-21 16:00:00.288,7.45,7.73,7.38,7.7,1264849
2010-12-22 16:00:00.288,7.69,7.69,7.44,7.47,1019196
2010-12-23 16:00:00.288,7.5,7.52,7.37,7.38,577091
2010-12-27 16:00:00.288,7.34,7.55,7.3,7.55,434727
2010-12-28 16:00:00.288,7.54,7.58,7.33,7.39,849166
2010-12-29 16:00:00.288,7.45,7.62,7.42,7.5,617021
2010-12-30 16:00:00.288,7.51,7.59,7.5,7.5,357590
2010-12-31 16:00:00.288,7.48,7.58,7.47,7.47,529627
2011-01-03 16:00:00.288,7.6,7.7,7.21,7.59,1616735
2011-01-04 16:00:00.288,7.63,7.63,7.4,7.45,1197111
2011-01-05 16:00:00.288,7.41,7.43,7.12,7.28,2155197
2011-01-06 16:00:00.288,7.26,7.3,7.12,7.2,1167416
2011-01-07 16:00:00.288,7.2,7.34,7.11,7.32,910516
2011-01-10 16:00:00.288,7.27,7.36,7.09,7.34,976336
2011-01-11 16:00:00.288,7.36,7.62,7.35,7.52,1509850
2011-01-12 16:00:00.288,7.54,7.64,7.45,7.62,1031524
2011-01-13 16:00:00.288,7.6,7.6,7.34,7.49,1082384
2011-01-14 16:00:00.288,7.51,7.97,7.51,7.91,1675740
2011-01-18 16:00:00.288,7.91,7.95,7.63,7.65,1270928
2011-01-19 16:00:00.288,7.6,7.6,7.3,7.36,1639827
2011-01-20 16:00:00.288,7.28,7.36,7.1,7.27,1012580
2011-01-21 16:00:00.288,7.34,7.39,7.21,7.25,1255213
2011-01-24 16:00:00.288,7.24,7.51,7.24,7.45,1028890
2011-01-25 16:00:00.288,7.35,7.35,6.98,7.16,1899661
2011-01-26 16:00:00.288,7.14,7.32,7.03,7.23,1426217
2011-01-27 16:00:00.288,7.26,7.63,7.23,7.56,1113211
2011-01-28 16:00:00.288,7.57,7.74,7.25,7.27,1991982
2011-01-31 16:00:00.288,7.36,7.7,7.36,7.65,1542742
2011-02-01 16:00:00.288,7.95,8.55,7.84,8.53,5170255
2011-02-02 16:00:00.288,8.52,8.6,8.27,8.43,2046373
2011-02-03 16:00:00.288,8.38,8.54,8.26,8.32,1160963
2011-02-04 16:00:00.288,8.45,8.46,8.12,8.46,898947
2011-02-07 16:00:00.288,8.5,8.82,8.5,8.67,1422355
2011-02-08 16:00:00.288,8.69,8.8,8.56,8.72,1095186
2011-02-09 16:00:00.288,8.72,8.73,8.53,8.66,973421
2011-02-10 16:00:00.288,8.55,8.73,8.45,8.72,1192727
2011-02-11 16:00:00.288,8.62,8.95,8.56,8.91,1303395
2011-02-14 16:00:00.288,8.96,9.64,8.91,9.64,3297040
2011-02-15 16:00:00.288,9.59,9.59,9.25,9.27,2084220
2011-02-16 16:00:00.288,9.34,9.39,9.2,9.26,1321715
2011-02-17 16:00:00.288,9.28,9.37,9.2,9.35,892561
2011-02-18 16:00:00.288,9.41,9.41,9.02,9.15,940416
2011-02-22 16:00:00.288,8.95,9.06,8.7,8.76,1976950
2011-02-23 16:00:00.288,8.76,8.76,8.07,8.3,2014206
