Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,74.3,74.42,73.44,73.94,11239
2010-01-05 16:00:00.288,73.05,74.87,72.63,72.63,16656
2010-01-06 16:00:00.288,73.0,73.99,71.45,71.45,15191
2010-01-07 16:00:00.288,70.85,72.46,69.18,69.48,25009
2010-01-08 16:00:00.288,70.24,71.58,69.48,70.37,31913
2010-01-11 16:00:00.288,70.28,70.5,68.25,68.25,11891
2010-01-12 16:00:00.288,67.5,68.2,66.09,66.36,22838
2010-01-13 16:00:00.288,66.62,67.38,66.3,66.74,20305
2010-01-14 16:00:00.288,67.24,67.99,66.85,67.5,19699
2010-01-15 16:00:00.288,66.8,67.83,65.82,65.86,21008
2010-01-19 16:00:00.288,66.31,67.57,66.31,67.33,16107
2010-01-20 16:00:00.288,67.21,67.75,66.01,66.51,17755
2010-01-21 16:00:00.288,66.45,66.61,65.16,65.16,23996
2010-01-22 16:00:00.288,65.31,66.41,64.06,64.84,17940
2010-01-25 16:00:00.288,65.47,65.88,64.5,64.91,12736
2010-01-26 16:00:00.288,64.81,65.01,63.78,63.88,10688
2010-01-27 16:00:00.288,64.79,65.0,63.4,65.0,12443
2010-01-28 16:00:00.288,65.1,66.07,63.17,64.58,17782
2010-01-29 16:00:00.288,64.82,65.77,64.35,64.89,21734
2010-02-01 16:00:00.288,65.0,66.87,64.07,64.1,16491
2010-02-02 16:00:00.288,64.76,64.77,63.42,63.72,15208
2010-02-03 16:00:00.288,63.3,64.23,62.82,63.65,14577
2010-02-04 16:00:00.288,63.38,63.38,61.68,61.9,19491
2010-02-05 16:00:00.288,61.78,62.57,61.03,62.57,19740
2010-02-08 16:00:00.288,62.4,63.05,61.51,61.65,11519
2010-02-09 16:00:00.288,62.37,63.05,61.63,62.51,7502
2010-02-10 16:00:00.288,62.57,62.88,62.02,62.02,10810
2010-02-11 16:00:00.288,62.05,64.71,61.99,64.55,16836
2010-02-12 16:00:00.288,63.22,63.89,62.95,63.5,22266
2010-02-16 16:00:00.288,63.48,64.0,62.22,63.02,16749
2010-02-17 16:00:00.288,62.53,63.33,61.88,62.5,35703
2010-02-18 16:00:00.288,62.4,62.5,61.95,62.5,14916
2010-02-19 16:00:00.288,62.76,63.08,62.1,62.86,52277
2010-02-22 16:00:00.288,63.09,64.0,63.02,63.6,15313
2010-02-23 16:00:00.288,64.06,64.23,62.63,62.83,16639
2010-02-24 16:00:00.288,62.85,63.5,62.83,63.2,11880
2010-02-25 16:00:00.288,62.32,64.5,62.1,62.54,17998
2010-02-26 16:00:00.288,62.71,63.97,61.81,63.01,17096
2010-03-01 16:00:00.288,63.98,64.77,63.04,64.24,74319
2010-03-02 16:00:00.288,64.43,65.79,64.43,65.5,19616
2010-03-03 16:00:00.288,65.15,65.8,64.84,65.02,9579
2010-03-04 16:00:00.288,65.22,67.49,64.91,66.25,31565
2010-03-05 16:00:00.288,66.4,69.23,65.88,69.21,104445
2010-03-08 16:00:00.288,69.05,69.68,68.09,69.17,44060
2010-03-09 16:00:00.288,67.89,69.5,67.25,69.47,20774
2010-03-10 16:00:00.288,68.9,69.26,67.92,68.2,17586
2010-03-11 16:00:00.288,67.47,68.36,66.82,67.73,15681
2010-03-12 16:00:00.288,67.52,68.25,65.46,66.68,50173
2010-03-15 16:00:00.288,65.75,66.92,65.75,66.33,18650
2010-03-16 16:00:00.288,66.12,68.0,66.12,67.99,18372
2010-03-17 16:00:00.288,67.68,70.75,67.68,69.26,74033
2010-03-18 16:00:00.288,68.78,69.25,67.71,68.01,10858
2010-03-19 16:00:00.288,67.67,68.24,67.15,67.31,44732
2010-03-22 16:00:00.288,67.29,68.21,66.92,68.08,11550
2010-03-23 16:00:00.288,67.15,68.2,66.53,68.09,14290
2010-03-24 16:00:00.288,67.58,68.5,66.66,67.71,12781
2010-03-25 16:00:00.288,67.36,69.05,67.1,68.34,17734
2010-03-26 16:00:00.288,69.04,69.19,67.66,69.0,17092
2010-03-29 16:00:00.288,68.89,69.3,67.9,69.0,13141
2010-03-30 16:00:00.288,69.15,70.22,68.52,70.0,51578
2010-03-31 16:00:00.288,69.68,70.22,69.0,69.16,26674
2010-04-01 16:00:00.288,69.7,69.7,67.71,68.3,21922
2010-04-05 16:00:00.288,68.13,69.71,67.69,68.91,12192
2010-04-06 16:00:00.288,68.3,68.86,68.09,68.64,4144
2010-04-07 16:00:00.288,68.35,69.18,68.18,69.14,13426
2010-04-08 16:00:00.288,68.87,69.48,68.66,68.94,11887
2010-04-09 16:00:00.288,68.76,69.13,67.71,68.76,14617
2010-04-12 16:00:00.288,68.18,69.15,67.63,69.05,18046
2010-04-13 16:00:00.288,68.55,69.0,67.83,68.06,13812
2010-04-14 16:00:00.288,68.5,68.93,67.95,68.93,25870
2010-04-15 16:00:00.288,68.82,69.0,67.61,69.0,16052
2010-04-16 16:00:00.288,68.72,69.21,67.96,68.55,34921
2010-04-19 16:00:00.288,68.69,68.69,67.57,67.95,12994
2010-04-20 16:00:00.288,68.0,68.19,67.51,68.0,12288
2010-04-21 16:00:00.288,67.94,68.05,67.6,67.65,29282
2010-04-22 16:00:00.288,67.39,67.64,66.48,67.48,25147
2010-04-23 16:00:00.288,67.02,67.6,66.87,67.5,22140
2010-04-26 16:00:00.288,67.57,67.74,67.26,67.5,12682
2010-04-27 16:00:00.288,67.31,67.98,66.6,66.61,33302
2010-04-28 16:00:00.288,66.84,67.0,65.63,66.54,13963
2010-04-29 16:00:00.288,66.87,67.16,66.65,66.9,16392
2010-04-30 16:00:00.288,66.72,66.89,66.05,66.12,27554
2010-05-03 16:00:00.288,66.07,66.39,65.17,66.25,19063
2010-05-04 16:00:00.288,62.81,66.79,62.81,66.0,20497
2010-05-05 16:00:00.288,65.5,66.0,65.5,65.6,11935
2010-05-06 16:00:00.288,65.5,66.0,62.34,62.34,24967
2010-05-07 16:00:00.288,63.76,65.7,62.5,62.81,25751
2010-05-10 16:00:00.288,64.04,65.0,63.38,64.23,26612
2010-05-11 16:00:00.288,64.37,64.38,63.73,64.0,61930
2010-05-12 16:00:00.288,64.2,65.17,64.0,64.68,82389
2010-05-13 16:00:00.288,64.67,65.85,64.66,65.1,41406
2010-05-14 16:00:00.288,64.52,64.99,64.3,64.35,71737
2010-05-17 16:00:00.288,64.37,65.05,64.04,64.58,14044
2010-05-18 16:00:00.288,64.96,65.44,64.54,64.61,15016
2010-05-19 16:00:00.288,65.5,65.79,64.42,65.3,10462
2010-05-20 16:00:00.288,65.0,65.01,62.25,62.26,23108
