Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,21.92,22.01,21.71,21.84,597051
2010-01-05 16:00:00.288,21.9,21.92,21.44,21.55,558591
2010-01-06 16:00:00.288,21.51,21.67,21.45,21.67,491180
2010-01-07 16:00:00.288,21.74,21.74,21.49,21.53,266759
2010-01-08 16:00:00.288,21.53,21.74,21.41,21.72,397437
2010-01-11 16:00:00.288,21.8,22.11,21.74,22.05,640506
2010-01-12 16:00:00.288,21.95,22.05,21.78,21.94,601975
2010-01-13 16:00:00.288,22.04,22.2,21.92,22.15,289756
2010-01-14 16:00:00.288,22.17,22.19,22.05,22.18,362529
2010-01-15 16:00:00.288,22.78,22.78,21.91,22.24,1115032
2010-01-19 16:00:00.288,22.31,22.53,22.23,22.53,556850
2010-01-20 16:00:00.288,22.43,22.53,22.16,22.43,572354
2010-01-21 16:00:00.288,22.45,22.55,21.94,22.05,739360
2010-01-22 16:00:00.288,22.05,22.07,21.54,21.56,802091
2010-01-25 16:00:00.288,21.76,21.83,21.5,21.6,640529
2010-01-26 16:00:00.288,21.59,21.66,21.41,21.59,848776
2010-01-27 16:00:00.288,21.54,21.63,21.23,21.4,765331
2010-01-28 16:00:00.288,21.4,21.42,21.06,21.28,1154343
2010-01-29 16:00:00.288,21.31,21.58,21.19,21.33,1967861
2010-02-01 16:00:00.288,21.44,21.52,21.29,21.5,686260
2010-02-02 16:00:00.288,21.46,21.66,21.35,21.62,610180
2010-02-03 16:00:00.288,21.59,21.75,21.38,21.43,541492
2010-02-04 16:00:00.288,21.36,21.37,21.0,21.0,550434
2010-02-05 16:00:00.288,21.05,21.07,20.56,20.94,889085
2010-02-08 16:00:00.288,21.01,21.09,20.8,20.8,474663
2010-02-09 16:00:00.288,21.0,21.24,20.81,21.05,817106
2010-02-10 16:00:00.288,20.97,21.09,20.76,21.02,586120
2010-02-11 16:00:00.288,20.96,21.18,20.83,21.12,473326
2010-02-12 16:00:00.288,21.0,21.22,20.93,21.22,698193
2010-02-16 16:00:00.288,21.3,21.63,21.3,21.6,582751
2010-02-17 16:00:00.288,21.73,21.78,21.58,21.66,567001
2010-02-18 16:00:00.288,21.69,21.94,21.68,21.76,802046
2010-02-19 16:00:00.288,21.75,22.3,21.67,22.18,517563
2010-02-22 16:00:00.288,22.25,22.33,22.14,22.16,329984
2010-02-23 16:00:00.288,22.16,22.3,21.93,22.03,608748
2010-02-24 16:00:00.288,22.06,22.15,21.88,22.15,468908
2010-02-25 16:00:00.288,21.89,22.24,21.81,22.04,1102623
2010-02-26 16:00:00.288,22.17,22.18,21.27,21.4,1900765
2010-03-01 16:00:00.288,21.49,21.62,21.39,21.44,754017
2010-03-02 16:00:00.288,22.04,22.25,21.72,21.86,1765198
2010-03-03 16:00:00.288,21.92,22.27,21.86,22.08,947919
2010-03-04 16:00:00.288,22.06,22.24,22.0,22.15,1021931
2010-03-05 16:00:00.288,21.98,21.98,21.69,21.83,949425
2010-03-08 16:00:00.288,21.88,21.95,21.74,21.93,788731
2010-03-09 16:00:00.288,21.91,21.97,21.74,21.76,724562
2010-03-10 16:00:00.288,21.8,21.97,21.73,21.96,841282
2010-03-11 16:00:00.288,21.87,22.04,21.78,22.04,595301
2010-03-12 16:00:00.288,22.1,22.1,21.93,22.07,650971
