Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,3.5,3.53,3.37,3.4,171891
2010-01-05 16:00:00.288,3.39,3.84,3.36,3.8,265183
2010-01-06 16:00:00.288,3.93,4.23,3.88,4.13,523109
2010-01-07 16:00:00.288,4.16,4.5,4.11,4.17,422485
2010-01-08 16:00:00.288,4.24,4.25,4.0,4.04,263645
2010-01-11 16:00:00.288,4.1,4.2,4.01,4.14,58251
2010-01-12 16:00:00.288,4.21,4.29,4.18,4.24,112123
2010-01-13 16:00:00.288,4.36,4.37,4.15,4.28,114844
2010-01-14 16:00:00.288,4.25,4.36,4.13,4.14,74179
2010-01-15 16:00:00.288,4.18,4.2,4.03,4.06,61244
2010-01-19 16:00:00.288,4.02,4.3,4.01,4.21,65733
2010-01-20 16:00:00.288,4.27,4.27,4.14,4.2,59477
2010-01-21 16:00:00.288,4.13,4.21,3.75,4.0,293962
2010-01-22 16:00:00.288,3.95,4.0,3.84,3.88,145633
2010-01-25 16:00:00.288,3.9,4.01,3.55,3.66,177964
2010-01-26 16:00:00.288,3.54,3.62,3.41,3.47,198619
2010-01-27 16:00:00.288,3.49,3.54,3.45,3.49,45909
2010-01-28 16:00:00.288,3.42,3.51,3.4,3.47,42944
2010-01-29 16:00:00.288,3.51,3.53,3.46,3.5,54541
2010-02-01 16:00:00.288,3.5,3.85,3.5,3.85,116327
2010-02-02 16:00:00.288,4.1,4.25,3.9,3.96,170653
2010-02-03 16:00:00.288,3.95,4.0,3.86,3.96,55419
2010-02-04 16:00:00.288,3.86,4.0,3.83,3.87,77983
2010-02-05 16:00:00.288,3.8,3.85,3.59,3.76,85570
2010-02-08 16:00:00.288,3.83,4.01,3.75,3.96,69127
2010-02-09 16:00:00.288,3.85,3.97,3.79,3.8,55631
2010-02-10 16:00:00.288,3.88,3.95,3.83,3.86,56850
2010-02-11 16:00:00.288,3.86,4.02,3.81,3.81,170043
2010-02-12 16:00:00.288,3.82,3.97,3.76,3.93,120409
2010-02-16 16:00:00.288,3.86,4.03,3.76,3.86,132801
2010-02-17 16:00:00.288,3.91,4.0,3.86,3.99,108408
2010-02-18 16:00:00.288,3.96,4.0,3.85,3.9,117489
2010-02-19 16:00:00.288,3.88,3.94,3.84,3.92,48168
2010-02-22 16:00:00.288,3.92,4.1,3.9,3.97,207660
2010-02-23 16:00:00.288,3.96,4.04,3.95,4.02,82483
2010-02-24 16:00:00.288,4.05,4.16,4.01,4.06,58578
2010-02-25 16:00:00.288,4.06,4.14,4.02,4.06,53956
2010-02-26 16:00:00.288,4.04,4.12,4.0,4.11,76871
2010-03-01 16:00:00.288,4.09,4.25,4.06,4.25,67562
2010-03-02 16:00:00.288,4.27,4.28,4.17,4.25,104357
2010-03-03 16:00:00.288,4.22,4.24,4.19,4.23,33834
2010-03-04 16:00:00.288,4.22,4.35,4.15,4.33,149610
2010-03-05 16:00:00.288,4.45,4.48,4.3,4.36,88645
2010-03-08 16:00:00.288,4.31,4.38,4.21,4.35,85962
2010-03-09 16:00:00.288,4.28,4.45,4.28,4.37,112067
2010-03-10 16:00:00.288,4.56,5.25,4.47,4.7,2203318
2010-03-11 16:00:00.288,4.71,4.95,4.56,4.87,578512
2010-03-12 16:00:00.288,4.91,4.99,4.72,4.81,323804
2010-03-15 16:00:00.288,4.79,4.85,4.68,4.76,186621
2010-03-16 16:00:00.288,4.79,4.94,4.37,4.39,430484
2010-03-17 16:00:00.288,4.42,4.49,4.1,4.43,374993
2010-03-18 16:00:00.288,4.5,4.5,4.31,4.46,97737
2010-03-19 16:00:00.288,4.48,4.77,4.41,4.64,428381
2010-03-22 16:00:00.288,4.71,4.77,4.52,4.61,168048
2010-03-23 16:00:00.288,4.52,4.61,4.46,4.56,200011
2010-03-24 16:00:00.288,4.55,4.6,4.39,4.41,96451
2010-03-25 16:00:00.288,4.41,4.46,4.32,4.38,282359
2010-03-26 16:00:00.288,4.35,4.39,4.21,4.34,126662
2010-03-29 16:00:00.288,4.32,4.37,4.24,4.25,107164
2010-03-30 16:00:00.288,4.27,4.3,4.16,4.24,147929
2010-03-31 16:00:00.288,4.26,4.49,4.2,4.45,226552
2010-04-01 16:00:00.288,4.48,4.65,4.38,4.41,159270
2010-04-05 16:00:00.288,4.47,4.57,4.38,4.47,80250
2010-04-06 16:00:00.288,4.47,4.64,4.42,4.6,92542
2010-04-07 16:00:00.288,4.68,4.77,4.6,4.72,191071
2010-04-08 16:00:00.288,4.77,4.88,4.71,4.79,135392
2010-04-09 16:00:00.288,4.8,4.86,4.6,4.69,106095
2010-04-12 16:00:00.288,4.73,4.79,4.6,4.73,79047
2010-04-13 16:00:00.288,4.7,4.79,4.6,4.69,137194
2010-04-14 16:00:00.288,4.55,4.61,4.5,4.53,1486540
2010-04-15 16:00:00.288,4.51,4.52,4.3,4.47,720803
2010-04-16 16:00:00.288,4.48,4.5,4.12,4.32,420782
2010-04-19 16:00:00.288,4.29,4.37,4.14,4.37,353956
2010-04-20 16:00:00.288,4.39,4.41,4.14,4.25,249655
2010-04-21 16:00:00.288,4.21,4.29,3.97,4.16,365284
2010-04-22 16:00:00.288,4.09,4.16,3.9,4.0,335950
2010-04-23 16:00:00.288,3.97,4.21,3.85,4.14,408512
2010-04-26 16:00:00.288,4.15,4.45,4.15,4.45,326250
2010-04-27 16:00:00.288,4.43,4.48,4.3,4.4,272941
2010-04-28 16:00:00.288,4.41,4.5,4.38,4.49,251221
2010-04-29 16:00:00.288,4.52,4.6,4.4,4.54,285822
2010-04-30 16:00:00.288,4.48,4.5,4.3,4.44,208236
2010-05-03 16:00:00.288,4.38,4.5,4.32,4.36,143629
2010-05-04 16:00:00.288,4.36,4.36,4.2,4.31,148526
2010-05-05 16:00:00.288,4.28,4.49,4.17,4.36,200428
2010-05-06 16:00:00.288,4.31,4.41,4.06,4.27,351718
2010-05-07 16:00:00.288,4.16,4.22,3.89,4.02,266417
2010-05-10 16:00:00.288,4.24,4.35,4.1,4.12,149670
2010-05-11 16:00:00.288,4.17,4.39,4.17,4.26,202054
2010-05-12 16:00:00.288,4.22,4.4,4.22,4.36,179179
2010-05-13 16:00:00.288,4.35,4.43,4.3,4.3,96050
2010-05-14 16:00:00.288,4.28,4.4,4.25,4.4,120493
2010-05-17 16:00:00.288,4.47,4.48,4.35,4.42,121087
2010-05-18 16:00:00.288,4.41,4.5,4.23,4.28,89491
2010-05-19 16:00:00.288,4.25,4.27,4.15,4.27,112708
2010-05-20 16:00:00.288,4.17,4.25,4.1,4.2,100123
2010-05-21 16:00:00.288,4.11,4.25,4.02,4.1,84161
2010-05-24 16:00:00.288,4.19,4.22,4.09,4.09,83660
2010-05-25 16:00:00.288,4.02,4.13,3.85,4.05,248371
2010-05-26 16:00:00.288,4.09,4.24,4.06,4.16,118421
2010-05-27 16:00:00.288,4.14,4.2,4.08,4.17,72338
2010-05-28 16:00:00.288,4.15,4.21,4.05,4.17,75604
2010-06-01 16:00:00.288,4.14,4.28,4.06,4.12,83527
2010-06-02 16:00:00.288,4.19,4.25,4.09,4.2,112833
2010-06-03 16:00:00.288,4.16,4.39,4.15,4.37,152197
2010-06-04 16:00:00.288,4.34,4.39,4.08,4.21,164824
2010-06-07 16:00:00.288,4.25,4.27,4.07,4.09,94410
2010-06-08 16:00:00.288,4.14,4.16,4.02,4.05,109574
2010-06-09 16:00:00.288,4.13,4.22,4.02,4.16,128904
2010-06-10 16:00:00.288,4.17,4.35,4.15,4.31,95670
2010-06-11 16:00:00.288,4.29,4.6,4.24,4.49,270435
2010-06-14 16:00:00.288,4.65,4.65,4.31,4.5,323730
2010-06-15 16:00:00.288,4.5,4.69,4.48,4.68,267378
2010-06-16 16:00:00.288,4.62,4.99,4.56,4.93,359309
2010-06-17 16:00:00.288,4.97,5.0,4.83,4.92,231912
2010-06-18 16:00:00.288,5.0,5.0,4.84,4.92,328067
2010-06-21 16:00:00.288,4.95,4.95,4.51,4.68,263691
2010-06-22 16:00:00.288,4.67,4.67,4.5,4.55,140738
2010-06-23 16:00:00.288,4.56,4.58,4.42,4.54,147058
2010-06-24 16:00:00.288,4.49,4.62,4.42,4.62,247775
2010-06-25 16:00:00.288,4.99,4.99,4.52,4.83,4889646
2010-06-28 16:00:00.288,4.73,4.9,4.57,4.69,272738
2010-06-29 16:00:00.288,4.67,4.89,4.54,4.65,349749
2010-06-30 16:00:00.288,4.69,4.73,4.3,4.4,326349
2010-07-01 16:00:00.288,4.39,4.39,4.02,4.12,456356
2010-07-02 16:00:00.288,4.15,4.31,4.05,4.11,189390
2010-07-06 16:00:00.288,4.16,4.3,4.05,4.06,239610
2010-07-07 16:00:00.288,4.08,4.22,4.06,4.21,229324
2010-07-08 16:00:00.288,4.22,4.28,4.17,4.22,155954
2010-07-09 16:00:00.288,4.04,4.19,3.95,3.98,976177
2010-07-12 16:00:00.288,3.95,4.0,3.75,3.92,291117
2010-07-13 16:00:00.288,3.91,3.98,3.86,3.89,257715
2010-07-14 16:00:00.288,3.89,3.99,3.86,3.93,247890
2010-07-15 16:00:00.288,3.95,4.14,3.82,3.85,449594
2010-07-16 16:00:00.288,3.82,3.89,3.41,3.43,601082
2010-07-19 16:00:00.288,3.45,3.55,3.15,3.31,750474
2010-07-20 16:00:00.288,3.28,3.61,3.25,3.6,303554
2010-07-21 16:00:00.288,3.6,3.73,3.38,3.41,289452
2010-07-22 16:00:00.288,3.44,3.58,3.38,3.51,181415
2010-07-23 16:00:00.288,3.49,3.65,3.41,3.6,157855
2010-07-26 16:00:00.288,3.6,3.74,3.58,3.7,208076
2010-07-27 16:00:00.288,3.76,3.99,3.72,3.93,506846
2010-07-28 16:00:00.288,4.15,4.27,3.96,4.22,603157
