Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,7.06,7.17,6.98,7.16,28817
2010-01-05 16:00:00.288,7.14,7.2,6.82,6.91,67153
2010-01-06 16:00:00.288,6.9,6.97,6.73,6.77,160451
2010-01-07 16:00:00.288,6.72,6.85,6.66,6.82,32327
2010-01-08 16:00:00.288,6.83,6.96,6.79,6.83,38467
2010-01-11 16:00:00.288,6.84,6.94,6.81,6.88,48812
2010-01-12 16:00:00.288,6.82,6.89,6.77,6.86,55688
2010-01-13 16:00:00.288,6.9,7.08,6.8,6.96,64617
2010-01-14 16:00:00.288,6.94,7.0,6.93,6.94,16221
2010-01-15 16:00:00.288,6.94,6.97,6.83,6.87,100031
2010-01-19 16:00:00.288,6.99,6.99,6.9,6.97,45945
2010-01-20 16:00:00.288,6.88,6.94,6.76,6.89,49414
2010-01-21 16:00:00.288,6.95,6.95,6.76,6.78,56239
2010-01-22 16:00:00.288,6.78,6.89,6.73,6.74,31224
2010-01-25 16:00:00.288,6.78,6.81,6.64,6.68,44423
2010-01-26 16:00:00.288,6.67,6.78,6.65,6.71,31940
2010-01-27 16:00:00.288,6.66,6.76,6.66,6.75,24785
2010-01-28 16:00:00.288,6.69,6.75,6.58,6.69,38844
2010-01-29 16:00:00.288,6.64,6.77,6.64,6.73,53494
2010-02-01 16:00:00.288,6.73,6.76,6.67,6.71,42205
2010-02-02 16:00:00.288,6.72,6.78,6.7,6.7,53611
2010-02-03 16:00:00.288,6.65,6.75,6.62,6.72,42742
2010-02-04 16:00:00.288,6.58,6.65,6.44,6.47,87468
2010-02-05 16:00:00.288,6.35,6.6,6.31,6.56,63651
2010-02-08 16:00:00.288,6.5,6.54,6.29,6.31,179415
2010-02-09 16:00:00.288,6.33,6.42,6.3,6.38,58675
2010-02-10 16:00:00.288,6.29,6.38,6.28,6.38,36647
2010-02-11 16:00:00.288,6.31,6.5,6.31,6.49,51558
2010-02-12 16:00:00.288,6.42,6.58,6.38,6.56,58224
2010-02-16 16:00:00.288,6.49,6.55,6.44,6.55,29712
2010-02-17 16:00:00.288,6.61,6.62,6.49,6.58,25489
2010-02-18 16:00:00.288,6.56,6.66,6.53,6.62,74951
2010-02-19 16:00:00.288,6.48,6.69,6.38,6.63,59713
2010-02-22 16:00:00.288,6.54,6.69,6.51,6.65,60507
2010-02-23 16:00:00.288,6.65,6.75,6.62,6.69,42427
2010-02-24 16:00:00.288,6.7,6.73,6.59,6.65,50182
2010-02-25 16:00:00.288,6.61,6.75,6.56,6.73,21524
2010-02-26 16:00:00.288,6.55,6.7,6.54,6.66,66194
2010-03-01 16:00:00.288,6.69,6.99,6.68,6.8,55000
2010-03-02 16:00:00.288,6.92,6.99,6.81,6.97,21495
2010-03-03 16:00:00.288,6.98,7.0,6.78,6.98,52099
2010-03-04 16:00:00.288,6.98,7.06,6.92,7.04,33123
2010-03-05 16:00:00.288,6.89,7.35,6.89,7.32,42829
2010-03-08 16:00:00.288,7.4,7.4,7.07,7.21,24351
2010-03-09 16:00:00.288,7.23,7.28,7.1,7.17,16419
2010-03-10 16:00:00.288,7.17,7.17,7.02,7.08,29879
2010-03-11 16:00:00.288,7.02,7.19,6.91,7.05,41524
2010-03-12 16:00:00.288,7.03,7.18,6.97,7.16,17267
2010-03-15 16:00:00.288,7.14,7.23,7.03,7.22,20457
2010-03-16 16:00:00.288,7.03,7.13,7.0,7.12,12587
2010-03-17 16:00:00.288,7.14,7.22,7.05,7.2,25434
2010-03-18 16:00:00.288,7.11,7.31,7.09,7.27,16966
2010-03-19 16:00:00.288,7.23,7.33,7.1,7.28,66523
2010-03-22 16:00:00.288,7.32,7.44,7.17,7.42,22783
2010-03-23 16:00:00.288,7.31,7.48,7.14,7.45,41665
2010-03-24 16:00:00.288,7.38,7.48,7.32,7.36,23542
2010-03-25 16:00:00.288,7.4,7.49,7.3,7.32,17463
2010-03-26 16:00:00.288,7.33,7.39,7.23,7.28,18972
2010-03-29 16:00:00.288,7.34,7.43,7.26,7.3,40205
2010-03-30 16:00:00.288,7.27,7.31,7.13,7.23,22181
2010-03-31 16:00:00.288,7.23,7.32,7.11,7.13,35963
2010-04-01 16:00:00.288,7.12,7.3,7.11,7.18,24883
2010-04-05 16:00:00.288,7.13,7.28,7.13,7.25,34371
2010-04-06 16:00:00.288,7.24,7.32,7.22,7.3,31152
2010-04-07 16:00:00.288,7.26,7.34,7.25,7.3,29367
2010-04-08 16:00:00.288,7.23,7.38,7.21,7.3,26913
2010-04-09 16:00:00.288,7.28,7.32,7.21,7.26,23542
2010-04-12 16:00:00.288,7.13,7.26,7.01,7.2,30387
2010-04-13 16:00:00.288,7.19,7.27,7.14,7.23,38931
2010-04-14 16:00:00.288,7.27,7.37,7.19,7.31,36328
2010-04-15 16:00:00.288,7.27,7.41,7.25,7.29,16601
2010-04-16 16:00:00.288,7.25,7.44,7.24,7.4,35024
2010-04-19 16:00:00.288,7.39,7.47,7.0,7.4,60358
2010-04-20 16:00:00.288,7.38,7.49,7.2,7.45,33780
2010-04-21 16:00:00.288,7.37,7.45,7.35,7.44,28696
2010-04-22 16:00:00.288,7.35,7.5,7.3,7.5,30505
2010-04-23 16:00:00.288,7.48,7.75,7.45,7.73,41868
2010-04-26 16:00:00.288,7.63,7.74,7.52,7.62,39018
2010-04-27 16:00:00.288,7.6,7.68,7.47,7.49,37225
2010-04-28 16:00:00.288,7.47,7.62,7.45,7.54,20661
2010-04-29 16:00:00.288,7.58,7.74,7.39,7.73,60579
2010-04-30 16:00:00.288,7.68,7.72,7.43,7.45,34591
2010-05-03 16:00:00.288,7.5,7.63,7.37,7.63,36891
2010-05-04 16:00:00.288,7.57,7.57,7.4,7.45,27621
2010-05-05 16:00:00.288,7.34,7.47,7.33,7.38,22056
2010-05-06 16:00:00.288,7.36,7.39,6.94,7.11,36258
2010-05-07 16:00:00.288,6.95,7.08,6.8,6.9,55705
2010-05-10 16:00:00.288,7.32,7.42,7.02,7.28,49534
2010-05-11 16:00:00.288,7.04,7.48,7.04,7.44,33327
2010-05-12 16:00:00.288,7.33,7.68,7.32,7.65,39790
2010-05-13 16:00:00.288,7.46,7.61,7.29,7.54,41215
2010-05-14 16:00:00.288,7.52,7.52,7.31,7.43,37567
2010-05-17 16:00:00.288,7.45,7.66,7.31,7.59,32604
2010-05-18 16:00:00.288,7.69,7.69,7.36,7.45,37552
2010-05-19 16:00:00.288,7.38,7.44,7.24,7.27,50924
2010-05-20 16:00:00.288,7.08,7.22,7.08,7.09,71334
2010-05-21 16:00:00.288,7.07,7.15,6.95,7.06,50771
2010-05-24 16:00:00.288,7.01,7.04,6.84,6.89,36402
2010-05-25 16:00:00.288,6.8,6.87,6.68,6.81,50180
2010-05-26 16:00:00.288,6.77,7.0,6.77,6.83,53601
2010-05-27 16:00:00.288,6.96,7.09,6.91,7.05,30901
2010-05-28 16:00:00.288,6.96,7.01,6.83,6.87,35974
2010-06-01 16:00:00.288,7.06,7.35,6.95,7.01,88267
2010-06-02 16:00:00.288,6.84,7.35,6.81,7.34,111162
2010-06-03 16:00:00.288,7.34,7.59,7.33,7.54,41355
2010-06-04 16:00:00.288,7.11,7.4,6.8,7.07,58692
2010-06-07 16:00:00.288,7.09,7.32,6.96,7.05,50790
2010-06-08 16:00:00.288,7.09,7.17,7.06,7.14,28375
2010-06-09 16:00:00.288,7.18,7.31,7.18,7.27,26803
2010-06-10 16:00:00.288,7.4,7.4,7.19,7.39,146949
2010-06-11 16:00:00.288,7.27,7.46,7.21,7.45,91561
2010-06-14 16:00:00.288,7.54,7.65,7.5,7.53,35893
2010-06-15 16:00:00.288,7.62,7.74,7.54,7.73,34837
2010-06-16 16:00:00.288,7.66,7.75,7.65,7.74,17399
2010-06-17 16:00:00.288,7.69,7.84,7.67,7.81,58030
2010-06-18 16:00:00.288,7.86,7.89,7.77,7.89,80100
2010-06-21 16:00:00.288,7.9,8.0,7.73,7.8,33832
2010-06-22 16:00:00.288,7.85,7.98,7.61,7.61,34929
2010-06-23 16:00:00.288,7.58,7.72,7.53,7.69,28775
2010-06-24 16:00:00.288,7.62,7.78,7.62,7.65,31378
2010-06-25 16:00:00.288,7.66,8.0,7.66,8.0,141413
2010-06-28 16:00:00.288,7.92,8.47,7.92,8.4,71613
2010-06-29 16:00:00.288,8.24,8.48,8.03,8.13,64435
2010-06-30 16:00:00.288,8.13,8.29,8.13,8.18,67461
2010-07-01 16:00:00.288,8.17,8.25,8.03,8.22,41288
2010-07-02 16:00:00.288,8.3,8.3,8.02,8.04,17946
2010-07-06 16:00:00.288,8.13,8.16,7.84,7.85,59388
2010-07-07 16:00:00.288,7.9,8.07,7.5,8.06,40059
2010-07-08 16:00:00.288,8.15,8.24,8.07,8.21,32501
2010-07-09 16:00:00.288,8.22,8.24,8.17,8.22,24204
2010-07-12 16:00:00.288,8.16,8.19,8.01,8.06,32235
2010-07-13 16:00:00.288,8.18,8.35,8.13,8.32,42858
2010-07-14 16:00:00.288,8.32,8.32,8.21,8.29,15654
2010-07-15 16:00:00.288,8.29,8.29,8.07,8.09,27278
2010-07-16 16:00:00.288,8.02,8.02,7.74,7.75,58591
2010-07-19 16:00:00.288,7.57,7.77,7.51,7.74,40685
2010-07-20 16:00:00.288,7.64,7.94,7.62,7.94,79049
2010-07-21 16:00:00.288,8.0,8.03,7.82,7.83,32594
2010-07-22 16:00:00.288,7.97,8.06,7.09,8.05,87213
