Date,Open,High,Low,Close,Volume
2012-07-19 16:00:00.288,26.05,29.43,25.0,26.5,10460565
2012-07-20 16:00:00.288,26.21,29.4,26.1,27.27,969181
2012-07-24 16:00:00.288,28.35,29.35,27.3,27.6,343441
2012-07-25 16:00:00.288,27.91,28.23,26.92,27.05,426061
2012-07-26 16:00:00.288,27.59,28.25,26.97,27.89,294756
2012-07-27 16:00:00.288,28.3,29.96,27.01,29.65,226705
2012-07-30 16:00:00.288,30.01,30.72,29.09,29.81,260496
2012-07-31 16:00:00.288,30.0,30.0,28.7,29.34,293615
2012-08-01 16:00:00.288,29.85,29.85,28.79,29.14,199557
2012-08-02 16:00:00.288,28.99,29.9,28.79,29.42,192050
2012-08-03 16:00:00.288,29.9,29.9,29.21,29.79,166951
2012-08-06 16:00:00.288,29.95,31.49,29.69,31.16,227232
2012-08-07 16:00:00.288,31.55,33.0,31.0,32.43,568983
2012-08-08 16:00:00.288,33.0,33.4,32.47,32.88,289404
2012-08-09 16:00:00.288,33.01,33.52,32.77,33.13,182867
2012-08-10 16:00:00.288,33.97,33.97,32.39,32.71,304279
2012-08-13 16:00:00.288,32.49,32.7,31.47,32.11,560419
2012-08-14 16:00:00.288,32.36,32.73,32.0,32.51,167069
2012-08-15 16:00:00.288,33.12,33.49,32.5,33.25,384772
2012-08-16 16:00:00.288,33.25,33.25,32.0,32.3,293383
2012-08-17 16:00:00.288,32.5,32.5,30.56,31.26,465699
2012-08-20 16:00:00.288,31.09,31.1,29.8,30.15,240026
2012-08-21 16:00:00.288,30.15,30.47,29.62,29.96,347322
2012-08-22 16:00:00.288,29.82,31.31,29.63,31.19,354246
2012-08-23 16:00:00.288,31.38,31.64,30.0,30.22,299659
2012-08-24 16:00:00.288,30.04,31.29,30.0,30.9,201081
2012-08-27 16:00:00.288,31.18,32.74,30.87,31.0,323586
2012-08-28 16:00:00.288,31.06,32.4,30.98,32.15,175048
2012-08-29 16:00:00.288,32.13,32.33,31.26,31.55,115021
2012-08-30 16:00:00.288,31.5,32.61,31.16,32.42,174286
2012-08-31 16:00:00.288,32.6,32.6,32.0,32.14,108913
2012-09-04 16:00:00.288,32.57,33.25,31.72,33.2,114097
2012-09-05 16:00:00.288,33.33,33.5,32.5,32.89,122307
2012-09-06 16:00:00.288,33.05,35.98,32.66,35.88,436736
2012-09-07 16:00:00.288,35.85,35.9,34.8,35.38,346471
2012-09-10 16:00:00.288,36.0,36.34,34.77,34.8,736652
2012-09-11 16:00:00.288,33.0,33.86,31.2,33.55,2020461
2012-09-12 16:00:00.288,33.68,34.0,33.16,33.5,252026
2012-09-13 16:00:00.288,32.25,34.69,32.0,33.92,527427
2012-09-14 16:00:00.288,34.01,36.5,33.85,36.0,450325
2012-09-17 16:00:00.288,36.64,36.64,35.38,35.8,179235
2012-09-18 16:00:00.288,34.97,36.36,34.91,35.07,173040
2012-09-19 16:00:00.288,34.59,35.66,34.5,35.33,304668
2012-09-20 16:00:00.288,35.0,35.27,33.79,34.35,215594
2012-09-21 16:00:00.288,34.6,36.0,34.26,35.9,434630
2012-09-24 16:00:00.288,35.9,37.92,35.44,37.13,657576
2012-09-25 16:00:00.288,37.94,39.48,37.61,38.79,811548
2012-09-26 16:00:00.288,39.06,39.23,37.18,38.8,640496
2012-09-27 16:00:00.288,38.96,39.25,38.12,39.15,489222
2012-09-28 16:00:00.288,39.01,39.49,38.14,39.08,2069286
2012-10-01 16:00:00.288,39.42,40.0,38.55,38.73,190504
2012-10-02 16:00:00.288,38.63,39.06,37.65,37.76,363440
2012-10-03 16:00:00.288,38.07,38.07,37.05,37.37,335015
2012-10-04 16:00:00.288,37.56,38.47,37.0,38.17,288538
