Date,Open,High,Low,Close,Volume
2023-08-04 16:00:00.288,66.05,69.48,63.2,66.21,408148
2023-08-07 16:00:00.288,66.21,66.21,63.51,64.16,359061
2023-08-08 16:00:00.288,64.03,65.23,62.93,63.16,100411
2023-08-09 16:00:00.288,63.16,63.39,61.6,61.78,111347
2023-08-10 16:00:00.288,62.42,62.42,61.2,61.86,104134
2023-08-11 16:00:00.288,61.63,62.49,61.56,62.37,97464
2023-08-14 16:00:00.288,62.0,62.17,61.37,62.01,80901
2023-08-15 16:00:00.288,61.99,62.39,61.62,62.29,49018
2023-08-16 16:00:00.288,62.15,62.15,60.69,61.14,91384
2023-08-17 16:00:00.288,61.01,61.01,58.48,58.65,142440
2023-08-18 16:00:00.288,58.17,58.75,57.4,58.23,128846
2023-08-21 16:00:00.288,58.46,58.62,57.56,57.89,88697
2023-08-22 16:00:00.288,57.58,58.2,57.43,57.93,127281
2023-08-23 16:00:00.288,57.7,58.69,57.7,58.16,153194
2023-08-24 16:00:00.288,58.46,58.7,56.13,56.17,100045
2023-08-25 16:00:00.288,56.2,56.9,55.91,56.67,106778
2023-08-28 16:00:00.288,57.12,57.99,57.08,57.15,93222
2023-08-29 16:00:00.288,57.35,58.64,57.32,58.32,78085
2023-08-30 16:00:00.288,58.6,60.4,58.6,60.36,185132
2023-08-31 16:00:00.288,60.72,61.44,60.25,60.65,134835
2023-09-01 16:00:00.288,60.87,61.34,59.62,61.22,176598
2023-09-05 16:00:00.288,61.17,61.17,58.05,59.28,177657
2023-09-06 16:00:00.288,59.34,60.21,58.76,60.0,386996
2023-09-07 16:00:00.288,59.78,60.05,59.32,59.69,140438
2023-09-08 16:00:00.288,59.53,59.6,58.51,58.89,104990
2023-09-11 16:00:00.288,59.07,59.66,58.44,59.2,147160
2023-09-12 16:00:00.288,58.91,60.33,58.85,59.48,262253
2023-09-13 16:00:00.288,59.45,59.84,58.62,58.75,160333
2023-09-14 16:00:00.288,59.13,60.64,58.87,59.98,239251
2023-09-15 16:00:00.288,59.84,60.24,59.01,59.03,270912
2023-09-18 16:00:00.288,58.97,61.05,58.97,60.76,169171
2023-09-19 16:00:00.288,60.5,61.18,59.98,60.22,151634
2023-09-20 16:00:00.288,60.68,61.03,59.19,59.21,105157
