Date,Open,High,Low,Close,Volume
2021-02-05 16:00:00.288,40.58,51.94,39.02,43.2,3308038
2021-02-08 16:00:00.288,41.52,58.92,41.51,56.34,699682
2021-02-09 16:00:00.288,56.35,61.99,48.5,51.08,459750
2021-02-10 16:00:00.288,50.62,52.94,49.3,52.94,175489
2021-02-11 16:00:00.288,51.87,52.62,47.0,48.94,206736
2021-02-12 16:00:00.288,48.94,48.94,47.0,47.66,85001
2021-02-16 16:00:00.288,48.79,48.79,46.96,47.24,38676
2021-02-17 16:00:00.288,47.0,49.94,46.53,47.73,109924
2021-02-18 16:00:00.288,47.11,48.48,46.5,48.0,67553
2021-02-19 16:00:00.288,48.35,49.85,47.5,49.22,149079
2021-02-22 16:00:00.288,50.88,53.77,50.08,50.78,132934
2021-02-23 16:00:00.288,51.0,51.13,43.7,47.61,126855
2021-02-24 16:00:00.288,47.74,49.77,47.74,49.18,55694
2021-02-25 16:00:00.288,49.0,49.7,47.02,49.0,69528
2021-02-26 16:00:00.288,49.45,50.09,46.74,48.36,63515
2021-03-01 16:00:00.288,48.7,51.14,48.36,49.05,57507
2021-03-02 16:00:00.288,49.0,51.49,48.34,51.13,44756
2021-03-03 16:00:00.288,51.11,51.11,45.12,49.31,63848
2021-03-04 16:00:00.288,49.15,49.15,40.0,41.25,112035
2021-03-05 16:00:00.288,41.34,43.57,40.21,41.0,68658
2021-03-08 16:00:00.288,40.12,41.95,36.24,37.11,80608
2021-03-09 16:00:00.288,37.45,38.83,36.03,37.78,44515
2021-03-10 16:00:00.288,38.13,39.28,35.62,36.38,150121
2021-03-11 16:00:00.288,38.2,42.6,37.04,37.73,114702
2021-03-12 16:00:00.288,37.75,38.55,36.72,37.63,41185
2021-03-15 16:00:00.288,39.98,39.98,35.98,36.94,54466
2021-03-16 16:00:00.288,37.88,39.93,35.36,36.3,41481
2021-03-17 16:00:00.288,36.53,38.27,35.6,37.2,62086
2021-03-18 16:00:00.288,38.47,42.75,37.34,42.27,177684
2021-03-19 16:00:00.288,41.42,44.32,39.09,43.43,175243
2021-03-22 16:00:00.288,43.4,49.61,43.1,45.26,149382
2021-03-23 16:00:00.288,45.26,47.27,45.05,46.2,99989
2021-03-24 16:00:00.288,48.0,48.0,40.05,40.45,110146
2021-03-25 16:00:00.288,40.44,44.5,39.71,42.87,63936
2021-03-26 16:00:00.288,42.91,42.99,39.51,40.51,71633
2021-03-29 16:00:00.288,41.29,41.98,38.26,38.88,74007
2021-03-30 16:00:00.288,39.44,43.8,37.51,43.2,70182
2021-03-31 16:00:00.288,42.34,43.89,39.0,42.57,265131
2021-04-01 16:00:00.288,41.74,43.75,39.81,40.55,57272
2021-04-05 16:00:00.288,41.68,43.08,40.89,41.5,16181
2021-04-06 16:00:00.288,40.94,42.57,37.91,38.72,68115
2021-04-07 16:00:00.288,38.78,39.39,35.2,36.06,105737
2021-04-08 16:00:00.288,36.63,37.13,35.0,36.29,73053
2021-04-09 16:00:00.288,36.3,37.31,34.43,35.47,37563
2021-04-12 16:00:00.288,37.2,37.2,30.92,32.22,198254
2021-04-13 16:00:00.288,32.25,34.35,31.7,33.0,148971
2021-04-14 16:00:00.288,32.54,40.0,32.0,39.5,187730
2021-04-15 16:00:00.288,38.77,39.86,36.5,39.39,119469
2021-04-16 16:00:00.288,38.56,40.15,36.27,38.25,163483
2021-04-19 16:00:00.288,37.83,40.09,36.92,39.19,75508
2021-04-20 16:00:00.288,38.92,39.02,36.76,37.3,54434
2021-04-21 16:00:00.288,37.5,38.25,36.13,36.41,57932
2021-04-22 16:00:00.288,36.63,37.92,36.01,37.55,21172
2021-04-23 16:00:00.288,37.74,39.36,36.2,37.56,105040
2021-04-26 16:00:00.288,37.37,39.8,37.37,39.65,30602
2021-04-27 16:00:00.288,40.0,41.0,37.97,40.62,107879
2021-04-28 16:00:00.288,40.02,40.8,38.75,40.43,41092
2021-04-29 16:00:00.288,40.1,40.43,38.67,40.0,65751
2021-04-30 16:00:00.288,40.01,41.23,38.63,40.36,38116
2021-05-03 16:00:00.288,41.0,41.23,38.65,41.23,70613
2021-05-04 16:00:00.288,41.22,41.23,38.78,39.75,59716
2021-05-05 16:00:00.288,40.01,41.03,38.6,39.91,41157
2021-05-06 16:00:00.288,39.95,40.75,38.56,39.68,59788
2021-05-07 16:00:00.288,39.75,40.91,39.16,40.31,25320
2021-05-10 16:00:00.288,39.76,40.17,38.82,40.17,44768
