Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,31.27,32.34,31.27,32.33,600664
2010-01-05 16:00:00.288,31.98,33.22,31.98,33.12,771506
2010-01-06 16:00:00.288,32.98,34.09,32.86,33.79,1121210
2010-01-07 16:00:00.288,33.64,34.04,33.09,33.16,1023111
2010-01-08 16:00:00.288,32.91,33.23,32.49,33.13,799717
2010-01-11 16:00:00.288,33.09,33.37,32.57,33.06,577914
2010-01-12 16:00:00.288,32.87,32.87,31.69,32.13,564530
2010-01-13 16:00:00.288,32.13,32.58,31.64,32.39,516509
2010-01-14 16:00:00.288,32.42,32.69,31.96,32.2,806102
2010-01-15 16:00:00.288,32.26,32.35,31.14,31.25,730772
2010-01-19 16:00:00.288,31.22,31.96,31.11,31.93,619901
2010-01-20 16:00:00.288,31.79,32.04,31.25,31.55,584629
2010-01-21 16:00:00.288,31.5,32.07,30.62,30.62,896175
2010-01-22 16:00:00.288,30.57,31.36,29.95,30.23,996213
2010-01-25 16:00:00.288,30.54,30.72,29.81,29.85,653935
2010-01-26 16:00:00.288,29.75,30.1,29.61,29.81,470910
2010-01-27 16:00:00.288,29.81,29.97,28.93,29.37,807256
2010-01-28 16:00:00.288,29.37,29.64,28.57,28.7,704293
2010-01-29 16:00:00.288,28.9,29.15,28.38,28.6,1008712
2010-02-01 16:00:00.288,28.84,29.28,28.69,29.22,765382
2010-02-02 16:00:00.288,29.36,30.27,29.01,30.25,490435
2010-02-03 16:00:00.288,29.75,30.05,29.33,29.38,967268
2010-02-04 16:00:00.288,28.66,29.02,27.62,27.62,1012063
2010-02-05 16:00:00.288,27.62,27.69,26.58,27.44,919037
2010-02-08 16:00:00.288,27.46,28.02,26.86,27.2,758510
2010-02-09 16:00:00.288,28.14,28.69,28.11,28.2,1202413
2010-02-10 16:00:00.288,28.01,28.66,27.66,28.22,345628
2010-02-11 16:00:00.288,28.41,29.31,27.87,29.29,403566
2010-02-12 16:00:00.288,28.7,29.21,28.35,29.21,615003
2010-02-16 16:00:00.288,29.6,29.86,29.03,29.86,393426
2010-02-17 16:00:00.288,29.96,30.31,29.66,30.0,524530
2010-02-18 16:00:00.288,29.95,30.6,29.8,30.56,453944
2010-02-19 16:00:00.288,30.25,31.11,30.25,30.96,774703
2010-02-22 16:00:00.288,31.06,31.15,30.36,30.4,561643
2010-02-23 16:00:00.288,30.91,31.0,29.73,29.79,958167
2010-02-24 16:00:00.288,30.33,30.44,29.31,29.54,1481318
2010-02-25 16:00:00.288,27.77,29.2,26.9,29.1,3195522
2010-02-26 16:00:00.288,30.11,30.4,29.5,30.08,1852398
2010-03-01 16:00:00.288,30.21,31.91,29.8,31.73,1294703
2010-03-02 16:00:00.288,31.47,32.34,31.47,31.88,1020636
2010-03-03 16:00:00.288,31.84,32.0,31.14,31.19,818575
2010-03-04 16:00:00.288,31.36,31.84,31.07,31.57,620070
2010-03-05 16:00:00.288,31.85,32.78,31.76,32.75,968960
2010-03-08 16:00:00.288,32.79,33.04,32.57,32.7,393973
2010-03-09 16:00:00.288,32.78,32.78,31.96,32.05,701808
2010-03-10 16:00:00.288,32.08,32.92,32.0,32.83,620617
2010-03-11 16:00:00.288,32.62,33.51,32.5,33.51,672452
2010-03-12 16:00:00.288,33.55,34.39,33.18,34.32,1220815
2010-03-15 16:00:00.288,34.25,34.43,33.57,33.79,729489
2010-03-16 16:00:00.288,33.98,34.03,33.33,33.63,1411611
2010-03-17 16:00:00.288,33.79,36.01,33.6,35.69,2255624
2010-03-18 16:00:00.288,35.55,35.88,35.06,35.41,976112
2010-03-19 16:00:00.288,35.42,35.76,34.77,34.93,861752
2010-03-22 16:00:00.288,34.76,35.6,34.29,35.5,431914
2010-03-23 16:00:00.288,35.48,35.49,34.94,35.32,913269
2010-03-24 16:00:00.288,35.15,35.25,34.7,34.71,723059
2010-03-25 16:00:00.288,35.0,35.56,34.56,34.93,903092
2010-03-26 16:00:00.288,34.96,35.32,34.42,34.47,502414
2010-03-29 16:00:00.288,34.56,35.02,34.5,34.63,334927
2010-03-30 16:00:00.288,34.68,34.71,34.04,34.44,465225
2010-03-31 16:00:00.288,34.16,34.9,34.09,34.35,691379
2010-04-01 16:00:00.288,34.61,35.05,33.99,34.46,476501
2010-04-05 16:00:00.288,34.41,35.47,34.4,35.47,453473
2010-04-06 16:00:00.288,35.31,35.74,35.28,35.41,272226
2010-04-07 16:00:00.288,35.33,35.45,34.86,35.11,683036
2010-04-08 16:00:00.288,34.76,35.71,34.65,35.59,754348
2010-04-09 16:00:00.288,35.71,36.48,35.52,36.46,651961
2010-04-12 16:00:00.288,36.46,36.93,36.23,36.89,443818
2010-04-13 16:00:00.288,36.71,36.8,36.37,36.62,381726
2010-04-14 16:00:00.288,36.81,37.85,36.81,37.74,475471
2010-04-15 16:00:00.288,37.69,37.76,37.15,37.58,876269
2010-04-16 16:00:00.288,37.32,37.47,36.91,37.23,1184332
2010-04-19 16:00:00.288,37.15,37.61,36.44,36.81,787171
2010-04-20 16:00:00.288,37.25,38.12,37.0,37.96,557431
2010-04-21 16:00:00.288,38.12,38.42,37.66,38.07,848980
2010-04-22 16:00:00.288,37.75,38.39,37.47,38.2,787805
2010-04-23 16:00:00.288,38.08,38.68,37.93,38.4,682114
2010-04-26 16:00:00.288,38.4,38.73,37.73,37.87,814025
2010-04-27 16:00:00.288,37.7,37.7,35.91,36.03,653171
2010-04-28 16:00:00.288,36.27,36.71,35.78,36.69,520820
2010-04-29 16:00:00.288,36.81,38.0,36.71,38.0,685371
2010-04-30 16:00:00.288,37.94,38.44,37.12,37.22,704560
2010-05-03 16:00:00.288,37.53,38.22,37.22,37.95,662003
2010-05-04 16:00:00.288,36.81,37.25,35.86,36.53,959246
2010-05-05 16:00:00.288,36.32,36.32,34.73,35.13,955878
2010-05-06 16:00:00.288,34.72,35.14,28.27,31.61,3144798
2010-05-07 16:00:00.288,32.95,33.16,30.68,31.48,2128093
2010-05-10 16:00:00.288,33.37,34.79,32.74,33.64,1020084
2010-05-11 16:00:00.288,33.35,35.0,33.17,34.01,922654
2010-05-12 16:00:00.288,34.2,35.14,34.11,34.97,405270
2010-05-13 16:00:00.288,35.0,35.39,34.07,34.16,553716
2010-05-14 16:00:00.288,33.93,34.39,33.39,33.93,851167
2010-05-17 16:00:00.288,34.19,34.55,32.84,33.98,512969
2010-05-18 16:00:00.288,34.53,34.53,32.31,32.49,608045
2010-05-19 16:00:00.288,32.31,32.37,30.3,31.12,1512717
