Date,Open,High,Low,Close,Volume
2014-11-04 16:00:00.288,45.27,45.27,40.92,41.07,41242
2014-11-05 16:00:00.288,42.65,45.62,40.92,44.35,1512189
2014-11-06 16:00:00.288,44.4,44.49,41.79,43.53,1305772
2014-11-07 16:00:00.288,43.84,44.06,43.01,43.11,544414
2014-11-10 16:00:00.288,43.31,43.37,40.54,40.68,772399
2014-11-11 16:00:00.288,40.7,40.7,39.0,39.78,1197540
2014-11-12 16:00:00.288,38.91,41.34,38.85,41.05,745968
2014-11-13 16:00:00.288,40.35,42.66,40.14,42.24,791678
2014-11-14 16:00:00.288,41.8,42.73,41.33,41.78,707274
2014-11-17 16:00:00.288,41.8,42.76,41.8,42.38,298333
2014-11-18 16:00:00.288,41.79,43.0,41.79,42.57,408861
2014-11-19 16:00:00.288,43.06,44.27,42.52,44.15,269174
2014-11-20 16:00:00.288,44.14,45.19,43.75,44.56,450185
2014-11-21 16:00:00.288,44.79,45.36,44.23,44.92,512098
2014-11-24 16:00:00.288,44.62,46.15,44.56,46.07,384170
2014-11-25 16:00:00.288,46.37,47.16,45.56,46.92,713161
2014-11-26 16:00:00.288,47.3,47.6,46.89,47.31,243960
2014-11-28 16:00:00.288,47.45,48.07,47.34,47.74,100228
2014-12-01 16:00:00.288,48.1,48.19,46.97,47.03,190846
2014-12-02 16:00:00.288,46.91,47.45,46.74,47.24,387067
2014-12-03 16:00:00.288,46.75,47.45,46.61,46.64,285751
2014-12-04 16:00:00.288,46.32,47.12,46.32,47.03,209579
2014-12-05 16:00:00.288,46.95,47.83,46.95,47.4,483593
2014-12-08 16:00:00.288,47.45,47.55,46.91,47.34,340336
2014-12-09 16:00:00.288,46.15,47.58,46.15,47.26,342695
2014-12-10 16:00:00.288,47.2,47.85,46.9,47.06,359717
2014-12-11 16:00:00.288,51.69,52.11,49.61,50.65,475648
2014-12-12 16:00:00.288,50.0,50.74,49.02,49.07,140854
2014-12-15 16:00:00.288,49.22,49.51,47.86,48.27,592138
2014-12-16 16:00:00.288,47.28,48.06,47.28,47.75,761353
2014-12-17 16:00:00.288,47.85,48.28,47.66,48.05,645914
2014-12-18 16:00:00.288,48.45,48.71,48.12,48.29,670635
2014-12-19 16:00:00.288,48.38,49.51,48.27,49.31,826220
2014-12-22 16:00:00.288,49.49,50.79,49.31,50.68,219873
2014-12-23 16:00:00.288,50.81,51.44,50.7,51.25,210907
2014-12-24 16:00:00.288,51.12,51.27,50.88,50.88,37566
2014-12-26 16:00:00.288,50.89,50.89,50.55,50.81,72178
2014-12-29 16:00:00.288,50.5,50.65,49.78,50.37,80005
2014-12-30 16:00:00.288,50.1,50.69,49.67,50.59,268852
2014-12-31 16:00:00.288,49.18,50.66,49.18,50.09,278609
2015-01-02 16:00:00.288,49.6,50.0,49.5,49.8,160726
2015-01-05 16:00:00.288,49.12,49.55,48.64,48.81,240249
2015-01-06 16:00:00.288,48.62,48.81,47.08,47.53,119081
2015-01-07 16:00:00.288,47.71,48.35,47.36,47.68,79709
2015-01-08 16:00:00.288,47.96,49.75,47.91,49.29,597756
2015-01-09 16:00:00.288,49.84,49.89,48.22,48.89,243073
2015-01-12 16:00:00.288,48.64,49.18,48.51,48.99,171042
2015-01-13 16:00:00.288,49.15,50.19,49.06,49.85,276009
2015-01-14 16:00:00.288,49.09,49.42,47.64,48.13,381449
2015-01-15 16:00:00.288,48.22,49.11,47.71,49.06,196791
2015-01-16 16:00:00.288,48.63,49.27,48.44,48.98,135304
2015-01-20 16:00:00.288,49.57,49.57,47.24,47.47,113494
2015-01-21 16:00:00.288,47.25,47.64,46.8,47.13,96655
