Date,Open,High,Low,Close,Volume
2020-06-05 16:00:00.288,37.01,39.94,35.0,37.0,8606276
2020-06-08 16:00:00.288,36.0,37.08,35.8,36.1,1080339
2020-06-09 16:00:00.288,36.0,38.68,35.95,37.5,1160181
2020-06-10 16:00:00.288,37.58,39.48,37.58,38.05,748465
2020-06-11 16:00:00.288,36.7,37.17,35.57,36.25,425709
2020-06-12 16:00:00.288,36.7,38.41,36.7,38.04,288959
2020-06-15 16:00:00.288,37.86,38.74,37.27,38.45,140649
2020-06-16 16:00:00.288,38.9,39.45,37.68,38.58,287382
2020-06-17 16:00:00.288,38.66,39.2,37.5,37.59,160812
2020-06-18 16:00:00.288,37.11,39.29,37.02,39.29,449468
2020-06-19 16:00:00.288,39.59,41.33,38.24,39.62,391052
2020-06-22 16:00:00.288,40.12,42.27,40.0,41.5,312571
2020-06-23 16:00:00.288,42.07,42.39,40.2,41.0,247700
2020-06-24 16:00:00.288,40.44,40.44,38.81,40.03,386499
2020-06-25 16:00:00.288,40.03,40.87,39.06,40.53,244659
2020-06-26 16:00:00.288,40.84,41.47,40.0,40.03,69082
2020-06-29 16:00:00.288,40.01,41.34,40.01,41.1,88366
2020-06-30 16:00:00.288,41.99,42.88,41.48,42.56,320559
2020-07-01 16:00:00.288,43.0,43.24,38.54,39.2,707455
2020-07-02 16:00:00.288,39.67,41.45,39.5,39.61,229146
2020-07-06 16:00:00.288,40.16,40.26,38.23,39.16,199136
2020-07-07 16:00:00.288,38.62,39.19,36.81,37.16,382576
2020-07-08 16:00:00.288,37.17,39.81,37.17,39.54,175727
2020-07-09 16:00:00.288,40.97,40.97,38.5,38.88,160248
2020-07-10 16:00:00.288,39.57,39.6,38.0,38.32,89810
2020-07-13 16:00:00.288,38.7,38.7,37.2,37.5,137093
2020-07-14 16:00:00.288,37.37,37.81,36.9,37.47,267813
2020-07-15 16:00:00.288,38.0,38.49,37.04,37.36,91856
2020-07-16 16:00:00.288,36.82,37.21,34.9,34.9,273711
2020-07-17 16:00:00.288,35.28,36.16,34.57,35.2,173552
2020-07-20 16:00:00.288,35.42,36.25,35.19,35.32,92175
2020-07-21 16:00:00.288,35.85,36.99,35.55,35.93,185442
2020-07-22 16:00:00.288,36.35,36.35,34.88,36.2,72376
2020-07-23 16:00:00.288,36.51,37.84,35.9,37.15,223640
2020-07-24 16:00:00.288,36.78,37.12,35.0,36.31,302583
2020-07-27 16:00:00.288,36.26,36.26,34.91,35.34,140607
2020-07-28 16:00:00.288,35.69,36.23,34.92,35.53,28531
2020-07-29 16:00:00.288,35.4,36.49,35.2,35.95,45603
2020-07-30 16:00:00.288,36.13,36.56,35.63,35.79,40254
2020-07-31 16:00:00.288,35.5,36.58,35.04,35.24,179437
2020-08-03 16:00:00.288,35.0,35.05,32.95,33.42,575447
2020-08-04 16:00:00.288,33.83,34.45,33.4,34.0,157889
2020-08-05 16:00:00.288,34.43,35.0,33.76,33.81,454333
2020-08-06 16:00:00.288,34.16,34.6,33.03,33.2,148049
2020-08-07 16:00:00.288,33.09,33.48,31.25,31.96,251009
2020-08-10 16:00:00.288,32.0,32.06,31.38,31.49,192595
2020-08-11 16:00:00.288,31.33,31.48,30.75,30.99,118680
2020-08-12 16:00:00.288,31.04,31.5,30.61,31.15,129784
2020-08-13 16:00:00.288,31.27,31.45,31.0,31.25,94822
2020-08-14 16:00:00.288,31.12,31.8,31.12,31.38,117394
2020-08-17 16:00:00.288,31.4,32.98,31.4,32.52,79996
2020-08-18 16:00:00.288,32.67,33.56,32.04,32.83,85616
2020-08-19 16:00:00.288,32.9,33.39,31.97,32.45,148324
2020-08-20 16:00:00.288,32.01,34.87,32.01,34.29,87799
2020-08-21 16:00:00.288,35.3,38.49,33.99,36.09,463381
2020-08-24 16:00:00.288,36.49,36.49,34.5,35.06,125587
2020-08-25 16:00:00.288,34.7,35.16,34.07,34.14,38091
2020-08-26 16:00:00.288,34.01,34.99,33.76,34.11,46845
2020-08-27 16:00:00.288,34.36,34.5,33.66,34.34,178794
2020-08-28 16:00:00.288,34.0,34.24,33.91,34.0,75869
2020-08-31 16:00:00.288,34.0,34.32,33.75,34.0,168696
2020-09-01 16:00:00.288,34.0,34.22,32.52,32.67,148035
2020-09-02 16:00:00.288,32.83,32.83,31.4,31.71,303793
2020-09-03 16:00:00.288,31.96,32.2,30.15,30.32,179966
2020-09-04 16:00:00.288,30.0,30.0,28.9,29.57,139996
2020-09-08 16:00:00.288,30.0,30.35,28.33,28.65,216218
2020-09-09 16:00:00.288,28.77,30.08,28.77,29.82,161036
2020-09-10 16:00:00.288,29.94,31.48,29.53,30.64,67298
2020-09-11 16:00:00.288,30.77,31.43,30.57,31.05,123244
2020-09-14 16:00:00.288,31.0,33.51,31.0,32.4,158659
2020-09-15 16:00:00.288,32.61,32.81,31.01,32.13,50778
2020-09-16 16:00:00.288,32.35,33.24,32.16,32.44,226038
2020-09-17 16:00:00.288,31.99,33.74,31.33,33.73,129308
2020-09-18 16:00:00.288,33.08,33.74,32.0,32.0,225147
2020-09-21 16:00:00.288,25.86,28.08,24.64,27.5,2284003
2020-09-22 16:00:00.288,27.5,29.43,27.12,29.19,669678
2020-09-23 16:00:00.288,29.15,29.26,28.59,28.9,257100
2020-09-24 16:00:00.288,28.9,29.17,28.6,28.93,186948
