Date,Open,High,Low,Close,Volume
2020-07-30 16:00:00.288,15.5,17.5,15.1,16.46,64611285
2020-07-31 16:00:00.288,16.67,17.17,15.99,16.0,19532764
2020-08-03 16:00:00.288,16.26,17.0,15.77,16.36,11739960
2020-08-04 16:00:00.288,16.55,16.84,15.95,16.69,7781785
2020-08-05 16:00:00.288,16.65,17.0,16.4,16.75,3995389
2020-08-06 16:00:00.288,16.8,19.9,16.63,18.5,14142895
2020-08-07 16:00:00.288,17.75,19.33,16.6,16.89,7459711
2020-08-10 16:00:00.288,17.6,17.76,16.12,16.42,7914378
2020-08-11 16:00:00.288,16.93,17.03,15.83,16.0,7337667
2020-08-12 16:00:00.288,16.36,16.36,15.14,15.66,5613722
2020-08-13 16:00:00.288,15.7,15.7,15.0,15.16,5384590
2020-08-14 16:00:00.288,15.35,15.36,14.31,14.6,5070172
2020-08-17 16:00:00.288,14.76,15.6,14.6,15.42,5296493
2020-08-18 16:00:00.288,15.36,16.75,15.36,15.96,7163131
2020-08-19 16:00:00.288,15.98,16.07,15.01,15.04,3287958
2020-08-20 16:00:00.288,15.06,15.3,14.61,14.75,3138912
2020-08-21 16:00:00.288,14.94,15.5,14.76,15.02,4223631
2020-08-24 16:00:00.288,16.3,17.2,15.88,17.09,19359061
2020-08-25 16:00:00.288,17.8,18.84,17.68,18.23,22093859
2020-08-26 16:00:00.288,18.99,24.48,18.99,23.38,31561330
2020-08-27 16:00:00.288,22.26,22.31,19.3,19.38,29318170
2020-08-28 16:00:00.288,20.21,20.5,17.6,17.6,14725060
2020-08-31 16:00:00.288,17.76,18.84,16.2,16.3,18322670
2020-09-01 16:00:00.288,17.08,18.46,16.7,18.29,18141270
2020-09-02 16:00:00.288,19.38,19.68,17.2,17.87,18415020
2020-09-03 16:00:00.288,17.17,17.6,16.26,16.91,10210090
2020-09-04 16:00:00.288,17.08,17.9,16.04,16.83,11650630
2020-09-08 16:00:00.288,16.0,16.35,15.24,15.79,11067560
2020-09-09 16:00:00.288,16.41,16.95,15.79,15.8,9115553
2020-09-10 16:00:00.288,16.17,16.73,15.86,16.05,5893439
2020-09-11 16:00:00.288,16.19,16.7,16.05,16.21,3914977
2020-09-14 16:00:00.288,16.6,17.71,16.31,17.47,6429228
2020-09-15 16:00:00.288,17.66,18.75,17.65,18.19,9376664
2020-09-16 16:00:00.288,18.2,18.43,17.42,17.52,5740403
2020-09-17 16:00:00.288,16.74,17.65,16.7,17.26,3141267
2020-09-18 16:00:00.288,17.57,17.68,16.57,17.03,3817518
2020-09-21 16:00:00.288,16.5,16.87,16.0,16.43,4288708
2020-09-22 16:00:00.288,16.56,17.18,16.42,16.74,3043372
2020-09-23 16:00:00.288,16.75,16.75,15.61,15.68,6601983
2020-09-24 16:00:00.288,15.5,15.97,15.02,15.09,6846843
2020-09-25 16:00:00.288,15.35,16.07,15.23,15.8,3636752
2020-09-28 16:00:00.288,16.19,16.21,15.74,16.08,4720498
2020-09-29 16:00:00.288,16.08,17.16,16.0,17.03,6058037
2020-09-30 16:00:00.288,17.62,18.24,17.09,17.39,7620331
2020-10-01 16:00:00.288,17.76,17.78,16.55,16.8,5425567
2020-10-02 16:00:00.288,16.25,18.0,16.2,16.92,8396728
2020-10-05 16:00:00.288,17.42,18.13,17.15,17.52,8143927
2020-10-06 16:00:00.288,17.72,18.23,17.25,17.35,5659319
2020-10-07 16:00:00.288,17.6,18.08,17.41,17.77,3100653
2020-10-08 16:00:00.288,17.98,18.28,17.72,17.93,3228531
2020-10-09 16:00:00.288,18.03,18.36,17.5,17.6,3833050
2020-10-12 16:00:00.288,18.06,19.34,17.61,19.16,13995320
2020-10-13 16:00:00.288,18.81,19.73,18.53,19.43,7894145
2020-10-14 16:00:00.288,20.17,21.86,20.06,20.78,16805279
2020-10-15 16:00:00.288,20.35,21.47,19.78,20.5,11747610
2020-10-16 16:00:00.288,20.85,21.12,19.61,19.77,7455969
2020-10-19 16:00:00.288,20.34,20.37,18.91,19.18,6444710
2020-10-20 16:00:00.288,19.21,20.78,19.0,20.49,7623901
2020-10-21 16:00:00.288,20.3,21.1,19.36,19.39,8402525
2020-10-22 16:00:00.288,20.0,20.1,18.72,18.98,6343354
2020-10-23 16:00:00.288,18.9,18.99,18.31,18.4,3624299
2020-10-26 16:00:00.288,18.3,19.26,18.3,19.08,5672307
2020-10-27 16:00:00.288,18.96,19.61,18.62,19.21,4301795
2020-10-28 16:00:00.288,18.68,19.1,17.92,18.69,6231178
2020-10-29 16:00:00.288,19.31,21.4,19.18,20.62,14660570
2020-10-30 16:00:00.288,20.49,21.72,20.07,20.17,11956840
2020-11-02 16:00:00.288,21.76,23.3,21.36,22.88,24942070
2020-11-03 16:00:00.288,23.4,24.17,22.05,24.05,15563070
2020-11-04 16:00:00.288,25.69,27.67,24.06,25.31,28970570
2020-11-05 16:00:00.288,26.96,28.49,26.0,28.09,32302830
2020-11-06 16:00:00.288,27.59,28.32,25.3,26.46,32691689
2020-11-09 16:00:00.288,26.37,26.52,25.29,26.3,14752050
2020-11-10 16:00:00.288,25.8,26.48,23.18,25.24,16859949
2020-11-11 16:00:00.288,24.07,25.27,23.06,24.97,11897490
2020-11-12 16:00:00.288,27.06,32.78,26.4,31.78,86207891
2020-11-13 16:00:00.288,38.76,40.81,30.11,31.2,170277594
2020-11-16 16:00:00.288,31.33,36.97,30.97,35.55,85858047
2020-11-17 16:00:00.288,37.78,38.0,34.45,35.05,45851930
