Date,Open,High,Low,Close,Volume
2015-06-25 16:00:00.288,6.12,7.19,5.97,6.77,2066942
2015-06-26 16:00:00.288,6.59,6.77,6.18,6.43,306285
2015-06-29 16:00:00.288,6.22,6.35,6.02,6.15,120116
2015-06-30 16:00:00.288,6.24,6.39,6.13,6.19,21459
2015-07-01 16:00:00.288,6.2,6.38,6.13,6.32,65586
2015-07-02 16:00:00.288,6.47,6.73,6.47,6.67,54910
2015-07-06 16:00:00.288,6.57,7.21,6.4,6.87,160094
2015-07-07 16:00:00.288,7.12,7.5,6.76,6.89,37357
2015-07-08 16:00:00.288,7.38,7.38,6.52,7.15,71685
2015-07-09 16:00:00.288,7.15,7.15,6.5,7.0,29099
2015-07-10 16:00:00.288,6.97,7.0,6.8,6.91,17701
2015-07-13 16:00:00.288,6.87,6.95,6.69,6.88,38922
2015-07-14 16:00:00.288,6.8,7.08,6.75,7.0,67552
2015-07-15 16:00:00.288,6.89,7.1,6.74,6.99,22355
2015-07-16 16:00:00.288,7.25,7.25,6.73,7.13,33848
2015-07-17 16:00:00.288,7.2,7.5,7.0,7.47,52965
2015-07-20 16:00:00.288,6.98,7.66,6.75,6.91,134335
2015-07-21 16:00:00.288,7.16,7.68,7.01,7.33,76988
2015-07-22 16:00:00.288,7.26,7.3,7.0,7.19,57238
2015-07-23 16:00:00.288,7.3,7.3,6.96,7.17,66581
2015-07-24 16:00:00.288,7.01,7.45,7.01,7.18,35953
2015-07-27 16:00:00.288,7.11,7.45,6.08,6.53,135064
2015-07-28 16:00:00.288,6.4,6.74,6.4,6.71,82134
2015-07-29 16:00:00.288,6.8,7.2,6.49,7.2,81597
2015-07-30 16:00:00.288,7.27,7.49,7.09,7.27,156565
2015-07-31 16:00:00.288,7.45,7.45,7.15,7.37,60980
2015-08-03 16:00:00.288,7.45,7.5,6.7,7.16,183873
2015-08-04 16:00:00.288,7.35,7.38,6.4,6.72,85872
2015-08-05 16:00:00.288,7.01,7.13,6.5,6.77,168975
2015-08-06 16:00:00.288,6.7,7.17,6.45,6.63,241800
2015-08-07 16:00:00.288,6.95,6.95,6.4,6.46,179924
2015-08-10 16:00:00.288,6.36,6.79,6.36,6.68,158575
2015-08-11 16:00:00.288,6.75,6.76,6.31,6.33,151660
2015-08-12 16:00:00.288,6.3,6.56,6.12,6.55,102687
2015-08-13 16:00:00.288,6.57,7.1,6.57,7.07,71842
2015-08-14 16:00:00.288,6.89,7.47,6.86,7.43,50338
2015-08-17 16:00:00.288,8.16,8.58,7.44,8.56,145849
2015-08-18 16:00:00.288,8.42,8.58,8.24,8.39,122224
2015-08-19 16:00:00.288,8.28,8.28,7.81,7.97,108513
2015-08-20 16:00:00.288,7.89,8.25,7.49,7.95,103201
2015-08-21 16:00:00.288,7.84,7.84,7.21,7.35,78885
2015-08-24 16:00:00.288,6.87,7.35,6.07,6.12,135918
2015-08-25 16:00:00.288,6.52,7.37,6.48,6.59,82961
2015-08-26 16:00:00.288,6.45,7.16,6.45,6.89,133847
2015-08-27 16:00:00.288,6.76,7.81,6.76,7.42,58342
2015-08-28 16:00:00.288,7.41,7.42,6.65,6.75,190276
2015-08-31 16:00:00.288,6.2,6.63,6.13,6.21,211286
2015-09-01 16:00:00.288,6.23,6.25,5.81,6.0,153299
2015-09-02 16:00:00.288,6.1,6.18,6.01,6.1,117654
2015-09-03 16:00:00.288,6.17,6.93,6.17,6.82,119195
2015-09-04 16:00:00.288,7.14,7.14,6.62,6.84,61213
2015-09-08 16:00:00.288,7.0,7.18,6.46,6.99,112562
2015-09-09 16:00:00.288,6.98,7.37,6.98,7.31,52589
2015-09-10 16:00:00.288,7.19,7.24,6.82,6.94,74250
2015-09-11 16:00:00.288,7.24,7.24,6.98,6.98,36563
2015-09-14 16:00:00.288,6.97,7.01,6.21,7.0,41541
2015-09-15 16:00:00.288,6.98,7.2,6.42,6.54,82715
2015-09-16 16:00:00.288,6.5,7.01,6.38,6.4,70969
2015-09-17 16:00:00.288,6.59,6.59,6.38,6.47,101325
2015-09-18 16:00:00.288,6.44,6.99,5.38,5.38,398211
2015-09-21 16:00:00.288,5.79,6.23,5.7,5.94,157059
2015-09-22 16:00:00.288,5.92,5.99,5.66,5.76,89626
2015-09-23 16:00:00.288,5.69,6.04,5.69,5.98,51978
2015-09-24 16:00:00.288,5.96,5.96,5.72,5.84,48757
2015-09-25 16:00:00.288,5.8,5.9,5.72,5.75,152157
2015-09-28 16:00:00.288,5.51,5.64,4.79,4.98,146602
2015-09-29 16:00:00.288,5.0,5.29,4.86,4.98,117806
2015-09-30 16:00:00.288,4.74,4.74,3.82,4.3,1523498
2015-10-01 16:00:00.288,4.38,4.79,4.26,4.76,225914
2015-10-02 16:00:00.288,4.73,4.73,4.01,4.07,123821
2015-10-05 16:00:00.288,4.06,4.1,3.72,3.72,128774
2015-10-06 16:00:00.288,4.23,4.23,3.5,3.53,85011
2015-10-07 16:00:00.288,3.5,3.9,3.48,3.75,80735
2015-10-08 16:00:00.288,3.71,3.77,3.53,3.73,119229
2015-10-09 16:00:00.288,3.72,3.82,3.55,3.63,31875
2015-10-12 16:00:00.288,3.6,3.89,3.48,3.87,64382
2015-10-13 16:00:00.288,3.85,3.9,3.68,3.7,46950
2015-10-14 16:00:00.288,3.66,3.8,3.57,3.72,41952
2015-10-15 16:00:00.288,3.75,3.89,3.57,3.86,152762
2015-10-16 16:00:00.288,3.88,3.93,3.56,3.63,147860
2015-10-19 16:00:00.288,3.58,3.84,3.54,3.72,70223
2015-10-20 16:00:00.288,3.7,3.73,3.42,3.48,80916
2015-10-21 16:00:00.288,3.5,3.5,3.08,3.25,77759
2015-10-22 16:00:00.288,3.24,3.47,3.13,3.3,49015
2015-10-23 16:00:00.288,3.36,3.45,3.06,3.39,67815
2015-10-26 16:00:00.288,3.18,3.35,3.15,3.27,34451
2015-10-27 16:00:00.288,3.27,3.27,2.87,2.93,122628
2015-10-28 16:00:00.288,3.0,3.17,2.78,3.0,46584
2015-10-29 16:00:00.288,2.97,3.05,2.56,2.97,19110
2015-10-30 16:00:00.288,2.96,3.01,2.9,3.0,15893
2015-11-02 16:00:00.288,3.14,3.76,3.03,3.31,280672
2015-11-03 16:00:00.288,3.75,3.75,3.28,3.33,97799
2015-11-04 16:00:00.288,3.51,3.69,3.21,3.31,110285
2015-11-05 16:00:00.288,3.75,4.26,3.65,4.25,226976
2015-11-06 16:00:00.288,4.25,4.52,4.24,4.45,95424
2015-11-09 16:00:00.288,4.5,4.8,4.28,4.41,66627
2015-11-10 16:00:00.288,4.6,4.6,4.29,4.41,51974
2015-11-11 16:00:00.288,4.38,4.39,4.1,4.18,33991
