Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,14.55,14.9,14.5,14.83,443847
2010-01-05 16:00:00.288,14.8,15.24,14.8,15.16,674220
2010-01-06 16:00:00.288,15.07,15.42,15.07,15.29,641337
2010-01-07 16:00:00.288,15.18,15.41,15.09,15.24,755103
2010-01-08 16:00:00.288,15.12,15.41,15.11,15.35,469162
2010-01-11 16:00:00.288,15.3,15.35,15.12,15.34,692363
2010-01-12 16:00:00.288,15.24,15.29,15.0,15.15,538819
2010-01-13 16:00:00.288,15.21,15.38,14.88,15.22,556834
2010-01-14 16:00:00.288,15.17,15.38,15.17,15.32,555190
2010-01-15 16:00:00.288,15.33,15.67,15.15,15.25,548501
2010-01-19 16:00:00.288,15.49,15.92,15.32,15.88,964661
2010-01-20 16:00:00.288,15.51,15.96,15.3,15.45,915490
2010-01-21 16:00:00.288,15.72,16.77,15.65,15.82,1764718
2010-01-22 16:00:00.288,15.83,15.92,15.18,15.29,730628
2010-01-25 16:00:00.288,15.3,15.45,14.69,14.9,848458
2010-01-26 16:00:00.288,15.01,15.05,14.59,14.59,671557
2010-01-27 16:00:00.288,14.64,14.68,14.32,14.59,613406
2010-01-28 16:00:00.288,14.59,14.76,14.25,14.37,428927
2010-01-29 16:00:00.288,14.45,14.6,14.06,14.08,511323
2010-02-01 16:00:00.288,14.11,14.6,14.0,14.58,441504
2010-02-02 16:00:00.288,14.53,14.64,14.4,14.52,486920
2010-02-03 16:00:00.288,14.33,14.47,14.13,14.19,463425
2010-02-04 16:00:00.288,14.1,14.26,13.51,13.54,1187277
2010-02-05 16:00:00.288,13.54,13.72,13.22,13.71,977736
2010-02-08 16:00:00.288,13.87,14.02,13.64,13.71,555309
2010-02-09 16:00:00.288,13.97,14.16,13.66,14.12,752823
2010-02-10 16:00:00.288,14.01,14.32,14.01,14.21,476755
2010-02-11 16:00:00.288,14.13,14.65,14.11,14.64,4092123
2010-02-12 16:00:00.288,14.43,15.26,14.43,15.25,1504462
2010-02-16 16:00:00.288,15.37,15.61,15.13,15.48,519950
2010-02-17 16:00:00.288,15.64,15.64,15.29,15.53,451208
2010-02-18 16:00:00.288,15.45,15.61,15.29,15.54,751477
2010-02-19 16:00:00.288,15.44,15.93,15.36,15.86,528982
2010-02-22 16:00:00.288,15.88,15.96,15.79,15.91,625555
2010-02-23 16:00:00.288,15.77,15.99,15.5,15.87,623986
2010-02-24 16:00:00.288,15.75,16.17,15.71,16.16,1168612
2010-02-25 16:00:00.288,15.98,16.57,15.78,16.57,1414758
2010-02-26 16:00:00.288,16.65,17.01,16.38,16.89,1385868
2010-03-01 16:00:00.288,15.3,16.07,15.13,15.52,4416172
2010-03-02 16:00:00.288,15.38,16.39,15.19,15.46,2153089
2010-03-03 16:00:00.288,15.31,15.36,14.16,14.42,2989046
2010-03-04 16:00:00.288,14.4,14.49,14.1,14.26,1516934
2010-03-05 16:00:00.288,14.25,14.81,14.22,14.59,1760929
2010-03-08 16:00:00.288,14.67,14.71,14.44,14.45,654750
2010-03-09 16:00:00.288,14.6,14.81,14.5,14.69,1168787
2010-03-10 16:00:00.288,14.89,14.89,14.57,14.69,893871
2010-03-11 16:00:00.288,14.6,14.68,14.41,14.66,625819
2010-03-12 16:00:00.288,14.62,14.68,14.01,14.66,612277
2010-03-15 16:00:00.288,14.63,14.66,14.43,14.55,1029229
2010-03-16 16:00:00.288,14.55,14.8,14.54,14.79,754522
2010-03-17 16:00:00.288,14.85,14.99,14.65,14.85,554534
2010-03-18 16:00:00.288,14.8,14.9,14.61,14.75,428966
2010-03-19 16:00:00.288,14.7,14.89,14.53,14.55,932516
2010-03-22 16:00:00.288,14.41,14.84,14.28,14.79,795558
2010-03-23 16:00:00.288,14.79,14.84,14.51,14.7,869670
2010-03-24 16:00:00.288,14.69,14.7,14.46,14.47,526715
2010-03-25 16:00:00.288,14.65,14.65,14.26,14.26,694195
2010-03-26 16:00:00.288,14.34,14.39,14.13,14.18,650407
2010-03-29 16:00:00.288,14.26,14.37,13.96,14.07,942373
2010-03-30 16:00:00.288,14.1,14.23,13.96,14.0,888930
2010-03-31 16:00:00.288,13.94,14.17,13.88,14.11,967272
2010-04-01 16:00:00.288,14.17,14.51,14.11,14.3,917426
2010-04-05 16:00:00.288,14.48,14.55,14.33,14.47,680060
2010-04-06 16:00:00.288,14.27,14.41,14.19,14.3,735895
2010-04-07 16:00:00.288,14.21,14.34,13.95,14.12,760087
2010-04-08 16:00:00.288,14.0,14.16,13.85,14.14,1988031
2010-04-09 16:00:00.288,14.1,14.41,14.01,14.35,1494218
2010-04-12 16:00:00.288,14.41,14.47,14.2,14.32,593649
2010-04-13 16:00:00.288,14.21,14.37,14.08,14.32,444122
2010-04-14 16:00:00.288,14.33,14.51,14.21,14.47,567349
2010-04-15 16:00:00.288,14.38,14.61,14.22,14.55,392557
2010-04-16 16:00:00.288,14.61,14.71,14.21,14.45,721798
2010-04-19 16:00:00.288,14.32,14.5,14.0,14.28,549724
2010-04-20 16:00:00.288,14.23,14.55,14.09,14.32,536993
2010-04-21 16:00:00.288,14.35,14.46,14.28,14.4,495962
2010-04-22 16:00:00.288,14.31,14.46,14.14,14.4,535555
2010-04-23 16:00:00.288,14.33,14.63,14.29,14.54,798962
2010-04-26 16:00:00.288,14.61,14.74,14.48,14.66,398441
2010-04-27 16:00:00.288,14.6,14.75,14.4,14.44,814068
2010-04-28 16:00:00.288,14.42,14.55,14.21,14.4,742212
2010-04-29 16:00:00.288,14.42,14.75,14.41,14.73,1591455
2010-04-30 16:00:00.288,14.73,15.09,14.62,14.71,1268484
2010-05-03 16:00:00.288,14.78,14.94,14.6,14.72,693203
2010-05-04 16:00:00.288,14.64,14.65,13.93,13.99,919155
2010-05-05 16:00:00.288,14.04,14.11,13.48,13.48,1013702
2010-05-06 16:00:00.288,13.36,13.96,11.93,13.56,1344138
2010-05-07 16:00:00.288,13.1,13.24,11.21,11.31,4533072
2010-05-10 16:00:00.288,11.95,12.04,11.34,11.55,2691633
2010-05-11 16:00:00.288,11.41,11.73,11.36,11.44,1934351
2010-05-12 16:00:00.288,11.45,11.5,11.21,11.37,1665100
2010-05-13 16:00:00.288,11.25,11.35,11.11,11.2,906959
2010-05-14 16:00:00.288,11.12,11.18,10.8,10.91,2024237
2010-05-17 16:00:00.288,10.98,11.03,10.53,10.72,1549289
2010-05-18 16:00:00.288,10.93,11.03,10.64,10.74,1099420
2010-05-19 16:00:00.288,10.56,10.73,10.29,10.39,1114737
2010-05-20 16:00:00.288,10.37,10.38,9.9,10.1,1882712
2010-05-21 16:00:00.288,9.98,10.48,9.93,10.31,1718761
2010-05-24 16:00:00.288,10.38,10.52,10.25,10.26,870593
2010-05-25 16:00:00.288,10.01,10.14,9.79,10.1,1445312
2010-05-26 16:00:00.288,10.25,10.36,10.06,10.13,1051747
2010-05-27 16:00:00.288,10.35,10.54,10.18,10.54,901113
2010-05-28 16:00:00.288,10.4,10.55,10.04,10.22,936783
2010-06-01 16:00:00.288,10.1,10.17,9.83,9.86,1009775
2010-06-02 16:00:00.288,9.89,10.31,9.65,10.31,1322132
2010-06-03 16:00:00.288,10.18,10.73,10.18,10.73,1373266
2010-06-04 16:00:00.288,10.82,11.17,10.65,10.74,1818715
2010-06-07 16:00:00.288,10.81,10.87,9.94,9.95,852848
2010-06-08 16:00:00.288,10.02,10.02,9.45,9.89,1344790
2010-06-09 16:00:00.288,10.0,10.09,9.66,9.78,815576
2010-06-10 16:00:00.288,9.93,10.07,9.74,10.06,531747
2010-06-11 16:00:00.288,10.21,10.56,10.03,10.39,931963
2010-06-14 16:00:00.288,10.51,10.66,10.28,10.35,691559
2010-06-15 16:00:00.288,10.47,10.72,10.32,10.68,389490
2010-06-16 16:00:00.288,10.54,10.6,10.28,10.45,385767
2010-06-17 16:00:00.288,10.45,10.56,10.17,10.31,433970
2010-06-18 16:00:00.288,10.38,10.43,10.1,10.26,461355
2010-06-21 16:00:00.288,10.4,10.4,10.06,10.11,460087
2010-06-22 16:00:00.288,10.17,10.57,10.17,10.24,708419
2010-06-23 16:00:00.288,10.26,10.29,10.05,10.23,453203
2010-06-24 16:00:00.288,10.16,10.47,10.02,10.24,955410
2010-06-25 16:00:00.288,10.24,10.46,9.95,10.45,8804862
2010-06-28 16:00:00.288,10.41,10.46,10.02,10.11,1492028
2010-06-29 16:00:00.288,9.94,9.94,9.41,9.46,1192771
2010-06-30 16:00:00.288,9.47,10.03,9.18,9.2,1392875
2010-07-01 16:00:00.288,9.26,9.59,9.04,9.38,1000172
2010-07-02 16:00:00.288,9.44,9.5,9.16,9.27,732266
2010-07-06 16:00:00.288,9.41,9.66,9.06,9.11,1072904
2010-07-07 16:00:00.288,9.2,9.93,9.13,9.91,1201412
2010-07-08 16:00:00.288,10.03,10.25,9.81,10.01,1028279
2010-07-09 16:00:00.288,9.95,10.55,9.95,10.54,914167
2010-07-12 16:00:00.288,10.51,10.79,10.18,10.27,957919
2010-07-13 16:00:00.288,10.41,10.6,10.29,10.52,1139616
2010-07-14 16:00:00.288,10.47,10.88,10.32,10.73,848823
2010-07-15 16:00:00.288,10.71,10.73,10.29,10.43,577674
2010-07-16 16:00:00.288,10.33,10.53,9.75,9.8,681183
2010-07-19 16:00:00.288,9.81,9.98,9.54,9.73,450998
2010-07-20 16:00:00.288,9.58,10.12,9.58,10.08,798583
2010-07-21 16:00:00.288,10.17,10.25,9.66,9.66,720435
2010-07-22 16:00:00.288,9.76,10.37,9.76,10.33,753525
2010-07-23 16:00:00.288,10.31,10.69,10.15,10.65,475069
2010-07-26 16:00:00.288,10.72,11.38,10.71,11.18,607934
