Date,Open,High,Low,Close,Volume
2020-10-20 16:00:00.288,10.16,10.75,10.16,10.49,614794
2020-10-21 16:00:00.288,10.4,10.55,10.36,10.52,347237
2020-10-22 16:00:00.288,10.52,10.8,10.4,10.8,64428
2020-10-23 16:00:00.288,10.97,10.97,10.45,10.56,24370
2020-10-26 16:00:00.288,10.58,10.65,10.24,10.49,172865
2020-10-27 16:00:00.288,10.25,10.97,10.25,10.26,123902
2020-10-28 16:00:00.288,10.25,10.33,10.17,10.17,15574
2020-10-29 16:00:00.288,10.37,10.42,10.26,10.26,1342
2020-10-30 16:00:00.288,10.23,10.26,10.23,10.26,5937
2020-11-02 16:00:00.288,10.29,10.33,10.28,10.3,1872
2020-11-03 16:00:00.288,10.34,10.38,10.2,10.32,4122
2020-11-04 16:00:00.288,10.26,10.3,10.2,10.25,14525
2020-11-05 16:00:00.288,10.22,10.48,10.22,10.29,29272
2020-11-09 16:00:00.288,10.38,10.48,10.25,10.25,5365
2020-11-11 16:00:00.288,10.37,10.37,10.3,10.37,1161
2020-11-16 16:00:00.288,10.56,10.58,10.45,10.45,1005
2020-11-17 16:00:00.288,10.57,10.59,10.31,10.31,1807
2020-11-18 16:00:00.288,10.58,10.6,10.4,10.45,3516
2020-11-19 16:00:00.288,10.51,10.53,10.51,10.51,641
2020-11-20 16:00:00.288,10.31,10.6,10.18,10.6,5377
2020-11-23 16:00:00.288,10.57,10.6,10.45,10.5,4011
2020-11-24 16:00:00.288,10.41,10.56,10.41,10.56,612
2020-11-25 16:00:00.288,10.76,10.76,10.51,10.51,231
2020-11-27 13:00:00.288,10.74,10.86,10.44,10.67,1327
2020-11-30 16:00:00.288,10.5,10.5,10.4,10.4,4609
2020-12-01 16:00:00.288,10.5,10.83,10.5,10.83,637
2020-12-02 16:00:00.288,10.5,10.5,10.41,10.45,2114
2020-12-03 16:00:00.288,10.72,10.72,10.5,10.5,3361
2020-12-04 16:00:00.288,10.56,10.58,10.56,10.58,1179
2020-12-07 16:00:00.288,10.88,10.88,10.52,10.52,7618
2020-12-08 16:00:00.288,10.81,10.81,10.6,10.6,2782
2020-12-09 16:00:00.288,10.74,10.74,10.55,10.6,7790
2020-12-10 16:00:00.288,10.65,10.85,10.55,10.7,30850
2020-12-11 16:00:00.288,10.87,11.37,10.55,11.0,79984
2020-12-14 16:00:00.288,11.46,11.46,11.08,11.08,14213
2020-12-15 16:00:00.288,11.0,11.05,10.55,10.63,104478
