Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,38.39,39.24,38.1,38.5,1278170
2010-01-05 16:00:00.288,38.3,38.57,38.07,38.56,1134018
2010-01-06 16:00:00.288,38.46,38.75,38.18,38.39,1104905
2010-01-07 16:00:00.288,38.29,38.58,38.15,38.27,695244
2010-01-08 16:00:00.288,38.01,38.31,37.89,37.93,874976
2010-01-11 16:00:00.288,37.94,38.17,37.55,38.13,778124
2010-01-12 16:00:00.288,38.91,39.46,38.67,38.85,1660626
2010-01-13 16:00:00.288,38.93,39.21,38.75,38.98,1386149
2010-01-14 16:00:00.288,38.75,38.98,38.46,38.79,684763
2010-01-15 16:00:00.288,38.95,39.15,38.02,38.21,1359288
2010-01-19 16:00:00.288,38.34,38.71,38.0,38.61,924148
2010-01-20 16:00:00.288,38.26,38.36,37.7,37.95,989697
2010-01-21 16:00:00.288,37.85,38.43,37.57,37.84,1405265
2010-01-22 16:00:00.288,37.71,38.77,37.66,37.86,1383436
2010-01-25 16:00:00.288,38.65,38.87,38.35,38.58,1751391
2010-01-26 16:00:00.288,38.09,38.69,37.92,38.46,1388484
2010-01-27 16:00:00.288,38.04,38.42,37.69,38.27,1523570
2010-01-28 16:00:00.288,38.2,38.48,37.47,37.73,1701130
2010-01-29 16:00:00.288,38.36,38.49,37.78,37.8,1804557
2010-02-01 16:00:00.288,37.98,38.31,37.76,38.24,1291253
2010-02-02 16:00:00.288,38.1,38.95,38.1,38.85,1478070
2010-02-03 16:00:00.288,38.84,39.02,38.49,38.93,1264125
2010-02-04 16:00:00.288,38.59,38.82,38.14,38.28,1850091
2010-02-05 16:00:00.288,38.26,38.68,37.92,38.47,1969900
2010-02-08 16:00:00.288,38.18,38.83,38.18,38.19,988351
2010-02-09 16:00:00.288,38.7,39.06,38.28,38.88,1105802
2010-02-10 16:00:00.288,38.91,39.17,38.58,39.02,1568528
2010-02-11 16:00:00.288,39.15,39.62,38.65,39.52,1712908
2010-02-12 16:00:00.288,39.26,39.87,39.13,39.8,1368533
2010-02-16 16:00:00.288,39.84,40.16,39.61,39.85,1921330
2010-02-17 16:00:00.288,39.91,40.98,39.75,40.79,2019860
2010-02-18 16:00:00.288,38.49,38.72,37.58,38.36,9170922
2010-02-19 16:00:00.288,38.45,39.18,38.4,38.91,4190998
2010-02-22 16:00:00.288,39.11,39.15,38.52,38.72,1510640
2010-02-23 16:00:00.288,38.77,38.95,38.42,38.6,1765677
2010-02-24 16:00:00.288,38.87,39.37,38.72,39.29,1570526
2010-02-25 16:00:00.288,38.85,39.5,38.51,39.5,1562231
2010-02-26 16:00:00.288,39.59,39.68,39.14,39.3,1605121
2010-03-01 16:00:00.288,39.2,39.58,38.91,39.57,1459801
2010-03-02 16:00:00.288,39.6,39.69,39.25,39.53,1408512
2010-03-03 16:00:00.288,39.65,39.65,39.14,39.26,1564217
2010-03-04 16:00:00.288,39.21,39.59,38.88,39.52,1525081
2010-03-05 16:00:00.288,39.74,39.8,39.39,39.72,1495031
2010-03-08 16:00:00.288,39.55,40.09,39.55,39.77,1073341
2010-03-09 16:00:00.288,39.62,40.02,39.57,39.74,1192499
2010-03-10 16:00:00.288,39.73,40.41,39.62,40.26,1354049
2010-03-11 16:00:00.288,40.26,40.4,39.91,40.33,966645
2010-03-12 16:00:00.288,40.33,40.43,40.13,40.43,697472
2010-03-15 16:00:00.288,40.31,40.56,40.2,40.46,929879
2010-03-16 16:00:00.288,40.6,41.12,40.35,41.11,1283135
2010-03-17 16:00:00.288,41.12,41.9,40.94,41.89,2061840
2010-03-18 16:00:00.288,41.97,42.21,41.65,41.91,1707770
2010-03-19 16:00:00.288,42.18,42.18,41.72,42.0,2248042
2010-03-22 16:00:00.288,41.98,42.92,41.93,42.76,1515458
2010-03-23 16:00:00.288,42.85,43.0,42.45,43.0,909630
2010-03-24 16:00:00.288,42.59,42.75,41.88,42.04,1488079
2010-03-25 16:00:00.288,42.17,42.35,41.93,41.96,1167303
2010-03-26 16:00:00.288,41.91,42.22,41.75,42.03,1055272
2010-03-29 16:00:00.288,41.0,42.05,40.77,41.76,1835683
2010-03-30 16:00:00.288,41.62,42.08,41.42,41.83,969184
2010-03-31 16:00:00.288,41.53,41.94,41.45,41.71,1617310
2010-04-01 16:00:00.288,41.87,42.03,41.56,41.93,1188188
2010-04-05 16:00:00.288,41.98,42.12,41.67,42.07,1091243
2010-04-06 16:00:00.288,42.01,42.16,41.79,41.91,1274050
2010-04-07 16:00:00.288,41.51,41.95,41.4,41.73,1408134
2010-04-08 16:00:00.288,41.55,41.67,41.3,41.61,2618948
2010-04-09 16:00:00.288,41.65,41.88,41.31,41.83,859804
2010-04-12 16:00:00.288,41.89,42.0,41.46,41.88,1115023
2010-04-13 16:00:00.288,41.9,42.21,41.73,42.15,668279
2010-04-14 16:00:00.288,42.38,43.57,42.33,43.53,1477683
2010-04-15 16:00:00.288,43.44,44.0,43.41,43.82,1333657
2010-04-16 16:00:00.288,43.82,43.99,43.38,43.58,1839658
2010-04-19 16:00:00.288,43.6,43.94,43.23,43.84,1129501
2010-04-20 16:00:00.288,43.89,44.44,43.82,44.35,1072583
2010-04-21 16:00:00.288,44.33,44.77,43.98,44.67,1128880
2010-04-22 16:00:00.288,44.5,46.15,44.5,46.03,2210805
2010-04-23 16:00:00.288,46.23,46.31,45.62,46.27,2059025
2010-04-26 16:00:00.288,46.44,46.83,46.32,46.56,1831314
2010-04-27 16:00:00.288,46.7,46.79,45.8,45.88,2158611
2010-04-28 16:00:00.288,46.03,46.75,45.67,46.34,2069264
2010-04-29 16:00:00.288,49.58,50.09,48.63,49.6,3769774
2010-04-30 16:00:00.288,48.9,49.69,48.85,48.87,2865646
2010-05-03 16:00:00.288,48.61,49.72,48.6,49.72,1505376
2010-05-04 16:00:00.288,48.14,48.76,47.53,48.45,2187255
2010-05-05 16:00:00.288,48.27,49.34,48.17,48.31,1720639
2010-05-06 16:00:00.288,48.13,48.18,45.22,46.92,2050191
2010-05-07 16:00:00.288,47.25,47.72,45.85,46.35,1869520
2010-05-10 16:00:00.288,48.1,48.6,47.68,48.37,1733821
2010-05-11 16:00:00.288,48.0,48.85,47.76,48.23,1323284
2010-05-12 16:00:00.288,48.1,48.98,48.06,48.94,1009818
2010-05-13 16:00:00.288,48.55,48.84,48.04,48.07,1364611
2010-05-14 16:00:00.288,48.0,48.38,47.52,47.92,1638251
2010-05-17 16:00:00.288,48.24,48.58,47.4,48.4,2132792
2010-05-18 16:00:00.288,48.77,49.2,47.93,48.09,1473103
2010-05-19 16:00:00.288,47.84,49.18,47.59,48.78,1712778
2010-05-20 16:00:00.288,48.07,49.62,47.77,47.77,2674867
