Date,Open,High,Low,Close,Volume
2012-09-28 16:00:00.288,12.0,14.85,12.0,14.16,9749470
2012-10-01 16:00:00.288,14.49,15.25,13.8,13.95,618632
2012-10-02 16:00:00.288,13.95,14.34,13.53,13.69,306717
2012-10-03 16:00:00.288,13.64,13.95,13.4,13.51,158892
2012-10-04 16:00:00.288,13.64,14.22,13.33,13.6,281734
2012-10-05 16:00:00.288,13.6,13.87,13.4,13.6,141728
2012-10-08 16:00:00.288,13.6,13.9,13.51,13.67,50048
2012-10-09 16:00:00.288,13.85,13.85,13.51,13.55,90328
2012-10-10 16:00:00.288,13.49,13.75,13.49,13.51,71980
2012-10-11 16:00:00.288,13.58,13.7,13.46,13.56,90239
2012-10-12 16:00:00.288,13.6,13.74,13.6,13.64,56919
2012-10-15 16:00:00.288,13.81,14.09,13.7,13.96,93415
2012-10-16 16:00:00.288,14.29,14.29,13.89,14.01,58673
2012-10-17 16:00:00.288,14.29,14.29,13.95,14.1,81687
2012-10-18 16:00:00.288,14.17,14.87,13.96,14.69,100335
2012-10-19 16:00:00.288,14.61,14.99,14.02,14.22,245358
2012-10-22 16:00:00.288,14.74,14.95,14.05,14.89,129839
2012-10-23 16:00:00.288,14.7,14.86,14.5,14.71,128501
2012-10-24 16:00:00.288,14.89,14.97,14.07,14.4,33974
2012-10-25 16:00:00.288,14.26,14.43,14.15,14.29,49833
2012-10-26 16:00:00.288,14.53,14.53,14.16,14.2,52149
2012-10-31 16:00:00.288,14.34,14.5,12.54,12.98,94636
2012-11-01 16:00:00.288,13.02,13.63,13.02,13.6,64220
2012-11-02 16:00:00.288,13.75,13.75,12.88,12.98,116878
2012-11-05 16:00:00.288,13.23,13.42,12.08,12.42,89007
2012-11-06 16:00:00.288,13.43,13.43,12.62,13.25,74671
2012-11-07 16:00:00.288,13.25,13.55,13.05,13.08,66611
2012-11-08 16:00:00.288,12.9,13.08,11.07,11.55,120615
2012-11-09 16:00:00.288,11.59,12.21,11.26,11.85,458529
2012-11-12 16:00:00.288,11.58,12.24,11.5,11.75,198070
2012-11-13 16:00:00.288,11.46,12.07,11.19,11.94,55746
2012-11-14 16:00:00.288,11.96,12.17,11.7,12.04,33613
2012-11-15 16:00:00.288,12.03,12.03,11.67,11.91,103836
2012-11-16 16:00:00.288,12.0,12.41,11.91,12.3,88269
2012-11-19 16:00:00.288,12.37,12.37,11.95,12.15,125700
2012-11-20 16:00:00.288,12.1,12.3,11.95,12.16,79180
2012-11-21 16:00:00.288,12.22,12.35,12.15,12.16,35156
2012-11-23 16:00:00.288,12.1,12.32,12.0,12.29,20603
2012-11-26 16:00:00.288,12.23,12.67,12.01,12.41,87084
2012-11-27 16:00:00.288,12.52,12.69,12.05,12.21,50339
2012-11-28 16:00:00.288,12.21,12.49,11.91,12.28,65775
2012-11-29 16:00:00.288,12.5,13.6,12.14,13.18,74162
2012-11-30 16:00:00.288,13.24,13.5,12.52,13.38,36738
2012-12-03 16:00:00.288,13.44,13.75,13.38,13.38,80802
2012-12-04 16:00:00.288,13.37,13.37,12.74,12.88,25537
2012-12-05 16:00:00.288,12.75,13.5,12.74,12.91,24616
2012-12-06 16:00:00.288,12.86,13.11,12.1,12.2,46017
2012-12-07 16:00:00.288,12.02,12.36,12.0,12.1,51756
2012-12-10 16:00:00.288,12.0,12.02,11.22,11.34,76343
2012-12-11 16:00:00.288,11.45,11.99,11.16,11.69,113849
2012-12-12 16:00:00.288,11.79,12.42,11.7,12.39,44476
2012-12-13 16:00:00.288,12.44,12.87,12.43,12.67,35627
2012-12-14 16:00:00.288,13.31,13.31,12.51,12.87,62137
2012-12-17 16:00:00.288,13.24,13.4,12.55,13.21,35695
2012-12-18 16:00:00.288,13.22,13.56,12.51,13.41,128350
2012-12-19 16:00:00.288,13.41,14.0,12.5,13.76,136274
2012-12-20 16:00:00.288,13.78,14.2,12.74,13.58,172731
2012-12-21 16:00:00.288,13.13,13.95,12.72,13.85,1111386
2012-12-24 16:00:00.288,13.76,14.0,12.98,13.7,44012
2012-12-26 16:00:00.288,13.7,13.9,13.03,13.17,37827
2012-12-27 16:00:00.288,13.22,13.97,13.14,13.67,53699
2012-12-28 16:00:00.288,13.64,14.54,13.64,14.37,61197
2012-12-31 16:00:00.288,14.39,14.88,13.79,14.79,131481
2013-01-02 16:00:00.288,15.1,15.82,14.74,15.61,117346
2013-01-03 16:00:00.288,15.58,15.84,14.68,15.5,62828
2013-01-04 16:00:00.288,15.6,16.18,15.41,16.05,96620
2013-01-07 16:00:00.288,15.87,16.38,15.8,16.24,32067
2013-01-08 16:00:00.288,16.25,16.34,14.97,15.79,124883
