Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,4.15,4.17,3.99,4.04,501869
2010-01-05 16:00:00.288,4.07,4.1,3.94,3.96,149826
2010-01-06 16:00:00.288,4.02,4.05,3.81,3.83,81958
2010-01-07 16:00:00.288,3.89,3.9,3.83,3.85,96255
2010-01-08 16:00:00.288,3.87,3.88,3.78,3.79,65302
2010-01-11 16:00:00.288,3.82,3.83,3.78,3.83,133879
2010-01-12 16:00:00.288,3.79,3.83,3.71,3.71,83792
2010-01-13 16:00:00.288,3.72,3.73,3.64,3.65,96770
2010-01-14 16:00:00.288,3.63,3.69,3.62,3.65,44462
2010-01-15 16:00:00.288,3.61,3.72,3.55,3.55,123425
2010-01-19 16:00:00.288,3.56,3.61,3.56,3.61,121978
2010-01-20 16:00:00.288,3.6,3.6,3.52,3.54,117095
2010-01-21 16:00:00.288,3.55,3.65,3.5,3.59,163077
2010-01-22 16:00:00.288,3.59,3.63,3.57,3.61,219016
2010-01-25 16:00:00.288,3.61,3.65,3.55,3.62,398168
2010-01-26 16:00:00.288,3.64,3.64,3.4,3.41,79364
2010-01-27 16:00:00.288,3.48,3.55,3.4,3.54,72756
2010-01-28 16:00:00.288,3.68,3.74,3.5,3.58,108575
2010-01-29 16:00:00.288,3.63,3.65,3.43,3.45,200387
2010-02-01 16:00:00.288,3.49,3.5,3.46,3.5,112675
2010-02-02 16:00:00.288,3.5,3.54,3.42,3.43,152500
2010-02-03 16:00:00.288,3.45,3.5,3.42,3.43,129636
2010-02-04 16:00:00.288,3.45,3.46,3.37,3.38,285679
2010-02-05 16:00:00.288,3.39,3.51,3.37,3.5,114699
2010-02-08 16:00:00.288,3.46,3.5,3.35,3.35,114124
2010-02-09 16:00:00.288,3.43,3.5,3.37,3.4,61704
2010-02-10 16:00:00.288,3.42,3.42,3.34,3.39,102359
2010-02-11 16:00:00.288,3.4,3.5,3.34,3.5,120106
2010-02-12 16:00:00.288,3.49,3.54,3.4,3.5,130155
2010-02-16 16:00:00.288,3.53,3.67,3.52,3.65,54133
2010-02-17 16:00:00.288,3.63,3.65,3.5,3.52,54255
2010-02-18 16:00:00.288,3.46,3.54,3.43,3.49,94298
2010-02-19 16:00:00.288,3.46,3.47,3.39,3.4,97918
2010-02-22 16:00:00.288,3.48,3.48,3.36,3.39,44447
2010-02-23 16:00:00.288,3.4,3.46,3.38,3.39,76689
2010-02-24 16:00:00.288,3.43,3.44,3.35,3.37,34843
2010-02-25 16:00:00.288,3.38,3.38,3.34,3.35,43030
2010-02-26 16:00:00.288,3.43,3.43,3.35,3.37,149719
2010-03-01 16:00:00.288,3.47,3.58,3.41,3.58,83936
2010-03-02 16:00:00.288,3.54,3.65,3.54,3.65,85944
2010-03-03 16:00:00.288,3.61,3.74,3.61,3.73,53700
2010-03-04 16:00:00.288,3.73,3.75,3.65,3.72,44920
2010-03-05 16:00:00.288,3.68,3.74,3.67,3.74,33411
2010-03-08 16:00:00.288,3.71,3.74,3.6,3.74,64646
2010-03-09 16:00:00.288,3.71,3.8,3.69,3.77,44461
2010-03-10 16:00:00.288,3.72,3.77,3.69,3.77,58408
2010-03-11 16:00:00.288,3.76,3.78,3.7,3.78,40601
2010-03-12 16:00:00.288,3.74,3.78,3.67,3.72,68569
2010-03-15 16:00:00.288,3.72,3.78,3.6,3.64,60664
2010-03-16 16:00:00.288,3.64,3.74,3.63,3.74,31927
2010-03-17 16:00:00.288,3.73,3.77,3.7,3.71,55534
2010-03-18 16:00:00.288,3.67,3.73,3.64,3.71,27528
2010-03-19 16:00:00.288,3.69,3.75,3.63,3.75,119477
2010-03-22 16:00:00.288,3.67,3.76,3.67,3.74,32236
2010-03-23 16:00:00.288,3.71,3.8,3.68,3.79,42773
2010-03-24 16:00:00.288,3.74,3.79,3.68,3.69,50762
2010-03-25 16:00:00.288,3.71,3.76,3.61,3.62,42634
2010-03-26 16:00:00.288,3.66,3.66,3.57,3.6,46005
2010-03-29 16:00:00.288,3.58,3.62,3.54,3.62,56371
2010-03-30 16:00:00.288,3.64,3.65,3.55,3.57,41273
2010-03-31 16:00:00.288,3.58,4.06,3.55,4.06,178450
2010-04-01 16:00:00.288,3.98,4.02,3.67,3.71,124513
2010-04-05 16:00:00.288,3.74,3.76,3.59,3.68,61046
2010-04-06 16:00:00.288,3.66,3.7,3.6,3.62,31005
2010-04-07 16:00:00.288,3.61,3.62,3.56,3.61,51087
2010-04-08 16:00:00.288,3.6,3.62,3.51,3.52,82323
2010-04-09 16:00:00.288,3.57,3.67,3.52,3.59,34130
2010-04-12 16:00:00.288,3.53,3.6,3.52,3.54,38201
2010-04-13 16:00:00.288,3.53,3.67,3.52,3.61,45459
2010-04-14 16:00:00.288,3.63,3.64,3.6,3.64,50426
2010-04-15 16:00:00.288,3.63,3.94,3.63,3.92,97132
2010-04-16 16:00:00.288,3.76,3.9,3.59,3.66,136980
2010-04-19 16:00:00.288,3.65,3.77,3.64,3.72,40083
2010-04-20 16:00:00.288,3.64,3.76,3.64,3.76,65883
2010-04-21 16:00:00.288,3.74,3.78,3.64,3.75,45001
2010-04-22 16:00:00.288,3.71,3.72,3.65,3.7,41466
2010-04-23 16:00:00.288,3.67,3.69,3.58,3.61,65194
2010-04-26 16:00:00.288,3.66,3.66,3.58,3.6,27398
2010-04-27 16:00:00.288,3.58,3.61,3.56,3.56,36281
2010-04-28 16:00:00.288,3.6,3.6,3.57,3.59,24518
2010-04-29 16:00:00.288,3.6,3.64,3.56,3.6,38954
2010-04-30 16:00:00.288,3.67,3.7,3.49,3.51,102808
2010-05-03 16:00:00.288,3.5,3.53,3.46,3.53,72154
2010-05-04 16:00:00.288,3.47,3.53,3.43,3.5,81092
2010-05-05 16:00:00.288,3.48,3.53,3.41,3.43,63562
2010-05-06 16:00:00.288,3.42,3.49,3.27,3.27,102769
2010-05-07 16:00:00.288,3.26,3.31,3.15,3.15,140502
2010-05-10 16:00:00.288,3.24,3.32,3.2,3.3,151959
2010-05-11 16:00:00.288,3.26,3.3,3.19,3.28,106682
2010-05-12 16:00:00.288,3.24,3.39,3.2,3.38,73835
2010-05-13 16:00:00.288,3.36,3.46,3.26,3.36,66794
2010-05-14 16:00:00.288,3.29,3.4,3.22,3.29,72586
2010-05-17 16:00:00.288,3.24,3.48,3.21,3.43,144326
2010-05-18 16:00:00.288,3.46,3.6,3.33,3.5,178078
2010-05-19 16:00:00.288,3.51,3.6,3.3,3.36,94288
2010-05-20 16:00:00.288,3.39,3.44,3.15,3.2,131327
2010-05-21 16:00:00.288,3.1,3.25,3.1,3.21,109609
2010-05-24 16:00:00.288,3.3,3.7,3.16,3.19,383195
2010-05-25 16:00:00.288,3.14,3.26,3.0,3.22,92123
2010-05-26 16:00:00.288,3.26,3.36,3.19,3.19,91818
2010-05-27 16:00:00.288,3.5,3.51,3.3,3.5,122114
2010-05-28 16:00:00.288,3.46,3.66,3.37,3.55,114038
2010-06-01 16:00:00.288,3.55,3.58,3.3,3.33,83304
2010-06-02 16:00:00.288,3.39,3.55,3.39,3.53,46753
2010-06-03 16:00:00.288,3.5,3.6,3.24,3.45,42919
2010-06-04 16:00:00.288,3.39,3.41,3.3,3.31,70904
2010-06-07 16:00:00.288,3.33,3.38,3.21,3.25,86358
2010-06-08 16:00:00.288,3.25,3.25,3.2,3.22,80633
2010-06-09 16:00:00.288,3.25,3.31,3.2,3.27,53248
2010-06-10 16:00:00.288,3.32,3.42,3.27,3.36,108531
2010-06-11 16:00:00.288,3.3,3.37,3.26,3.36,29882
2010-06-14 16:00:00.288,3.39,3.4,3.3,3.33,23116
2010-06-15 16:00:00.288,3.36,3.46,3.3,3.45,63818
2010-06-16 16:00:00.288,3.44,3.5,3.35,3.36,54281
2010-06-17 16:00:00.288,3.36,3.39,3.3,3.34,51355
2010-06-18 16:00:00.288,3.35,3.35,3.3,3.3,131883
2010-06-21 16:00:00.288,3.33,3.39,3.27,3.28,74083
2010-06-22 16:00:00.288,3.3,3.37,3.21,3.23,49553
2010-06-23 16:00:00.288,3.22,3.27,3.22,3.24,32389
2010-06-24 16:00:00.288,3.21,3.24,3.1,3.15,172102
2010-06-25 16:00:00.288,3.2,3.36,3.05,3.13,4585199
2010-06-28 16:00:00.288,3.11,3.37,3.11,3.21,111366
2010-06-29 16:00:00.288,3.15,3.19,3.13,3.14,94873
2010-06-30 16:00:00.288,3.15,3.23,3.15,3.21,38659
2010-07-01 16:00:00.288,3.2,3.23,3.16,3.2,50489
2010-07-02 16:00:00.288,3.22,3.25,3.11,3.22,26805
2010-07-06 16:00:00.288,3.27,3.27,3.15,3.22,75207
2010-07-07 16:00:00.288,3.2,3.2,3.14,3.15,98689
2010-07-08 16:00:00.288,3.21,3.21,3.14,3.17,33917
2010-07-09 16:00:00.288,3.14,3.31,3.12,3.29,41674
2010-07-12 16:00:00.288,3.24,3.3,3.12,3.24,89979
2010-07-13 16:00:00.288,3.38,3.47,3.32,3.47,43480
2010-07-14 16:00:00.288,3.41,3.46,3.3,3.39,15390
2010-07-15 16:00:00.288,3.36,3.4,3.22,3.33,51478
