Date,Open,High,Low,Close,Volume
2020-06-16 16:00:00.288,43.99,46.27,42.0,44.5,27619334
2020-06-17 16:00:00.288,45.9,51.95,45.0,48.61,9318701
2020-06-18 16:00:00.288,56.39,56.5,49.49,50.9,11027946
2020-06-19 16:00:00.288,52.94,52.96,46.56,49.0,5586487
2020-06-22 16:00:00.288,49.83,51.49,49.25,51.29,2315137
2020-06-23 16:00:00.288,53.0,54.44,50.87,50.95,2297758
2020-06-24 16:00:00.288,51.35,51.49,47.69,50.25,4700267
2020-06-25 16:00:00.288,49.19,52.5,48.83,52.11,1993094
2020-06-26 16:00:00.288,52.0,52.24,48.7,49.59,1452097
2020-06-29 16:00:00.288,49.88,50.05,48.01,48.73,1607524
2020-06-30 16:00:00.288,48.2,49.36,48.18,48.55,1227368
2020-07-01 16:00:00.288,48.54,48.68,46.15,46.47,2094368
2020-07-02 16:00:00.288,46.94,47.55,45.6,45.73,1231445
2020-07-06 16:00:00.288,46.66,46.95,45.58,46.11,1424763
2020-07-07 16:00:00.288,45.57,47.38,45.52,47.05,1177141
2020-07-08 16:00:00.288,47.0,48.88,47.0,48.02,1045306
2020-07-09 16:00:00.288,48.02,48.5,47.6,48.36,828365
2020-07-10 16:00:00.288,48.59,48.62,47.47,47.64,692826
2020-07-13 16:00:00.288,47.2,47.6,43.76,44.06,2099844
2020-07-14 16:00:00.288,44.0,44.99,41.53,43.52,2658973
2020-07-15 16:00:00.288,43.82,44.52,41.61,43.0,1316334
2020-07-16 16:00:00.288,43.34,43.88,41.95,42.2,1096782
2020-07-17 16:00:00.288,42.8,44.42,41.21,44.19,1763793
2020-07-20 16:00:00.288,44.42,46.29,44.03,45.87,1160274
2020-07-21 16:00:00.288,46.61,46.63,42.6,43.07,1547953
2020-07-22 16:00:00.288,43.28,43.76,42.0,43.07,594475
2020-07-23 16:00:00.288,42.61,44.26,42.6,42.89,1042811
2020-07-24 16:00:00.288,42.32,42.4,39.9,41.91,1749942
2020-07-27 16:00:00.288,41.43,43.28,40.65,43.22,515869
2020-07-28 16:00:00.288,42.33,42.8,41.83,41.93,307752
2020-07-29 16:00:00.288,42.11,43.14,42.1,43.05,646769
2020-07-30 16:00:00.288,42.26,43.07,41.91,42.78,753363
2020-07-31 16:00:00.288,42.86,43.49,42.15,43.05,865979
2020-08-03 16:00:00.288,42.94,44.45,42.51,44.12,606606
2020-08-04 16:00:00.288,43.97,45.33,42.42,43.2,1649472
2020-08-05 16:00:00.288,43.31,43.93,41.71,41.93,794010
2020-08-06 16:00:00.288,43.0,44.0,42.77,43.9,837712
2020-08-07 16:00:00.288,43.9,45.25,43.13,43.76,1523049
2020-08-10 16:00:00.288,43.86,45.94,43.82,45.76,843529
2020-08-11 16:00:00.288,45.98,46.65,44.65,45.77,1072036
2020-08-12 16:00:00.288,46.23,47.15,44.1,44.99,1715031
2020-08-13 16:00:00.288,44.99,46.4,44.91,45.48,819552
2020-08-14 16:00:00.288,45.11,45.97,45.0,45.41,599321
2020-08-17 16:00:00.288,45.61,46.06,45.44,45.95,361544
2020-08-18 16:00:00.288,46.3,46.3,43.79,44.62,732191
2020-08-19 16:00:00.288,44.64,45.34,43.77,43.9,618891
2020-08-20 16:00:00.288,44.0,44.38,43.15,43.26,579716
2020-08-21 16:00:00.288,43.0,43.49,41.51,41.97,918783
2020-08-24 16:00:00.288,42.47,42.92,41.8,42.73,771864
2020-08-25 16:00:00.288,42.6,42.73,41.18,41.78,842866
2020-08-26 16:00:00.288,41.75,42.3,41.55,41.94,602638
2020-08-27 16:00:00.288,42.12,42.16,40.99,41.0,623374
2020-08-28 16:00:00.288,41.12,42.45,41.1,42.07,867026
2020-08-31 16:00:00.288,42.25,42.98,41.2,41.38,947089
2020-09-01 16:00:00.288,41.7,42.05,41.0,41.6,793584
2020-09-02 16:00:00.288,41.75,41.95,41.24,41.75,470409
2020-09-03 16:00:00.288,41.8,41.97,40.4,40.74,822255
