Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,5.44,5.52,5.38,5.52,84230
2010-01-05 16:00:00.288,5.48,5.56,5.45,5.56,250400
2010-01-06 16:00:00.288,5.58,5.59,5.31,5.32,93949
2010-01-07 16:00:00.288,5.35,5.36,5.16,5.3,48310
2010-01-08 16:00:00.288,5.28,5.31,5.16,5.24,22614
2010-01-11 16:00:00.288,5.3,5.44,5.24,5.43,57508
2010-01-12 16:00:00.288,5.4,5.45,5.18,5.21,37825
2010-01-13 16:00:00.288,5.24,5.31,5.16,5.23,47369
2010-01-14 16:00:00.288,5.23,5.33,5.14,5.3,29131
2010-01-15 16:00:00.288,5.39,5.39,4.8,5.09,201234
2010-01-19 16:00:00.288,5.11,5.59,5.1,5.55,103425
2010-01-20 16:00:00.288,5.32,5.51,5.08,5.26,59898
2010-01-21 16:00:00.288,5.3,5.38,5.07,5.12,114022
2010-01-22 16:00:00.288,5.1,5.24,5.06,5.12,105555
2010-01-25 16:00:00.288,5.07,5.2,5.04,5.14,151028
2010-01-26 16:00:00.288,5.12,5.16,4.94,5.04,109682
2010-01-27 16:00:00.288,4.99,5.31,4.99,5.28,50019
2010-01-28 16:00:00.288,5.23,5.32,4.98,5.11,75575
2010-01-29 16:00:00.288,5.08,5.21,5.01,5.05,102670
2010-02-01 16:00:00.288,5.12,5.2,5.07,5.1,40576
2010-02-02 16:00:00.288,5.1,5.27,5.1,5.21,156686
2010-02-03 16:00:00.288,5.2,5.25,5.08,5.19,59320
2010-02-04 16:00:00.288,5.16,5.23,5.12,5.19,99357
2010-02-05 16:00:00.288,5.19,5.24,5.06,5.21,51052
2010-02-08 16:00:00.288,4.95,5.19,4.89,4.95,67346
2010-02-09 16:00:00.288,5.02,5.04,4.8,4.96,75886
2010-02-10 16:00:00.288,4.88,4.93,4.78,4.92,107059
2010-02-11 16:00:00.288,4.88,5.05,4.82,5.04,55590
2010-02-12 16:00:00.288,4.93,4.98,4.9,4.97,94298
2010-02-16 16:00:00.288,4.98,5.01,4.8,4.96,71056
2010-02-17 16:00:00.288,4.96,5.21,4.96,5.21,62421
2010-02-18 16:00:00.288,5.19,5.44,5.16,5.42,70090
2010-02-19 16:00:00.288,5.38,5.58,5.38,5.46,118230
2010-02-22 16:00:00.288,5.44,5.57,5.44,5.51,56988
2010-02-23 16:00:00.288,5.57,5.58,5.24,5.25,95386
2010-02-24 16:00:00.288,5.2,5.32,4.74,5.01,182517
2010-02-25 16:00:00.288,4.99,5.05,4.9,4.96,66251
2010-02-26 16:00:00.288,4.99,5.0,4.83,4.86,126384
2010-03-01 16:00:00.288,4.94,4.98,4.83,4.87,181799
2010-03-02 16:00:00.288,4.96,4.99,4.82,4.88,200370
2010-03-03 16:00:00.288,4.98,5.03,4.86,4.91,81724
2010-03-04 16:00:00.288,4.94,4.99,4.88,4.93,76254
2010-03-05 16:00:00.288,4.78,5.2,4.78,5.17,140726
2010-03-08 16:00:00.288,5.21,5.29,5.16,5.25,110103
2010-03-09 16:00:00.288,5.25,5.52,5.2,5.44,106248
2010-03-10 16:00:00.288,5.45,5.62,5.17,5.55,116088
2010-03-11 16:00:00.288,5.51,5.59,5.47,5.55,62494
2010-03-12 16:00:00.288,5.49,5.6,5.48,5.53,99342
2010-03-15 16:00:00.288,5.5,5.59,5.43,5.56,64001
2010-03-16 16:00:00.288,5.54,5.68,5.53,5.63,85208
2010-03-17 16:00:00.288,5.66,5.77,5.62,5.69,123710
2010-03-18 16:00:00.288,5.69,5.73,5.6,5.68,29839
2010-03-19 16:00:00.288,5.7,5.72,5.55,5.62,162366
2010-03-22 16:00:00.288,5.59,5.7,5.53,5.67,65611
2010-03-23 16:00:00.288,5.7,5.76,5.68,5.73,62205
2010-03-24 16:00:00.288,5.73,5.73,5.59,5.63,61902
2010-03-25 16:00:00.288,5.62,5.8,5.57,5.63,72700
2010-03-26 16:00:00.288,5.76,5.8,5.67,5.77,64290
2010-03-29 16:00:00.288,5.77,5.82,5.63,5.69,130624
2010-03-30 16:00:00.288,5.78,5.93,5.73,5.85,86465
2010-03-31 16:00:00.288,5.83,5.92,5.8,5.87,126021
2010-04-01 16:00:00.288,5.93,6.11,5.87,6.09,76727
2010-04-05 16:00:00.288,6.11,6.32,6.09,6.32,102830
2010-04-06 16:00:00.288,6.29,6.53,6.19,6.5,72354
2010-04-07 16:00:00.288,6.47,6.86,6.47,6.83,196235
2010-04-08 16:00:00.288,6.8,6.92,6.76,6.88,105997
2010-04-09 16:00:00.288,6.85,6.96,6.77,6.9,58319
2010-04-12 16:00:00.288,6.88,7.04,6.87,7.04,81517
2010-04-13 16:00:00.288,6.97,7.03,6.92,6.94,105303
2010-04-14 16:00:00.288,6.97,7.05,6.94,7.05,54158
2010-04-15 16:00:00.288,7.06,7.39,7.06,7.25,351332
2010-04-16 16:00:00.288,7.16,7.18,6.82,6.89,229453
2010-04-19 16:00:00.288,6.86,6.94,6.72,6.9,113060
2010-04-20 16:00:00.288,6.88,6.93,6.8,6.84,150529
2010-04-21 16:00:00.288,6.81,7.16,6.81,7.08,207954
2010-04-22 16:00:00.288,7.11,7.24,7.04,7.17,241026
2010-04-23 16:00:00.288,7.17,7.25,7.09,7.24,244242
2010-04-26 16:00:00.288,7.13,7.33,7.12,7.31,121889
2010-04-27 16:00:00.288,7.3,7.53,7.14,7.15,147527
2010-04-28 16:00:00.288,7.22,7.3,7.16,7.2,81698
2010-04-29 16:00:00.288,7.24,7.52,7.19,7.49,109276
2010-04-30 16:00:00.288,7.51,7.53,7.2,7.2,118177
2010-05-03 16:00:00.288,7.22,7.45,7.2,7.4,51374
