Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,16.87,16.91,16.54,16.8,229556
2010-01-05 16:00:00.288,16.89,16.92,16.57,16.66,313023
2010-01-06 16:00:00.288,16.7,16.7,16.33,16.38,283835
2010-01-07 16:00:00.288,16.0,16.29,15.99,16.22,231062
2010-01-08 16:00:00.288,16.18,16.32,16.02,16.12,134623
2010-01-11 16:00:00.288,16.19,16.25,15.99,16.09,101198
2010-01-12 16:00:00.288,16.06,16.12,15.84,15.87,166806
2010-01-13 16:00:00.288,15.98,16.05,15.84,15.96,135465
2010-01-14 16:00:00.288,15.84,16.0,15.67,15.97,123228
2010-01-15 16:00:00.288,16.02,16.02,15.62,15.82,270193
2010-01-19 16:00:00.288,15.77,16.1,15.74,16.1,176395
2010-01-20 16:00:00.288,15.86,16.0,15.7,15.87,181070
2010-01-21 16:00:00.288,15.94,16.03,15.5,15.62,166780
2010-01-22 16:00:00.288,15.77,15.79,15.31,15.36,180483
2010-01-25 16:00:00.288,15.56,15.56,15.26,15.53,79177
2010-01-26 16:00:00.288,15.55,15.58,15.3,15.32,87415
2010-01-27 16:00:00.288,15.26,15.59,15.22,15.54,102543
2010-01-28 16:00:00.288,15.51,15.65,15.18,15.27,154252
2010-01-29 16:00:00.288,15.33,15.53,15.3,15.47,175622
2010-02-01 16:00:00.288,15.37,15.53,15.36,15.43,141043
2010-02-02 16:00:00.288,15.39,15.43,15.21,15.28,224012
2010-02-03 16:00:00.288,15.25,15.25,15.01,15.15,157371
2010-02-04 16:00:00.288,15.28,15.44,15.06,15.16,268738
2010-02-05 16:00:00.288,15.54,15.56,15.24,15.53,192250
2010-02-08 16:00:00.288,15.4,15.47,15.2,15.24,169165
2010-02-09 16:00:00.288,15.51,15.53,15.18,15.43,203538
2010-02-10 16:00:00.288,15.44,15.61,15.19,15.56,136942
2010-02-11 16:00:00.288,15.69,15.75,15.47,15.74,117014
2010-02-12 16:00:00.288,15.68,16.14,15.46,16.14,291131
2010-02-16 16:00:00.288,16.25,16.41,16.11,16.35,235214
2010-02-17 16:00:00.288,16.45,16.57,16.25,16.32,153005
2010-02-18 16:00:00.288,16.31,16.45,16.28,16.36,232222
2010-02-19 16:00:00.288,16.23,16.45,16.22,16.29,413562
2010-02-22 16:00:00.288,16.28,16.38,16.22,16.29,198606
2010-02-23 16:00:00.288,16.42,16.49,16.25,16.3,176928
2010-02-24 16:00:00.288,16.39,16.56,16.34,16.47,113260
2010-02-25 16:00:00.288,16.31,16.44,16.17,16.34,140807
2010-02-26 16:00:00.288,16.04,16.25,15.97,16.21,150399
2010-03-01 16:00:00.288,16.18,16.31,16.18,16.29,289829
2010-03-02 16:00:00.288,16.26,16.37,16.23,16.3,248800
2010-03-03 16:00:00.288,16.28,16.36,16.16,16.2,277130
2010-03-04 16:00:00.288,16.25,16.25,16.07,16.19,253504
2010-03-05 16:00:00.288,16.2,16.24,16.1,16.18,370952
2010-03-08 16:00:00.288,16.16,16.3,16.15,16.29,208603
2010-03-09 16:00:00.288,16.25,16.4,16.24,16.39,182330
2010-03-10 16:00:00.288,16.34,16.59,16.32,16.45,596255
2010-03-11 16:00:00.288,16.36,16.55,16.32,16.53,76458
2010-03-12 16:00:00.288,16.55,16.66,16.41,16.49,87072
2010-03-15 16:00:00.288,16.41,16.57,16.38,16.54,62747
2010-03-16 16:00:00.288,16.51,16.6,16.37,16.54,64113
2010-03-17 16:00:00.288,16.57,16.81,16.53,16.8,87978
2010-03-18 16:00:00.288,16.71,16.91,16.67,16.8,79224
2010-03-19 16:00:00.288,16.69,16.95,16.66,16.76,400638
2010-03-22 16:00:00.288,16.59,16.9,16.57,16.86,149391
2010-03-23 16:00:00.288,16.77,16.97,16.75,16.96,85865
2010-03-24 16:00:00.288,16.94,17.0,16.83,16.83,64124
2010-03-25 16:00:00.288,16.92,17.04,16.62,16.64,163556
2010-03-26 16:00:00.288,16.77,17.04,16.73,16.8,77183
2010-03-29 16:00:00.288,16.9,16.95,16.72,16.84,65173
2010-03-30 16:00:00.288,16.91,16.94,16.82,16.85,90203
2010-03-31 16:00:00.288,16.8,17.0,16.6,16.6,209555
2010-04-01 16:00:00.288,16.48,16.79,16.48,16.78,118197
2010-04-05 16:00:00.288,16.76,16.93,16.73,16.92,148614
2010-04-06 16:00:00.288,16.85,17.08,16.78,17.08,100433
2010-04-07 16:00:00.288,16.77,17.23,16.77,17.21,207898
2010-04-08 16:00:00.288,17.23,17.23,17.02,17.11,82028
2010-04-09 16:00:00.288,17.16,17.21,16.86,16.89,99801
2010-04-12 16:00:00.288,16.89,16.92,16.59,16.72,114343
2010-04-13 16:00:00.288,16.61,16.72,16.5,16.71,64205
2010-04-14 16:00:00.288,16.75,17.21,16.73,17.2,111788
2010-04-15 16:00:00.288,17.15,17.15,16.89,17.03,221046
2010-04-16 16:00:00.288,16.94,17.04,16.78,16.85,196773
2010-04-19 16:00:00.288,16.76,16.95,16.69,16.95,160753
2010-04-20 16:00:00.288,16.96,17.06,16.83,17.05,171860
2010-04-21 16:00:00.288,16.99,17.08,16.92,17.07,127248
2010-04-22 16:00:00.288,16.95,17.17,16.9,17.17,175292
2010-04-23 16:00:00.288,17.13,17.28,17.07,17.27,177937
2010-04-26 16:00:00.288,17.16,17.28,16.99,17.0,89098
2010-04-27 16:00:00.288,16.97,17.13,16.76,16.79,196446
2010-04-28 16:00:00.288,17.01,17.14,16.89,16.93,90759
2010-04-29 16:00:00.288,17.01,17.23,16.76,17.18,201299
2010-04-30 16:00:00.288,16.88,17.19,16.71,16.71,319730
2010-05-03 16:00:00.288,16.75,16.93,16.58,16.93,147165
2010-05-04 16:00:00.288,16.51,16.83,16.51,16.59,299240
2010-05-05 16:00:00.288,16.51,16.75,16.3,16.32,133360
2010-05-06 16:00:00.288,16.31,16.36,14.62,15.94,310832
2010-05-07 16:00:00.288,15.55,16.16,14.43,15.31,311884
2010-05-10 16:00:00.288,15.92,16.38,15.47,16.11,408336
2010-05-11 16:00:00.288,15.84,16.29,15.84,16.15,163563
2010-05-12 16:00:00.288,16.07,16.44,16.01,16.43,124543
2010-05-13 16:00:00.288,16.31,16.47,16.26,16.34,114617
2010-05-14 16:00:00.288,16.29,16.37,16.04,16.2,131796
2010-05-17 16:00:00.288,16.4,16.53,16.0,16.49,199503
2010-05-18 16:00:00.288,16.63,16.73,16.06,16.09,130527
2010-05-19 16:00:00.288,16.04,16.33,16.0,16.18,147558
