Date,Open,High,Low,Close,Volume
2010-04-22 16:00:00.288,7.0,7.25,6.61,6.8,1765767
2010-04-23 16:00:00.288,6.88,7.06,6.76,6.96,115203
2010-04-26 16:00:00.288,6.92,6.99,6.71,6.93,46885
2010-04-27 16:00:00.288,6.9,6.93,6.63,6.73,66921
2010-04-28 16:00:00.288,6.78,6.84,6.63,6.64,73682
2010-04-29 16:00:00.288,6.75,6.8,6.66,6.78,49091
2010-04-30 16:00:00.288,6.75,7.01,6.71,6.75,47290
2010-05-03 16:00:00.288,6.65,6.75,6.65,6.67,61070
2010-05-04 16:00:00.288,6.6,6.78,6.53,6.68,59400
2010-05-05 16:00:00.288,6.65,6.78,6.56,6.74,38094
2010-05-06 16:00:00.288,6.88,6.88,6.03,6.4,119713
2010-05-07 16:00:00.288,6.26,6.5,6.24,6.43,10246
2010-05-10 16:00:00.288,6.14,6.6,6.14,6.48,78116
2010-05-11 16:00:00.288,6.5,6.55,6.4,6.46,66960
2010-05-12 16:00:00.288,6.41,6.53,6.41,6.53,2900
2010-05-13 16:00:00.288,6.67,6.87,6.65,6.75,8180
2010-05-14 16:00:00.288,6.54,6.8,6.31,6.5,42981
2010-05-17 16:00:00.288,6.6,6.68,6.41,6.47,41352
2010-05-18 16:00:00.288,6.62,6.62,6.45,6.48,81312
2010-05-19 16:00:00.288,6.45,6.58,6.3,6.54,97495
2010-05-20 16:00:00.288,6.5,6.5,6.25,6.25,11509
2010-05-21 16:00:00.288,6.41,6.41,6.09,6.25,23583
2010-05-24 16:00:00.288,6.49,6.49,6.25,6.29,15600
2010-05-25 16:00:00.288,6.26,6.37,6.23,6.32,8178
2010-05-26 16:00:00.288,6.28,6.28,6.01,6.01,40096
2010-05-27 16:00:00.288,6.12,6.23,6.03,6.08,4200
2010-05-28 16:00:00.288,6.18,6.19,5.98,6.04,7398
2010-06-01 16:00:00.288,6.01,6.25,5.78,5.78,14905
2010-06-02 16:00:00.288,5.85,5.85,5.61,5.63,6365
2010-06-03 16:00:00.288,5.61,5.85,5.47,5.79,93316
2010-06-04 16:00:00.288,5.81,5.96,5.55,5.79,15804
2010-06-07 16:00:00.288,5.83,5.83,5.68,5.75,5320
2010-06-08 16:00:00.288,5.79,5.82,5.51,5.75,20206
2010-06-09 16:00:00.288,5.75,5.76,5.58,5.6,11600
2010-06-10 16:00:00.288,5.63,5.63,5.47,5.59,15246
2010-06-11 16:00:00.288,5.5,5.63,5.45,5.56,27346
2010-06-14 16:00:00.288,5.75,5.81,5.57,5.59,65271
2010-06-15 16:00:00.288,5.75,6.15,5.67,6.14,9215
2010-06-16 16:00:00.288,5.99,6.24,5.99,6.15,18609
2010-06-17 16:00:00.288,6.05,6.24,5.99,6.24,17118
2010-06-18 16:00:00.288,6.25,6.44,6.09,6.09,133963
2010-06-21 16:00:00.288,6.35,6.35,6.08,6.25,36071
2010-06-22 16:00:00.288,6.08,6.24,6.08,6.2,6000
2010-06-23 16:00:00.288,6.14,6.25,6.03,6.18,12105
2010-06-24 16:00:00.288,6.14,6.33,6.12,6.19,16791
2010-06-25 16:00:00.288,6.22,6.23,5.66,5.93,490816
2010-06-28 16:00:00.288,5.93,6.25,5.63,6.03,25152
2010-06-29 16:00:00.288,5.94,6.38,5.7,5.79,23163
2010-06-30 16:00:00.288,5.81,5.99,5.65,5.81,12772
2010-07-01 16:00:00.288,5.79,6.15,5.79,5.88,41986
2010-07-02 16:00:00.288,5.93,6.16,5.72,5.84,12134
2010-07-06 16:00:00.288,5.93,6.0,5.65,5.68,13750
2010-07-07 16:00:00.288,5.72,6.05,5.7,5.85,13338
2010-07-08 16:00:00.288,5.88,6.1,5.65,5.78,13038
2010-07-09 16:00:00.288,5.78,5.9,5.65,5.8,37720
2010-07-12 16:00:00.288,5.78,5.78,5.66,5.74,4106
2010-07-13 16:00:00.288,5.8,5.91,5.72,5.77,15415
2010-07-14 16:00:00.288,5.83,6.14,5.64,5.89,6937
2010-07-15 16:00:00.288,5.92,5.94,5.52,5.65,9803
2010-07-16 16:00:00.288,5.62,5.81,5.15,5.17,24721
2010-07-19 16:00:00.288,5.21,5.22,5.0,5.07,19931
