Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,18.47,18.97,18.4,18.89,11116828
2010-01-05 16:00:00.288,18.86,19.04,18.43,18.52,14537167
2010-01-06 16:00:00.288,18.52,18.64,18.22,18.39,7171124
2010-01-07 16:00:00.288,18.39,18.41,17.94,18.04,8558604
2010-01-08 16:00:00.288,17.56,18.08,17.48,17.89,11331142
2010-01-11 16:00:00.288,18.28,18.65,18.22,18.35,11498372
2010-01-12 16:00:00.288,18.26,18.44,17.57,17.72,11523419
2010-01-13 16:00:00.288,17.9,18.3,17.59,18.19,8800236
2010-01-14 16:00:00.288,18.14,18.49,18.01,18.34,6398631
2010-01-15 16:00:00.288,18.55,18.6,17.53,17.77,13716617
2010-01-19 16:00:00.288,17.92,18.27,17.77,18.16,7806175
2010-01-20 16:00:00.288,18.16,18.18,17.46,17.76,16283894
2010-01-21 16:00:00.288,19.81,20.3,19.34,19.49,35144012
2010-01-22 16:00:00.288,19.41,19.62,18.27,18.4,20111572
2010-01-25 16:00:00.288,18.85,19.06,18.59,18.92,15582687
2010-01-26 16:00:00.288,18.78,19.62,18.76,19.31,16018192
2010-01-27 16:00:00.288,19.21,19.43,18.68,19.08,15417837
2010-01-28 16:00:00.288,19.15,19.28,18.14,18.36,14128423
2010-01-29 16:00:00.288,18.42,18.51,16.47,16.71,28654900
2010-02-01 16:00:00.288,17.22,17.98,17.06,17.9,18205772
2010-02-02 16:00:00.288,17.87,18.6,17.78,18.58,17574168
2010-02-03 16:00:00.288,18.37,18.87,18.26,18.84,16905142
2010-02-04 16:00:00.288,18.3,18.48,17.78,18.02,21505740
2010-02-05 16:00:00.288,18.14,18.19,17.47,18.02,23836760
2010-02-08 16:00:00.288,18.08,18.74,17.84,18.18,14937812
2010-02-09 16:00:00.288,18.56,18.74,18.22,18.33,12414914
2010-02-10 16:00:00.288,18.37,18.66,18.17,18.48,9770022
2010-02-11 16:00:00.288,18.5,18.83,18.19,18.76,8142325
2010-02-12 16:00:00.288,18.51,18.87,18.15,18.7,11482403
2010-02-16 16:00:00.288,18.87,19.84,18.8,19.73,19037580
2010-02-17 16:00:00.288,19.93,20.05,19.55,20.0,13328212
2010-02-18 16:00:00.288,19.89,20.81,19.72,20.73,17444380
2010-02-19 16:00:00.288,20.55,20.94,20.4,20.51,15079711
2010-02-22 16:00:00.288,20.58,20.87,20.38,20.73,10665459
2010-02-23 16:00:00.288,20.63,20.72,20.03,20.33,11630760
2010-02-24 16:00:00.288,20.39,20.73,19.4,19.5,27780880
2010-02-25 16:00:00.288,19.21,19.54,18.61,19.49,28120482
2010-02-26 16:00:00.288,19.66,20.0,19.4,19.91,9092026
