Date,Open,High,Low,Close,Volume
2021-03-09 16:00:00.288,10.39,10.5,10.25,10.25,6667035
2021-03-10 16:00:00.288,10.33,10.33,10.17,10.28,3536749
2021-03-11 16:00:00.288,10.3,10.44,10.28,10.37,471911
2021-03-12 16:00:00.288,10.47,10.47,10.34,10.44,166557
2021-03-15 16:00:00.288,10.4,10.45,10.31,10.41,178830
2021-03-16 16:00:00.288,10.46,10.46,10.36,10.44,289437
2021-03-17 16:00:00.288,10.36,10.44,10.33,10.36,82891
2021-03-18 16:00:00.288,10.34,10.35,10.29,10.32,74511
2021-03-19 16:00:00.288,10.3,10.32,10.2,10.28,229514
2021-03-22 16:00:00.288,10.3,10.35,10.25,10.27,206705
2021-03-23 16:00:00.288,10.25,10.3,10.15,10.17,266379
2021-03-24 16:00:00.288,10.13,10.13,9.95,10.05,689344
2021-03-25 16:00:00.288,9.99,10.16,9.94,10.1,452185
2021-03-26 16:00:00.288,10.09,10.16,9.82,9.97,570981
2021-03-29 16:00:00.288,9.95,10.35,9.95,10.0,75514
2021-03-30 16:00:00.288,10.1,10.1,10.0,10.09,65098
2021-03-31 16:00:00.288,10.19,10.19,10.05,10.1,12281
2021-04-01 16:00:00.288,10.1,10.1,10.05,10.1,75589
2021-04-05 16:00:00.288,10.15,10.16,10.06,10.09,56921
2021-04-06 16:00:00.288,10.1,10.1,10.04,10.07,34709
2021-04-07 16:00:00.288,10.1,10.2,10.09,10.19,224797
2021-04-08 16:00:00.288,10.24,10.27,10.17,10.27,74793
2021-04-09 16:00:00.288,10.25,10.26,10.23,10.25,14364
2021-04-12 16:00:00.288,10.21,10.25,10.1,10.15,68726
2021-04-13 16:00:00.288,10.15,10.18,10.1,10.15,123900
2021-04-14 16:00:00.288,10.11,10.27,10.11,10.21,36520
2021-04-15 16:00:00.288,10.23,10.36,10.23,10.35,94547
2021-04-16 16:00:00.288,10.33,10.35,10.19,10.2,151383
2021-04-19 16:00:00.288,10.2,10.27,10.15,10.23,27992
2021-04-20 16:00:00.288,10.2,10.23,10.15,10.2,20154
2021-04-21 16:00:00.288,10.2,10.29,10.18,10.29,19529
2021-04-22 16:00:00.288,10.2,10.2,10.18,10.18,8725
2021-04-23 16:00:00.288,10.18,10.7,10.18,10.54,412945
2021-04-26 16:00:00.288,10.5,10.5,10.21,10.48,176157
2021-04-27 16:00:00.288,10.42,10.44,10.27,10.33,23822
2021-04-28 16:00:00.288,10.25,10.28,10.24,10.25,20128
2021-04-29 16:00:00.288,10.34,10.34,10.28,10.3,23422
2021-04-30 16:00:00.288,10.35,10.49,10.3,10.49,19621
2021-05-03 16:00:00.288,10.5,10.58,10.16,10.17,135414
2021-05-04 16:00:00.288,10.17,10.2,10.01,10.13,1316241
2021-05-05 16:00:00.288,10.12,10.2,10.1,10.14,65280
2021-05-06 16:00:00.288,10.14,10.24,10.12,10.24,65247
2021-05-07 16:00:00.288,10.2,10.2,10.15,10.2,14032
2021-05-10 16:00:00.288,10.16,10.2,10.11,10.2,65872
2021-05-11 16:00:00.288,10.06,10.1,10.02,10.03,45566
2021-05-12 16:00:00.288,10.05,10.11,9.96,9.96,587575
2021-05-13 16:00:00.288,9.95,10.07,9.95,9.97,130128
2021-05-14 16:00:00.288,10.01,10.01,10.0,10.0,24000
2021-05-17 16:00:00.288,10.02,10.02,9.98,9.99,10745
2021-05-18 16:00:00.288,9.98,9.98,9.93,9.94,612536
2021-05-19 16:00:00.288,9.96,10.0,9.93,9.94,332740
2021-05-20 16:00:00.288,9.94,10.03,9.94,9.96,124871
2021-05-21 16:00:00.288,9.97,9.99,9.97,9.97,4184
2021-05-24 16:00:00.288,10.02,10.02,9.94,9.96,6745
2021-05-25 16:00:00.288,9.94,10.02,9.94,9.96,26823
2021-05-26 16:00:00.288,10.05,10.05,9.94,9.95,12822
2021-05-27 16:00:00.288,9.95,10.0,9.94,9.96,36584
2021-05-28 16:00:00.288,9.96,10.0,9.93,9.95,3639
2021-06-01 16:00:00.288,9.94,9.95,9.88,9.89,35735
2021-06-02 16:00:00.288,9.89,9.99,9.88,9.95,53795
2021-06-03 16:00:00.288,9.91,10.02,9.87,10.0,66621
2021-06-04 16:00:00.288,9.91,10.0,9.91,9.98,24405
2021-06-07 16:00:00.288,9.88,9.98,9.88,9.97,5573
2021-06-08 16:00:00.288,9.95,10.0,9.95,9.98,11956
2021-06-09 16:00:00.288,9.95,10.0,9.94,9.98,74826
2021-06-10 16:00:00.288,9.99,9.99,9.92,9.95,16588
2021-06-11 16:00:00.288,9.92,9.98,9.91,9.96,19926
2021-06-14 16:00:00.288,9.94,9.98,9.9,9.96,67736
2021-06-15 16:00:00.288,9.92,10.0,9.92,9.95,173055
2021-06-16 16:00:00.288,9.98,10.0,9.96,9.98,27925
2021-06-17 16:00:00.288,10.04,10.04,9.93,9.95,22362
2021-06-18 16:00:00.288,9.95,9.97,9.93,9.95,24406
2021-06-21 16:00:00.288,9.96,9.97,9.93,9.95,78944
2021-06-22 16:00:00.288,9.94,9.97,9.9,9.95,53894
2021-06-23 16:00:00.288,9.95,9.97,9.93,9.95,13408
2021-06-24 16:00:00.288,9.93,9.96,9.9,9.95,19306
2021-06-25 16:00:00.288,9.95,10.0,9.91,9.91,64105
2021-06-28 16:00:00.288,9.91,9.94,9.89,9.92,115131
2021-06-29 16:00:00.288,9.9,9.92,9.88,9.92,37316
2021-06-30 16:00:00.288,9.86,9.94,9.86,9.94,48763
2021-07-01 16:00:00.288,9.9,9.93,9.9,9.92,3195
2021-07-02 16:00:00.288,9.87,9.92,9.86,9.91,5960
2021-07-06 16:00:00.288,9.98,9.98,9.9,9.93,12036
2021-07-07 16:00:00.288,9.9,9.93,9.9,9.9,24181
2021-07-08 16:00:00.288,9.9,9.95,9.86,9.95,53124
2021-07-09 16:00:00.288,9.94,9.95,9.92,9.95,19878
2021-07-12 16:00:00.288,9.88,9.95,9.86,9.95,2134
2021-07-13 16:00:00.288,9.93,9.95,9.91,9.95,6185
2021-07-14 16:00:00.288,9.93,9.94,9.91,9.93,2466
2021-07-15 16:00:00.288,9.9,9.93,9.85,9.92,14314
2021-07-16 16:00:00.288,9.92,9.95,9.91,9.92,105817
2021-07-19 16:00:00.288,9.88,9.95,9.85,9.95,25043
2021-07-20 16:00:00.288,9.91,9.95,9.9,9.95,1966185
2021-07-21 16:00:00.288,9.95,9.95,9.9,9.92,19549
2021-07-22 16:00:00.288,9.9,9.92,9.9,9.92,23398
2021-07-23 16:00:00.288,9.87,9.92,9.87,9.9,9860
2021-07-26 16:00:00.288,9.89,9.89,9.86,9.86,6617
2021-07-27 16:00:00.288,9.86,9.89,9.85,9.89,23634
2021-07-28 16:00:00.288,9.88,9.89,9.84,9.84,231238
2021-07-29 16:00:00.288,9.84,9.85,9.82,9.85,19860
2021-07-30 16:00:00.288,9.82,9.88,9.76,9.8,141826
2021-08-02 16:00:00.288,9.8,9.86,9.74,9.79,1062674
2021-08-03 16:00:00.288,9.79,9.83,9.78,9.8,10279
2021-08-04 16:00:00.288,9.79,9.84,9.76,9.82,53938
2021-08-05 16:00:00.288,9.77,9.83,9.77,9.83,1148
2021-08-06 16:00:00.288,9.78,9.83,9.78,9.83,2805
2021-08-09 16:00:00.288,9.8,9.84,9.76,9.8,477922
2021-08-10 16:00:00.288,9.8,9.8,9.75,9.79,411238
2021-08-11 16:00:00.288,9.75,9.8,9.75,9.75,19133
2021-08-12 16:00:00.288,9.75,9.77,9.7,9.77,9003
2021-08-13 16:00:00.288,9.71,9.8,9.71,9.76,136556
2021-08-16 16:00:00.288,9.74,9.8,9.73,9.8,37909
2021-08-17 16:00:00.288,9.75,9.8,9.75,9.78,1920
2021-08-18 16:00:00.288,9.79,9.79,9.71,9.78,5047
2021-08-19 16:00:00.288,9.7,9.78,9.7,9.72,25294
2021-08-20 16:00:00.288,9.71,9.78,9.68,9.69,41788
2021-08-23 16:00:00.288,9.7,9.78,9.68,9.7,269314
2021-08-24 16:00:00.288,9.67,9.73,9.67,9.7,159369
2021-08-25 16:00:00.288,9.67,9.71,9.65,9.7,311443
2021-08-26 16:00:00.288,9.68,9.69,9.68,9.69,25831
2021-08-27 16:00:00.288,9.67,9.69,9.67,9.69,1395
2021-08-30 16:00:00.288,9.66,9.69,9.66,9.69,7364
2021-08-31 16:00:00.288,9.7,9.78,9.7,9.74,2983
2021-09-01 16:00:00.288,9.73,9.73,9.7,9.73,8509
2021-09-02 16:00:00.288,9.72,9.74,9.72,9.73,4232
2021-09-03 16:00:00.288,9.74,9.74,9.74,9.74,105
2021-09-07 16:00:00.288,9.72,9.74,9.72,9.74,445
2021-09-08 16:00:00.288,9.74,9.74,9.72,9.73,3616
2021-09-09 16:00:00.288,9.73,9.84,9.73,9.83,19678
2021-09-10 16:00:00.288,9.81,9.86,9.77,9.84,27588
2021-09-13 16:00:00.288,9.8,9.85,9.8,9.8,3933
2021-09-14 16:00:00.288,9.77,9.85,9.77,9.85,1946
2021-09-15 16:00:00.288,9.8,9.8,9.78,9.8,6595
2021-09-16 16:00:00.288,9.74,9.8,9.73,9.77,229143
2021-09-17 16:00:00.288,9.81,9.81,9.77,9.8,1691
2021-09-20 16:00:00.288,9.77,9.82,9.73,9.73,5045
2021-09-21 16:00:00.288,9.72,9.8,9.72,9.8,58208
2021-09-23 16:00:00.288,9.8,9.8,9.8,9.8,776
2021-09-24 16:00:00.288,9.76,9.8,9.76,9.8,7521
2021-09-27 16:00:00.288,9.8,9.82,9.76,9.8,3490068
2021-09-28 16:00:00.288,9.8,9.81,9.75,9.8,63808
2021-09-29 16:00:00.288,9.79,9.82,9.74,9.81,314319
2021-09-30 16:00:00.288,9.79,9.83,9.78,9.83,109922
2021-10-01 16:00:00.288,9.75,9.82,9.75,9.76,10341
2021-10-04 16:00:00.288,9.82,9.82,9.79,9.82,20305
2021-10-05 16:00:00.288,9.82,9.82,9.76,9.82,1227268
2021-10-06 16:00:00.288,9.8,9.85,9.76,9.85,63525
2021-10-07 16:00:00.288,9.85,9.85,9.81,9.83,28727
2021-10-08 16:00:00.288,9.78,9.85,9.78,9.85,5217
2021-10-11 16:00:00.288,9.8,9.82,9.8,9.82,293
2021-10-13 16:00:00.288,9.8,9.82,9.8,9.81,69047
2021-10-14 16:00:00.288,9.75,9.83,9.75,9.83,76973
2021-10-15 16:00:00.288,9.89,9.89,9.8,9.86,134865
2021-10-18 16:00:00.288,9.87,10.24,9.79,9.89,559141
2021-10-19 16:00:00.288,9.91,9.95,9.85,9.95,139731
2021-10-20 16:00:00.288,9.95,9.95,9.89,9.92,121628
2021-10-21 16:00:00.288,9.94,9.94,9.89,9.9,86449
2021-10-22 16:00:00.288,9.9,9.9,9.88,9.9,368497
2021-10-25 16:00:00.288,9.87,9.91,9.85,9.9,151362
2021-10-26 16:00:00.288,9.87,9.98,9.87,9.98,369352
2021-10-27 16:00:00.288,9.98,9.99,9.92,9.94,189837
2021-10-28 16:00:00.288,9.94,9.99,9.86,9.95,26677
2021-10-29 16:00:00.288,9.96,9.99,9.88,9.99,150275
2021-11-01 16:00:00.288,9.99,10.09,9.99,10.05,1464825
2021-11-02 16:00:00.288,10.02,10.09,10.0,10.04,325535
2021-11-03 16:00:00.288,10.06,10.06,10.0,10.06,225153
2021-11-04 16:00:00.288,10.08,10.08,10.0,10.04,36689
2021-11-05 16:00:00.288,10.01,10.06,10.01,10.05,20567
2021-11-08 16:00:00.288,10.07,10.07,10.01,10.05,24853
2021-11-09 16:00:00.288,10.01,10.21,10.0,10.05,1458386
2021-11-10 16:00:00.288,10.01,10.05,10.0,10.0,224442
2021-11-11 16:00:00.288,10.01,10.03,9.99,10.02,514273
2021-11-12 16:00:00.288,10.02,10.02,9.97,9.98,18109
2021-11-15 16:00:00.288,9.99,10.1,9.93,10.07,515904
2021-11-16 16:00:00.288,10.03,10.06,10.01,10.05,5185
2021-11-17 16:00:00.288,10.01,10.07,10.0,10.0,28626
2021-11-18 16:00:00.288,10.04,10.06,9.94,10.01,22078
2021-11-19 16:00:00.288,9.96,10.0,9.95,9.95,120215
2021-11-22 16:00:00.288,9.95,10.0,9.92,9.96,30136
2021-11-23 16:00:00.288,9.98,9.98,9.94,9.98,15642
2021-11-24 16:00:00.288,9.9,9.98,9.9,9.92,9497
2021-11-26 13:00:00.288,9.85,9.89,9.81,9.87,20633
2021-11-29 16:00:00.288,9.89,9.99,9.88,9.99,37911
2021-11-30 16:00:00.288,10.0,10.02,9.93,10.0,161311
2021-12-01 16:00:00.288,9.96,10.0,9.95,10.0,18369
2021-12-02 16:00:00.288,9.94,9.99,9.85,9.99,29950
2021-12-03 16:00:00.288,9.9,10.04,9.83,10.02,97110
2021-12-06 16:00:00.288,9.99,10.05,9.94,10.05,45362
2021-12-07 16:00:00.288,10.0,10.0,9.9,9.9,5984
2021-12-08 16:00:00.288,9.84,9.9,9.84,9.87,54036
2021-12-09 16:00:00.288,9.9,9.95,9.86,9.95,12906
2021-12-10 16:00:00.288,9.91,9.92,9.89,9.92,16857
2021-12-13 16:00:00.288,9.95,10.0,9.93,9.99,1458019
2021-12-14 16:00:00.288,9.98,10.05,9.91,10.04,551029
2021-12-15 16:00:00.288,10.0,10.03,9.96,10.0,995251
2021-12-16 16:00:00.288,10.02,10.02,9.97,9.98,495149
2021-12-17 16:00:00.288,10.0,10.0,9.92,9.96,154489
2021-12-20 16:00:00.288,10.01,10.01,9.94,9.96,124166
2021-12-21 16:00:00.288,9.94,10.06,9.93,10.01,712550
2021-12-22 16:00:00.288,10.0,10.03,9.94,9.97,1374144
