Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,18.46,18.55,17.85,18.13,831372
2010-01-05 16:00:00.288,18.27,19.19,18.25,19.14,1194780
2010-01-06 16:00:00.288,19.15,19.25,18.53,18.73,851517
2010-01-07 16:00:00.288,18.77,19.13,18.13,18.28,812547
2010-01-08 16:00:00.288,18.15,18.31,17.76,18.2,909340
2010-01-11 16:00:00.288,18.47,18.7,18.31,18.41,956421
2010-01-12 16:00:00.288,18.32,18.37,17.56,17.7,1035849
2010-01-13 16:00:00.288,17.75,17.85,17.12,17.54,1429556
2010-01-14 16:00:00.288,17.71,18.43,17.58,18.34,1334177
2010-01-15 16:00:00.288,18.26,18.34,17.88,18.19,601449
2010-01-19 16:00:00.288,18.16,18.35,18.02,18.25,654937
2010-01-20 16:00:00.288,18.15,18.17,17.6,17.68,892874
2010-01-21 16:00:00.288,17.65,18.1,16.27,16.47,2929038
2010-01-22 16:00:00.288,16.27,16.61,15.76,15.93,3089982
2010-01-25 16:00:00.288,16.12,16.61,15.95,16.32,1962848
2010-01-26 16:00:00.288,16.1,16.4,15.76,16.34,1636002
2010-01-27 16:00:00.288,16.35,16.45,15.3,16.13,3669316
2010-01-28 16:00:00.288,16.36,16.75,16.01,16.49,2260604
2010-01-29 16:00:00.288,16.66,16.75,15.49,15.65,2728284
2010-02-01 16:00:00.288,15.76,16.39,15.67,16.24,2475241
2010-02-02 16:00:00.288,16.42,16.98,16.35,16.61,3325745
2010-02-03 16:00:00.288,15.59,16.85,15.5,15.93,4695128
2010-02-04 16:00:00.288,15.81,15.9,14.95,15.08,3481113
2010-02-05 16:00:00.288,15.0,15.44,14.95,15.29,2426886
2010-02-08 16:00:00.288,15.29,15.64,15.09,15.27,1527843
2010-02-09 16:00:00.288,15.38,15.87,15.16,15.72,2304665
2010-02-10 16:00:00.288,15.81,16.59,15.72,16.4,2258812
2010-02-11 16:00:00.288,16.51,17.02,16.1,16.93,4006073
