Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,27.62,27.76,27.09,27.75,296413
2010-01-05 16:00:00.288,28.09,28.18,27.29,27.45,303113
2010-01-06 16:00:00.288,27.32,27.46,26.99,27.17,396918
2010-01-07 16:00:00.288,27.21,27.35,26.75,27.34,417734
2010-01-08 16:00:00.288,27.02,27.36,26.86,27.33,197579
2010-01-11 16:00:00.288,27.29,27.4,27.2,27.29,176683
2010-01-12 16:00:00.288,27.0,27.37,26.89,27.23,257017
2010-01-13 16:00:00.288,27.28,27.45,26.99,27.26,187724
2010-01-14 16:00:00.288,27.09,27.29,26.86,27.18,240705
2010-01-15 16:00:00.288,27.4,27.49,26.34,26.77,313033
2010-01-19 16:00:00.288,26.82,27.59,26.53,27.28,302773
2010-01-20 16:00:00.288,26.99,27.0,25.9,26.55,443297
2010-01-21 16:00:00.288,26.64,26.8,25.72,25.88,262444
2010-01-22 16:00:00.288,26.02,26.25,25.45,25.52,298918
2010-01-25 16:00:00.288,25.84,25.9,24.89,25.08,332427
2010-01-26 16:00:00.288,24.95,25.13,24.62,24.72,437593
2010-01-27 16:00:00.288,24.87,25.22,24.45,25.07,467446
2010-01-28 16:00:00.288,20.11,21.49,19.51,20.75,6454011
2010-01-29 16:00:00.288,21.13,22.75,21.04,22.64,2992633
2010-02-01 16:00:00.288,22.54,22.69,21.7,21.93,1376711
2010-02-02 16:00:00.288,21.9,22.17,21.5,21.55,595300
2010-02-03 16:00:00.288,21.59,21.71,21.08,21.24,546719
2010-02-04 16:00:00.288,21.02,21.28,20.84,20.86,906018
2010-02-05 16:00:00.288,20.94,21.09,20.42,20.79,577964
2010-02-08 16:00:00.288,20.62,20.79,20.29,20.29,501414
2010-02-09 16:00:00.288,20.74,21.05,20.32,20.85,665791
2010-02-10 16:00:00.288,20.79,21.08,20.6,20.9,442939
2010-02-11 16:00:00.288,20.99,21.38,20.73,21.28,489442
2010-02-12 16:00:00.288,21.24,21.34,20.95,21.16,343122
2010-02-16 16:00:00.288,21.43,21.64,21.18,21.58,367380
2010-02-17 16:00:00.288,21.5,21.64,21.18,21.45,375802
2010-02-18 16:00:00.288,21.47,21.83,21.41,21.8,384482
2010-02-19 16:00:00.288,21.81,22.11,21.53,21.98,355297
2010-02-22 16:00:00.288,22.03,22.03,21.41,21.49,407091
2010-02-23 16:00:00.288,21.61,21.66,21.11,21.29,362755
2010-02-24 16:00:00.288,21.15,21.36,21.0,21.11,402138
2010-02-25 16:00:00.288,20.87,21.2,20.7,21.16,273714
2010-02-26 16:00:00.288,21.08,21.24,20.77,20.92,295547
2010-03-01 16:00:00.288,20.61,21.09,20.15,20.28,816713
2010-03-02 16:00:00.288,20.49,20.95,20.23,20.93,678390
2010-03-03 16:00:00.288,21.08,21.13,20.65,20.85,404995
2010-03-04 16:00:00.288,20.77,20.94,20.65,20.74,277376
2010-03-05 16:00:00.288,20.8,21.28,20.77,21.11,409905
2010-03-08 16:00:00.288,21.1,21.31,20.91,20.96,483338
2010-03-09 16:00:00.288,20.9,21.04,20.63,20.76,638759
2010-03-10 16:00:00.288,20.6,21.21,20.6,21.02,278506
2010-03-11 16:00:00.288,20.96,21.12,20.82,21.1,387073
2010-03-12 16:00:00.288,21.0,21.24,20.66,20.88,420502
2010-03-15 16:00:00.288,20.88,21.0,20.66,20.81,340240
2010-03-16 16:00:00.288,20.81,20.93,20.7,20.77,205878
2010-03-17 16:00:00.288,20.83,20.95,20.64,20.77,481175
2010-03-18 16:00:00.288,20.84,20.97,20.64,20.75,325081
2010-03-19 16:00:00.288,21.88,21.99,21.44,21.86,1067483
2010-03-22 16:00:00.288,21.96,22.97,21.76,22.63,801475
2010-03-23 16:00:00.288,22.83,25.0,22.8,23.15,1094616
2010-03-24 16:00:00.288,23.06,23.37,22.81,23.08,640106
2010-03-25 16:00:00.288,23.15,23.44,22.66,22.69,630612
2010-03-26 16:00:00.288,22.72,23.13,22.51,22.95,473926
2010-03-29 16:00:00.288,23.19,23.47,22.7,22.85,650080
2010-03-30 16:00:00.288,22.83,23.14,22.53,22.77,1707640
2010-03-31 16:00:00.288,22.62,23.35,22.41,23.04,670388
2010-04-01 16:00:00.288,23.23,23.55,22.79,23.43,560396
2010-04-05 16:00:00.288,23.44,23.64,23.29,23.61,304765
2010-04-06 16:00:00.288,23.56,24.03,23.38,23.85,451835
2010-04-07 16:00:00.288,23.72,23.79,23.47,23.58,384539
2010-04-08 16:00:00.288,23.24,23.49,23.2,23.32,268439
2010-04-09 16:00:00.288,23.3,23.3,22.96,23.1,591497
2010-04-12 16:00:00.288,22.86,23.04,22.8,22.9,441328
2010-04-13 16:00:00.288,22.77,22.88,22.58,22.75,364546
2010-04-14 16:00:00.288,22.81,22.86,22.55,22.77,429626
2010-04-15 16:00:00.288,22.68,22.96,22.53,22.72,293452
2010-04-16 16:00:00.288,22.66,22.84,22.36,22.41,402242
2010-04-19 16:00:00.288,22.3,22.55,21.87,22.19,370994
2010-04-20 16:00:00.288,22.42,22.68,22.26,22.45,372891
2010-04-21 16:00:00.288,22.5,22.72,22.24,22.43,354670
2010-04-22 16:00:00.288,22.09,22.82,22.02,22.71,415771
2010-04-23 16:00:00.288,22.71,23.14,22.59,23.13,273757
2010-04-26 16:00:00.288,23.18,23.36,22.85,23.13,323739
2010-04-27 16:00:00.288,23.18,23.63,22.49,22.54,559640
2010-04-28 16:00:00.288,22.64,22.88,22.45,22.64,389675
2010-04-29 16:00:00.288,22.79,23.41,22.23,23.33,599019
